Date,Open,High,Low,Close,Adj Close,Volume
1999-10-25,2.722222,2.740741,2.685185,2.712963,2.300982,94500
1999-10-26,2.712963,2.731481,2.703704,2.722222,2.308834,71550
1999-10-27,2.722222,2.888889,2.722222,2.861111,2.426632,232200
1999-10-28,2.898148,2.962963,2.898148,2.925926,2.481604,164700
1999-10-29,2.925926,2.953704,2.907407,2.925926,2.481604,99225
1999-11-01,2.935185,2.962963,2.935185,2.962963,2.513017,89775
1999-11-02,2.953704,2.990741,2.953704,2.972222,2.520870,145125
1999-11-03,2.981481,2.981481,2.935185,2.972222,2.520870,155250
1999-11-04,2.962963,2.990741,2.962963,2.990741,2.536577,83025
1999-11-05,3.000000,3.037037,2.990741,3.000000,2.544430,148500
1999-11-08,2.990741,3.009259,2.953704,2.972222,2.520870,201825
1999-11-09,2.962963,2.981481,2.962963,2.981481,2.528724,93150
1999-11-10,2.981481,2.981481,2.962963,2.981481,2.528724,41175
1999-11-11,2.972222,2.972222,2.907407,2.925926,2.481604,116775
1999-11-12,2.916667,2.981481,2.916667,2.981481,2.528724,67500
1999-11-15,2.962963,2.981481,2.944444,2.981481,2.528724,88425
1999-11-16,2.962963,2.962963,2.953704,2.953704,2.505164,311175
1999-11-17,2.962963,3.000000,2.962963,2.972222,2.520870,162000
1999-11-18,2.962963,3.000000,2.962963,3.000000,2.544430,118125
1999-11-19,3.000000,3.009259,2.953704,2.981481,2.528724,56025
1999-11-22,2.990741,2.990741,2.879630,2.888889,2.450192,134325
1999-11-23,2.888889,2.907407,2.870370,2.907407,2.465898,172800
1999-11-24,2.898148,2.898148,2.842593,2.851852,2.418779,90450
1999-11-26,2.851852,2.916667,2.842593,2.916667,2.473751,70875
1999-11-29,2.907407,2.907407,2.879630,2.888889,2.450192,70200
1999-11-30,2.888889,2.962963,2.888889,2.962963,2.513017,230175
1999-12-01,2.944444,2.944444,2.916667,2.935185,2.489457,206550
1999-12-02,2.925926,2.953704,2.925926,2.953704,2.505164,89100
1999-12-03,2.944444,3.009259,2.935185,2.944444,2.497309,158625
1999-12-06,2.944444,2.962963,2.944444,2.962963,2.513017,213975
1999-12-07,2.962963,2.962963,2.944444,2.953704,2.512703,54675
1999-12-08,2.925926,2.944444,2.842593,2.879630,2.449689,196425
1999-12-09,2.861111,2.861111,2.787037,2.842593,2.418180,161325
1999-12-10,2.824074,2.842593,2.814815,2.842593,2.418180,180900
1999-12-13,2.842593,2.888889,2.833333,2.888889,2.457565,114750
1999-12-14,2.870370,2.879630,2.796296,2.842593,2.418180,222750
1999-12-15,2.824074,2.861111,2.805556,2.861111,2.433934,437400
1999-12-16,2.851852,2.925926,2.851852,2.907407,2.473318,245700
1999-12-17,2.916667,2.916667,2.898148,2.907407,2.473318,968625
1999-12-20,2.879630,2.907407,2.833333,2.833333,2.410305,167400
1999-12-21,2.814815,2.851852,2.796296,2.842593,2.418180,87750
1999-12-22,2.842593,2.842593,2.712963,2.731481,2.323658,261225
1999-12-23,2.712963,2.731481,2.694444,2.703704,2.300028,239625
1999-12-27,2.694444,2.703704,2.675926,2.685185,2.284274,220050
1999-12-28,2.685185,2.722222,2.666667,2.703704,2.300028,972000
1999-12-29,2.703704,2.833333,2.703704,2.787037,2.370919,370575
1999-12-30,2.768519,2.805556,2.768519,2.787037,2.370919,184275
1999-12-31,2.787037,2.833333,2.768519,2.824074,2.402426,159975
2000-01-03,2.814815,2.824074,2.796296,2.814815,2.394550,576450
2000-01-04,2.814815,2.833333,2.796296,2.805556,2.386672,254475
2000-01-05,2.796296,2.861111,2.777778,2.833333,2.410305,141075
2000-01-06,2.833333,2.842593,2.740741,2.814815,2.394550,130275
2000-01-07,2.796296,2.879630,2.796296,2.851852,2.426058,183600
2000-01-10,2.870370,2.962963,2.861111,2.944444,2.504823,89775
2000-01-11,2.925926,2.925926,2.842593,2.861111,2.433934,515700
2000-01-12,2.842593,2.870370,2.833333,2.870370,2.441810,78975
2000-01-13,2.851852,2.879630,2.814815,2.833333,2.410305,126225
2000-01-14,2.833333,2.851852,2.796296,2.805556,2.386672,186300
2000-01-18,2.814815,2.944444,2.805556,2.944444,2.504823,274725
2000-01-19,2.935185,2.949074,2.870370,2.888889,2.457565,592650
2000-01-20,2.888889,2.916667,2.870370,2.907407,2.473318,235575
2000-01-21,2.888889,2.898148,2.879630,2.898148,2.465440,452250
2000-01-24,2.898148,2.907407,2.787037,2.787037,2.370919,187650
2000-01-25,2.759259,2.759259,2.694444,2.740741,2.331536,248400
2000-01-26,2.759259,2.814815,2.731481,2.814815,2.394550,230175
2000-01-27,2.851852,2.981481,2.833333,2.972222,2.528455,541350
2000-01-28,2.962963,3.027778,2.925926,3.027778,2.575717,469800
2000-01-31,3.074074,3.259259,3.055556,3.259259,2.772636,432675
2000-02-01,3.259259,3.277778,2.925926,2.925926,2.489071,523125
2000-02-02,2.944444,2.944444,2.759259,2.759259,2.347289,839700
2000-02-03,2.759259,2.768519,2.675926,2.712963,2.307906,335475
2000-02-04,2.703704,2.722222,2.666667,2.694444,2.292152,157275
2000-02-07,2.694444,2.694444,2.638889,2.657407,2.260643,124200
2000-02-08,2.666667,2.703704,2.592593,2.648148,2.252766,639225
2000-02-09,2.657407,2.657407,2.546296,2.592593,2.205507,237600
2000-02-10,2.592593,2.592593,2.416667,2.444444,2.079477,434025
2000-02-11,2.444444,2.657407,2.444444,2.657407,2.260643,1080675
2000-02-14,2.648148,2.657407,2.620370,2.657407,2.260643,149175
2000-02-15,2.666667,2.694444,2.638889,2.657407,2.260643,524475
2000-02-16,2.648148,2.666667,2.620370,2.638889,2.244891,301725
2000-02-17,2.611111,2.666667,2.611111,2.657407,2.260643,385425
2000-02-18,2.657407,2.657407,2.611111,2.620370,2.229136,116100
2000-02-22,2.620370,2.685185,2.564815,2.685185,2.284274,197100
2000-02-23,2.685185,2.685185,2.564815,2.592593,2.205507,353700
2000-02-24,2.583333,2.583333,2.537037,2.537037,2.158246,228825
2000-02-25,2.518519,2.620370,2.481481,2.555556,2.173999,351000
2000-02-28,2.537037,2.537037,2.462963,2.490741,2.118862,196425
2000-02-29,2.490741,2.527778,2.472222,2.509259,2.134615,334125
2000-03-01,2.509259,2.740741,2.407407,2.740741,2.331536,739125
2000-03-02,2.722222,2.722222,2.629630,2.638889,2.244891,250425
2000-03-03,2.629630,2.629630,2.555556,2.583333,2.197629,258525
2000-03-06,2.583333,2.601852,2.555556,2.601852,2.213384,308475
2000-03-07,2.601852,2.601852,2.555556,2.583333,2.197629,573075
2000-03-08,2.564815,2.638889,2.564815,2.629630,2.237014,322650
2000-03-09,2.638889,2.638889,2.574074,2.583333,2.197629,416475
2000-03-10,2.546296,2.555556,2.481481,2.481481,2.110984,314550
2000-03-13,2.490741,2.574074,2.481481,2.546296,2.166121,251100
2000-03-14,2.564815,2.564815,2.296296,2.370370,2.016462,1003050
2000-03-15,2.370370,2.388889,2.333333,2.388889,2.039867,540000
2000-03-16,2.388889,2.527778,2.388889,2.527778,2.158464,579825
2000-03-17,2.453704,2.638889,2.453704,2.638889,2.253340,508275
2000-03-20,2.620370,2.657407,2.620370,2.648148,2.261248,166050
2000-03-21,2.629630,2.638889,2.564815,2.601852,2.221714,162675
2000-03-22,2.620370,2.694444,2.620370,2.694444,2.300779,440775
2000-03-23,2.712963,2.805556,2.712963,2.731481,2.332404,431325
2000-03-24,2.787037,2.805556,2.750000,2.777778,2.371937,327375
2000-03-27,2.796296,2.814815,2.759259,2.759259,2.356124,383400
2000-03-28,2.740741,2.740741,2.611111,2.620370,2.237526,171450
2000-03-29,2.638889,2.648148,2.546296,2.583333,2.205901,153225
2000-03-30,2.592593,2.879630,2.592593,2.814815,2.403563,434025
2000-03-31,2.824074,2.962963,2.824074,2.851852,2.435189,644625
2000-04-03,2.824074,2.925926,2.805556,2.916667,2.490536,675675
2000-04-04,2.916667,2.925926,2.888889,2.907407,2.482627,309825
2000-04-05,2.907407,2.953704,2.898148,2.907407,2.482627,256500
2000-04-06,2.907407,2.962963,2.907407,2.962963,2.530067,405675
2000-04-07,2.962963,3.000000,2.962963,2.990741,2.553786,94500
2000-04-10,3.018519,3.148148,2.981481,2.981481,2.545880,398925
2000-04-11,2.962963,2.981481,2.907407,2.953704,2.522161,176850
2000-04-12,2.953704,2.981481,2.925926,2.944444,2.514253,55350
2000-04-13,2.962963,2.981481,2.925926,2.944444,2.514253,101925
2000-04-14,2.944444,2.962963,2.916667,2.962963,2.530067,156600
2000-04-17,2.944444,2.962963,2.833333,2.879630,2.458909,490725
2000-04-18,2.916667,2.981481,2.898148,2.944444,2.514253,172800
2000-04-19,2.962963,3.037037,2.944444,3.027778,2.585412,276075
2000-04-20,3.027778,3.092593,3.009259,3.074074,2.624944,582525
2000-04-24,3.092593,3.092593,2.981481,2.990741,2.553786,213975
