Date,Open,High,Low,Close,Adj Close,Volume
1990-10-24,10.916667,10.916667,10.916667,10.916667,2.849057,600
1990-10-25,10.916667,11.000000,10.833333,10.916667,2.849057,2550
1990-10-26,10.916667,11.000000,10.916667,11.000000,2.870805,6000
1990-10-29,10.833333,10.833333,10.833333,10.833333,2.827307,1200
1990-10-30,10.833333,11.000000,10.833333,11.000000,2.870805,5100
1990-10-31,11.000000,11.000000,11.000000,11.000000,2.870805,0
1990-11-01,11.000000,11.083333,11.000000,11.083333,2.892552,600
1990-11-02,10.916667,11.083333,10.916667,10.916667,2.849057,1800
1990-11-05,10.833333,11.000000,10.833333,11.000000,2.870805,2100
1990-11-06,10.916667,11.166667,10.916667,11.166667,2.914303,6600
1990-11-07,11.333333,11.500000,11.333333,11.333333,2.957798,5250
1990-11-08,11.333333,11.333333,11.333333,11.333333,2.957798,6750
1990-11-09,11.250000,11.333333,11.250000,11.333333,2.957798,1950
1990-11-12,11.166667,11.333333,11.166667,11.333333,2.957798,3600
1990-11-13,11.333333,11.333333,11.250000,11.250000,2.936048,11850
1990-11-14,11.333333,11.333333,11.333333,11.333333,2.957798,4950
1990-11-15,11.333333,11.333333,11.166667,11.250000,2.936048,5850
1990-11-16,11.250000,11.250000,11.166667,11.250000,2.936048,1200
1990-11-19,10.833333,10.833333,10.666667,10.666667,2.834196,4950
1990-11-20,10.666667,10.666667,10.666667,10.666667,2.834196,5700
1990-11-21,10.750000,10.833333,10.666667,10.833333,2.878480,2850
1990-11-23,10.750000,10.750000,10.666667,10.666667,2.834196,450
1990-11-26,10.750000,11.000000,10.750000,11.000000,2.922765,9450
1990-11-27,11.000000,11.000000,11.000000,11.000000,2.922765,450
1990-11-28,11.000000,11.000000,11.000000,11.000000,2.922765,750
1990-11-29,11.000000,11.000000,11.000000,11.000000,2.922765,1200
1990-11-30,11.166667,11.166667,11.166667,11.166667,2.967051,600
1990-12-03,11.166667,11.166667,11.166667,11.166667,2.967051,0
1990-12-04,11.000000,11.000000,10.833333,11.000000,2.922765,1650
1990-12-05,10.833333,10.916667,10.750000,10.750000,2.856338,1800
1990-12-06,11.000000,11.166667,11.000000,11.000000,2.922765,9450
1990-12-07,11.083333,11.083333,11.000000,11.083333,2.944909,1500
1990-12-10,11.083333,11.333333,11.000000,11.333333,3.011332,11250
1990-12-11,11.416667,11.416667,11.083333,11.333333,3.011332,94200
1990-12-12,11.333333,11.333333,11.333333,11.333333,3.011332,317250
1990-12-13,11.166667,11.166667,11.166667,11.166667,2.967051,450
1990-12-14,11.000000,11.083333,10.916667,10.916667,2.900623,2850
1990-12-17,10.750000,10.750000,10.666667,10.750000,2.856338,3000
1990-12-18,10.666667,10.916667,10.666667,10.916667,2.900623,4050
1990-12-19,11.000000,11.083333,11.000000,11.083333,2.944909,6150
1990-12-20,10.833333,11.000000,10.750000,10.750000,2.856338,21600
1990-12-21,10.833333,10.916667,10.833333,10.833333,2.878480,34050
1990-12-24,10.833333,10.916667,10.750000,10.916667,2.900623,27900
1990-12-26,10.916667,10.916667,10.750000,10.750000,2.856338,1800
1990-12-27,10.916667,10.916667,10.583333,10.833333,2.878480,40800
1990-12-28,10.916667,10.916667,10.666667,10.666667,2.834196,2550
1990-12-31,10.833333,11.083333,10.750000,11.083333,2.944909,57900
1991-01-02,10.916667,10.916667,10.833333,10.916667,2.900623,3900
1991-01-03,10.666667,10.833333,10.666667,10.833333,2.878480,16050
1991-01-04,10.750000,10.833333,10.750000,10.833333,2.878480,1500
1991-01-07,10.916667,11.166667,10.916667,11.083333,2.944909,12450
1991-01-08,11.083333,11.083333,10.833333,10.833333,2.878480,13800
1991-01-09,11.000000,11.000000,10.833333,10.833333,2.878480,11550
1991-01-10,10.916667,11.000000,10.833333,10.916667,2.900623,8850
1991-01-11,10.916667,11.000000,10.833333,10.833333,2.878480,4950
1991-01-14,10.666667,10.666667,10.500000,10.500000,2.789911,13050
1991-01-15,10.666667,10.666667,10.583333,10.583333,2.812053,1350
1991-01-16,10.500000,10.666667,10.500000,10.583333,2.812053,1650
1991-01-17,10.750000,10.916667,10.666667,10.750000,2.856338,3600
1991-01-18,10.666667,10.916667,10.666667,10.666667,2.834196,3000
1991-01-21,10.500000,10.666667,10.500000,10.666667,2.834196,1200
1991-01-22,10.666667,10.750000,10.666667,10.750000,2.856338,6000
1991-01-23,10.666667,10.833333,10.666667,10.833333,2.878480,2250
