Date,Open,High,Low,Close,Adj Close,Volume
1980-10-24,0.000000,2.765625,2.734375,2.750000,1.133938,48000
1980-10-27,0.000000,2.765625,2.703125,2.703125,1.114609,19200
1980-10-28,0.000000,2.734375,2.687500,2.734375,1.127495,40000
1980-10-29,0.000000,2.734375,2.703125,2.703125,1.114609,12800
1980-10-30,0.000000,2.718750,2.671875,2.718750,1.121052,17600
1980-10-31,0.000000,2.750000,2.687500,2.750000,1.133938,21600
1980-11-03,0.000000,2.781250,2.718750,2.734375,1.127495,106400
1980-11-05,0.000000,2.796875,2.671875,2.703125,1.114609,77600
1980-11-06,0.000000,2.703125,2.703125,2.703125,1.114609,1600
1980-11-07,0.000000,2.671875,2.609375,2.656250,1.095281,24000
1980-11-10,0.000000,2.671875,2.609375,2.671875,1.101724,32800
1980-11-11,0.000000,2.718750,2.687500,2.718750,1.121052,92000
1980-11-12,0.000000,2.750000,2.703125,2.734375,1.127495,16000
1980-11-13,0.000000,2.750000,2.734375,2.750000,1.133938,30400
1980-11-14,0.000000,2.750000,2.734375,2.734375,1.127495,76000
1980-11-17,0.000000,2.734375,2.703125,2.718750,1.121052,4000
1980-11-18,0.000000,2.734375,2.671875,2.703125,1.114609,242400
1980-11-19,0.000000,2.703125,2.625000,2.625000,1.082395,47200
1980-11-20,0.000000,2.625000,2.546875,2.562500,1.056624,40000
1980-11-21,0.000000,2.562500,2.468750,2.531250,1.043738,51200
1980-11-24,0.000000,2.531250,2.484375,2.515625,1.037296,91200
1980-11-25,0.000000,2.515625,2.468750,2.500000,1.030853,39200
1980-11-26,0.000000,2.484375,2.406250,2.453125,1.011524,217600
1980-11-28,0.000000,2.421875,2.375000,2.375000,0.979310,40800
1980-12-01,0.000000,2.375000,2.328125,2.328125,0.959982,87200
1980-12-02,0.000000,2.375000,2.312500,2.359375,0.972867,147200
1980-12-03,0.000000,2.406250,2.375000,2.406250,0.992196,90400
1980-12-04,0.000000,2.437500,2.375000,2.437500,1.005082,84000
1980-12-05,0.000000,2.437500,2.359375,2.375000,0.979310,36000
1980-12-08,0.000000,2.375000,2.328125,2.328125,0.959982,83200
1980-12-09,0.000000,2.359375,2.328125,2.359375,0.972867,168800
1980-12-10,0.000000,2.328125,2.281250,2.281250,0.940653,116000
1980-12-11,0.000000,2.296875,2.218750,2.281250,0.940653,197600
1980-12-12,0.000000,2.296875,2.265625,2.281250,0.940653,180000
1980-12-15,0.000000,2.296875,2.281250,2.296875,0.947096,200800
1980-12-16,0.000000,2.296875,2.265625,2.296875,0.947096,107200
1980-12-17,0.000000,2.312500,2.281250,2.296875,0.947096,13600
1980-12-18,0.000000,2.312500,2.265625,2.265625,0.934210,313600
1980-12-19,0.000000,2.250000,2.250000,2.250000,0.927768,166400
1980-12-22,0.000000,2.265625,2.250000,2.265625,0.934210,114400
1980-12-23,0.000000,2.343750,2.296875,2.296875,0.947096,49600
1980-12-24,0.000000,2.500000,2.265625,2.500000,1.030853,422400
1980-12-26,0.000000,2.593750,2.500000,2.593750,1.069509,77600
1980-12-29,0.000000,2.687500,2.546875,2.687500,1.108166,164000
1980-12-30,0.000000,2.812500,2.625000,2.796875,1.153266,162400
1980-12-31,0.000000,2.843750,2.718750,2.843750,1.172595,64800
1981-01-02,0.000000,2.875000,2.843750,2.875000,1.185481,228000
1981-01-05,0.000000,2.906250,2.812500,2.843750,1.172595,249600
1981-01-06,0.000000,2.875000,2.750000,2.875000,1.185481,73600
1981-01-07,0.000000,2.765625,2.593750,2.765625,1.140381,175200
1981-01-08,0.000000,2.718750,2.531250,2.671875,1.101724,81600
1981-01-09,0.000000,2.671875,2.578125,2.671875,1.101724,32800
1981-01-12,0.000000,2.718750,2.578125,2.578125,1.063067,24800
1981-01-13,0.000000,2.750000,2.515625,2.750000,1.133938,95200
1981-01-14,0.000000,2.750000,2.687500,2.718750,1.121052,64000
1981-01-15,0.000000,2.703125,2.625000,2.625000,1.082395,116800
1981-01-16,0.000000,2.640625,2.593750,2.640625,1.088839,104000
1981-01-19,0.000000,2.625000,2.609375,2.625000,1.082395,30400
1981-01-20,0.000000,2.593750,2.375000,2.531250,1.043738,926400
1981-01-21,0.000000,2.500000,2.406250,2.453125,1.011524,132800
1981-01-22,0.000000,2.484375,2.421875,2.453125,1.011524,126400
1981-01-23,0.000000,2.453125,2.359375,2.453125,1.011524,125600
1981-01-26,0.000000,2.453125,2.406250,2.406250,0.992196,23200
1981-01-27,0.000000,2.421875,2.375000,2.390625,0.985754,31200
1981-01-28,0.000000,2.468750,2.375000,2.468750,1.017967,835200
1981-01-29,0.000000,2.671875,2.500000,2.656250,1.095281,438400
1981-01-30,0.000000,2.718750,2.671875,2.687500,1.108166,703200
1981-02-02,0.000000,2.656250,2.500000,2.500000,1.030853,207200
1981-02-03,0.000000,2.562500,2.375000,2.562500,1.056624,92000
1981-02-04,0.000000,2.625000,2.546875,2.562500,1.056624,96000
1981-02-05,0.000000,2.656250,2.562500,2.625000,1.082395,151200
1981-02-06,0.000000,2.687500,2.578125,2.609375,1.075953,78400
1981-02-09,0.000000,2.609375,2.562500,2.562500,1.056624,104000
1981-02-10,0.000000,2.609375,2.531250,2.609375,1.075953,172000
1981-02-11,0.000000,2.593750,2.531250,2.531250,1.043738,46400
1981-02-12,0.000000,2.531250,2.500000,2.500000,1.030853,165600
1981-02-13,0.000000,2.531250,2.500000,2.500000,1.030853,5600
1981-02-17,0.000000,2.562500,2.500000,2.562500,1.056624,44000
1981-02-18,0.000000,2.562500,2.500000,2.500000,1.030853,50400
1981-02-19,0.000000,2.687500,2.484375,2.625000,1.082395,257600
1981-02-20,0.000000,2.796875,2.593750,2.750000,1.133938,340800
1981-02-23,0.000000,2.906250,2.781250,2.906250,1.198366,175200
1981-02-24,0.000000,2.968750,2.828125,2.875000,1.185481,188000
1981-02-25,0.000000,2.875000,2.625000,2.828125,1.166152,291200
1981-02-26,0.000000,2.828125,2.718750,2.828125,1.166152,132000
1981-02-27,0.000000,2.828125,2.703125,2.781250,1.146824,75200
1981-03-02,0.000000,2.734375,2.640625,2.687500,1.108166,100000
1981-03-03,0.000000,2.703125,2.625000,2.671875,1.101724,76000
1981-03-04,0.000000,2.687500,2.546875,2.578125,1.063067,111200
1981-03-05,0.000000,2.625000,2.562500,2.578125,1.063067,73600
1981-03-06,0.000000,2.703125,2.562500,2.625000,1.082395,69600
1981-03-09,0.000000,2.687500,2.578125,2.687500,1.108166,255200
1981-03-10,0.000000,2.796875,2.703125,2.796875,1.153266,135200
1981-03-11,0.000000,2.796875,2.750000,2.750000,1.133938,46400
1981-03-12,0.000000,2.890625,2.734375,2.890625,1.191924,312000
1981-03-13,0.000000,3.046875,2.875000,2.937500,1.211252,234400
1981-03-16,0.000000,2.968750,2.906250,2.953125,1.217695,90400
1981-03-17,0.000000,3.000000,2.906250,2.937500,1.211252,114400
1981-03-18,0.000000,2.890625,2.796875,2.828125,1.166152,155200
1981-03-19,0.000000,2.828125,2.750000,2.781250,1.146824,144800
1981-03-20,0.000000,2.906250,2.765625,2.828125,1.166152,64800
1981-03-23,0.000000,2.906250,2.812500,2.875000,1.185481,67200
1981-03-24,0.000000,2.890625,2.750000,2.796875,1.153266,89600
1981-03-25,0.000000,2.937500,2.812500,2.890625,1.191924,67200
1981-03-26,0.000000,2.812500,2.718750,2.750000,1.133938,868000
1981-03-27,0.000000,2.875000,2.765625,2.796875,1.153266,100800
1981-03-30,0.000000,2.828125,2.718750,2.765625,1.140381,98400
1981-03-31,0.000000,2.890625,2.796875,2.843750,1.172595,138400
1981-04-01,0.000000,2.890625,2.828125,2.843750,1.172595,85600
1981-04-02,0.000000,2.890625,2.828125,2.890625,1.191924,20800
1981-04-03,0.000000,2.875000,2.843750,2.843750,1.172595,148000
1981-04-06,0.000000,2.843750,2.796875,2.843750,1.172595,68800
1981-04-07,0.000000,2.843750,2.750000,2.750000,1.133938,100000
1981-04-08,0.000000,2.781250,2.718750,2.718750,1.121052,207200
