Date,Open,High,Low,Close,Adj Close,Volume
1993-10-25,11.291667,11.291667,11.166667,11.166667,6.185123,69900
1993-10-26,11.166667,11.166667,10.875000,10.916667,6.046649,223800
1993-10-27,10.958333,10.958333,10.875000,10.958333,6.069727,94800
1993-10-28,10.916667,11.000000,10.916667,10.916667,6.046649,105600
1993-10-29,10.833333,10.833333,10.833333,10.833333,6.000492,445200
1993-11-01,10.833333,10.875000,10.750000,10.875000,6.023573,474000
1993-11-02,10.916667,10.916667,10.666667,10.708333,5.931256,351600
1993-11-03,10.708333,10.708333,10.500000,10.541667,5.838941,524700
1993-11-04,10.500000,10.500000,10.250000,10.333333,5.723547,137100
1993-11-05,10.250000,10.250000,9.750000,10.041667,5.561997,255900
1993-11-08,10.083333,10.125000,10.083333,10.125000,5.608155,37800
1993-11-09,10.166667,10.208333,10.041667,10.041667,5.561997,189000
1993-11-10,10.083333,10.166667,10.041667,10.125000,5.608155,118800
1993-11-11,10.125000,10.500000,10.125000,10.500000,5.815863,146400
1993-11-12,10.500000,10.541667,10.500000,10.541667,5.838941,155400
1993-11-15,10.500000,10.500000,10.375000,10.416667,5.769706,174300
1993-11-16,10.250000,10.291667,10.083333,10.208333,5.654309,1303200
1993-11-17,10.041667,10.125000,10.000000,10.083333,5.585076,614700
1993-11-18,10.083333,10.083333,10.000000,10.000000,5.538917,554700
1993-11-19,10.000000,10.000000,9.916667,10.000000,5.538917,150300
1993-11-22,10.000000,10.000000,9.875000,9.875000,5.469680,73800
1993-11-23,9.875000,9.916667,9.791667,9.916667,5.492761,317100
1993-11-24,9.833333,9.833333,9.708333,9.750000,5.400444,193200
1993-11-26,9.791667,9.791667,9.708333,9.708333,5.377366,16800
1993-11-29,9.750000,9.875000,9.750000,9.750000,5.400444,71700
1993-11-30,9.666667,9.708333,9.666667,9.708333,5.377366,243000
1993-12-01,9.708333,9.791667,9.708333,9.791667,5.423523,222600
1993-12-02,9.791667,10.000000,9.791667,9.875000,5.469680,234300
1993-12-03,9.875000,9.916667,9.833333,9.916667,5.492761,176400
1993-12-06,9.916667,9.916667,9.833333,9.875000,5.469680,44100
1993-12-07,9.875000,9.958333,9.833333,9.916667,5.492761,126000
1993-12-08,9.916667,10.083333,9.916667,10.083333,5.585076,119100
1993-12-09,10.083333,10.083333,9.916667,9.958333,5.515839,384000
1993-12-10,9.958333,9.958333,9.791667,9.833333,5.446601,75900
1993-12-13,9.750000,9.833333,9.750000,9.833333,5.446601,130200
1993-12-14,9.833333,9.875000,9.750000,9.750000,5.400444,63000
1993-12-15,9.750000,9.750000,9.625000,9.666667,5.354287,319200
1993-12-16,9.666667,9.666667,9.458333,9.458333,5.238891,326400
1993-12-17,9.541667,9.583333,9.416667,9.541667,5.285049,564600
1993-12-20,9.541667,9.541667,9.416667,9.416667,5.215814,176100
1993-12-21,9.500000,9.500000,9.375000,9.416667,5.215814,173400
1993-12-22,9.375000,9.583333,9.375000,9.500000,5.261969,33600
1993-12-23,9.500000,9.625000,9.458333,9.583333,5.308128,123000
1993-12-27,9.541667,9.833333,9.541667,9.791667,5.442453,70500
1993-12-28,9.791667,10.041667,9.750000,10.041667,5.581409,44100
1993-12-29,10.041667,10.041667,9.833333,10.000000,5.558249,544800
1993-12-30,10.000000,10.250000,9.958333,10.166667,5.650884,102600
1993-12-31,10.250000,10.416667,10.250000,10.375000,5.766684,64200
1994-01-03,10.333333,10.333333,10.166667,10.333333,5.743523,217200
1994-01-04,10.250000,10.250000,10.125000,10.125000,5.627730,86700
1994-01-05,10.125000,10.250000,10.083333,10.250000,5.697204,390000
1994-01-06,10.291667,10.333333,10.041667,10.083333,5.604569,219900
1994-01-07,10.166667,10.208333,9.916667,9.916667,5.511933,149400
1994-01-10,9.958333,9.958333,9.666667,9.833333,5.465611,87300
1994-01-11,9.916667,9.916667,9.791667,9.875000,5.488770,246000
1994-01-12,9.833333,9.875000,9.791667,9.875000,5.488770,115200
1994-01-13,9.875000,9.875000,9.791667,9.791667,5.442453,36600
1994-01-14,9.833333,10.000000,9.791667,10.000000,5.558249,50700
1994-01-17,9.916667,9.958333,9.791667,9.791667,5.442453,335700
1994-01-18,9.708333,9.791667,9.708333,9.708333,5.396135,75600
1994-01-19,9.750000,9.791667,9.750000,9.791667,5.442453,356400
1994-01-20,9.750000,9.750000,9.625000,9.625000,5.349816,230700
1994-01-21,9.625000,9.625000,9.583333,9.583333,5.326656,141600
1994-01-24,9.625000,9.625000,9.500000,9.583333,5.326656,144300
1994-01-25,9.625000,9.666667,9.583333,9.625000,5.349816,64500
1994-01-26,9.625000,9.666667,9.458333,9.458333,5.257176,111300
1994-01-27,9.416667,9.500000,9.250000,9.458333,5.257176,9475200
1994-01-28,9.458333,9.541667,9.416667,9.500000,5.280334,1242900
1994-01-31,9.500000,9.583333,9.416667,9.500000,5.280334,600600
1994-02-01,9.541667,9.583333,9.458333,9.458333,5.257176,810600
1994-02-02,9.458333,9.541667,9.416667,9.500000,5.280334,656100
1994-02-03,9.500000,9.500000,9.416667,9.458333,5.257176,178200
1994-02-04,9.458333,9.500000,9.250000,9.250000,5.141381,148800
1994-02-07,9.208333,9.291667,9.125000,9.250000,5.141381,160500
1994-02-08,9.250000,9.333333,9.083333,9.125000,5.071899,918900
1994-02-09,9.208333,9.291667,9.208333,9.291667,5.164540,360900
1994-02-10,9.333333,9.375000,9.291667,9.375000,5.210860,333300
1994-02-11,9.375000,9.416667,9.333333,9.416667,5.234019,316200
1994-02-14,9.416667,9.583333,9.416667,9.500000,5.280334,573300
1994-02-15,9.583333,9.583333,9.375000,9.541667,5.303493,665100
1994-02-16,9.500000,9.541667,9.458333,9.500000,5.280334,179400
1994-02-17,9.541667,9.541667,9.458333,9.458333,5.257176,241500
1994-02-18,9.458333,9.458333,9.375000,9.416667,5.234019,257100
1994-02-22,9.333333,9.416667,9.250000,9.250000,5.141381,192000
1994-02-23,9.333333,9.333333,9.166667,9.250000,5.141381,469200
1994-02-24,9.208333,9.291667,9.208333,9.250000,5.141381,114600
1994-02-25,9.250000,9.291667,9.083333,9.083333,5.048744,1286100
1994-02-28,9.083333,9.208333,9.083333,9.208333,5.118221,390900
1994-03-01,9.250000,9.250000,8.958333,9.000000,5.002422,508800
1994-03-02,8.958333,8.958333,8.833333,8.833333,4.909785,165000
1994-03-03,8.875000,8.916667,8.791667,8.916667,4.956105,555000
1994-03-04,8.875000,8.916667,8.833333,8.875000,4.932944,399600
1994-03-07,8.916667,8.958333,8.791667,8.875000,4.932944,926700
1994-03-08,8.833333,8.875000,8.666667,8.666667,4.817148,669000
1994-03-09,8.583333,8.708333,8.583333,8.708333,4.840309,418200
1994-03-10,8.708333,8.875000,8.708333,8.833333,4.909785,123900
1994-03-11,8.791667,8.833333,8.666667,8.708333,4.840309,70800
1994-03-14,8.750000,8.791667,8.666667,8.791667,4.886627,82500
1994-03-15,8.750000,8.958333,8.666667,8.958333,4.979266,165900
1994-03-16,8.875000,8.875000,8.791667,8.833333,4.909785,173400
1994-03-17,8.916667,8.916667,8.833333,8.916667,4.956105,100800
1994-03-18,8.833333,9.000000,8.833333,9.000000,5.002422,158700
1994-03-21,9.000000,9.041667,8.916667,8.916667,4.956105,94500
1994-03-22,9.000000,9.000000,8.916667,9.000000,5.002422,139200
1994-03-23,9.041667,9.041667,8.916667,8.916667,4.956105,233400
1994-03-24,9.000000,9.000000,8.916667,8.916667,4.956105,139500
1994-03-25,8.833333,8.875000,8.791667,8.875000,4.951455,118200
1994-03-28,8.958333,8.958333,8.875000,8.875000,4.951455,91200
1994-03-29,8.833333,9.000000,8.833333,8.916667,4.974701,429600
1994-03-30,8.916667,9.000000,8.916667,8.916667,4.974701,401700
1994-03-31,8.916667,8.916667,8.166667,8.583333,4.788733,484500
1994-04-04,8.500000,8.583333,8.416667,8.458333,4.718993,302100
1994-04-05,8.541667,9.000000,8.541667,8.916667,4.974701,584100
1994-04-06,8.916667,8.916667,8.791667,8.916667,4.974701,224100
1994-04-07,8.958333,9.333333,8.958333,9.333333,5.207164,86100
1994-04-08,9.333333,9.458333,9.333333,9.416667,5.253659,80400
1994-04-11,9.333333,9.500000,9.291667,9.500000,5.300147,242400
1994-04-12,9.500000,9.500000,9.416667,9.416667,5.253659,97200
1994-04-13,9.458333,9.583333,9.458333,9.458333,5.276903,75900
1994-04-14,9.416667,9.416667,9.333333,9.333333,5.207164,87000
1994-04-15,9.250000,9.250000,9.083333,9.250000,5.160673,292500
1994-04-18,9.291667,9.375000,9.250000,9.375000,5.230413,221400
1994-04-19,9.416667,9.416667,9.375000,9.375000,5.230413,4500
1994-04-20,9.375000,9.416667,9.333333,9.375000,5.230413,64500
1994-04-21,9.416667,9.416667,9.250000,9.333333,5.207164,328200
1994-04-22,9.250000,9.291667,9.166667,9.250000,5.160673,73800
1994-04-25,9.250000,9.583333,9.250000,9.500000,5.300147,162600
1994-04-26,9.416667,9.583333,9.416667,9.583333,5.346643,23400
1994-04-28,9.500000,9.500000,9.333333,9.416667,5.253659,21600
1994-04-29,9.375000,9.541667,9.375000,9.500000,5.300147,200700
1994-05-02,9.541667,9.625000,9.458333,9.541667,5.323395,50700
1994-05-03,9.500000,9.541667,9.500000,9.541667,5.323395,25800
1994-05-04,9.500000,9.583333,9.458333,9.583333,5.346643,189900
1994-05-05,9.500000,9.583333,9.458333,9.500000,5.300147,45300
1994-05-06,9.416667,9.416667,9.291667,9.291667,5.183919,203700
1994-05-09,9.250000,9.416667,9.250000,9.333333,5.207164,80700
1994-05-10,9.333333,9.416667,9.250000,9.333333,5.207164,190200
1994-05-11,9.250000,9.250000,9.208333,9.208333,5.137426,168300
1994-05-12,9.208333,9.333333,9.208333,9.333333,5.207164,11100
1994-05-13,9.333333,9.333333,9.208333,9.208333,5.137426,151200
1994-05-16,9.166667,9.250000,9.166667,9.250000,5.160673,90000
1994-05-17,9.250000,9.333333,9.166667,9.333333,5.207164,102300
1994-05-18,9.416667,9.583333,9.416667,9.541667,5.323395,292200
1994-05-19,9.500000,9.500000,9.458333,9.458333,5.276903,113700
1994-05-20,9.458333,9.500000,9.416667,9.500000,5.300147,55500
1994-05-23,9.416667,9.416667,9.333333,9.375000,5.230413,137700
1994-05-24,9.416667,9.458333,9.333333,9.333333,5.207164,193800
1994-05-25,9.416667,9.416667,9.250000,9.333333,5.207164,96000
1994-05-26,9.250000,9.250000,9.166667,9.208333,5.137426,202200
1994-05-27,9.250000,9.250000,9.041667,9.041667,5.044442,73500
1994-05-31,9.125000,9.125000,9.041667,9.083333,5.067688,63300
1994-06-01,9.000000,9.041667,8.916667,8.916667,4.974701,258900
1994-06-02,8.958333,9.000000,8.916667,8.916667,4.974701,236700
1994-06-03,8.958333,9.000000,8.875000,8.958333,4.997949,201900
1994-06-06,9.000000,9.166667,9.000000,9.083333,5.067688,97500
1994-06-07,9.000000,9.000000,8.958333,8.958333,4.997949,81300
1994-06-08,8.958333,8.958333,8.916667,8.916667,4.974701,301500
1994-06-09,8.916667,8.916667,8.916667,8.916667,4.974701,125100
1994-06-10,8.916667,8.916667,8.500000,8.583333,4.788733,264300
1994-06-13,8.541667,8.541667,8.291667,8.500000,4.742241,336600
1994-06-14,8.416667,8.500000,8.333333,8.333333,4.649256,166500
1994-06-15,8.416667,8.458333,8.416667,8.416667,4.695748,358800
1994-06-16,8.458333,8.458333,8.416667,8.416667,4.695748,23400
1994-06-17,8.458333,8.500000,8.416667,8.500000,4.742241,109200
1994-06-20,8.416667,8.416667,8.291667,8.416667,4.695748,262500
1994-06-21,8.333333,8.416667,8.250000,8.250000,4.602762,334200
1994-06-22,8.250000,8.291667,8.125000,8.166667,4.556270,639300
1994-06-23,8.083333,8.166667,7.958333,8.000000,4.463284,238500
1994-06-24,7.958333,8.083333,7.958333,8.083333,4.530542,28500
1994-06-27,8.041667,8.333333,8.041667,8.166667,4.577249,33600
1994-06-28,8.083333,8.333333,8.083333,8.250000,4.623956,25500
1994-06-29,8.166667,8.166667,7.916667,8.000000,4.483835,309000
1994-06-30,8.083333,8.291667,8.041667,8.208333,4.600604,35100
1994-07-01,8.208333,8.208333,8.166667,8.166667,4.577249,62700
1994-07-05,8.166667,8.166667,8.166667,8.166667,4.577249,10800
1994-07-06,8.166667,8.208333,8.125000,8.166667,4.577249,33000
1994-07-07,8.166667,8.166667,7.750000,7.833333,4.390424,427500
1994-07-08,7.916667,7.916667,7.833333,7.833333,4.390424,34200
1994-07-11,7.833333,7.833333,7.583333,7.583333,4.250302,141000
1994-07-12,7.666667,7.833333,7.666667,7.750000,4.343715,219900
1994-07-13,7.750000,7.833333,7.666667,7.833333,4.390424,72600
1994-07-14,7.833333,7.875000,7.750000,7.875000,4.413775,44400
1994-07-15,7.875000,7.875000,7.875000,7.875000,4.413775,12300
1994-07-18,7.916667,8.083333,7.916667,8.083333,4.530542,155400
1994-07-19,8.041667,8.250000,8.041667,8.250000,4.623956,40500
1994-07-20,8.208333,8.416667,8.208333,8.416667,4.717371,179100
1994-07-21,8.250000,8.250000,7.708333,7.750000,4.343715,1147200
1994-07-22,7.750000,7.875000,7.708333,7.875000,4.413775,752100
1994-07-25,7.875000,8.000000,7.875000,7.958333,4.460482,176400
1994-07-26,7.916667,8.000000,7.916667,7.958333,4.460482,203400
1994-07-27,7.958333,7.958333,7.958333,7.958333,4.460482,37200
1994-07-28,8.000000,8.041667,7.958333,7.958333,4.460482,393000
1994-07-29,7.958333,7.958333,7.791667,7.791667,4.367070,275100
1994-08-01,7.833333,7.916667,7.833333,7.916667,4.437131,572400
1994-08-02,8.000000,8.000000,7.958333,7.958333,4.460482,48000
1994-08-03,7.916667,7.958333,7.916667,7.916667,4.437131,139500
1994-08-04,7.875000,7.875000,7.833333,7.833333,4.390424,77400
1994-08-05,7.875000,7.916667,7.833333,7.833333,4.390424,126300
1994-08-08,7.833333,7.833333,7.791667,7.791667,4.367070,169800
1994-08-09,7.875000,7.875000,7.791667,7.833333,4.390424,200100
1994-08-10,7.791667,7.833333,7.791667,7.791667,4.367070,17700
1994-08-11,7.791667,7.875000,7.666667,7.708333,4.320361,23700
1994-08-12,7.708333,7.750000,7.708333,7.708333,4.320361,56100
1994-08-15,7.791667,7.916667,7.791667,7.875000,4.413775,34200
1994-08-16,7.833333,7.875000,7.833333,7.833333,4.390424,182700
