Date,Open,High,Low,Close,Adj Close,Volume
1980-10-24,0.000000,1.599699,1.565420,1.565420,0.515214,67825
1980-10-27,0.000000,1.622552,1.588273,1.588273,0.522735,100644
1980-10-28,0.000000,1.611126,1.588273,1.588273,0.522735,32819
1980-10-29,0.000000,1.668258,1.633979,1.633979,0.537778,52510
1980-10-30,0.000000,1.611126,1.588273,1.588273,0.522735,159718
1980-10-31,0.000000,1.611126,1.588273,1.588273,0.522735,17503
1980-11-03,0.000000,1.599699,1.565420,1.565420,0.515214,30631
1980-11-05,0.000000,1.588273,1.576846,1.576846,0.518974,61262
1980-11-06,0.000000,1.553994,1.519714,1.519714,0.500171,48134
1980-11-07,0.000000,1.542567,1.519714,1.519714,0.500171,2188
1980-11-10,0.000000,1.531141,1.508288,1.508288,0.496410,26255
1980-11-11,0.000000,1.565420,1.542567,1.542567,0.507692,122523
1980-11-12,1.542567,1.542567,1.542567,1.542567,0.507692,0
1980-11-13,0.000000,1.542567,1.496861,1.496861,0.492649,39382
1980-11-14,0.000000,1.542567,1.496861,1.496861,0.492649,4376
1980-11-17,0.000000,1.553994,1.519714,1.519714,0.500171,10940
1980-11-18,0.000000,1.576846,1.542567,1.542567,0.507692,39382
1980-11-19,0.000000,1.565420,1.531141,1.531141,0.503932,32819
1980-11-20,0.000000,1.576846,1.531141,1.531141,0.503932,26255
1980-11-21,0.000000,1.576846,1.542567,1.542567,0.507692,35007
1980-11-24,0.000000,1.611126,1.565420,1.565420,0.515214,6564
1980-11-25,0.000000,1.611126,1.576846,1.576846,0.518974,6564
1980-11-26,0.000000,1.599699,1.576846,1.576846,0.518974,21879
1980-11-28,0.000000,1.588273,1.565420,1.565420,0.515214,6564
1980-12-01,0.000000,1.588273,1.565420,1.565420,0.515214,98456
1980-12-02,0.000000,1.599699,1.576846,1.576846,0.518974,45946
1980-12-03,0.000000,1.611126,1.576846,1.576846,0.518974,32819
1980-12-04,0.000000,1.611126,1.588273,1.588273,0.522735,61262
1980-12-05,0.000000,1.611126,1.588273,1.588273,0.522735,8752
1980-12-08,0.000000,1.611126,1.588273,1.588273,0.522735,56886
1980-12-09,0.000000,1.611126,1.588273,1.588273,0.522735,32819
1980-12-10,0.000000,1.611126,1.588273,1.588273,0.522735,181597
1980-12-11,0.000000,1.611126,1.588273,1.588273,0.522735,94080
1980-12-12,0.000000,1.611126,1.588273,1.588273,0.522735,32819
1980-12-15,0.000000,1.611126,1.588273,1.588273,0.522735,24067
1980-12-16,0.000000,1.611126,1.588273,1.588273,0.522735,50322
1980-12-17,0.000000,1.611126,1.588273,1.588273,0.522735,13127
1980-12-18,0.000000,1.611126,1.588273,1.588273,0.522735,13127
1980-12-19,0.000000,1.611126,1.599699,1.599699,0.526496,39382
1980-12-22,0.000000,1.611126,1.588273,1.588273,0.522735,15315
1980-12-23,0.000000,1.622552,1.599699,1.599699,0.526496,126899
1980-12-24,0.000000,1.622552,1.599699,1.599699,0.526496,13127
1980-12-26,0.000000,1.633979,1.611126,1.611126,0.530257,24067
1980-12-29,0.000000,1.656831,1.622552,1.622552,0.534017,102832
1980-12-30,0.000000,1.713963,1.679684,1.679684,0.552821,113771
1980-12-31,0.000000,1.702537,1.679684,1.679684,0.552821,17503
1981-01-02,0.000000,1.725390,1.691111,1.691111,0.556582,56886
1981-01-05,0.000000,1.759669,1.748243,1.748243,0.575385,258174
1981-01-06,0.000000,1.759669,1.748243,1.748243,0.575385,102832
1981-01-07,0.000000,1.736816,1.713963,1.713963,0.564103,41570
1981-01-08,0.000000,1.713963,1.691111,1.691111,0.556582,28443
1981-01-09,0.000000,1.702537,1.668258,1.668258,0.549060,24067
1981-01-12,0.000000,1.736816,1.713963,1.713963,0.564103,78765
1981-01-13,0.000000,1.736816,1.713963,1.713963,0.564103,2188
1981-01-14,0.000000,1.736816,1.725390,1.725390,0.567863,354442
1981-01-15,0.000000,1.736816,1.725390,1.725390,0.567863,6564
1981-01-16,0.000000,1.736816,1.725390,1.725390,0.567863,13127
1981-01-19,0.000000,1.748243,1.725390,1.725390,0.567863,74389
1981-01-20,0.000000,1.679684,1.656831,1.656831,0.545299,140026
1981-01-21,0.000000,1.668258,1.656831,1.656831,0.545299,54698
