Date,Open,High,Low,Close,Adj Close,Volume
1982-10-25,4.113333,4.192741,4.018044,4.018044,0.872705,4697261
1982-10-26,4.081570,4.145096,4.002162,4.145096,0.900301,6330441
1982-10-27,4.192741,4.224504,4.145096,4.145096,0.900301,5282058
1982-10-28,4.129215,4.192741,4.065688,4.113333,0.893403,2223486
1982-10-29,3.970399,4.033925,3.906872,3.970399,0.877261,4389515
1982-11-01,4.097451,4.208623,3.986280,4.192741,0.926388,3404885
1982-11-02,4.208623,4.240386,4.176859,4.192741,0.926388,3528455
1982-11-03,4.240386,4.335675,4.145096,4.319794,0.954460,2976716
1982-11-04,4.303912,4.415083,4.192741,4.208623,0.929896,5263168
1982-11-05,4.256267,4.335675,4.176859,4.303912,0.950951,2916111
1982-11-08,4.208623,4.288031,4.113333,4.160978,0.919369,2835043
1982-11-09,4.113333,4.176859,4.049807,4.097451,0.905333,2731936
1982-11-10,4.065688,4.176859,3.938636,3.954517,0.873752,3568596
1982-11-11,3.890991,3.954517,3.827464,3.922754,0.866734,2892499
1982-11-12,3.827464,3.938636,3.700412,3.732175,0.824625,8374474
1982-11-15,3.890991,3.954517,3.827464,3.859228,0.852697,7690506
1982-11-16,3.906872,4.033925,3.779820,3.922754,0.866734,4112465
1982-11-17,4.081570,4.129215,4.018044,4.129215,0.912351,3896806
1982-11-18,4.129215,4.176859,4.081570,4.145096,0.915860,2767354
1982-11-19,4.081570,4.160978,4.002162,4.018044,0.887788,2789392
1982-11-22,3.970399,4.002162,3.938636,3.938636,0.870243,3241960
1982-11-23,3.890991,3.922754,3.843346,3.843346,0.849188,1695359
1982-11-24,3.890991,3.922754,3.843346,3.906872,0.863224,1087737
1982-11-26,3.922754,3.954517,3.890991,3.890991,0.859716,1389974
1982-11-29,3.875109,3.922754,3.827464,3.843346,0.849188,1246726
1982-11-30,4.160978,4.303912,4.018044,4.256267,0.940423,1541879
1982-12-01,4.033925,4.113333,3.954517,4.033925,0.891296,2583966
1982-12-02,3.986280,4.033925,3.922754,4.002162,0.884279,1453727
1982-12-03,3.954517,4.033925,3.859228,3.875109,0.856206,2448589
1982-12-06,3.827464,3.890991,3.748056,3.859228,0.852697,2859442
1982-12-07,3.954517,4.033925,3.859228,4.033925,0.891296,4345439
1982-12-08,4.065688,4.160978,3.970399,4.033925,0.891296,4316317
1982-12-09,4.129215,4.272149,3.970399,4.192741,0.926388,7994317
1982-12-10,4.351557,4.430965,4.272149,4.319794,0.954460,4131355
1982-12-13,4.256267,4.335675,4.160978,4.160978,0.919369,1570214
1982-12-14,4.097451,4.256267,3.938636,3.938636,0.870243,2805134
1982-12-15,4.018044,4.081570,3.938636,4.018044,0.887788,3384421
1982-12-16,4.081570,4.160978,4.002162,4.097451,0.905333,1822078
1982-12-17,4.145096,4.208623,4.081570,4.176859,0.922878,3364744
1982-12-20,4.145096,4.192741,4.081570,4.097451,0.905333,1306544
1982-12-21,4.033925,4.081570,3.986280,4.081570,0.901825,2763419
1982-12-22,4.049807,4.081570,4.002162,4.033925,0.891296,1519841
1982-12-23,4.018044,4.081570,3.954517,4.065688,0.898315,1891340
1982-12-27,4.081570,4.145096,4.018044,4.129215,0.912351,1981067
1982-12-28,4.113333,4.145096,4.065688,4.097451,0.905333,1278996
1982-12-29,4.097451,4.145096,4.033925,4.097451,0.905333,1303396
1982-12-30,4.145096,4.176859,4.097451,4.145096,0.915860,1663876
1982-12-31,4.160978,4.192741,4.129215,4.145096,0.915860,1355342
1983-01-03,4.192741,4.224504,4.145096,4.176859,0.922878,2958613
1983-01-04,4.272149,4.351557,4.176859,4.351557,0.961478,2694943
1983-01-05,4.415083,4.446847,4.367439,4.415083,0.975514,3042830
1983-01-06,4.494491,4.542136,4.430965,4.494491,0.993059,4730318
1983-01-07,4.399202,4.478610,4.303912,4.319794,0.954460,5102605
1983-01-10,4.430965,4.510373,4.335675,4.430965,0.979023,5250575
1983-01-11,4.430965,4.494491,4.351557,4.383320,0.968496,1947223
1983-01-12,4.430965,4.494491,4.367439,4.430965,0.979023,3145150
1983-01-13,4.319794,4.430965,4.192741,4.192741,0.926388,2745316
1983-01-14,4.272149,4.319794,4.208623,4.288031,0.947442,2224273
1983-01-17,4.288031,4.351557,4.224504,4.256267,0.940423,1501738
1983-01-18,4.272149,4.319794,4.208623,4.303912,0.950951,1929907
1983-01-19,4.351557,4.430965,4.256267,4.430965,0.979023,2114082
1983-01-20,4.621544,4.732715,4.494491,4.621544,1.021131,6979778
1983-01-21,4.494491,4.573899,4.415083,4.446847,0.982532,2647719
1983-01-24,4.160978,4.208623,4.113333,4.192741,0.926388,3106583
1983-01-25,4.081570,4.160978,4.002162,4.113333,0.908842,3172698
1983-01-26,4.113333,4.208623,4.018044,4.145096,0.915860,1936204
1983-01-27,4.240386,4.303912,4.160978,4.240386,0.936915,1446643
1983-01-28,4.224504,4.256267,4.176859,4.176859,0.922878,1249087
1983-01-31,4.065688,4.113333,4.018044,4.113333,0.924306,3015283
1983-02-01,3.970399,4.065688,3.875109,3.875109,0.870775,2184919
1983-02-02,3.875109,3.938636,3.811583,3.938636,0.885050,2131398
1983-02-03,4.033925,4.097451,3.954517,4.097451,0.920737,1440347
1983-02-04,4.097451,4.160978,4.018044,4.113333,0.924306,1469468
1983-02-07,4.097451,4.129215,4.065688,4.097451,0.920737,1163296
1983-02-08,4.033925,4.097451,3.970399,4.002162,0.899324,1637115
1983-02-09,3.938636,4.002162,3.859228,3.890991,0.874343,3023154
1983-02-10,4.049807,4.160978,3.922754,4.129215,0.927874,7459893
1983-02-11,4.097451,4.145096,4.033925,4.065688,0.913600,2448589
1983-02-14,4.097451,4.129215,4.065688,4.113333,0.924306,877588
1983-02-15,4.113333,4.160978,4.049807,4.081570,0.917169,2122740
1983-02-16,3.986280,4.081570,3.890991,3.906872,0.877912,2351779
1983-02-17,3.922754,3.954517,3.890991,3.922754,0.881481,2161307
1983-02-18,3.954517,4.002162,3.890991,3.938636,0.885050,1805549
