name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,12/31/2019
TotalAssets,"21,188,000,000","20,018,000,000","16,038,000,000","16,076,590,000","19,059,126,000","17,068,442,000","13,708,474,000","13,582,003,000","15,484,810,000","12,339,077,000","10,491,499,000","8,728,479,000","8,310,119,000"
	CurrentAssets,"20,052,000,000","18,869,000,000","14,861,000,000","14,866,524,000","17,825,649,000","15,761,447,000","12,386,380,000","12,220,917,000","14,095,982,000","10,926,641,000","8,916,386,000","7,212,208,000","6,561,443,000"
		CashCashEquivalentsAndShortTermInvestments,"10,340,000,000","10,594,000,000","9,622,000,000","9,627,586,000","9,895,479,000","9,322,289,000","8,322,476,000","7,920,703,000","7,427,939,000","6,569,307,000","6,391,257,000","4,495,211,000","3,074,273,000"
			CashAndCashEquivalents,"7,905,000,000","8,166,000,000","7,378,000,000","7,523,688,000","7,837,992,000","6,886,628,000","6,067,438,000","5,994,698,000","5,672,682,000","4,482,641,000","5,480,557,000","2,664,390,000","2,013,547,000"
				CashFinancial,,"5,637,000,000",,,,,,,,,,,
				CashEquivalents,,"2,529,000,000",,,,,,,,,,,
			OtherShortTermInvestments,"2,435,000,000","2,428,000,000","2,244,000,000","2,103,898,000","2,057,487,000","2,435,661,000","2,255,038,000","1,926,005,000","1,755,257,000","2,086,666,000","910,700,000","1,830,821,000","1,060,726,000"
		Receivables,"9,144,000,000","7,760,000,000","4,783,000,000","4,805,382,000","7,465,510,000","6,104,653,000","3,715,471,000","3,940,494,000","6,301,695,000","4,014,876,000","2,181,329,000","2,354,450,000","3,145,457,000"
			OtherReceivables,"9,144,000,000","7,760,000,000","4,783,000,000","4,805,382,000","7,465,510,000","6,104,653,000","3,715,471,000","3,940,494,000","6,301,695,000","4,014,876,000","2,181,329,000","2,354,450,000","3,145,457,000"
		PrepaidAssets,,,,"432,036,000","449,892,000","319,738,000","333,669,000","344,956,000","351,584,000","322,544,000","309,954,000","306,919,000","341,598,000"
		RestrictedCash,,,,"1,520,000","14,768,000","14,767,000","14,764,000","14,764,000","14,764,000","19,914,000","33,846,000","55,628,000","115,000"
		OtherCurrentAssets,"568,000,000","515,000,000","456,000,000","432,036,000","449,892,000","319,738,000","333,669,000","344,956,000","351,584,000","322,544,000","309,954,000","306,919,000","341,598,000"
