name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,09/30/1995
TotalAssets,"53,856,000,000","51,103,000,000","47,990,507,000","46,337,104,000","45,719,194,000","45,677,941,000","45,100,945,000","44,783,736,000","46,481,886,000","44,204,267,000","43,282,297,000","42,716,035,000","41,199,648,000","38,416,126,000","37,885,361,000","35,572,603,000","34,851,670,000","33,977,037,000","32,218,329,000","32,252,534,000","31,853,120,000","32,131,955,000","32,051,658,000","32,624,797,000","30,862,639,000","30,092,226,000","29,372,109,000","25,643,231,000","24,411,917,000","24,541,369,000","23,177,270,000","23,770,592,000","23,084,925,000","22,702,685,000","22,009,543,000","22,610,685,000","22,573,515,000","21,800,358,000","19,566,094,000","18,930,823,000","18,917,683,000","18,757,061,000","17,816,762,000","18,889,757,000","18,496,723,000","17,812,783,000","17,141,769,000","17,430,028,000","17,213,806,000","17,191,966,000","15,770,792,000","17,701,397,000","16,777,399,000","16,935,106,000","15,375,790,000","17,183,154,000","16,641,935,000","16,092,287,000","14,616,545,000","16,130,802,000","16,281,502,000","16,354,475,000","15,624,267,000","15,464,002,000","15,293,768,000","14,961,871,000","14,312,467,000","13,953,876,000","13,087,713,000","12,361,140,000","11,488,436,000","10,926,753,000","9,128,644,000","8,615,677,000","8,218,754,000","7,658,528,000","6,916,133,000","6,509,870,000","5,585,321,000","5,202,953,000","4,203,006,000","3,706,782,000","2,991,328,000","2,446,469,000","2,007,736,000","1,610,757,000","1,313,701,000","565,555,000","546,082,000","440,236,000","298,926,000","277,011,000","268,583,000","774,250,000","864,359,000","871,000,000","858,800,000","792,700,000","757,830,000","710,200,000","670,600,000","638,700,000","581,247,000","557,200,000","512,900,000","455,900,000","432,486,000","404,000,000","366,700,000","369,700,000","345,300,000"
	TotalInvestments,"31,036,000,000","29,875,000,000","28,270,024,000","26,934,404,000","26,841,233,000","27,257,146,000","27,783,990,000","27,610,075,000","30,167,609,000","29,156,460,000","28,553,005,000","27,785,951,000","26,158,268,000","24,176,150,000","24,038,003,000","23,237,687,000","22,842,235,000","22,247,805,000","21,507,397,000","21,638,288,000","21,444,271,000","21,590,891,000","21,568,933,000","21,774,581,000","20,283,821,000","19,955,987,000","19,015,370,000","17,373,394,000","16,471,877,000","16,068,521,000","15,499,110,000","16,234,599,000","15,423,100,000","15,785,747,000","15,455,544,000","15,775,768,000","15,446,135,000","14,276,467,000","13,666,561,000","13,424,284,000","13,499,795,000","13,387,107,000","12,775,241,000","12,913,712,000","12,488,997,000","12,212,177,000","12,001,049,000","11,992,647,000","11,944,081,000","11,881,244,000","11,617,905,000","12,156,850,000","11,452,404,000","11,322,567,000","11,087,575,000","11,215,994,000","10,747,523,000","10,340,765,000","9,840,970,000","10,873,193,000","10,948,429,000","9,451,848,000","9,340,757,000","9,578,447,000","9,152,922,000","8,920,139,000","8,725,622,000","8,458,730,000","7,684,492,000","7,349,859,000","6,856,253,000","5,639,110,000","6,300,516,000","5,937,783,000","5,680,274,000","5,234,212,000","4,545,168,000","4,257,935,000","3,627,772,000","3,281,672,000","2,538,173,000","2,206,436,000","1,862,645,000","1,534,238,000","1,232,500,000","998,430,000","945,324,000","218,134,000","210,173,000","191,045,000","187,184,000","175,702,000","160,518,000","389,955,000","492,483,000",,,,"438,027,000",,,,"401,378,000",,,,"362,627,000",,,,
		EquityInvestments,"911,000,000",,"859,969,000",,,,,,,"1,532,906,000","1,444,830,000","5,251,590,000","4,778,088,000","3,310,517,000","3,663,477,000","3,838,243,000","3,721,035,000","3,969,623,000","3,983,571,000","4,097,735,000","4,111,611,000","4,119,139,000","4,481,226,000","4,509,973,000","4,076,069,000","3,876,557,000","3,589,190,000","3,557,816,000","3,248,986,000","3,334,411,000","3,194,970,000","3,064,179,000","2,991,164,000","2,771,663,000","2,731,756,000","2,634,828,000","2,498,658,000","1,683,567,000","1,719,844,000","1,668,663,000","1,635,091,000","1,487,507,000","1,466,746,000","10,256,557,000","9,817,190,000","9,539,326,000","9,913,299,000","9,803,047,000","9,567,436,000","9,453,301,000","9,446,083,000","9,810,102,000","9,428,456,000","9,295,680,000","9,391,926,000","9,265,961,000","8,944,110,000","8,540,653,000","8,122,221,000","8,408,614,000","7,746,296,000","6,401,609,000","5,674,953,000","6,457,863,000","5,837,721,000","5,842,402,000","6,015,745,000","6,727,113,000","5,948,595,000","5,414,156,000","5,280,987,000","5,153,953,000","6,124,248,000","5,732,566,000","5,545,121,000","5,095,952,000","4,461,137,000","3,899,090,000","3,398,424,000","2,884,031,000","2,293,223,000","2,030,876,000","1,382,104,000","1,304,530,000","1,056,780,000","671,693,000","468,504,000","132,206,000","144,575,000","118,624,000","89,797,000","128,666,000","121,712,000","249,189,000","419,698,000",,,,"329,218,000",,,,"312,211,000",,,,"257,741,000",,,,
		SecurityAgreeToBeResell,"97,000,000","84,000,000","12,493,000","27,042,000","157,329,000","116,633,000","60,179,000","84,019,000","309,234,000","199,424,000","92,743,000","158,674,000","167,281,000","221,573,000","24,133,000","50,615,000","164,592,000","334,982,000","36,246,000","278,753,000","143,809,000","217,224,000","205,536,000","385,952,000","212,512,000","239,678,000","58,284,000","285,112,000","142,315,000","329,262,000","45,505,000","705,821,000","454,057,000","400,113,000","78,170,000","672,259,000","261,669,000","426,431,000","50,555,000","288,080,000","447,545,000","395,958,000","19,248,000","0","0","0",,"20,032,000","0",,,"0","0","0","206,999,000",,,,,,,"1,190,086,000","1,463,045,000","884,375,000","1,085,757,000","1,120,957,000","860,803,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		LongTermEquityInvestment,"5,046,000,000","4,911,000,000","4,738,914,000","4,457,158,000","4,463,944,000","4,469,798,000","4,213,266,000","3,853,118,000","3,270,934,000","2,996,110,000","2,047,889,000","1,883,702,000","1,727,302,000","1,676,055,000","1,660,396,000","1,575,832,000","1,581,972,000","1,563,779,000","1,493,791,000","1,524,242,000","1,428,582,000","1,394,548,000","1,041,322,000","962,574,000","948,856,000","861,607,000","811,273,000","797,542,000","685,766,000","628,832,000","592,973,000","589,277,000","472,926,000","503,091,000","439,440,000","404,565,000","385,398,000","358,291,000","349,195,000","333,626,000","317,506,000","327,712,000","414,389,000","339,587,000","331,601,000","347,273,000",,"383,543,000","399,968,000","105,495,000",,"536,765,000","511,942,000","508,530,000","494,724,000","477,854,000","470,821,000","394,595,000","399,368,000","483,090,000","451,879,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentsInOtherVenturesUnderEquityMethod,"5,046,000,000","4,911,000,000","4,738,914,000","4,457,158,000","4,463,944,000","4,469,798,000","4,213,266,000","3,853,118,000","3,270,934,000","2,996,110,000","2,047,889,000","1,883,702,000","1,727,302,000","1,676,055,000","1,660,396,000","1,575,832,000","1,581,972,000","1,563,779,000","1,493,791,000","1,524,242,000","1,428,582,000","1,394,548,000","1,041,322,000","962,574,000","948,856,000","861,607,000","811,273,000","797,542,000","685,766,000","628,832,000","592,973,000","589,277,000","472,926,000","503,091,000","439,440,000","404,565,000","385,398,000","358,291,000","349,195,000","333,626,000","317,506,000","327,712,000","414,389,000","339,587,000","331,601,000","347,273,000",,"383,543,000","399,968,000","105,495,000",,"536,765,000","511,942,000","508,530,000","494,724,000","477,854,000","470,821,000","394,595,000","399,368,000","483,090,000","451,879,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherShortTermInvestments,"23,136,000,000","23,104,000,000","21,014,451,000","20,871,453,000","20,585,592,000","20,984,049,000","21,536,995,000","21,628,968,000","22,015,944,000","19,992,666,000","20,642,747,000","20,491,985,000","19,485,597,000","18,968,005,000","18,689,997,000","17,772,997,000","17,374,636,000","16,379,421,000","15,993,789,000","15,737,558,000","15,760,269,000","15,859,980,000","15,840,849,000","15,916,082,000","15,046,384,000","14,978,145,000","14,556,623,000","12,732,924,000","12,394,810,000","11,776,016,000","11,665,662,000","11,875,322,000","11,504,953,000","12,110,880,000","12,206,178,000","12,064,116,000","12,300,410,000","11,808,178,000","11,546,967,000","11,133,915,000","11,099,653,000","11,175,930,000","10,874,858,000","1,323,015,000","1,469,486,000","1,470,241,000","904,219,000","799,662,000","704,495,000","1,140,093,000","985,501,000","980,691,000","763,939,000","847,752,000","571,489,000","1,317,653,000","1,217,332,000","1,300,529,000","1,209,780,000","933,797,000","1,563,794,000","1,860,153,000","2,202,759,000","2,236,209,000","2,229,444,000","1,956,780,000","1,849,074,000","1,731,617,000","1,735,897,000","1,935,703,000","1,575,266,000","485,157,000","176,268,000","205,217,000","135,153,000","138,260,000","84,031,000","358,845,000","229,348,000","397,641,000","244,950,000","175,560,000","480,541,000","229,708,000","175,720,000","326,737,000","476,820,000","85,928,000","65,598,000","72,421,000","97,387,000","47,036,000","38,806,000","140,766,000","72,785,000",,,,"108,809,000",,,,"89,167,000",,,,"104,886,000",,,,
			ShortTermInvestmentsAvailableForSale,"23,136,000,000","23,104,000,000","21,014,451,000","20,871,453,000","20,585,592,000","20,984,049,000","21,536,995,000","21,628,968,000","22,015,944,000","19,992,666,000","20,642,747,000","20,491,985,000","19,485,597,000","18,968,005,000","18,689,997,000","17,772,997,000","17,374,636,000","16,379,421,000","15,993,789,000","15,737,558,000","15,760,269,000","15,859,980,000","15,840,849,000","15,916,082,000","15,046,384,000","14,978,145,000","14,556,623,000","12,732,924,000","12,394,810,000","11,776,016,000","11,665,662,000","11,875,322,000","11,504,953,000","12,110,880,000","12,206,178,000","12,064,116,000","12,300,410,000","11,808,178,000","11,546,967,000","11,133,915,000","11,099,653,000","11,175,930,000","10,874,858,000","1,323,015,000","1,469,486,000","1,470,241,000","904,219,000","799,662,000","704,495,000","1,140,093,000","985,501,000","980,691,000","763,939,000","847,752,000","571,489,000","1,317,653,000","1,217,332,000","1,300,529,000","1,209,780,000",,"1,563,794,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherInvestedAssets,"1,846,000,000","1,776,000,000","1,644,197,000","1,578,751,000","1,634,368,000","1,686,666,000","1,973,550,000","2,043,970,000","4,571,497,000","4,435,354,000","4,324,796,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"994,553,000","870,720,000","855,337,000","1,183,531,000","986,363,000","1,272,182,000","1,182,355,000","1,186,321,000","829,292,000","748,067,000","670,605,000","422,437,000","154,526,000","115,260,000","104,988,000","109,601,000","1,981,489,000","1,186,460,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	CashAndCashEquivalents,"904,000,000","803,000,000","855,118,000","813,583,000","813,548,000","812,917,000","858,668,000","1,137,721,000","1,234,059,000","941,951,000","906,448,000","976,398,000","854,259,000","882,284,000","726,230,000","880,099,000","605,316,000","633,100,000","646,556,000","651,037,000","526,628,000","680,891,000","606,199,000","862,361,000","740,320,000","703,754,000","842,942,000","578,816,000","516,591,000","557,961,000","553,326,000","649,779,000","525,074,000","471,012,000","485,702,000","663,726,000","926,443,000","1,569,605,000","434,057,000","436,141,000","375,119,000","356,767,000","371,041,000","422,440,000","355,392,000","422,806,000","351,699,000","369,895,000","411,001,000","406,877,000","362,740,000","365,997,000","341,469,000","338,708,000","334,571,000","385,149,000","336,693,000","244,037,000","251,739,000","239,097,000","246,544,000","258,680,000","239,915,000","250,804,000","245,143,000","225,249,000","317,017,000","188,139,000","366,373,000","247,906,000","222,477,000","161,759,000","162,017,000","86,723,000","113,052,000","92,763,000","188,121,000","78,558,000","56,899,000","55,888,000","62,013,000","88,882,000","91,717,000","57,764,000","37,641,000","18,977,000","9,970,000","14,671,000","12,123,000","20,290,000","11,481,000","15,756,000","17,374,000","11,447,000","9,457,000",,,,"12,037,000",,,,"9,014,000",,,,"1,466,000",,,,
