name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,09/30/1995
TotalRevenue,"11,693,112,000","3,088,000,000","3,102,000,000","2,950,310,000","2,495,619,000","2,244,556,000","1,909,372,000","2,249,017,000","2,031,884,000","2,430,035,000","2,214,171,000","2,224,947,000","2,141,550,000","2,317,743,000","1,610,708,000","1,664,109,000","1,698,654,000","1,741,652,000","1,679,504,000","1,383,481,000","1,398,640,000","1,456,043,000","1,236,165,000","1,361,899,000","1,420,436,000","1,335,288,000","1,251,684,000","1,009,982,000","1,178,218,000","1,207,077,000","1,056,455,000","901,007,000","949,388,000","983,902,000","1,142,956,000","1,048,597,000","1,043,596,000","1,024,126,000","936,415,000","907,958,000","814,921,000","854,660,000","900,582,000","880,542,000","887,840,000","874,157,000","794,320,000","747,674,000","825,033,000","777,252,000","775,072,000","825,513,000","797,352,000","776,315,000","844,887,000","926,210,000","976,225,000","848,744,000","750,443,000","534,906,000","746,799,000","835,915,000","849,193,000","858,198,000","867,163,000","867,310,000","859,774,000","902,761,000","850,349,000","859,219,000","840,349,000","818,297,000","798,993,000","796,682,000","753,557,000","808,295,000","795,611,000","753,808,000","746,336,000","722,898,000","646,899,000","538,038,000","435,903,000","305,661,000","200,808,000","135,807,000","79,601,000","18,110,000","18,608,000","23,191,000","17,030,000","-9,772,000","4,087,000","35,449,000","92,752,000","75,268,000","92,100,000","115,400,000","66,100,000","89,633,000","55,200,000","55,900,000","46,400,000","41,472,000","32,300,000","22,800,000","24,500,000","21,971,000","15,800,000","7,400,000","5,000,000","500,000"
	TotalPremiumsEarned,"11,079,669,000","2,965,000,000","2,883,000,000","2,760,919,000","2,470,750,000","2,325,775,000","2,120,633,000","2,083,630,000","1,929,337,000","2,120,909,000","1,948,422,000","1,811,045,000","1,771,092,000","1,665,354,000","1,744,444,000","1,515,882,000","1,438,023,000","1,463,727,000","1,368,866,000","1,369,435,000","1,290,878,000","1,336,763,000","1,234,899,000","1,224,755,000","1,261,886,000","1,240,874,000","1,117,017,000","968,855,000","958,403,000","1,005,985,000","951,579,000","943,520,000","936,683,000","943,438,000","910,264,000","923,165,000","903,651,000","907,152,000","859,780,000","839,366,000","795,000,000","758,816,000","752,770,000","779,481,000","748,691,000","726,656,000","680,312,000","673,192,000","682,049,000","642,879,000","633,695,000","632,146,000","627,409,000","623,011,000","669,917,000","708,538,000","734,385,000","699,258,000","700,564,000","698,514,000","733,031,000","705,675,000","708,234,000","712,216,000","735,529,000","751,412,000","745,493,000","765,041,000","757,573,000","797,450,000","761,601,000","792,981,000","747,775,000","739,892,000","697,068,000","749,249,000","735,408,000","723,399,000","707,826,000","690,336,000","608,956,000","508,856,000","404,451,000","290,011,000","183,979,000","113,459,000","67,527,000","11,921,000","11,799,000","5,565,000","1,633,000","0","0","29,368,000","58,162,000","80,968,000","80,500,000","87,000,000","62,900,000","63,594,000","52,700,000","48,500,000","41,500,000","41,772,000","24,700,000","19,900,000","21,100,000","17,561,000","12,600,000","3,800,000","1,800,000",
		NetPremiumsWritten,"12,610,189,000","3,428,000,000","3,424,000,000","3,034,636,000","2,723,774,000",,"2,634,140,000","2,034,427,000","2,075,929,000","2,399,524,000","2,508,457,000","1,758,015,000","1,874,144,000","1,668,311,000","2,137,246,000","1,455,453,000","1,613,457,000","1,444,898,000","1,525,259,000","1,301,754,000","1,333,553,000","1,298,896,000","1,412,544,000","1,111,015,000","1,325,403,000","1,248,695,000","1,276,260,000","872,315,000","1,014,278,000","1,023,563,000","1,121,235,000","834,984,000","971,972,000","943,580,000","1,066,995,000","895,481,000","959,539,000","971,928,000","1,064,990,000","748,921,000","839,135,000","810,535,000","952,776,000","613,142,000","755,249,000","820,233,000","680,312,000","511,124,000","691,381,000","706,543,000","764,278,000","482,911,000","636,117,000","624,258,000","767,754,000","519,087,000","727,308,000","693,854,000","822,863,000","615,574,000","733,031,000","686,118,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GrossPremiumsWritten,"17,280,447,000","4,845,000,000","4,780,000,000","3,795,262,000","3,860,683,000",,"3,800,775,000","2,861,575,000","3,207,415,000","3,286,291,000","3,397,206,000","2,256,514,000","2,681,032,000","2,317,692,000","2,832,830,000","1,942,151,000","2,181,121,000","1,937,809,000","2,077,879,000","1,694,918,000","1,731,328,000","1,696,544,000","1,838,214,000","1,452,530,000","1,648,246,000","1,609,659,000","1,657,990,000","1,155,467,000","1,278,765,000","1,329,936,000","1,437,966,000","1,066,740,000","1,189,192,000","1,199,209,000","1,342,022,000","1,113,812,000","1,159,907,000","1,271,761,000","1,295,136,000","955,200,000","1,036,986,000","1,040,739,000","1,163,698,000",,"936,764,000","1,051,813,000","1,066,656,000",,"860,289,000","911,939,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CededPremiums,"-4,670,258,000","-1,417,000,000","-1,356,000,000","-760,626,000","-1,136,909,000",,"-1,166,635,000","-827,148,000","-1,131,486,000","-886,767,000","-888,749,000","-498,499,000","-806,888,000","-649,381,000","-695,584,000","-486,698,000","-567,664,000","-492,911,000","-552,620,000","-393,164,000","-397,775,000","-397,648,000","-425,670,000","-341,515,000","-322,843,000","-360,964,000","-381,730,000","-283,152,000","-264,487,000","-306,373,000","-316,731,000","-231,756,000","-217,220,000","-255,629,000","-275,027,000","-218,331,000","-200,368,000","-299,833,000","-230,146,000","-206,279,000","-197,851,000","-230,204,000","-210,922,000",,"-181,515,000","-231,580,000","-386,344,000",,"-168,908,000","-205,396,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		IncreaseDecreaseInNetUnearnedPremiumReserves,"-1,531,112,000","-463,000,000","-541,000,000","-273,717,000","-253,024,000",,"-513,507,000","49,203,000","-146,592,000","-278,615,000","-560,035,000","53,030,000","-103,052,000","-2,957,000","-392,802,000","60,429,000","-175,434,000","18,829,000","-156,393,000","67,681,000","-42,675,000","37,867,000","-177,645,000","113,740,000","-63,517,000","-7,821,000","-159,243,000","96,540,000","-55,875,000","-17,578,000","-169,656,000","108,536,000","-35,289,000","-142,000","-156,731,000","27,684,000","-55,888,000","-64,776,000","-205,210,000","90,445,000","-44,135,000","-51,719,000","-200,006,000","166,339,000","-6,558,000","-93,577,000","-183,299,000","162,068,000","-9,332,000","-63,664,000","-130,583,000","149,235,000","-8,708,000","-1,247,000","-97,837,000","189,451,000","7,077,000","5,404,000","-122,299,000","82,940,000","40,339,000","19,557,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetInvestmentIncome,"123,903,000","7,000,000","-7,000,000","3,986,000","-8,493,000","106,392,000","80,436,000","90,454,000","88,195,000","111,613,000","98,856,000","114,458,000","128,512,000","131,485,000","145,153,000","153,619,000","160,325,000","154,989,000","155,640,000","155,512,000","143,532,000","135,198,000","126,562,000","123,692,000","114,581,000","109,394,000","116,067,000","77,458,000","89,751,000","82,995,000","86,096,000","88,564,000","80,365,000","85,850,000","73,195,000","78,659,000","71,512,000","58,241,000","64,023,000","67,007,000","65,355,000","67,645,000","63,426,000","67,734,000","97,551,000","81,395,000","99,123,000","80,467,000","52,204,000","92,644,000","88,307,000","90,601,000","90,768,000","90,189,000","122,022,000","125,942,000","169,332,000","176,375,000","86,301,000","-62,402,000","117,022,000","136,703,000","122,193,000","119,901,000","113,181,000","117,299,000","112,689,000","107,754,000","101,622,000","90,503,000","80,326,000","70,056,000","59,270,000","53,660,000","49,916,000","45,569,000","40,752,000","32,811,000","24,573,000","22,240,000","20,542,000","19,772,000","18,438,000","15,602,000","14,869,000","11,611,000","9,167,000","3,373,000","2,509,000","3,078,000","3,160,000","3,017,000","3,359,000","4,257,000","5,290,000",,,,,,,,,,,,,,,,,
	NetRealizedGainLossOnInvestments,"1,252,086,000","112,000,000","223,000,000","251,148,000","-46,540,000","-266,579,000","-292,414,000","59,517,000","-25,040,000","202,907,000","142,461,000","353,333,000","280,499,000","556,588,000","-366,960,000","41,474,000","62,518,000","120,806,000","141,565,000","-166,030,000","-51,705,000","-76,611,000","-110,998,000","26,978,000","66,275,000","21,735,000","34,153,000","-93,061,000","125,105,000","68,218,000","37,324,000","-143,767,000","-89,698,000","-35,725,000","83,348,000","10,561,000","18,515,000","54,144,000","19,697,000","9,048,000","-6,022,000","12,652,000","58,340,000","54,849,000","58,012,000","32,916,000","43,098,000","-2,119,000","27,460,000","45,210,000","47,688,000","272,511,000","7,633,000","57,704,000","46,176,000","23,768,000","70,638,000","-11,793,000","-5,164,000","-102,873,000","-105,534,000","-12,669,000","35,975,000","18,732,000","14,147,000","-3,757,000","-981,000","27,263,000","-11,115,000","-32,202,000","-3,383,000","-45,731,000","-10,291,000","2,105,000","461,000","10,154,000","13,503,000","-2,321,000","8,901,000","3,863,000","11,366,000","3,889,000","6,199,000","-1,014,000","-836,000","2,476,000","-1,465,000","-37,000","-190,000","9,605,000","9,004,000","-12,789,000","728,000","-367,000","29,300,000",,,,,,,,,,,,,,,,,
	InterestIncome,,,,"5,877,000","4,261,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetForeignExchangeGainLoss,"-13,715,000","-5,000,000","-18,000,000","-81,224,000","90,509,000","87,775,000","3,845,000","3,163,000","36,078,000","-17,775,000","20,063,000","-72,209,000","-44,885,000","-39,211,000","72,671,000","-52,306,000","33,124,000","-4,952,000","3,525,000","24,579,000","10,838,000","53,706,000","-19,721,000","-28,807,000","-28,028,000","-39,543,000","-19,404,000","38,176,000","-2,621,000","24,662,000","-23,566,000","4,520,000","14,680,000","-19,583,000","66,501,000","36,570,000","56,031,000","-2,294,000","-6,563,000","-9,848,000","-40,562,000","13,811,000","24,264,000","-22,997,000","-16,959,000","31,689,000","-20,688,000",,"60,040,000","-18,375,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
