name,ttm,08/31/2023,05/31/2023,02/28/2023,11/30/2022,08/31/2022,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001
OperatingCashFlow,"9,524,268,000","3,409,388,000","3,289,371,000","2,330,111,000","495,398,000","3,790,110,000","3,064,655,000","2,155,493,000","530,871,000","2,436,432,000","2,401,150,000","2,534,721,000","1,602,845,000","3,156,134,000","2,741,466,000","1,530,641,000","786,911,000","2,116,253,000","2,123,542,000","1,359,650,000","1,027,508,000","2,109,255,000","1,987,538,000","924,057,000","1,005,838,000","1,941,882,000","1,792,572,000","154,703,000","1,083,882,000","2,055,439,000","1,591,025,000","317,346,000","611,305,000","1,504,586,000","1,413,364,000","301,287,000","872,900,000","1,649,212,000","1,363,260,000","292,380,000","181,233,000","1,275,510,000","1,502,209,000","634,224,000","-108,815,000","1,708,191,000","1,215,590,000","857,813,000","475,258,000","1,381,276,000","1,352,960,000","601,104,000","106,399,000","1,251,605,000","960,923,000","659,981,000","219,111,000","1,046,814,000","1,014,619,000","630,637,000","468,132,000","1,030,680,000","1,080,045,000","723,994,000","-31,471,000","777,041,000","977,518,000","710,178,000","165,828,000","810,364,000","805,570,000","683,674,000","368,381,000","567,158,000","593,916,000","786,890,000","-60,883,000","393,315,000","376,150,000","860,597,000","125,887,000","434,229,000","467,007,000","413,565,000","198,307,000","516,834,000","290,672,000","453,266,000","-197,390,000"
	CashFlowFromContinuingOperatingActivities,"9,524,268,000","3,409,388,000","3,289,371,000","2,330,111,000","495,398,000","3,790,110,000","3,064,655,000","2,155,493,000","530,871,000","2,436,432,000","2,401,150,000","2,534,721,000","1,602,845,000","3,156,134,000","2,741,466,000","1,530,641,000","786,911,000","2,116,253,000","2,123,542,000","1,359,650,000","1,027,508,000","2,109,255,000","1,987,538,000","924,057,000","1,005,838,000","1,941,882,000","1,792,572,000","154,703,000","1,083,882,000","2,055,439,000","1,591,025,000","317,346,000","611,305,000","1,504,586,000","1,413,364,000","301,287,000","872,900,000","1,649,212,000","1,363,260,000","292,380,000","181,233,000","1,275,510,000","1,502,209,000","634,224,000","-108,815,000","1,708,191,000","1,215,590,000","857,813,000","475,258,000","1,381,276,000","1,352,960,000","601,104,000","106,399,000","1,251,605,000","960,923,000","659,981,000","219,111,000","1,046,814,000","1,014,619,000","630,637,000","468,132,000","1,030,680,000","1,080,045,000","723,994,000","-31,471,000","777,041,000","977,518,000","710,178,000","165,828,000","810,364,000","805,570,000","683,674,000","368,381,000","567,158,000","593,916,000","786,890,000","-60,883,000","393,315,000","376,150,000","860,597,000","125,887,000","434,229,000","467,007,000","413,565,000","198,307,000","516,834,000","290,672,000","453,266,000","-197,390,000"
		NetIncomeFromContinuingOperations,"7,003,530,000","1,408,212,000","2,048,335,000","1,550,683,000","1,996,300,000","1,692,385,000","1,819,316,000","1,657,529,000","1,819,730,000","1,437,423,000","1,569,572,000","1,461,493,000","1,522,057,000","1,305,424,000","1,252,639,000","1,252,082,000","1,375,168,000","1,145,548,000","1,268,649,000","1,140,720,000","1,291,324,000","1,048,371,000","1,058,141,000","919,540,000","1,188,542,000","983,174,000","704,801,000","887,208,000","1,059,749,000","1,130,781,000","950,283,000","1,399,858,000","868,681,000","788,125,000","850,230,000","743,192,000","892,242,000","760,168,000","881,813,000","722,331,000","811,646,000","727,327,000","874,063,000","1,187,098,000","766,031,000","636,155,000","762,831,000","714,190,000","711,757,000","682,865,000","699,069,000","565,750,000","605,556,000","510,263,000","563,519,000","461,879,000","444,817,000","254,692,000","443,969,000","411,436,000","479,866,000","434,820,000","469,089,000","406,557,000","381,285,000","316,794,000","345,400,000","296,722,000","284,232,000","346,445,000","342,264,000","69,680,000","214,940,000","229,135,000","305,280,000","209,786,000","196,273,000","182,990,000","210,409,000","123,089,000","174,340,000","120,505,000","132,141,000","118,721,000","126,871,000","38,147,000","114,461,000","10,611,000","81,676,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,855,000","452,666,000","12,349,000",,"-295,246,000","0",,,,,,,,,,,,,,,,,,,,,,"348,000","60,000","3,276,000","-73,779,000","79,981,000","307,285,000","41,023,000","132,436,000","116,712,000","117,871,000","142,929,000","123,814,000","110,165,000","88,382,000","126,924,000","126,805,000","123,029,000","161,794,000","-28,387,000","102,204,000","175,063,000","165,504,000","136,373,000","108,799,000","140,536,000","-383,843,000","182,890,000","115,739,000","90,413,000","138,409,000","193,751,000","109,184,000","153,165,000","109,791,000","157,977,000","236,228,000","230,360,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,"0",,,,"-3,855,000","-8,242,000","12,349,000",,"-295,246,000","0",,,,,,,,,,,,,,,,,,,,,,,,"3,276,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"2,281,085,000","641,281,000","601,099,000","532,476,000","506,229,000","534,905,000","524,186,000","528,260,000","500,865,000","486,281,000","478,986,000","457,775,000","468,200,000","486,890,000","444,660,000","442,116,000","399,458,000","240,168,000","221,309,000","219,598,000","211,685,000","235,090,000","238,389,000","220,664,000","232,633,000","232,069,000","194,480,000","187,807,000","187,433,000","193,415,000","181,010,000","172,745,000","181,882,000","173,763,000","153,405,000","152,236,000","166,519,000","164,079,000","162,197,000","149,140,000","145,327,000","153,707,000","142,131,000","157,266,000","139,924,000","178,909,000","135,001,000","147,010,000","132,625,000","141,340,000","130,773,000","121,084,000","120,059,000","124,958,000","116,314,000","118,518,000","114,898,000","127,582,000","116,377,000","135,069,000","119,563,000","136,957,000","118,251,000","111,045,000","125,168,000","115,571,000","79,482,000","104,465,000","144,981,000","91,577,000","75,115,000","74,647,000","79,271,000","75,084,000","85,083,000","68,971,000","52,935,000","59,122,000","55,139,000","80,110,000","62,709,000","57,747,000","56,423,000","62,182,000","60,853,000","69,624,000","74,146,000","72,522,000","69,069,000"
			DepreciationAndAmortization,"2,281,085,000","641,281,000","601,099,000","532,476,000","506,229,000","534,905,000","524,186,000","528,260,000","500,865,000","486,281,000","478,986,000","457,775,000","468,200,000","486,890,000","444,660,000","442,116,000","399,458,000","240,168,000","221,309,000","219,598,000","211,685,000","235,090,000","238,389,000","220,664,000","232,633,000","232,069,000","194,480,000","187,807,000","187,433,000","193,415,000","181,010,000","172,745,000","181,882,000","173,763,000","153,405,000","152,236,000","166,519,000","164,079,000","162,197,000","149,140,000","145,327,000","153,707,000","142,131,000","157,266,000","139,924,000","178,909,000","135,001,000","147,010,000","132,625,000","141,340,000","130,773,000","121,084,000","120,059,000","124,958,000","116,314,000","118,518,000","114,898,000","127,582,000","116,377,000","135,069,000","119,563,000","136,957,000","118,251,000","111,045,000","125,168,000","115,571,000","79,482,000","104,465,000","144,981,000","91,577,000","75,115,000","74,647,000","79,271,000","75,084,000","85,083,000","68,971,000","52,935,000","59,122,000","55,139,000","80,110,000","62,709,000","57,747,000","56,423,000","62,182,000","60,853,000","69,624,000","74,146,000","72,522,000","69,069,000"
				Depreciation,,,"407,805,000","327,104,000","506,229,000","534,905,000","524,186,000","528,260,000","500,865,000","486,281,000","478,986,000","457,775,000","468,200,000","486,890,000","444,660,000","442,116,000","399,458,000","240,168,000","221,309,000","219,598,000","211,685,000","235,090,000","238,389,000","220,664,000","232,633,000","232,069,000","194,480,000","187,807,000","187,433,000","193,415,000","181,010,000","172,745,000","181,882,000","173,763,000","153,405,000","152,236,000","166,519,000","164,079,000","162,197,000","149,140,000","145,327,000","153,707,000","142,131,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,"193,294,000","205,372,000","179,509,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
