name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"130,626,000,000","134,966,000,000","131,738,000,000","128,100,000,000","135,629,000,000","147,046,000,000","157,542,000,000","160,597,000,000","161,492,000,000","158,157,000,000","165,086,000,000","160,955,000,000","157,087,000,000","151,616,000,000","152,768,000,000","154,137,000,000","151,400,000,000","145,679,000,000","140,406,000,000","137,941,000,000","141,986,000,000","147,356,000,000","137,217,000,000","136,083,000,000","135,394,000,000","133,650,000,000","129,819,000,000","144,101,000,000","141,287,000,000","127,766,000,000","118,296,000,000","117,455,000,000","115,581,000,000","121,401,000,000","119,767,000,000","127,253,000,000","127,871,000,000","123,292,000,000","121,307,000,000","119,918,000,000","116,313,000,000","120,538,000,000","131,094,000,000","137,840,000,000","122,209,000,000","115,552,000,000","117,102,000,000","114,720,000,000","106,232,000,000","101,145,000,000","101,039,000,000","97,843,000,000","91,239,000,000","85,178,000,000","84,106,000,000","82,616,000,000","76,041,000,000","71,815,000,000","79,331,000,000","70,457,000,000","70,552,000,000","72,269,000,000","65,805,000,000","63,576,000,000","60,114,000,000","61,192,000,000","59,805,000,000","58,353,000,000","57,432,000,000","56,136,000,000","56,361,000,000","57,453,000,000","57,995,000,000","57,041,000,000","59,326,000,000","52,913,000,000","52,130,000,000","53,289,000,000","50,964,000,000","49,236,000,000","47,830,000,000","45,341,000,000","45,058,000,000","42,893,000,000","41,941,000,000","37,379,000,000","37,860,000,000","40,050,000,000","38,793,000,000","37,641,000,000","37,232,000,000","37,904,000,000","38,794,000,000","37,391,000,000","37,041,000,000","35,225,000,000","31,602,000,000","31,349,000,000","31,183,000,000","28,366,400,000","26,306,700,000","27,528,200,000","29,454,005,000","29,808,600,000","30,190,100,000","27,107,800,000","25,022,812,000","25,590,000,000","24,670,900,000","25,376,000,000","25,337,986,000","24,940,800,000","27,627,200,000","24,506,700,000","20,287,079,000","20,528,500,000","19,402,700,000","18,015,400,000","15,443,000,000","15,267,300,000","14,342,900,000","13,248,300,000","11,901,400,000","11,914,200,000","10,871,000,000","10,097,700,000","10,144,500,000","9,123,500,000","8,445,300,000","8,075,900,000","8,034,800,000","7,527,400,000","6,717,600,000","6,302,700,000","6,515,400,000","6,397,800,000","6,002,200,000","6,166,800,000","6,073,800,000","5,030,500,000","3,302,000,000","2,271,400,000"
	TotalInvestments,"111,743,000,000","120,500,000,000","113,454,000,000","114,528,000,000","121,415,000,000","132,599,000,000","142,978,000,000","146,004,000,000","146,709,000,000","143,289,000,000","149,753,000,000","146,129,000,000","142,233,000,000","136,967,000,000","138,091,000,000","135,294,000,000","136,597,000,000","131,438,000,000","121,906,000,000","124,214,000,000","127,921,000,000","132,671,000,000","123,659,000,000","122,489,000,000","121,896,000,000","120,503,000,000","111,502,000,000","128,935,000,000","125,983,000,000","114,320,000,000","101,547,000,000","104,900,000,000","103,280,000,000","108,711,000,000","107,341,000,000","114,691,000,000","114,734,000,000","110,493,000,000","108,459,000,000","106,712,000,000","103,936,000,000","107,400,000,000","118,219,000,000","124,215,000,000","109,255,000,000","103,104,000,000","101,213,000,000","100,808,000,000","92,984,000,000","88,441,000,000","86,109,000,000","85,585,000,000","79,532,000,000","73,998,000,000","70,869,000,000","71,625,000,000","65,572,000,000","60,533,000,000","67,609,000,000","60,727,000,000","59,505,000,000","53,036,000,000","55,493,000,000","45,682,000,000","42,885,000,000","43,953,000,000","50,769,000,000","40,895,000,000","40,481,000,000","39,269,000,000","47,692,000,000","39,561,000,000","40,406,000,000","39,957,000,000","48,142,000,000","36,580,000,000","36,229,000,000","37,121,000,000","43,347,000,000","34,130,000,000","32,634,000,000","31,502,000,000","37,768,000,000","29,644,000,000","28,937,000,000","25,949,000,000","26,062,000,000","27,784,000,000","27,074,000,000","25,787,000,000","26,053,000,000","26,240,000,000","26,760,000,000","25,928,000,000","25,463,000,000",,,"9,000,000","21,803,000,000","7,900,000","7,900,000","15,200,000","22,644,188,000","15,800,000","16,500,000","16,800,000","20,743,536,000","18,300,000","19,200,000","20,000,000","20,037,482,000","21,500,000","23,500,000","24,100,000","440,393,000","26,000,000","26,600,000","27,800,000","58,000,000","58,500,000","60,400,000","70,900,000","85,300,000","88,500,000","86,100,000","81,700,000","85,400,000","83,400,000","78,100,000","78,700,000","80,000,000","77,700,000",,,,"32,900,000",,,,,,
		FixedMaturityInvestments,"17,436,000,000","18,936,000,000","19,056,000,000","17,466,000,000","18,507,000,000","20,672,000,000","22,000,000,000","22,613,000,000","22,891,000,000","22,868,000,000","24,464,000,000","23,937,000,000","23,509,000,000","23,278,000,000","30,085,000,000","30,733,000,000","31,007,000,000","30,163,000,000","30,318,000,000","30,421,000,000","31,259,000,000","33,377,000,000","31,430,000,000","31,998,000,000","32,613,000,000","34,401,000,000","33,350,000,000","38,772,000,000","38,346,000,000","35,515,000,000","33,459,000,000","33,729,000,000","33,293,000,000","34,262,000,000","34,242,000,000","37,743,000,000","41,134,000,000","40,858,000,000","44,415,000,000","43,607,000,000","42,718,000,000","45,204,000,000","54,426,000,000","60,054,000,000","52,413,000,000","48,834,000,000","47,009,000,000","41,351,000,000","31,908,000,000","28,505,000,000","30,084,000,000","28,562,000,000","26,854,000,000","26,399,000,000","26,687,000,000","26,328,000,000","23,559,000,000","22,876,000,000","24,436,000,000","20,596,000,000","23,968,000,000",,"20,804,000,000",,,,"17,473,000,000",,,,"15,039,000,000",,,,"14,839,000,000",,,,"13,049,000,000",,,,"12,094,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		EquityInvestments,"965,000,000","1,087,000,000","1,091,000,000","1,064,000,000","1,149,000,000","1,415,000,000","1,603,000,000","1,461,000,000","1,475,000,000","1,174,000,000","1,283,000,000","775,000,000","749,000,000","660,000,000","802,000,000","830,000,000","1,087,000,000","1,041,000,000","987,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"60,991,000,000","54,536,000,000","51,899,000,000","54,036,000,000","57,429,000,000","54,506,000,000","57,710,000,000","55,890,000,000","54,464,000,000","50,382,000,000","45,882,000,000","44,068,000,000","43,393,000,000","40,234,000,000","37,573,000,000","43,086,000,000","39,541,000,000","35,468,000,000","53,036,000,000","34,628,000,000","45,682,000,000","42,885,000,000","43,953,000,000","33,238,000,000","40,840,000,000","40,420,000,000","39,208,000,000","32,596,000,000","39,427,000,000","40,358,000,000","39,910,000,000","33,262,000,000","36,580,000,000","36,229,000,000","37,121,000,000","29,917,000,000","34,130,000,000","32,634,000,000","31,502,000,000","25,647,000,000","29,644,000,000","28,937,000,000","25,949,000,000","26,062,000,000","27,784,000,000","27,074,000,000","25,787,000,000","26,053,000,000","26,240,000,000","26,760,000,000","25,928,000,000","25,463,000,000",,,,"21,784,000,000",,,,"22,584,144,000",,,,"20,464,054,000",,,,"19,783,068,000",,,,"84,373,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetLoan,"13,346,000,000","13,328,000,000","13,496,000,000","13,459,000,000","13,053,000,000","12,312,000,000","11,786,000,000","11,388,000,000","11,332,000,000","10,847,000,000","10,554,000,000","10,822,000,000","10,717,000,000","10,750,000,000","9,569,000,000","8,284,000,000","7,622,000,000","7,180,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,000,000","9,000,000","7,900,000","7,900,000","15,200,000","16,700,000","15,800,000","16,500,000","16,800,000","17,802,000","18,300,000","19,200,000","20,000,000","22,213,000","21,500,000","23,500,000","24,100,000","25,104,000","26,000,000","26,600,000","27,800,000","58,000,000","58,500,000","60,400,000","70,900,000","85,300,000","88,500,000","86,100,000","81,700,000","85,400,000","83,400,000","78,100,000","78,700,000","80,000,000","77,700,000",,,,"32,900,000",,,,,,
			LoansReceivable,"4,815,000,000","4,861,000,000","4,965,000,000","4,930,000,000","4,917,000,000","4,842,000,000","4,523,000,000","4,316,000,000","4,199,000,000","4,100,000,000","3,540,000,000","3,446,000,000","3,284,000,000","3,367,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			MortgageAndConsumerloans,"8,531,000,000","8,467,000,000","8,531,000,000","8,529,000,000","8,136,000,000","7,470,000,000","7,263,000,000","7,072,000,000","7,133,000,000","6,747,000,000","7,014,000,000","7,376,000,000","7,433,000,000","7,383,000,000","9,569,000,000","8,284,000,000","7,622,000,000","7,180,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherShortTermInvestments,"74,505,000,000","78,099,000,000","75,741,000,000","73,643,000,000","79,431,000,000","89,965,000,000","98,696,000,000","100,722,000,000","102,284,000,000","100,744,000,000","105,882,000,000","103,128,000,000","99,959,000,000","96,288,000,000","91,262,000,000","93,940,000,000","92,435,000,000","87,924,000,000","82,895,000,000","83,355,000,000","86,984,000,000","90,141,000,000","85,336,000,000","83,206,000,000","83,003,000,000","80,196,000,000","76,702,000,000","83,799,000,000","83,315,000,000","74,906,000,000","67,794,000,000","67,403,000,000","66,685,000,000","69,907,000,000","68,270,000,000","70,281,000,000","71,020,000,000","67,318,000,000","61,038,000,000","59,886,000,000","58,666,000,000","59,433,000,000","61,578,000,000","185,000,000","176,000,000","161,000,000","168,000,000","166,000,000","5,279,000,000","138,000,000","135,000,000",,,,,,"90,000,000","84,000,000","87,000,000","76,000,000","69,000,000",,,,,,,"55,000,000","61,000,000","61,000,000",,"134,000,000","48,000,000","47,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000",,,,"43,344,000",,,,"261,680,000",,,,"232,201,000",,,,"330,916,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			ShortTermInvestmentsAvailableForSale,"74,505,000,000","78,099,000,000","75,741,000,000","73,643,000,000","79,431,000,000","89,965,000,000","98,696,000,000","100,722,000,000","102,284,000,000","100,744,000,000","105,882,000,000","103,128,000,000","99,959,000,000","96,288,000,000","91,262,000,000","93,940,000,000","92,435,000,000","87,924,000,000","82,895,000,000","83,355,000,000","86,984,000,000","90,141,000,000","85,336,000,000","83,206,000,000","83,003,000,000","80,196,000,000","76,702,000,000","83,799,000,000","83,315,000,000","74,906,000,000","67,794,000,000","67,403,000,000","66,685,000,000","69,907,000,000","68,270,000,000","70,281,000,000","71,020,000,000","67,318,000,000","61,038,000,000","59,886,000,000","58,666,000,000","59,433,000,000","61,578,000,000",,,,,,"5,279,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherInvestedAssets,"5,491,000,000","120,500,000,000","4,070,000,000","114,528,000,000","121,415,000,000","132,599,000,000","142,978,000,000","146,004,000,000","146,709,000,000","143,289,000,000","149,753,000,000","146,129,000,000","142,233,000,000","136,967,000,000","138,091,000,000","1,507,000,000","136,597,000,000","131,438,000,000","7,706,000,000","124,214,000,000","127,921,000,000","132,671,000,000","123,659,000,000","122,489,000,000","121,896,000,000","120,503,000,000","1,450,000,000","128,935,000,000","125,983,000,000","114,320,000,000","294,000,000","104,900,000,000","103,280,000,000","108,711,000,000","107,341,000,000","114,691,000,000","114,734,000,000","110,493,000,000","108,459,000,000","106,712,000,000","103,936,000,000","107,400,000,000","118,219,000,000","124,215,000,000","109,255,000,000","103,104,000,000",,"100,808,000,000","92,984,000,000","88,441,000,000",,"85,585,000,000","79,532,000,000","73,998,000,000","114,000,000","71,625,000,000","65,572,000,000",,,"60,727,000,000",,,"61,000,000",,,,"58,000,000",,,,"57,000,000",,,,"41,000,000",,,,"381,000,000",,,,"27,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
