name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"19,030,000,000","5,173,000,000","4,800,000,000","3,948,000,000","4,820,000,000","5,400,000,000","5,272,000,000","5,433,000,000","5,237,000,000","5,564,000,000","5,869,000,000","6,034,000,000","5,665,000,000","5,407,000,000","5,162,000,000","5,603,000,000","5,519,000,000","5,511,000,000","5,657,000,000","5,110,000,000","5,577,000,000","5,589,000,000","5,464,000,000","5,424,000,000","5,506,000,000","5,428,000,000","5,309,000,000","5,728,000,000","5,716,000,000","5,437,000,000","5,451,000,000","5,300,000,000","5,040,000,000","5,287,000,000","5,226,000,000","5,514,000,000","5,736,000,000","5,838,000,000","5,640,000,000","5,801,000,000","5,886,000,000","6,044,000,000","6,208,000,000","6,375,000,000","6,847,000,000","5,902,000,000","6,240,000,000","5,979,000,000","5,987,000,000","5,088,000,000","5,117,000,000","5,294,000,000","5,394,000,000","4,980,000,000","5,065,000,000","4,597,000,000","4,526,000,000","4,313,000,000","4,818,000,000","4,260,000,000","3,691,000,000","4,336,000,000","4,267,000,000","4,017,000,000","3,861,000,000","3,764,000,000","3,751,000,000","3,687,000,000","3,672,000,000","3,697,000,000","3,559,000,000","3,567,000,000","3,669,000,000","3,567,000,000","3,559,000,000","3,447,000,000","3,321,000,000","3,233,000,000","3,280,000,000","2,847,000,000","2,931,000,000","2,861,000,000","2,807,000,000","2,666,000,000","2,707,000,000","2,513,000,000","2,371,000,000","2,404,000,000","2,446,000,000","2,348,000,000","2,421,000,000","2,488,000,000","2,475,000,000","2,358,000,000","2,398,000,000","2,365,000,000","2,196,000,000","2,032,000,000","2,048,000,000","1,943,900,000","1,699,500,000","1,703,500,000","1,757,000,000","1,744,802,000","1,789,600,000","2,008,700,000","1,707,500,000","1,853,003,000","1,775,600,000","1,741,700,000","1,730,000,000","1,732,420,000","1,811,700,000","1,932,800,000","1,713,700,000","1,636,058,000","1,601,600,000","1,481,200,000","1,391,900,000","1,334,600,000","1,308,200,000","1,236,700,000","1,121,500,000","1,071,400,000","1,025,300,000","955,300,000","934,500,000","897,300,000","830,700,000","783,300,000","771,400,000","751,700,000","683,000,000","621,200,000","622,600,000","637,000,000","599,300,000","595,700,000","606,300,000","600,800,000","574,100,000","583,800,000","565,900,000","521,700,000","461,400,000","453,600,000","439,400,000","411,900,000","363,400,000","326,200,000","300,100,000","271,300,000","242,300,000"
	TotalPremiumsEarned,"14,681,000,000","3,573,000,000","3,688,000,000","3,523,000,000","3,651,000,000","3,849,000,000","4,178,000,000","4,241,000,000","4,372,000,000","4,441,000,000","4,593,000,000","4,653,000,000","4,623,000,000","4,664,000,000","4,681,000,000","4,671,000,000","4,736,000,000","4,681,000,000","4,691,000,000","4,591,000,000","4,636,000,000","4,706,000,000","4,745,000,000","4,580,000,000","4,648,000,000","4,665,000,000","4,638,000,000","4,778,000,000","5,022,000,000","4,823,000,000","4,602,000,000","4,394,000,000","4,380,000,000","4,364,000,000","4,432,000,000","4,489,000,000","4,841,000,000","4,888,000,000","4,854,000,000","4,910,000,000","5,028,000,000","5,013,000,000","5,184,000,000","5,643,000,000","5,660,000,000","5,467,000,000","5,378,000,000","5,325,000,000","5,210,000,000","4,956,000,000","4,872,000,000","4,785,000,000","4,607,000,000","4,333,000,000","4,348,000,000","4,347,000,000","4,165,000,000","3,995,000,000","4,115,000,000","3,981,000,000","3,647,000,000","3,684,000,000","3,635,000,000","3,395,000,000","3,260,000,000","3,162,000,000","3,156,000,000","3,114,000,000","3,102,000,000","3,093,000,000","3,005,000,000","2,932,000,000","2,997,000,000","3,020,000,000","3,041,000,000","2,939,000,000","2,822,000,000","2,768,000,000","2,773,000,000","2,664,000,000","2,478,000,000","2,407,000,000","2,372,000,000","2,247,000,000","2,253,000,000","2,097,000,000","1,998,000,000","2,038,000,000","2,034,000,000","1,980,000,000","2,029,000,000","2,085,000,000","2,081,000,000","2,054,000,000","2,020,000,000","1,983,000,000","1,847,000,000","1,706,000,000","1,728,000,000","1,625,300,000","1,421,300,000","1,424,000,000","1,472,400,000","1,461,661,000","1,508,700,000","1,467,300,000","1,436,100,000","1,504,936,000","1,487,200,000","1,461,500,000","1,456,000,000","1,453,530,000","1,531,400,000","1,634,100,000","1,451,800,000","1,384,432,000","1,362,300,000","1,254,900,000","1,179,100,000","1,124,100,000","1,106,600,000","1,044,900,000","949,500,000","903,000,000","864,600,000","807,700,000","793,900,000","754,900,000","694,800,000","660,600,000","655,000,000","634,500,000","572,900,000","522,600,000","529,100,000","526,800,000","505,000,000","493,900,000","507,500,000",,,,,,,,,,,,,,
		NetPremiumsWritten,,,"3,688,000,000","3,523,000,000","3,651,000,000",,"4,178,000,000","4,241,000,000","4,372,000,000","4,441,000,000","4,593,000,000","4,653,000,000","4,623,000,000","4,664,000,000",,,,,"4,691,000,000","4,591,000,000","4,636,000,000","4,706,000,000","4,745,000,000","4,580,000,000","4,648,000,000","4,665,000,000","4,638,000,000","4,778,000,000","5,022,000,000","4,823,000,000","4,602,000,000","4,394,000,000","4,380,000,000","4,364,000,000","4,432,000,000","4,489,000,000","4,841,000,000","4,888,000,000","4,854,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GrossPremiumsWritten,,,"3,795,000,000","3,553,000,000","3,751,000,000",,"4,295,000,000","4,362,000,000","4,498,000,000","4,565,000,000","4,726,000,000","4,788,000,000","4,761,000,000","4,804,000,000",,,,,"4,827,000,000","4,723,000,000","4,773,000,000","4,848,000,000","4,889,000,000","4,719,000,000","4,790,000,000","4,808,000,000","4,780,000,000","4,926,000,000","5,183,000,000","4,976,000,000","4,748,000,000","4,534,000,000","4,520,000,000","4,504,000,000","4,532,000,000","4,594,000,000","4,921,000,000","4,971,000,000","4,936,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CededPremiums,,,"-107,000,000","-30,000,000","-100,000,000",,"-117,000,000","-121,000,000","-126,000,000","-124,000,000","-133,000,000","-135,000,000","-138,000,000","-140,000,000",,,,,"-136,000,000","-132,000,000","-137,000,000","-142,000,000","-144,000,000","-139,000,000","-142,000,000","-143,000,000","-142,000,000","-148,000,000","-161,000,000","-153,000,000","-146,000,000","-140,000,000","-140,000,000","-140,000,000","-100,000,000","-105,000,000","-80,000,000","-83,000,000","-82,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetInvestmentIncome,"3,040,000,000","405,000,000","958,000,000","896,000,000","425,000,000","937,000,000","439,000,000","122,000,000","991,000,000","993,000,000","925,000,000","1,292,000,000","896,000,000","870,000,000","904,000,000","876,000,000","918,000,000","876,000,000","876,000,000","809,000,000","865,000,000","857,000,000","830,000,000","859,000,000","780,000,000","741,000,000","661,000,000","822,000,000","713,000,000","622,000,000","783,000,000","789,000,000","644,000,000","812,000,000","727,000,000","907,000,000","824,000,000","848,000,000","740,000,000","861,000,000","771,000,000","928,000,000","870,000,000","53,000,000","869,000,000","845,000,000","882,000,000","858,000,000","843,000,000","784,000,000","794,000,000","789,000,000","765,000,000","727,000,000","726,000,000","717,000,000","692,000,000","668,000,000","688,000,000","677,000,000","637,000,000","637,000,000","627,000,000","604,000,000","592,000,000","572,000,000","566,000,000","557,000,000","548,000,000","542,000,000","524,000,000","517,000,000","522,000,000","518,000,000","514,000,000","509,000,000","491,000,000","484,000,000","474,000,000","473,000,000","448,000,000","436,000,000","430,000,000","419,000,000","418,000,000","397,000,000","381,000,000","394,000,000","392,000,000","382,000,000","382,000,000","397,000,000","392,000,000","385,000,000","376,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetRealizedGainLossOnInvestments,"-109,000,000","-11,000,000","-5,000,000","-521,000,000","-17,000,000","564,000,000","-80,000,000","-48,000,000","-171,000,000","89,000,000","307,000,000","693,000,000","108,000,000","-170,000,000","-463,000,000","22,000,000","-135,000,000","-64,000,000","73,000,000","-290,000,000","61,000,000","8,000,000","-127,000,000","-32,000,000","61,000,000","5,000,000","-7,000,000","128,000,000","-17,000,000","13,000,000","91,000,000","117,000,000","26,000,000","92,000,000","68,000,000","44,000,000","33,000,000","97,000,000","41,000,000","-15,000,000","72,000,000","86,000,000","119,000,000","651,000,000","286,000,000","-418,000,000","-45,000,000","-222,000,000","-83,000,000","-668,000,000","-579,000,000","-295,000,000","9,000,000","-89,000,000","-46,000,000","-473,000,000","-347,000,000","-383,000,000","-9,000,000","-402,000,000","-597,000,000","-1,000,000","-7,000,000","0","1,000,000","15,000,000","13,000,000","4,000,000","11,000,000","50,000,000","14,000,000","107,000,000","140,000,000","11,000,000","3,000,000","-5,000,000","-8,000,000","-5,000,000","6,000,000","-284,000,000","-4,000,000","-6,000,000","-7,000,000","0","-3,000,000","-3,000,000","-8,000,000","1,000,000","-27,000,000","-4,000,000","-1,000,000","-2,000,000","-6,000,000","-91,000,000","-2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetForeignExchangeGainLoss,"1,226,000,000","1,161,000,000","141,000,000","-794,000,000","718,000,000",,"643,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	FeeRevenueAndOtherIncome,"192,000,000","45,000,000","46,000,000","50,000,000","50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,000,000","8,000,000","25,000,000","18,000,000","17,000,000","16,000,000","30,000,000","15,000,000","13,000,000","9,000,000","37,000,000","6,000,000","16,000,000","33,000,000","24,000,000","4,000,000","4,000,000","16,000,000","12,000,000","18,000,000","8,000,000","15,000,000","16,000,000","12,000,000","11,000,000","12,000,000","16,000,000","11,000,000","10,000,000","18,000,000","1,000,000","4,000,000","16,000,000","-14,000,000","27,000,000","-6,000,000","9,000,000","24,000,000","12,000,000","0","39,000,000","22,000,000",,"-29,000,000","47,000,000","-10,000,000","11,000,000","8,000,000","8,000,000","10,000,000","4,000,000","-974,000,000","349,000,000","326,000,000","320,000,000","-817,400,000","278,200,000","279,500,000","284,600,000","-789,134,000","280,900,000","541,400,000","271,400,000","-675,868,000","288,400,000","280,200,000","274,000,000","-745,800,000","280,300,000","298,700,000","261,900,000","-587,141,000","239,300,000","226,300,000","212,800,000","210,500,000","201,600,000","191,800,000","172,000,000","168,400,000","160,700,000","147,600,000","140,600,000","142,400,000","135,900,000","122,700,000","116,400,000","117,200,000","110,100,000","98,600,000","93,500,000","110,200,000","94,300,000","101,800,000","98,800,000",,,,,,,,,,,,,,
		OtherIncomeExpense,"192,000,000","45,000,000","46,000,000","50,000,000","50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,000,000","8,000,000","25,000,000","18,000,000","17,000,000","16,000,000","30,000,000","15,000,000","13,000,000","9,000,000","37,000,000","6,000,000","16,000,000","33,000,000","24,000,000","4,000,000","4,000,000","16,000,000","12,000,000","18,000,000","8,000,000","15,000,000","16,000,000","12,000,000","11,000,000","12,000,000","16,000,000","11,000,000","10,000,000","18,000,000","1,000,000","4,000,000","16,000,000","-14,000,000","27,000,000","-6,000,000","9,000,000","24,000,000","12,000,000","0","39,000,000","22,000,000",,"-29,000,000","47,000,000","-10,000,000","11,000,000","8,000,000","8,000,000","10,000,000","4,000,000","-974,000,000","349,000,000","326,000,000","320,000,000","-817,400,000","278,200,000","279,500,000","284,600,000","-789,134,000","280,900,000","541,400,000","271,400,000","-675,868,000","288,400,000","280,200,000","274,000,000","-745,800,000","280,300,000","298,700,000","261,900,000","-587,141,000","239,300,000","226,300,000","212,800,000","210,500,000","201,600,000","191,800,000","172,000,000","168,400,000","160,700,000","147,600,000","140,600,000","142,400,000","135,900,000","122,700,000","116,400,000","117,200,000","110,100,000","98,600,000","93,500,000","110,200,000","94,300,000","101,800,000","98,800,000",,,,,,,,,,,,,,
