name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"537,138,000,000","536,627,000,000","526,634,000,000","522,932,000,000","538,938,000,000","573,513,000,000","596,112,000,000","594,800,000,000","598,250,000,000","584,390,000,000","586,481,000,000","577,230,000,000","569,388,000,000","510,477,000,000","525,064,000,000","525,122,000,000","522,269,000,000","512,922,000,000","491,984,000,000","504,860,000,000","496,829,000,000","499,143,000,000","498,301,000,000","503,073,000,000","499,762,000,000","500,162,000,000","498,264,000,000","514,568,000,000","510,349,000,000","502,777,000,000","496,943,000,000","501,985,000,000","509,987,000,000","520,701,000,000","515,581,000,000","527,190,000,000","529,109,000,000","547,111,000,000","541,329,000,000","540,744,000,000","537,438,000,000","548,880,000,000","548,633,000,000","550,723,000,000","555,383,000,000","554,403,000,000","555,773,000,000","544,257,000,000","616,798,000,000","611,247,000,000","683,443,000,000","871,965,000,000","850,531,000,000","863,697,000,000","847,585,000,000","844,344,000,000","830,412,000,000","819,758,000,000","860,418,000,000","1,022,237,000,000","1,049,876,000,000","1,051,086,000,000","1,060,505,000,000","1,072,105,000,000","1,033,866,000,000","999,747,000,000","979,414,000,000","941,544,000,000","900,670,000,000","879,798,000,000","853,370,000,000","843,397,000,000","828,642,000,000","828,256,000,000","798,660,000,000","776,420,000,000","735,982,000,000","724,154,000,000","678,346,000,000","647,656,000,000","620,612,000,000","591,809,000,000","561,229,000,000","547,295,000,000","524,394,000,000","507,556,000,000","492,982,000,000","468,675,000,000","333,191,000,000","320,800,000,000","306,577,000,000","295,406,000,000","281,214,000,000","279,259,000,000","268,238,000,000","259,786,000,000","255,019,000,000","247,070,000,000","194,398,000,000","183,922,800,000","176,103,200,000","169,383,900,000","163,970,687,000","158,612,100,000","156,235,300,000","151,149,400,000","148,431,002,000","144,649,300,000","142,715,700,000","136,602,000,000","134,136,398,000","130,287,800,000","130,533,700,000","125,352,600,000","114,346,117,000","114,559,500,000","112,746,500,000","110,246,400,000","101,014,800,000","96,732,700,000","94,599,100,000","90,797,500,000","79,835,200,000","81,312,900,000","76,822,800,000","70,612,700,000","69,389,500,000","63,999,700,000","60,672,600,000","59,423,100,000","58,143,100,000","55,224,100,000","48,957,300,000","46,637,300,000","46,142,900,000","37,408,700,000","27,907,700,000","21,022,900,000","15,570,700,000"
	TotalInvestments,"306,758,000,000","314,937,000,000","309,150,000,000","306,087,000,000","315,062,000,000","337,870,000,000","359,292,000,000","355,596,000,000","359,539,000,000","348,457,000,000","360,668,000,000","356,404,000,000","350,151,000,000","332,336,000,000","337,615,000,000","340,993,000,000","334,928,000,000","324,863,000,000","314,209,000,000","316,063,000,000","319,758,000,000","322,375,000,000","322,292,000,000","321,123,000,000","320,746,000,000","315,505,000,000","328,175,000,000","346,368,000,000","350,667,000,000","342,846,000,000","338,354,000,000","346,401,000,000","349,835,000,000","358,434,000,000","357,370,000,000","368,022,000,000","371,593,000,000","359,136,000,000","358,093,000,000","360,025,000,000","361,012,000,000","372,989,000,000","379,495,000,000","410,115,000,000","412,530,000,000","411,182,000,000","410,438,000,000","413,106,000,000","411,813,000,000","414,220,000,000","410,412,000,000","445,016,000,000","520,002,000,000","456,430,000,000","610,295,000,000","648,656,000,000","618,505,000,000","610,131,000,000","650,685,000,000","763,483,000,000","836,230,000,000","553,343,000,000","852,615,000,000","155,518,000,000","528,332,000,000","128,337,000,000","514,539,000,000","508,202,000,000","507,703,000,000","571,910,000,000","560,368,000,000","558,994,000,000","551,469,000,000","557,423,000,000","535,940,000,000","512,691,000,000","480,379,000,000","480,669,000,000","442,507,000,000","421,621,000,000","404,782,000,000","385,942,000,000","361,794,000,000","376,190,000,000","350,654,000,000","333,597,000,000","324,238,000,000","313,575,000,000","217,159,000,000","209,173,000,000","197,054,000,000","188,394,000,000","175,295,000,000","175,148,000,000","169,654,000,000","12,218,000,000","12,014,000,000","11,692,000,000","128,244,000,000","8,550,700,000","8,278,300,000","8,050,300,000","72,717,538,000","8,197,600,000","8,157,200,000","7,775,300,000","66,218,380,000","10,077,100,000","9,635,100,000","8,817,500,000","60,425,002,000","7,108,200,000","7,031,900,000","6,524,000,000","49,559,993,000","4,811,500,000","4,618,700,000","4,259,800,000","3,576,500,000","3,362,300,000","3,139,400,000","3,082,100,000","3,079,600,000","3,028,500,000","2,901,500,000","2,899,900,000","2,999,400,000","2,804,100,000","2,652,700,000","2,638,400,000","2,628,900,000","2,443,500,000","2,042,800,000","1,725,600,000","1,611,500,000",,,,
		FixedMaturityInvestments,"4,941,000,000","4,762,000,000","4,485,000,000","7,131,000,000","6,898,000,000","6,582,000,000","6,278,000,000","4,651,000,000","4,866,000,000","4,973,000,000","5,291,000,000","5,415,000,000","5,437,000,000","5,353,000,000","6,682,000,000","8,327,000,000","10,461,000,000","11,511,000,000","11,415,000,000","11,420,000,000","11,774,000,000","12,397,000,000","12,772,000,000","12,653,000,000","13,478,000,000","13,605,000,000","13,998,000,000","14,772,000,000","15,335,000,000","15,344,000,000","16,782,000,000","16,822,000,000","16,598,000,000","19,013,000,000","19,712,000,000","20,381,000,000","21,430,000,000","21,718,000,000","22,623,000,000",,,,,,,,,,,,,,,,,,,,"0","0","21,632,000,000",,"21,581,000,000",,,,,,,"21,520,000,000","21,528,000,000","21,532,000,000","21,472,000,000","21,477,000,000","18,294,000,000","15,415,000,000","12,877,000,000","9,823,000,000","8,037,000,000","6,784,000,000","4,181,000,000","1,700,000,000",,,,,"0","0","0","0","11,533,000,000","11,801,000,000","11,915,000,000","11,952,000,000","12,076,000,000",,,,"12,658,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		EquityInvestments,"660,000,000","591,000,000","575,000,000","608,000,000","629,000,000","695,000,000","739,000,000","1,035,000,000","1,079,000,000","1,160,000,000","1,056,000,000","871,000,000","679,000,000","624,000,000","841,000,000","771,000,000","880,000,000","841,000,000","1,253,000,000","1,443,000,000","1,675,000,000","1,725,000,000","2,297,000,000","2,245,000,000","2,111,000,000","2,599,000,000","2,560,000,000","2,042,000,000","2,303,000,000","3,647,000,000","3,836,000,000","4,858,000,000","6,078,000,000","4,866,000,000","5,444,000,000","5,110,000,000","4,772,000,000","4,603,000,000","4,490,000,000","4,185,000,000","3,911,000,000","3,804,000,000","3,874,000,000","273,033,000,000","266,064,000,000","269,511,000,000","267,730,000,000","263,186,000,000","253,652,000,000","269,660,000,000","239,535,000,000","312,950,000,000","359,267,000,000","290,679,000,000","414,822,000,000","437,097,000,000","408,678,000,000","403,998,000,000","421,433,000,000","474,105,000,000","480,808,000,000","457,297,000,000","493,502,000,000","62,050,000,000","447,566,000,000","54,330,000,000","448,087,000,000","430,621,000,000","417,313,000,000","26,295,000,000","23,588,000,000","22,735,000,000","20,666,000,000","19,555,000,000","17,851,000,000","16,150,000,000","14,379,000,000","14,574,000,000","9,584,000,000","8,623,000,000","7,549,000,000","7,136,000,000","7,066,000,000","7,893,000,000","8,259,000,000","8,403,000,000","7,937,000,000","7,035,000,000","6,953,000,000","6,838,000,000","7,181,000,000","7,113,000,000","6,711,000,000","6,806,000,000","6,716,000,000",,,,"5,893,000,000",,,,"56,914,005,000",,,,"54,690,866,000",,,,"48,269,918,000",,,,"40,530,037,000",,,,,,,,,,,,,,,,,,,,,,,,
		TradingAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,884,000,000","23,789,000,000","23,855,000,000","24,584,000,000","24,837,000,000","30,919,000,000","24,481,000,000","24,364,000,000","24,654,000,000","26,968,000,000",,"26,182,000,000","28,849,000,000",,,,,,,,,,,,,,,,,,"12,990,000,000","12,339,000,000","11,551,000,000","9,828,000,000","8,437,000,000","9,457,000,000","8,310,000,000","6,820,000,000","8,729,000,000","6,130,000,000","7,490,000,000","11,790,000,000","10,484,000,000","9,913,000,000","10,224,000,000","12,912,000,000","9,973,000,000","12,809,000,000","15,467,000,000","14,848,000,000","14,341,000,000","15,238,000,000","13,218,000,000","12,103,000,000","12,738,000,000","11,222,000,000",,,,"12,902,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetLoan,"51,605,000,000","50,830,000,000","49,605,000,000","48,124,000,000","49,314,000,000","47,470,000,000","46,048,000,000","45,821,000,000","45,216,000,000","45,468,000,000","45,562,000,000","45,590,000,000","46,522,000,000","46,844,000,000","46,984,000,000","45,075,000,000","43,556,000,000","43,834,000,000","43,135,000,000","41,878,000,000","39,978,000,000","38,540,000,000","37,023,000,000","36,089,000,000","34,642,000,000","33,878,000,000","33,240,000,000","32,413,000,000","31,261,000,000","30,676,000,000","29,565,000,000","28,236,000,000","27,143,000,000","25,313,000,000","24,990,000,000","23,397,000,000","22,937,000,000","21,569,000,000","20,765,000,000","19,707,000,000","19,857,000,000","19,488,000,000","19,482,000,000","19,330,000,000","19,387,000,000","19,519,000,000","19,489,000,000","19,279,000,000","19,253,000,000","19,691,000,000","20,237,000,000","24,205,000,000","42,679,000,000","41,445,000,000","47,788,000,000","31,985,000,000","57,722,000,000","61,059,000,000","65,636,000,000","33,724,000,000","67,695,000,000","34,373,000,000","64,961,000,000","7,822,000,000","7,607,000,000","7,521,000,000","7,501,000,000","27,824,000,000","55,119,000,000","22,186,000,000","21,339,000,000","21,284,000,000","21,351,000,000","21,174,000,000","20,181,000,000","19,617,000,000","19,202,000,000","19,043,000,000","18,953,000,000","18,667,000,000","17,901,000,000","17,724,000,000","17,587,000,000","17,413,000,000","17,133,000,000","16,179,000,000","16,560,000,000","16,439,000,000","10,192,000,000","10,309,000,000","10,159,000,000","10,136,000,000","10,140,000,000","10,135,000,000","9,961,000,000","12,218,000,000","12,014,000,000","11,692,000,000","8,247,000,000","8,550,700,000","8,278,300,000","8,050,300,000","7,919,800,000","8,197,600,000","8,157,200,000","7,775,300,000","7,876,800,000","10,077,100,000","9,635,100,000","8,817,500,000","7,860,500,000","7,108,200,000","7,031,900,000","6,524,000,000","5,353,100,000","4,811,500,000","4,618,700,000","4,259,800,000","3,576,500,000","3,362,300,000","3,139,400,000","3,082,100,000","3,079,600,000","3,028,500,000","2,901,500,000","2,899,900,000","2,999,400,000","2,804,100,000","2,652,700,000","2,638,400,000","2,628,900,000","2,443,500,000","2,042,800,000","1,725,600,000","1,611,500,000",,,,
			LoansReceivable,"4,209,000,000","4,405,000,000","4,589,000,000","4,887,000,000","4,602,000,000","3,885,000,000","3,048,000,000","3,157,000,000","2,901,000,000","2,942,000,000","2,507,000,000","1,957,000,000","1,850,000,000","1,774,000,000","2,066,000,000","1,500,000,000","1,687,000,000","1,545,000,000","1,574,000,000","1,088,000,000","698,000,000","827,000,000","734,000,000","867,000,000","893,000,000","1,158,000,000","2,003,000,000","2,336,000,000","2,512,000,000","2,865,000,000","2,143,000,000","4,793,000,000","4,616,000,000","3,476,000,000","3,371,000,000","2,800,000,000","2,669,000,000","2,120,000,000","1,740,000,000","2,122,000,000","2,319,000,000","2,418,000,000","2,742,000,000",,,,,,,,"870,000,000","1,262,000,000","17,862,000,000","18,912,000,000","20,208,000,000","31,985,000,000","25,342,000,000","27,692,000,000","30,949,000,000","33,724,000,000","33,311,000,000",,"31,234,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			MortgageAndConsumerloans,"45,634,000,000","44,678,000,000","43,258,000,000","41,464,000,000","42,925,000,000","41,769,000,000","41,157,000,000","40,788,000,000","40,408,000,000","40,577,000,000","41,069,000,000","41,561,000,000","42,581,000,000","43,009,000,000","42,853,000,000","41,479,000,000","39,761,000,000","40,165,000,000","39,414,000,000","38,612,000,000","37,088,000,000","35,510,000,000","33,994,000,000","32,921,000,000","31,440,000,000","30,396,000,000","28,870,000,000","27,567,000,000","26,211,000,000","25,243,000,000","24,825,000,000","20,818,000,000","19,882,000,000","19,172,000,000","18,909,000,000","17,841,000,000","17,499,000,000","16,672,000,000","16,195,000,000","14,741,000,000","14,673,000,000","14,170,000,000","13,788,000,000","19,330,000,000",,"19,519,000,000",,"19,279,000,000","19,253,000,000","19,691,000,000","19,367,000,000","22,943,000,000","24,817,000,000","22,533,000,000","27,580,000,000",,"32,380,000,000","33,367,000,000","34,687,000,000",,"34,384,000,000",,"33,727,000,000",,,,,,,"14,968,000,000","14,300,000,000","14,202,000,000","14,251,000,000","14,065,000,000","13,146,000,000","12,833,000,000","12,455,000,000","12,218,000,000","12,295,000,000","12,141,000,000","11,804,000,000","11,660,000,000","11,541,000,000","11,395,000,000","11,163,000,000","10,842,000,000","10,774,000,000","11,050,000,000","7,330,000,000","7,185,000,000","7,127,000,000","7,128,000,000","7,207,000,000","7,260,000,000","7,139,000,000",,,,"8,247,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PolicyLoans,"1,762,000,000","1,747,000,000","1,758,000,000","1,773,000,000","1,787,000,000","1,816,000,000","1,843,000,000","1,876,000,000","1,907,000,000","1,949,000,000","1,986,000,000","2,072,000,000","2,091,000,000","2,061,000,000","2,065,000,000","2,096,000,000","2,108,000,000","2,124,000,000","2,147,000,000","2,178,000,000","2,192,000,000","2,203,000,000","2,295,000,000","2,301,000,000","2,309,000,000","2,324,000,000","2,367,000,000","2,510,000,000","2,538,000,000","2,568,000,000","2,597,000,000","2,625,000,000","2,645,000,000","2,665,000,000","2,710,000,000","2,756,000,000","2,769,000,000","2,777,000,000","2,830,000,000","2,844,000,000","2,865,000,000","2,900,000,000","2,952,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"7,218,000,000","7,039,000,000","7,082,000,000","7,100,000,000","7,109,000,000","7,035,000,000","6,784,000,000","6,747,000,000","6,825,000,000","6,658,000,000","6,526,000,000","6,097,000,000","6,064,000,000","6,046,000,000","6,018,000,000","5,970,000,000","5,337,000,000","5,786,000,000","5,389,000,000","2,862,000,000","3,124,000,000","3,032,000,000","3,008,000,000","2,933,000,000","2,875,000,000","2,822,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DerivativeAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,256,000,000","1,621,000,000","1,604,000,000","1,588,000,000","1,617,000,000","1,601,000,000","1,665,000,000","1,723,000,000","2,805,000,000","3,290,000,000","3,671,000,000",,"3,753,000,000","4,221,000,000","4,499,000,000",,"4,639,000,000","4,997,000,000","5,917,000,000","7,639,000,000",,"7,383,000,000","9,130,000,000","10,730,000,000",,,"13,773,000,000","10,034,000,000","11,548,000,000",,,,,,,,,"17,792,000,000","18,695,000,000","20,427,000,000","21,388,000,000","20,149,000,000","22,670,000,000","20,793,000,000","18,994,000,000","21,452,000,000","21,599,000,000","17,341,000,000","15,274,000,000","15,618,000,000","15,376,000,000","15,106,000,000","11,775,000,000","10,190,000,000","11,493,000,000","12,863,000,000","10,746,000,000","11,953,000,000","10,235,000,000","9,190,000,000","8,175,000,000","8,339,000,000","7,931,000,000",,,,"9,881,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
