name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
OperatingCashFlow,"2,425,900,000","12,400,000","428,500,000","200,400,000","1,156,700,000","333,700,000","434,600,000","562,900,000","452,900,000","402,000,000","286,300,000","364,900,000","585,400,000","693,600,000","108,600,000","350,100,000","349,500,000","515,800,000","-96,200,000","260,500,000","191,300,000","530,900,000","-217,600,000","395,100,000","253,700,000","35,700,000","169,700,000","233,700,000","243,400,000","35,600,000","109,400,000","326,100,000","244,800,000","-31,600,000","113,300,000","169,100,000","26,400,000","130,700,000","76,100,000","71,300,000","204,800,000","22,600,000","51,200,000","163,600,000","116,400,000","110,600,000","-47,600,000","101,100,000","84,600,000","104,700,000","-7,300,000","19,400,000","122,800,000","86,100,000","3,500,000","15,900,000","118,000,000","111,600,000","-34,000,000","39,600,000","102,000,000","82,400,000","-63,400,000","103,200,000","76,100,000","114,200,000","-41,200,000","30,600,000","100,000,000","68,200,000","-94,100,000","32,700,000","102,200,000","40,000,000","13,900,000","42,100,000","94,200,000","77,400,000","63,500,000","84,500,000","88,500,000","-2,000,000","58,000,000","56,468,000","82,437,000","-545,000","11,323,000","37,923,000","68,809,000","8,614,000","14,963,000","42,908,000","53,880,000","5,450,000","33,991,000","3,400,000","51,600,000","1,700,000","7,000,000","23,200,000","29,800,000","-6,200,000","9,600,000","11,500,000","19,000,000","24,300,000","10,800,000","-9,500,000","22,200,000","5,700,000","15,200,000","-3,700,000","21,300,000","12,100,000","11,800,000","12,100,000","43,800,000","3,800,000","18,100,000","-6,300,000","20,000,000","10,500,000","6,800,000","-12,700,000","26,700,000","14,100,000","-2,500,000","2,400,000","40,500,000","9,400,000","-8,200,000","3,800,000","26,500,000","0","14,000,000"
	CashFlowFromContinuingOperatingActivities,"2,425,900,000","12,400,000","428,500,000","200,400,000","1,156,700,000","333,700,000","434,600,000","562,900,000","452,900,000","402,000,000","286,300,000","364,900,000","585,400,000","693,600,000","108,600,000","350,100,000","349,500,000","515,800,000","-96,200,000","260,500,000","191,300,000","530,900,000","-217,600,000","395,100,000","253,700,000","35,700,000","169,700,000","233,700,000","243,400,000","35,600,000","109,400,000","326,100,000","244,800,000","-31,600,000","113,300,000","169,100,000","26,400,000","130,700,000","76,100,000","71,300,000","204,800,000","22,600,000","51,200,000","163,600,000","116,400,000","110,600,000","-47,600,000","101,100,000","84,600,000","104,700,000","-7,300,000","20,100,000","125,900,000","84,000,000","3,500,000","14,200,000","116,900,000","112,700,000","-35,000,000","46,500,000","104,600,000","83,200,000","-45,700,000","106,000,000","76,100,000","114,200,000","-41,200,000","30,600,000","100,000,000","68,200,000","-94,100,000","35,400,000","102,200,000","45,200,000","13,300,000","42,100,000","94,200,000","77,400,000","63,500,000","84,500,000","88,500,000","-2,000,000","58,000,000","56,468,000","82,437,000","-545,000","11,323,000","37,923,000","68,809,000","8,614,000","14,963,000","42,908,000","53,880,000","5,450,000","33,991,000","3,400,000","51,600,000","1,700,000","7,000,000","23,200,000","29,800,000","-6,200,000","9,600,000","11,500,000","19,000,000","24,300,000","10,800,000","-9,500,000","22,200,000","5,700,000","15,200,000","-3,700,000","21,300,000","12,100,000","11,800,000","12,100,000","43,800,000","3,800,000","18,100,000","-6,300,000","20,000,000","10,500,000","6,800,000","-12,700,000","26,700,000","14,100,000","-2,500,000","2,400,000","40,500,000","9,400,000","-8,200,000","3,800,000","26,500,000","0","14,000,000"
		NetIncomeFromContinuingOperations,"1,114,200,000","235,800,000","486,600,000","135,500,000","256,300,000","285,100,000","439,100,000","120,900,000","238,600,000","201,800,000","393,700,000","153,100,000","187,800,000","161,800,000","355,400,000","105,600,000","137,100,000","121,400,000","351,700,000","127,800,000","138,400,000","123,700,000","286,000,000","113,200,000","137,800,000","180,400,000","67,800,000","101,000,000","130,400,000","155,700,000","57,900,000","62,300,000","133,300,000","139,300,000","21,900,000","51,500,000","93,600,000","109,000,000","49,300,000","60,000,000","74,600,000","93,500,000","40,500,000","33,500,000","61,700,000","71,700,000","28,100,000","40,500,000","46,700,000","41,700,000","15,200,000","46,000,000","46,200,000","41,900,000","29,200,000","19,400,000","41,600,000","43,800,000","28,300,000","11,700,000","41,700,000","41,700,000","16,300,000","39,200,000","51,800,000","43,800,000","19,800,000","24,600,000","50,200,000","36,600,000","17,100,000","7,500,000","50,500,000","44,400,000","-73,800,000","49,100,000","54,400,000","46,100,000","38,900,000","49,200,000","48,900,000","36,100,000","12,000,000","38,293,000","23,310,000","34,461,000","33,675,000","33,073,000","42,185,000","26,536,000","23,462,000","25,401,000","32,292,000","14,928,000","15,155,000","18,800,000","23,200,000","12,500,000","13,300,000","16,800,000","19,400,000","9,300,000","11,000,000","12,700,000","18,600,000","12,800,000","9,200,000","11,300,000","19,200,000","7,100,000","8,200,000","13,600,000","15,900,000","5,700,000","6,300,000","11,700,000","12,900,000","4,600,000","5,300,000","9,100,000","11,800,000","7,500,000","3,900,000","8,300,000","8,700,000","3,300,000","3,200,000","5,800,000","8,400,000","2,000,000","2,600,000","4,900,000","8,100,000","1,800,000","2,900,000"
		OperatingGainsLosses,"-18,700,000","6,600,000","300,000","-6,500,000","-19,100,000","-16,000,000","-3,400,000","-8,200,000","3,000,000","1,500,000","-1,300,000","16,300,000","600,000","4,600,000","-12,300,000","-9,100,000","-1,600,000","0","-54,600,000","-1,100,000","-1,200,000","-8,300,000","-700,000","-130,600,000","92,300,000","11,900,000","29,100,000","-71,200,000","-7,400,000","-34,300,000","-9,300,000","-4,600,000","-94,300,000","5,400,000","-67,700,000","400,000","1,400,000","-4,100,000","-21,200,000","300,000","-4,500,000","-3,300,000","-9,800,000","-1,500,000","-100,000",,,"-100,000","0","-1,300,000","100,000","8,000,000","-2,200,000","1,500,000","-4,800,000","0","0","-100,000","1,000,000","5,800,000","2,500,000",,,"14,100,000","8,100,000","-7,400,000","-4,100,000","9,500,000","9,200,000","-900,000","4,300,000","3,000,000","1,800,000","-5,900,000","6,400,000","200,000","-51,900,000","-800,000","-1,300,000","149,300,000","-125,700,000","-29,300,000","30,000,000","-52,826,000","31,359,000","-11,242,000","-3,043,000","45,000","-224,000","-2,195,000","-2,896,000","-31,754,000","36,263,000","-3,758,000","-4,580,000","26,700,000","-31,800,000","-800,000","-100,000","-7,400,000","500,000","18,000,000","-20,700,000","-10,100,000","-1,300,000","-5,400,000","3,300,000","13,600,000","-20,100,000","11,800,000","-1,100,000","13,000,000","2,000,000","-15,200,000","2,300,000",,,"4,100,000","-1,200,000","13,600,000","-6,800,000","-1,100,000","-10,800,000","-100,000","2,000,000",,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"-6,500,000","10,700,000","300,000","3,200,000","-20,700,000","-14,100,000","-2,400,000","-1,400,000","-2,800,000","1,700,000","4,800,000","5,900,000","3,500,000","5,900,000","-12,400,000","3,900,000","-1,300,000","1,500,000","2,600,000","-900,000","-600,000","-2,700,000","1,300,000","-132,300,000","91,400,000","13,200,000","30,500,000","-69,300,000","-5,900,000","-33,400,000","-7,100,000","-5,000,000","-90,700,000","8,900,000","-67,800,000","200,000","-300,000","-200,000","-200,000","-200,000","600,000","-400,000","-200,000","1,000,000","600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-12,200,000",,,"-9,700,000","1,600,000","-1,900,000","-1,000,000","-6,800,000","-3,900,000","-200,000","-6,100,000","10,400,000","-2,900,000","-1,300,000","100,000","-13,000,000","-300,000","-1,500,000","-57,200,000","-200,000","-600,000","-5,600,000","-2,000,000","1,700,000","900,000","-1,300,000","-1,400,000","-1,900,000","-1,500,000","-900,000","-2,200,000","400,000","-3,600,000","-3,500,000","100,000","200,000","1,700,000","-3,900,000","-21,000,000","500,000","-5,100,000","-2,900,000","-9,600,000",,,,,,,,,,,"1,500,000","-4,800,000",,,"-100,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-700,000","-700,000","0",,"0","-1,300,000","100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"634,600,000","175,700,000","159,400,000","154,000,000","145,500,000","140,300,000","159,800,000","146,500,000","131,300,000","145,200,000","143,300,000","133,500,000","133,900,000","122,600,000","172,400,000","129,600,000","119,300,000","115,000,000","110,500,000","109,800,000","106,200,000","104,200,000","98,800,000","96,600,000","100,100,000","95,300,000","93,800,000","89,300,000","88,900,000","88,600,000","84,000,000","93,800,000","81,900,000","82,300,000","76,200,000","73,600,000","72,900,000","59,500,000","52,900,000","50,300,000","45,100,000","42,800,000","40,400,000","36,700,000","36,500,000","36,400,000","30,800,000","33,900,000","29,400,000","27,400,000","24,500,000","24,100,000","22,800,000","24,600,000","21,600,000","22,400,000","21,500,000","21,600,000","20,100,000","28,400,000","14,300,000","20,500,000","17,400,000","14,500,000","16,400,000","17,500,000","16,900,000","17,200,000","16,200,000","16,900,000","14,700,000","13,600,000","14,700,000","15,500,000","16,700,000","16,200,000","15,500,000","17,700,000","13,900,000","13,600,000","16,300,000","9,700,000","9,000,000","8,386,000","8,915,000","8,389,000","6,740,000","6,065,000","4,782,000","4,868,000","4,327,000","3,923,000","4,556,000","4,073,000","3,764,000","4,600,000","3,800,000","3,600,000","3,300,000","3,200,000","2,800,000","2,800,000","2,900,000","3,100,000","2,700,000","2,700,000","2,600,000","2,500,000","2,500,000","2,600,000","2,200,000","2,000,000","2,200,000","1,800,000","2,000,000","1,900,000","1,900,000","1,800,000","1,800,000","1,700,000","1,600,000","1,600,000","1,500,000","1,300,000","1,800,000",,,,,,,,,,
			DepreciationAndAmortization,"634,600,000","175,700,000","159,400,000","154,000,000","145,500,000","140,300,000","159,800,000","146,500,000","131,300,000","145,200,000","143,300,000","133,500,000","133,900,000","122,600,000","172,400,000","129,600,000","119,300,000","115,000,000","110,500,000","109,800,000","106,200,000","104,200,000","98,800,000","96,600,000","100,100,000","95,300,000","93,800,000","89,300,000","88,900,000","88,600,000","84,000,000","93,800,000","81,900,000","82,300,000","76,200,000","73,600,000","72,900,000","59,500,000","52,900,000","50,300,000","45,100,000","42,800,000","40,400,000","36,700,000","36,500,000","36,400,000","30,800,000","33,900,000","29,400,000","27,400,000","24,500,000","24,100,000","22,800,000","24,600,000","21,600,000","22,400,000","21,500,000","21,600,000","20,100,000","28,400,000","14,300,000","20,500,000","17,400,000","14,500,000","16,400,000","17,500,000","16,900,000","17,200,000","16,200,000","16,900,000","14,700,000","13,600,000","14,700,000","15,500,000","16,700,000","16,200,000","15,500,000","17,700,000","13,900,000","13,600,000","16,300,000","9,700,000","9,000,000","8,386,000","8,915,000","8,389,000","6,740,000","6,065,000","4,782,000","4,868,000","4,327,000","3,923,000","4,556,000","4,073,000","3,764,000","4,600,000","3,800,000","3,600,000","3,300,000","3,200,000","2,800,000","2,800,000","2,900,000","3,100,000","2,700,000","2,700,000","2,600,000","2,500,000","2,500,000","2,600,000","2,200,000","2,000,000","2,200,000","1,800,000","2,000,000","1,900,000","1,900,000","1,800,000","1,800,000","1,700,000","1,600,000","1,600,000","1,500,000","1,300,000","1,800,000",,,,,,,,,,
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,200,000","15,800,000","13,100,000","14,800,000","15,200,000","15,500,000","15,700,000","14,800,000","13,000,000","12,900,000","12,100,000","13,200,000","14,100,000","14,000,000","13,500,000","13,000,000","15,000,000","11,800,000","11,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
