name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalRevenue,"3,661,094,000","935,721,000","915,698,000","927,779,000","881,896,000","903,332,000","903,647,000","905,358,000","860,333,000","852,824,000","842,708,000","846,287,000","792,845,000","794,715,000","764,302,000","772,123,000","709,912,000","705,074,000","706,508,000","713,363,000","669,628,000","662,759,000","668,724,000","663,452,000","621,399,000","608,908,000","609,237,000","616,124,000","584,065,000","572,135,000","567,725,000","579,159,000","551,030,000","540,723,000","526,536,000","536,295,000","498,042,000","476,035,000","453,502,000","435,980,000","395,790,000","378,106,000","368,046,000","377,872,000","345,321,000","331,306,000","319,448,000","323,740,000","281,856,000","276,989,000","275,953,000","284,688,000","253,551,000","245,318,000","240,029,000","238,305,000","206,500,000","204,600,000","210,368,000","212,554,000","197,347,000","194,004,000","187,019,000","183,238,000","161,240,000","152,654,000","139,274,000","125,703,000","111,495,000","100,649,000","90,825,000","82,657,000","75,713,000","64,649,000","60,096,000","57,576,000","53,286,000","50,786,000","48,367,000","45,169,000","41,767,000","37,759,000","36,564,000","35,352,000","35,375,000","36,322,000","37,927,000","37,110,000","42,754,000","43,141,000","40,209,000","37,244,000","27,156,000","18,144,000","7,222,000","2,700,000","900,000","400,000","100,000"
	OperatingRevenue,"3,661,094,000","935,721,000","915,698,000","927,779,000","881,896,000","903,332,000","903,647,000","905,358,000","860,333,000","852,824,000","842,708,000","846,287,000","792,845,000","794,715,000","764,302,000","772,123,000","709,912,000","705,074,000","706,508,000","713,363,000","669,628,000","662,759,000","668,724,000","663,452,000","621,399,000","608,908,000","609,237,000","616,124,000","584,065,000","572,135,000","567,725,000","579,159,000","551,030,000","540,723,000","526,536,000","536,295,000","498,042,000","476,035,000","453,502,000","435,980,000","395,790,000","378,106,000","368,046,000","377,872,000","345,321,000","331,306,000","319,448,000","323,740,000","281,856,000","276,989,000","275,953,000","284,688,000","253,551,000","245,318,000","240,029,000","238,305,000","206,500,000","204,600,000","210,368,000","212,554,000","197,347,000","194,004,000","187,019,000","183,238,000","161,240,000","152,654,000","139,274,000","125,703,000","111,495,000","100,649,000","90,825,000","82,657,000","75,713,000","64,649,000","60,096,000","57,576,000","53,286,000","50,786,000","48,367,000","45,169,000","41,767,000","37,759,000","36,564,000","35,352,000","35,375,000","36,322,000","37,927,000","37,110,000","42,754,000","43,141,000","40,209,000","37,244,000","27,156,000","18,144,000","7,222,000","2,700,000","900,000","400,000","100,000"
CostOfRevenue,"1,439,009,000","373,275,000","361,316,000","357,968,000","346,450,000","346,649,000","332,752,000","325,403,000","316,866,000","320,000,000","306,687,000","303,847,000","283,439,000","276,804,000","268,582,000","257,750,000","246,938,000","242,193,000","240,743,000","243,927,000","239,246,000","235,487,000","234,825,000","229,937,000","225,468,000","214,650,000","205,703,000","203,475,000","204,467,000","206,323,000","194,736,000","193,212,000","183,204,000","179,910,000","169,294,000","163,201,000","158,812,000","149,318,000","139,612,000","133,951,000","132,039,000","124,705,000","120,392,000","111,893,000","109,995,000","107,457,000","102,566,000","102,544,000","93,284,000","89,647,000","89,068,000","86,277,000","77,812,000","71,840,000","67,474,000","67,580,000","61,987,000","60,009,000","60,362,000","60,688,000","56,659,000","53,688,000","51,575,000","49,394,000","43,811,000","39,759,000","34,480,000","28,605,000","24,984,000","21,195,000","19,316,000","16,084,000","15,295,000","12,752,000","11,524,000","11,173,000","11,748,000","11,151,000","12,215,000","13,123,000","14,275,000","15,832,000","17,885,000","53,536,000","9,580,000","10,946,000","11,242,000","11,948,000","13,402,000","13,622,000","16,160,000","24,037,000","18,182,000","12,647,000","6,636,000","100,000","-4,400,000",,
GrossProfit,"2,222,085,000","562,446,000","554,382,000","569,811,000","535,446,000","556,683,000","570,895,000","579,955,000","543,467,000","532,824,000","536,021,000","542,440,000","509,406,000","517,911,000","495,720,000","514,373,000","462,974,000","462,881,000","465,765,000","469,436,000","430,382,000","427,272,000","433,899,000","433,515,000","395,931,000","394,258,000","403,534,000","412,649,000","379,598,000","365,812,000","372,989,000","385,947,000","367,826,000","360,813,000","357,242,000","373,094,000","339,230,000","326,717,000","313,890,000","302,029,000","263,751,000","253,401,000","247,654,000","265,979,000","235,326,000","223,849,000","216,882,000","221,196,000","188,572,000","187,342,000","186,885,000","198,411,000","175,739,000","173,478,000","172,555,000","170,725,000","144,513,000","144,591,000","150,006,000","151,866,000","140,688,000","140,316,000","135,444,000","133,844,000","117,429,000","112,895,000","104,794,000","97,098,000","86,511,000","79,454,000","71,509,000","66,573,000","60,418,000","51,897,000","48,572,000","46,403,000","41,538,000","39,635,000","36,152,000","32,046,000","27,492,000","21,927,000","18,679,000","-18,184,000","25,795,000","25,376,000","26,685,000","25,162,000","29,352,000","29,519,000","24,049,000","13,207,000","8,974,000","5,497,000","586,000","2,600,000","5,300,000",,
OperatingExpense,"1,551,124,000","401,784,000","378,318,000","398,998,000","374,781,000","374,128,000","378,944,000","366,903,000","337,637,000","335,364,000","346,477,000","376,586,000","327,176,000","327,312,000","332,729,000","358,051,000","319,766,000","325,785,000","324,400,000","335,100,000","314,248,000","369,389,000","326,200,000","334,036,000","309,722,000","304,076,000","288,306,000","289,054,000","264,885,000","255,162,000","252,052,000","263,017,000","252,117,000","254,098,000","235,679,000","237,012,000","219,106,000","213,797,000","192,308,000","185,321,000","164,161,000","155,507,000","146,035,000","169,849,000","155,167,000","156,884,000","145,243,000","137,132,000","123,081,000","114,110,000","114,137,000","126,065,000","116,697,000","116,639,000","106,505,000","108,503,000","93,768,000","90,197,000","93,433,000","94,517,000","88,919,000","88,001,000","82,104,000","82,798,000","81,658,000","82,113,000","77,643,000","70,695,000","64,750,000","62,161,000","53,860,000","45,509,000","41,620,000","34,731,000","32,225,000","37,752,000","28,073,000","27,008,000","27,982,000","27,494,000","28,613,000","30,883,000","32,830,000","6,868,000","61,806,000","62,401,000","65,309,000","72,020,000","83,013,000","92,799,000","2,233,652,000","319,161,000","316,653,000","251,094,000","39,608,000","20,700,000","23,900,000",,
	SellingGeneralAndAdministration,"1,018,405,000","268,623,000","253,905,000","255,135,000","263,360,000","246,134,000","244,399,000","241,393,000","242,779,000","224,589,000","232,356,000","277,859,000","231,136,000","229,294,000","228,407,000","257,690,000","225,363,000","235,005,000","229,487,000","245,114,000","225,607,000","279,759,000","232,295,000","245,884,000","244,743,000","242,950,000","228,575,000","235,682,000","215,946,000","210,761,000","204,494,000","218,560,000","206,969,000","210,653,000","193,071,000","196,192,000","178,120,000","173,342,000","157,226,000","153,907,000","134,445,000","129,176,000","118,070,000","144,127,000","130,435,000","133,879,000","122,996,000","117,625,000","105,354,000","98,812,000","97,266,000","108,023,000","98,332,000","98,910,000","89,218,000","91,841,000","78,761,000","76,581,000","78,338,000","80,389,000","75,803,000","74,991,000","69,210,000","69,497,000","67,415,000","67,518,000","64,227,000","59,507,000","53,945,000","51,590,000","44,838,000","38,231,000","34,371,000","29,704,000","28,584,000","28,480,000","24,839,000","24,124,000","25,276,000","24,573,000","25,006,000","28,055,000","27,160,000","74,164,000","29,404,000","30,298,000","28,822,000","28,632,000","33,912,000","41,292,000","42,276,000","62,424,000","59,601,000","49,083,000","23,693,000","10,000,000","13,100,000",,
		GeneralAndAdministrativeExpense,"508,382,000","242,268,000","124,798,000","126,045,000","139,425,000","119,469,000","121,680,000","116,188,000","134,265,000","112,695,000","116,002,000","137,458,000","108,387,000","105,825,000","104,621,000","117,447,000","103,105,000","99,899,000","103,211,000","107,317,000","100,284,000","148,079,000","109,742,000","105,470,000","124,523,000","123,518,000","115,009,000","116,775,000","113,320,000","107,538,000","102,283,000","99,978,000","99,543,000","99,152,000","89,592,000","85,899,000","81,905,000","81,880,000","76,161,000","71,853,000","66,634,000","61,351,000","55,380,000","58,819,000","54,511,000","57,997,000","55,706,000","51,016,000","50,834,000","45,975,000","43,901,000","41,793,000","42,729,000","43,707,000","39,550,000","40,233,000","34,655,000","35,144,000","36,068,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"298,426,000","187,891,000","74,855,000","69,979,000",,"68,862,000","70,753,000","74,876,000","67,777,000","71,097,000","72,812,000","66,593,000","64,461,000","64,852,000","62,556,000","61,792,000","60,717,000","62,270,000","62,279,000","56,270,000","59,920,000","61,143,000","64,816,000","61,546,000","62,385,000","60,146,000","55,006,000","51,231,000","53,499,000","49,522,000","50,169,000","45,963,000","50,687,000","50,778,000","49,294,000","46,945,000","46,500,000","46,459,000","39,620,000","35,960,000","34,200,000","33,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"209,956,000","54,377,000","49,943,000","56,066,000","139,425,000","50,607,000","50,927,000","41,312,000","134,265,000","41,598,000","43,190,000","70,865,000","43,926,000","40,973,000","42,065,000","55,655,000","42,388,000","37,629,000","40,932,000","51,047,000","40,364,000","86,936,000","44,926,000","43,924,000","124,523,000","123,518,000","115,009,000","116,775,000","113,320,000","107,538,000","102,283,000","99,978,000","99,543,000","99,152,000","89,592,000","85,899,000","81,905,000","81,880,000","76,161,000","71,853,000","66,634,000","61,351,000","55,380,000","58,819,000","54,511,000","57,997,000","55,706,000","51,016,000","50,834,000","45,975,000","43,901,000","41,793,000","42,729,000","43,707,000","39,550,000","40,233,000","34,655,000","35,144,000","36,068,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"510,023,000","26,355,000","129,107,000","129,090,000","123,935,000","126,665,000","122,719,000","125,205,000","108,514,000","111,894,000","116,354,000","140,401,000","122,749,000","123,469,000","123,786,000","140,243,000","122,258,000","135,106,000","126,276,000","137,797,000","125,323,000","131,680,000","122,553,000","140,414,000","120,220,000","119,432,000","113,566,000","118,907,000","102,626,000","103,223,000","102,211,000","118,582,000","107,426,000","111,501,000","103,479,000","110,293,000","96,215,000","91,462,000","81,065,000","82,054,000","67,811,000","67,825,000","62,690,000","85,308,000","75,924,000","75,882,000","67,290,000","66,609,000","54,520,000","52,837,000","53,365,000","66,230,000","55,603,000","55,203,000","49,668,000","51,608,000","44,106,000","41,437,000","42,270,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
