name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
OperatingCashFlow,"4,786,000,000","1,169,000,000","601,000,000","970,000,000","2,046,000,000","1,673,000,000","432,000,000","871,000,000","1,329,000,000","1,528,000,000","1,388,000,000","1,319,000,000","1,296,000,000","1,849,000,000","1,027,000,000","1,234,000,000","1,833,000,000","1,348,000,000","714,000,000","1,357,000,000","1,728,000,000","1,464,000,000","626,000,000","1,100,000,000","1,866,000,000","491,000,000","857,000,000","1,251,000,000","1,384,000,000","644,000,000","714,000,000","930,000,000","1,383,000,000","737,000,000","566,000,000","671,000,000","1,364,000,000","727,000,000","474,000,000","1,171,000,000","1,518,000,000","813,000,000","740,000,000","436,000,000","844,000,000","967,000,000","807,000,000","258,000,000","411,000,000","534,000,000","726,000,000","666,000,000","929,000,000","1,130,000,000","964,000,000","786,000,000","1,033,000,000","960,000,000","1,522,000,000","354,000,000","1,257,000,000","1,179,000,000","1,120,000,000","1,315,000,000","1,524,000,000","1,066,000,000","1,528,000,000","1,410,000,000","1,578,000,000","1,216,000,000","851,000,000","336,000,000","2,101,000,000","1,778,000,000","1,390,000,000","639,000,000","1,929,000,000","1,542,000,000","1,358,000,000","832,000,000","1,727,000,000","1,782,000,000","1,350,000,000","944,000,000","1,520,000,000","868,000,000","1,091,000,000","576,000,000","521,000,000","440,000,000","754,000,000","94,000,000","644,000,000","387,000,000","606,000,000","692,000,000","444,000,000","415,000,000","716,000,000","629,000,000","1,004,000,000","369,000,000","889,000,000","635,000,000","986,000,000","963,000,000","758,000,000","938,000,000","511,000,000","565,000,000","1,022,000,000","741,000,000","993,000,000","487,000,000","507,000,000","415,000,000","920,000,000","283,000,000","452,000,000","686,000,000","1,002,000,000","553,000,000","384,000,000"
	CashFlowFromContinuingOperatingActivities,"4,786,000,000","1,169,000,000","601,000,000","970,000,000","2,046,000,000","1,673,000,000","432,000,000","871,000,000","1,329,000,000","1,528,000,000","1,388,000,000","1,319,000,000","1,296,000,000","1,849,000,000","1,027,000,000","1,234,000,000","1,833,000,000","1,348,000,000","714,000,000","1,357,000,000","1,728,000,000","1,464,000,000","626,000,000","1,100,000,000","1,866,000,000","491,000,000","857,000,000","1,251,000,000","1,384,000,000","644,000,000","714,000,000","930,000,000","1,383,000,000","737,000,000","566,000,000","671,000,000","1,364,000,000","727,000,000","474,000,000","1,171,000,000","1,518,000,000","813,000,000","740,000,000","436,000,000","844,000,000","967,000,000","807,000,000","258,000,000","411,000,000","534,000,000","726,000,000","666,000,000","929,000,000","1,130,000,000","964,000,000","786,000,000","1,033,000,000","960,000,000","1,522,000,000","354,000,000","1,257,000,000","1,179,000,000","1,120,000,000","1,315,000,000","1,524,000,000","1,066,000,000","1,528,000,000","1,410,000,000","1,578,000,000","1,216,000,000","851,000,000","336,000,000","2,101,000,000","1,778,000,000","1,390,000,000","639,000,000","1,929,000,000","1,542,000,000","1,358,000,000","832,000,000","1,727,000,000","1,782,000,000","1,350,000,000","944,000,000","1,520,000,000","868,000,000","1,091,000,000","576,000,000","521,000,000","440,000,000","754,000,000","94,000,000","644,000,000","387,000,000","606,000,000","692,000,000","444,000,000","415,000,000","716,000,000","629,000,000","1,004,000,000","369,000,000","889,000,000","635,000,000","986,000,000","963,000,000","758,000,000","938,000,000","511,000,000","565,000,000","1,022,000,000","741,000,000","993,000,000","487,000,000","507,000,000","415,000,000","920,000,000","283,000,000","452,000,000","686,000,000","1,002,000,000","553,000,000","384,000,000"
		NetIncomeFromContinuingOperations,"-2,688,000,000","-1,375,000,000","-321,000,000","-303,000,000","-683,000,000","-1,024,000,000","646,000,000","791,000,000","531,000,000","1,631,000,000","-1,387,000,000","2,624,000,000","1,153,000,000","1,250,000,000","549,000,000","1,773,000,000","931,000,000","851,000,000","1,292,000,000","-269,000,000","870,000,000","676,000,000","975,000,000","1,249,000,000","666,000,000","579,000,000","695,000,000","840,000,000","520,000,000","271,000,000","246,000,000","489,000,000","650,000,000","355,000,000","677,000,000","824,000,000","781,000,000","645,000,000","600,000,000","821,000,000","316,000,000","434,000,000","709,000,000","394,000,000","723,000,000","423,000,000","766,000,000","724,000,000","165,000,000","-620,000,000","519,000,000","296,000,000","367,000,000","145,000,000","120,000,000","518,000,000","221,000,000","389,000,000","-274,000,000","-1,129,000,000","-923,000,000","25,000,000","348,000,000","760,000,000","978,000,000","1,403,000,000","1,495,000,000","1,213,000,000","1,158,000,000","1,207,000,000","1,415,000,000","1,041,000,000","-1,548,000,000","1,149,000,000","1,123,000,000","1,142,000,000","56,000,000","1,034,000,000","949,000,000","761,000,000","691,000,000","588,000,000","665,000,000","447,000,000","248,000,000","13,000,000","426,000,000","264,000,000","226,000,000","168,000,000","500,000,000","547,000,000","644,000,000","459,000,000","561,000,000","425,000,000","490,000,000","770,000,000","1,035,000,000","760,000,000","713,000,000","885,000,000","936,000,000","871,000,000","824,000,000","643,000,000","767,000,000","595,000,000","292,000,000","764,000,000","424,000,000","397,000,000","446,000,000","519,000,000","542,000,000","163,000,000","194,000,000","402,000,000","-275,000,000","259,000,000","326,000,000","397,000,000","320,000,000"
		OperatingGainsLosses,"-429,000,000","52,000,000","-67,000,000","-959,000,000","1,135,000,000","992,000,000","20,000,000","-231,000,000","-286,000,000","-558,000,000","3,183,000,000","-1,046,000,000","-512,000,000","-632,000,000","779,000,000","-956,000,000","28,000,000","-201,000,000","-648,000,000","892,000,000","-177,000,000","23,000,000","133,000,000","-132,000,000","-104,000,000","-93,000,000","-136,000,000","-3,000,000","-34,000,000","-25,000,000","147,000,000","249,000,000","-35,000,000","-109,000,000","-138,000,000","-109,000,000","-267,000,000","-249,000,000","5,000,000","-98,000,000","687,000,000","-362,000,000","-133,000,000","-207,000,000",,"-30,000,000","-171,000,000",,,"90,000,000","-73,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,"0","0","0","0","277,000,000","-217,000,000","-27,000,000","3,998,000,000","-1,000,000","-1,000,000","-1,000,000","-1,000,000","-3,000,000","0","-2,000,000","-1,000,000","-2,000,000","-1,000,000","-2,000,000","-1,000,000","-5,000,000","-1,000,000","-12,000,000","-2,000,000","-1,000,000","-1,000,000","-1,000,000","-2,000,000","-1,000,000","-2,000,000","-1,000,000","1,000,000","-3,000,000","27,000,000","-9,000,000","59,000,000","44,000,000","646,000,000","0","-2,000,000","-3,000,000",,"-3,000,000","-3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-258,000,000","99,000,000","-14,000,000","-760,000,000","832,000,000","733,000,000","267,000,000","-268,000,000","-109,000,000","-397,000,000","-505,000,000","-674,000,000","-440,000,000","-704,000,000","462,000,000","-702,000,000","-197,000,000","-324,000,000","-662,000,000","894,000,000","-176,000,000","25,000,000","134,000,000","-127,000,000","-103,000,000","-81,000,000","-134,000,000","-2,000,000","-33,000,000","-24,000,000","149,000,000","250,000,000","-33,000,000","-108,000,000","-139,000,000","-106,000,000","-294,000,000","-240,000,000","-54,000,000","-142,000,000","41,000,000","-362,000,000","-131,000,000","-204,000,000",,"-27,000,000","-168,000,000",,,,"-96,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"11,000,000","-40,000,000","-53,000,000","25,000,000","79,000,000","259,000,000","-247,000,000","-240,000,000","40,000,000","-134,000,000","-310,000,000","-371,000,000","-71,000,000","73,000,000","318,000,000","-251,000,000","225,000,000","125,000,000","15,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortization,"758,000,000","186,000,000","177,000,000","201,000,000","194,000,000","216,000,000","236,000,000","268,000,000","247,000,000","311,000,000","260,000,000","186,000,000","182,000,000","163,000,000","155,000,000","171,000,000","159,000,000","160,000,000","157,000,000","135,000,000","128,000,000","126,000,000","122,000,000","125,000,000","120,000,000","119,000,000","119,000,000","97,000,000","97,000,000","97,000,000","91,000,000","96,000,000","96,000,000","92,000,000","87,000,000","89,000,000","88,000,000","91,000,000","98,000,000","122,000,000","66,000,000","93,000,000","87,000,000","95,000,000","92,000,000","105,000,000","96,000,000","103,000,000","60,000,000","58,000,000","31,000,000","39,000,000","29,000,000","10,000,000","16,000,000","-4,000,000","-1,000,000","-12,000,000","-74,000,000","-109,000,000","-126,000,000","-82,000,000","-59,000,000","-68,000,000","-75,000,000","-66,000,000","-48,000,000","-32,000,000","-62,000,000","-58,000,000","-36,000,000","-30,000,000","-8,000,000","-10,000,000","-19,000,000","-12,000,000","-5,000,000","5,000,000","8,000,000","-6,000,000","-7,000,000",,,"-12,000,000","-20,000,000","-21,000,000","-9,000,000","-20,000,000","-29,000,000","-29,000,000","-28,000,000","-26,000,000","-8,000,000","-23,000,000","10,000,000","12,000,000","-22,000,000","-1,000,000","-6,000,000","-14,000,000","8,000,000","-11,000,000","-5,000,000","-9,000,000","-8,000,000","-6,000,000","1,000,000",,,"-3,000,000","-8,000,000","-4,000,000","2,000,000",,,"5,000,000","15,000,000","16,000,000","16,000,000","-13,000,000","-2,000,000","22,000,000","19,000,000"
			Depreciation,"758,000,000","186,000,000","177,000,000","201,000,000","194,000,000","216,000,000","236,000,000","268,000,000","247,000,000","311,000,000","260,000,000","186,000,000","182,000,000","163,000,000","155,000,000","171,000,000","159,000,000","160,000,000","157,000,000","135,000,000","128,000,000","126,000,000","122,000,000","125,000,000","120,000,000","119,000,000","119,000,000","97,000,000","97,000,000","97,000,000","91,000,000","96,000,000","96,000,000","92,000,000","87,000,000","89,000,000","88,000,000","91,000,000","98,000,000","122,000,000","66,000,000","93,000,000","87,000,000","95,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
