name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992
TotalRevenue,"54,622,000,000","13,979,000,000","13,786,000,000","13,647,000,000","13,208,000,000","12,220,000,000","12,337,000,000","13,011,000,000","12,480,000,000","12,646,000,000","12,451,000,000","12,018,000,000","11,500,000,000","11,197,000,000","10,076,000,000","11,472,000,000","11,069,000,000","11,144,000,000","10,990,000,000","9,481,000,000","10,465,000,000","10,099,000,000","9,770,000,000","9,843,000,000","9,660,000,000","9,587,000,000","9,434,000,000","9,278,000,000","9,221,000,000","9,164,000,000","8,871,000,000","8,691,000,000","9,028,000,000","8,982,000,000","8,952,000,000","8,759,000,000","8,936,000,000","8,860,000,000","8,684,000,000","8,792,000,000","8,465,000,000","8,787,000,000","8,463,000,000","8,547,000,000","8,128,000,000","8,278,000,000","8,362,000,000","8,236,000,000","8,242,000,000","8,081,000,000","8,095,000,000","8,087,000,000","7,908,000,000","7,656,000,000","7,749,000,000","8,058,000,000","7,582,000,000","8,490,000,000","7,883,000,000","6,569,000,000","7,320,000,000","7,418,000,000","8,087,000,000","8,991,000,000","8,992,000,000","9,455,000,000","9,331,000,000","9,102,000,000","8,738,000,000","8,875,000,000","9,081,000,000","8,945,000,000","8,942,000,000","8,791,000,000","8,705,000,000","8,879,000,000","8,442,000,000","8,304,000,000","8,311,000,000","8,262,000,000","8,127,000,000","7,899,000,000","7,861,000,000","7,587,000,000","7,239,000,000","7,455,000,000","7,298,000,000","7,358,000,000","7,173,000,000","7,203,000,000","7,131,000,000","7,220,000,000","7,445,000,000","7,183,000,000","7,286,000,000","6,999,000,000","6,551,000,000","6,602,000,000","6,807,000,000","6,357,000,000","6,436,000,000","6,627,000,000","6,459,000,000","6,287,000,000","6,393,000,000","6,081,000,000","6,188,000,000","6,036,000,000","6,022,000,000","6,332,000,000","5,909,000,000","5,856,000,000","5,705,000,000","5,844,000,000","5,603,000,000","5,430,000,000","5,394,000,000","5,318,000,000","5,322,000,000","5,283,000,000","5,315,000,000","5,229,000,000","5,118,000,000","5,140,700,000","5,065,700,000","5,020,900,000","5,000,700,000"
	TotalPremiumsEarned,"50,020,000,000","12,923,000,000","12,636,000,000","12,335,000,000","12,124,000,000","11,828,000,000","11,450,000,000","11,311,000,000","11,075,000,000","10,891,000,000","10,762,000,000","9,882,000,000","9,956,000,000","9,827,000,000","9,852,000,000","9,821,000,000","9,719,000,000","9,607,000,000","9,430,000,000","9,332,000,000","9,207,000,000","9,072,000,000","8,902,000,000","8,803,000,000","8,714,000,000","8,609,000,000","8,552,000,000","8,475,000,000","8,440,000,000","8,378,000,000","8,289,000,000","8,231,000,000","8,188,000,000","8,085,000,000","7,963,000,000","7,874,000,000","7,819,000,000","7,722,000,000","7,671,000,000","7,624,000,000","7,556,000,000","7,441,000,000","7,349,000,000","7,310,000,000","7,260,000,000","7,225,000,000","7,183,000,000","7,175,000,000","6,984,000,000","7,004,000,000","7,017,000,000","4,805,000,000","7,047,000,000","7,058,000,000","7,047,000,000","7,015,000,000","7,017,000,000","7,054,000,000","7,066,000,000","7,172,000,000","7,253,000,000","7,221,000,000","7,216,000,000","7,266,000,000","7,268,000,000","7,276,000,000","7,289,000,000","7,342,000,000","7,245,000,000","7,375,000,000","7,371,000,000","7,362,000,000","7,286,000,000","7,235,000,000","7,205,000,000","7,171,000,000","7,059,000,000","6,964,000,000","6,867,000,000","6,896,000,000","6,768,000,000","6,679,000,000","6,638,000,000","6,611,000,000","6,416,000,000","6,385,000,000","6,242,000,000","6,209,000,000","6,177,000,000","6,079,000,000","5,962,000,000","6,034,000,000","6,038,000,000","5,992,000,000","6,012,000,000","5,895,000,000","5,331,000,000","5,272,000,000","5,237,000,000","5,273,000,000","5,247,000,000","5,206,000,000","5,100,000,000","5,152,000,000","5,041,000,000","4,998,000,000","4,915,000,000","4,960,000,000","4,936,000,000","4,954,000,000","4,852,000,000","4,896,000,000","4,732,000,000","4,660,000,000","4,620,000,000","4,545,000,000","4,502,000,000","4,440,000,000","4,374,000,000","4,427,000,000","4,421,000,000","4,339,000,000","4,215,000,000",,,,
		NetPremiumsWritten,,,,,,,,,,,,,,,,,,,,,,,,"8,223,000,000","9,227,000,000","8,910,000,000","8,318,000,000","7,905,000,000","8,912,000,000","8,642,000,000","8,123,000,000","7,542,000,000","8,673,000,000","8,455,000,000","7,797,000,000","7,800,000,000","8,331,000,000","8,119,000,000","7,559,000,000","6,968,000,000","8,074,000,000","7,734,000,000","7,194,000,000","7,190,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GrossPremiumsWritten,,,,,,,,,,,,,,,,,,,,,,,,"9,497,000,000","9,227,000,000","8,910,000,000","8,318,000,000","9,201,000,000","8,912,000,000","8,642,000,000","8,123,000,000","8,880,000,000","8,673,000,000","8,455,000,000","7,797,000,000","7,800,000,000","8,331,000,000","8,119,000,000","7,559,000,000","8,676,000,000","8,074,000,000","7,734,000,000","7,194,000,000","7,190,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		IncreaseDecreaseInNetUnearnedPremiumReserves,,,,,,,,,,,,,,,,,,,,,,,,,"-513,000,000","-301,000,000","234,000,000",,"-472,000,000","-264,000,000","166,000,000",,"-485,000,000","-370,000,000","166,000,000","74,000,000","-512,000,000","-397,000,000","112,000,000",,"-518,000,000","-293,000,000","155,000,000","120,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetInvestmentIncome,"392,000,000","98,000,000","108,000,000","557,000,000","545,000,000","562,000,000","594,000,000","847,000,000","764,000,000","974,000,000","708,000,000","1,191,000,000","832,000,000","409,000,000","421,000,000","685,000,000","866,000,000","927,000,000","634,000,000","782,000,000","839,000,000","820,000,000","785,000,000","900,000,000","815,000,000","847,000,000","689,000,000","731,000,000","675,000,000","683,000,000","650,000,000","560,000,000","633,000,000","746,000,000","801,000,000","713,000,000","770,000,000","853,000,000","878,000,000","996,000,000","862,000,000","924,000,000","946,000,000","979,000,000","940,000,000","1,026,000,000","1,011,000,000","975,000,000","994,000,000","1,020,000,000","982,000,000","998,000,000","1,005,000,000","1,049,000,000","1,050,000,000","1,076,000,000","1,084,000,000","1,108,000,000","1,176,000,000","1,329,000,000","1,355,000,000","1,412,000,000","1,526,000,000","1,627,000,000","1,603,000,000","1,634,000,000","1,571,000,000","1,564,000,000","1,554,000,000","1,548,000,000","1,511,000,000","1,482,000,000","1,457,000,000","1,423,000,000","1,384,000,000","1,378,000,000","1,333,000,000","1,299,000,000","1,274,000,000","1,260,000,000","1,256,000,000","1,231,000,000","1,225,000,000","1,230,000,000","1,242,000,000","1,223,000,000","1,159,000,000","1,181,000,000","1,200,000,000","1,195,000,000","1,220,000,000","1,231,000,000","1,183,000,000","1,129,000,000","1,090,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetRealizedGainLossOnInvestments,"1,831,000,000","361,000,000","481,000,000","95,000,000","-22,000,000","-733,000,000","-267,000,000","266,000,000","105,000,000","287,000,000","426,000,000","674,000,000","440,000,000","704,000,000","-462,000,000","706,000,000","211,000,000","339,000,000","676,000,000","-890,000,000","181,000,000","-21,000,000","-133,000,000","140,000,000","131,000,000","131,000,000","193,000,000","72,000,000","106,000,000","103,000,000","-68,000,000","-100,000,000","207,000,000","151,000,000","188,000,000","172,000,000","347,000,000","285,000,000","135,000,000","172,000,000","47,000,000","422,000,000","168,000,000","258,000,000","-72,000,000","27,000,000","168,000,000","86,000,000","264,000,000","57,000,000","96,000,000","116,000,000","-144,000,000","-451,000,000","-348,000,000","-33,000,000","-519,000,000","328,000,000","-359,000,000","-1,932,000,000","-1,288,000,000","-1,215,000,000","-655,000,000","98,000,000","121,000,000","545,000,000","471,000,000","196,000,000","-61,000,000","-48,000,000","199,000,000","101,000,000","199,000,000","133,000,000","116,000,000","330,000,000","50,000,000","41,000,000","170,000,000","106,000,000","103,000,000","-11,000,000","-2,000,000","-254,000,000","-419,000,000","-153,000,000","-103,000,000","-32,000,000","-204,000,000","-71,000,000","-51,000,000","-45,000,000","224,000,000","62,000,000","184,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	FeeRevenueAndOtherIncome,"2,379,000,000","597,000,000","561,000,000","660,000,000","561,000,000","563,000,000","560,000,000","587,000,000","536,000,000","494,000,000","555,000,000","271,000,000","272,000,000","257,000,000","265,000,000","260,000,000","273,000,000","271,000,000","250,000,000","257,000,000","238,000,000","228,000,000","216,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,965,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,220,000,000","1,330,000,000","1,570,000,000",,"1,189,000,000","1,421,000,000","1,359,000,000",,"1,352,000,000","1,083,000,000","1,273,000,000",,"1,086,000,000","1,378,000,000","1,057,000,000","960,000,000","973,000,000","1,184,000,000","983,000,000","885,000,000","892,000,000","878,000,000","948,000,000","856,000,000","894,000,000","890,000,000","903,000,000",,,,
		OtherIncomeExpense,,"597,000,000","561,000,000","660,000,000","561,000,000","563,000,000","560,000,000","587,000,000","536,000,000","494,000,000","555,000,000","271,000,000","272,000,000","257,000,000","265,000,000","260,000,000","273,000,000","271,000,000","250,000,000","257,000,000","238,000,000","228,000,000","216,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,965,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,220,000,000","1,330,000,000","1,570,000,000",,"1,189,000,000","1,421,000,000","1,359,000,000",,"1,352,000,000","1,083,000,000","1,273,000,000",,"1,086,000,000","1,378,000,000","1,057,000,000","960,000,000","973,000,000","1,184,000,000","983,000,000","885,000,000","892,000,000","878,000,000","948,000,000","856,000,000","894,000,000","890,000,000","903,000,000",,,,
TotalExpenses,"58,124,000,000","15,727,000,000","14,192,000,000","14,067,000,000","14,128,000,000","13,535,000,000","11,540,000,000","11,618,000,000","12,254,000,000","10,849,000,000","9,419,000,000","8,708,000,000","10,058,000,000","9,651,000,000","9,415,000,000","9,241,000,000","9,909,000,000","10,066,000,000","9,370,000,000","9,845,000,000","9,426,000,000","9,254,000,000","8,546,000,000","8,686,000,000","8,689,000,000","8,736,000,000","8,422,000,000","8,020,000,000","8,456,000,000","8,788,000,000","8,516,000,000","7,971,000,000","8,073,000,000","8,456,000,000","7,871,000,000","7,517,000,000","7,746,000,000","7,905,000,000","7,835,000,000","7,549,000,000","7,956,000,000","8,173,000,000","7,433,000,000","8,003,000,000","7,080,000,000","7,676,000,000","7,250,000,000","7,184,000,000","8,039,000,000","9,110,000,000","7,361,000,000","7,724,000,000","7,418,000,000","7,490,000,000","7,642,000,000","7,365,000,000","7,357,000,000","8,029,000,000","8,014,000,000","8,391,000,000","8,864,000,000","7,504,000,000","7,660,000,000","7,954,000,000","7,606,000,000","7,411,000,000","7,145,000,000","7,370,000,000","7,096,000,000","7,127,000,000","7,025,000,000","7,474,000,000","11,504,000,000","7,150,000,000","7,167,000,000","7,295,000,000","8,510,000,000","6,818,000,000","6,727,000,000","7,179,000,000","7,229,000,000","7,180,000,000","6,990,000,000","7,180,000,000","7,026,000,000","7,052,000,000","6,781,000,000","7,063,000,000","7,004,000,000","7,056,000,000","6,457,000,000","6,508,000,000","6,536,000,000","6,545,000,000","6,498,000,000","21,325,000,000","592,000,000","553,000,000","582,000,000","19,559,000,000","529,000,000","548,000,000","498,000,000","19,022,000,000","501,000,000","515,000,000","477,000,000","19,819,000,000","607,000,000","623,000,000","581,000,000","2,161,000,000","18,000,000","21,000,000","15,000,000","816,000,000","823,000,000","826,000,000","792,000,000","848,000,000","889,000,000","850,000,000","775,000,000",,,,
