name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
OperatingCashFlow,"1,261,000,000","932,000,000","184,000,000","405,000,000","-260,000,000","937,000,000","266,000,000","435,000,000","-112,000,000","844,000,000","175,000,000","552,000,000","-110,000,000","913,700,000","128,300,000","431,400,000","-89,400,000","654,700,000",
	CashFlowFromContinuingOperatingActivities,"1,261,000,000","932,000,000","184,000,000","405,000,000","-260,000,000","937,000,000","266,000,000","435,000,000","-112,000,000","844,000,000","175,000,000","552,000,000","-110,000,000","914,700,000","128,300,000","431,400,000","-89,400,000","654,700,000",
		NetIncomeFromContinuingOperations,"1,058,000,000","184,000,000","179,000,000","461,000,000","234,000,000","112,000,000","271,000,000","229,000,000","203,000,000","259,000,000","270,000,000","222,000,000","200,000,000","177,600,000","183,600,000","187,800,000","68,000,000","82,900,000",
		OperatingGainsLosses,"-186,000,000","-1,000,000","0","-204,000,000","-15,000,000","-7,000,000","0","12,000,000","-10,000,000","-2,000,000","-38,000,000","13,000,000","-10,000,000","5,900,000","-15,800,000","7,600,000","5,600,000","-176,200,000",
			GainLossOnSaleOfBusiness,"-220,000,000","-1,000,000","0",,,"0","0","0","0","2,000,000","-52,000,000","0","6,000,000",,,,,,
			GainLossOnSaleOfPPE,"-5,000,000","0","0",,,"-3,000,000","0","0","0","-8,000,000","-1,000,000","0","-1,000,000","-3,100,000","0","-300,000","-200,000","-164,700,000",
			NetForeignCurrencyExchangeGainLoss,"28,000,000","-1,000,000","4,000,000","42,000,000","-17,000,000","-11,000,000","-1,000,000","9,000,000","-11,000,000","-2,000,000","12,000,000","10,000,000","1,000,000","-17,400,000","-13,800,000","8,500,000","6,500,000","-6,100,000",
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,"200,000","0",,,"3,600,000",
			EarningsLossesFromEquityInvestments,"0",,,,,"0","0","0","0","0","0","0","-19,000,000","22,100,000","-3,600,000","-2,200,000","-2,300,000","-5,400,000",
			PensionAndEmployeeBenefitExpense,"11,000,000","5,000,000","2,000,000","2,000,000","2,000,000","7,000,000","1,000,000","3,000,000","1,000,000","6,000,000","3,000,000","3,000,000","3,000,000","4,300,000","1,600,000","1,600,000","1,600,000","4,400,000",
		DepreciationAmortizationDepletion,"586,000,000","158,000,000","144,000,000","133,000,000","151,000,000","146,000,000","147,000,000","155,000,000","177,000,000","148,000,000","139,000,000","142,000,000","145,000,000","152,700,000","167,500,000","147,500,000","184,300,000","183,400,000",
			DepreciationAndAmortization,"586,000,000","158,000,000","144,000,000","133,000,000","151,000,000","146,000,000","147,000,000","155,000,000","177,000,000","148,000,000","139,000,000","142,000,000","145,000,000","152,700,000","167,500,000","147,500,000","184,300,000","183,400,000",
				Depreciation,"586,000,000","158,000,000","144,000,000","133,000,000","151,000,000","146,000,000","147,000,000","155,000,000","177,000,000",,,,,"152,700,000","167,500,000","147,500,000","184,300,000","183,400,000",
		DeferredTax,"-57,000,000","-14,000,000","-31,000,000","4,000,000","-16,000,000","11,000,000","-30,000,000","-3,000,000","-11,000,000","11,000,000","-12,000,000","8,000,000","-3,000,000","16,500,000","-13,300,000","-80,300,000","-36,600,000","74,800,000",
			DeferredIncomeTax,"-57,000,000","-14,000,000","-31,000,000","4,000,000","-16,000,000","11,000,000","-30,000,000","-3,000,000","-11,000,000","11,000,000","-12,000,000","8,000,000","-3,000,000","16,500,000","-13,300,000","-80,300,000","-36,600,000","74,800,000",
		AssetImpairmentCharge,"0"
		StockBasedCompensation,"54,000,000","12,000,000","13,000,000","13,000,000","16,000,000","16,000,000","16,000,000","16,000,000","15,000,000","14,000,000","16,000,000","14,000,000","14,000,000","10,400,000","10,500,000","7,100,000","6,000,000","6,700,000",
		OtherNonCashItems,"71,000,000","-13,000,000","34,000,000","26,000,000","55,000,000","20,000,000","51,000,000","14,000,000","70,000,000","-33,000,000","27,000,000","2,000,000","-16,000,000","-104,700,000","44,300,000","-900,000","31,500,000","-79,700,000",
