name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997
TotalRevenue,"14,694,000,000","3,673,000,000","3,667,000,000","3,642,000,000","3,712,000,000","3,909,000,000","3,708,000,000","3,507,000,000","3,420,000,000","3,454,000,000","3,207,000,000","3,103,000,000","3,097,000,000","3,143,200,000","3,141,000,000","3,043,100,000","3,140,700,000","2,602,900,000","2,309,900,000","2,285,400,000",,,,,,,,,,,,,,,,,,,,,,,
	OperatingRevenue,"14,694,000,000","3,673,000,000","3,667,000,000","3,642,000,000","3,712,000,000","3,909,000,000","3,708,000,000","3,507,000,000","3,420,000,000","3,454,000,000","3,207,000,000","3,103,000,000","3,097,000,000","3,143,200,000","3,141,000,000","3,043,100,000","3,140,700,000","2,602,900,000","2,309,900,000","2,285,400,000",,,,,,,,,,,,,,,,,,,,,,,
CostOfRevenue,"11,969,000,000","2,951,000,000","2,994,000,000","2,980,000,000","3,044,000,000","3,115,000,000","2,977,000,000","2,862,000,000","2,770,000,000","2,709,000,000","2,525,000,000","2,452,000,000","2,443,000,000","2,423,200,000","2,489,000,000","2,425,800,000","2,594,000,000","2,068,000,000","1,890,100,000","1,832,400,000",,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"2,725,000,000","722,000,000","673,000,000","662,000,000","668,000,000","794,000,000","731,000,000","645,000,000","650,000,000","745,000,000","682,000,000","651,000,000","654,000,000","720,000,000","652,000,000","617,300,000","546,700,000","534,900,000","419,800,000","453,000,000",,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"1,321,000,000","338,000,000","341,000,000","316,000,000","325,000,000","335,000,000","353,000,000","313,000,000","346,000,000","308,000,000","333,000,000","321,000,000","355,000,000","355,900,000","360,700,000","320,900,000","388,500,000","253,400,000","230,000,000","191,600,000",,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,246,000,000","329,000,000","317,000,000","298,000,000","302,000,000","342,000,000","326,000,000","303,000,000","313,000,000","330,000,000","325,000,000","308,000,000","329,000,000","351,600,000","353,200,000","308,300,000","371,900,000","374,800,000","220,600,000","205,300,000",,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"101,000,000","25,000,000","27,000,000","24,000,000","25,000,000","24,000,000","24,000,000","23,000,000","25,000,000","26,000,000","25,000,000","23,000,000","26,000,000","22,700,000","24,900,000","23,500,000","25,900,000","16,700,000","15,800,000","17,300,000",,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"-26,000,000","-16,000,000","-3,000,000","-6,000,000","-2,000,000","-31,000,000","3,000,000","-13,000,000","8,000,000","-48,000,000","-17,000,000","-10,000,000",,"-18,400,000","-17,400,000","-10,900,000","-9,300,000","-138,100,000","-6,400,000","-31,000,000",,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"1,404,000,000","384,000,000","332,000,000","346,000,000","343,000,000","459,000,000","378,000,000","332,000,000","304,000,000","437,000,000","349,000,000","330,000,000","299,000,000","364,100,000","291,300,000","296,400,000","158,200,000","281,500,000","189,800,000","261,400,000",,,,,,,,,,,,,,,,,,,,,,,
NetNonOperatingInterestIncomeExpense,"-259,000,000","-70,000,000","-71,000,000","-68,000,000","-50,000,000","-35,000,000","-31,000,000","-34,000,000","-35,000,000","-36,000,000","-33,000,000","-33,000,000","-37,000,000","-45,500,000","-40,500,000","-46,000,000","-53,000,000","-43,400,000","-47,600,000","-46,900,000",,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"31,000,000","-4,000,000","15,000,000","11,000,000","9,000,000","9,000,000","5,000,000","5,000,000","5,000,000","4,000,000","3,000,000","4,000,000","3,000,000","3,900,000","5,300,000","6,300,000","6,700,000","5,200,000","3,500,000","5,200,000",,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"290,000,000","70,000,000","71,000,000","68,000,000","50,000,000","35,000,000","31,000,000","34,000,000","35,000,000","26,000,000","33,000,000","33,000,000","37,000,000","27,200,000","45,800,000","52,300,000","59,700,000","48,600,000","51,100,000","52,100,000",,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"106,000,000","-62,000,000","-48,000,000","216,000,000","-1,000,000","-208,000,000","-4,000,000","-8,000,000","-3,000,000","-68,000,000","25,000,000","-20,000,000","-20,000,000","-54,600,000","-14,700,000","-19,700,000","-10,000,000","-70,600,000","-7,400,000","-34,200,000",,,,,,,,,,,,,,,,,,,,,,,
