name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004
TotalRevenue,"14,778,000,000","3,876,000,000","3,742,000,000","3,617,000,000","3,491,000,000","3,508,000,000","3,655,000,000","3,760,000,000","2,903,000,000","3,418,000,000","3,350,000,000","3,183,000,000","3,003,000,000","2,712,000,000","3,001,000,000","3,074,000,000","3,317,000,000","3,245,000,000","3,118,000,000","3,179,000,000","3,292,000,000","3,196,000,000","3,168,000,000","3,160,000,000","2,981,000,000","2,985,000,000","2,901,000,000","3,062,000,000","2,998,000,000","2,871,000,000","2,765,000,000","3,103,000,000","2,886,000,000","3,128,000,000","3,053,000,000","3,089,000,000","3,111,000,000","3,072,000,000","2,996,000,000","2,946,000,000","2,813,000,000","2,749,000,000","2,691,000,000","2,674,000,000","2,479,000,000","2,524,000,000","2,561,000,000","2,629,000,000","2,467,000,000","2,634,000,000","2,654,000,000","2,692,000,000","2,465,000,000","2,406,000,000","2,292,000,000","2,259,000,000","1,950,000,000","1,877,000,000","1,719,000,000","1,610,000,000","1,614,000,000","3,353,000,000","2,086,000,000","2,207,000,000","2,202,000,000","2,182,000,000","2,063,000,000","2,161,000,000","1,977,000,000","2,053,000,000","1,949,000,000","1,869,000,000","1,873,000,000","1,945,000,000","1,899,000,000","2,061,000,000","1,712,000,000"
	TotalPremiumsEarned,"1,476,000,000","383,000,000","362,000,000","317,000,000","361,000,000","365,000,000","368,000,000","367,000,000","-805,000,000","364,000,000","347,000,000","1,146,000,000","80,000,000","78,000,000","91,000,000","93,000,000","374,000,000","376,000,000","371,000,000","363,000,000","363,000,000","357,000,000","343,000,000","359,000,000","348,000,000","348,000,000","339,000,000","377,000,000","374,000,000","372,000,000","368,000,000","374,000,000","360,000,000","368,000,000","353,000,000","359,000,000","351,000,000","345,000,000","330,000,000","333,000,000","324,000,000","315,000,000","310,000,000","311,000,000","309,000,000","302,000,000","301,000,000","305,000,000","311,000,000","312,000,000","292,000,000","295,000,000","303,000,000","299,000,000","282,000,000","287,000,000","276,000,000","269,000,000","266,000,000","282,000,000","276,000,000","268,000,000","265,000,000","338,000,000","246,000,000","243,000,000","236,000,000","239,000,000","244,000,000","229,000,000","220,000,000","228,000,000","202,000,000","279,000,000","270,000,000","264,000,000","262,000,000"
	NetInvestmentIncome,"454,000,000","811,000,000","698,000,000","577,000,000","349,000,000","287,000,000","261,000,000","255,000,000","773,000,000","278,000,000","377,000,000","36,000,000","21,000,000","18,000,000","25,000,000","12,000,000","17,000,000","24,000,000","40,000,000","49,000,000","43,000,000","80,000,000","61,000,000","7,000,000","35,000,000","35,000,000","37,000,000","135,000,000","39,000,000","24,000,000","4,000,000","113,000,000","-15,000,000","63,000,000","120,000,000","17,000,000","59,000,000","57,000,000","92,000,000","77,000,000","95,000,000","48,000,000","87,000,000","6,000,000","427,000,000","472,000,000","531,000,000","588,000,000","445,000,000","498,000,000","515,000,000","542,000,000","527,000,000","499,000,000","590,000,000","525,000,000","542,000,000","552,000,000","421,000,000",,,,,,,,,,,,,,,,,,
	NetRealizedGainLossOnInvestments,"1,981,000,000","651,000,000","575,000,000","479,000,000","276,000,000","244,000,000","234,000,000","209,000,000","748,000,000","276,000,000","335,000,000","282,000,000","279,000,000","287,000,000","303,000,000","330,000,000","339,000,000","344,000,000","357,000,000","346,000,000","343,000,000","339,000,000","335,000,000","348,000,000","337,000,000","356,000,000","354,000,000","351,000,000","348,000,000","348,000,000","327,000,000","347,000,000","336,000,000","360,000,000","364,000,000","392,000,000","369,000,000","376,000,000","379,000,000","381,000,000","396,000,000","403,000,000","402,000,000","497,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncome,"-305,000,000","-131,000,000","-103,000,000","-56,000,000","-15,000,000","-3,000,000","-2,000,000","-2,000,000","-3,000,000","-2,000,000","-5,000,000","-6,000,000","-10,000,000","-18,000,000","-25,000,000","-30,000,000","-34,000,000","-37,000,000","-35,000,000","-29,000,000","-24,000,000","-20,000,000","-16,000,000","-14,000,000","-12,000,000","-12,000,000","-10,000,000","-10,000,000","-12,000,000","-8,000,000","-9,000,000","-9,000,000","-7,000,000","-7,000,000","-7,000,000","-7,000,000","-7,000,000","-7,000,000","-7,000,000","-7,000,000","-8,000,000","-8,000,000","-8,000,000","-10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	FeeRevenueAndOtherIncome,"11,172,000,000","2,813,000,000","2,785,000,000","2,779,000,000","2,796,000,000","2,859,000,000","3,028,000,000","3,140,000,000","2,938,000,000","2,778,000,000","2,631,000,000","1,725,000,000","2,633,000,000","2,347,000,000","2,607,000,000","2,669,000,000","2,621,000,000","2,538,000,000","2,385,000,000","2,450,000,000","2,567,000,000","2,440,000,000","2,445,000,000","2,460,000,000","2,273,000,000","2,258,000,000","2,181,000,000","2,209,000,000","2,249,000,000","2,135,000,000","2,075,000,000","2,278,000,000","2,212,000,000","2,344,000,000","2,223,000,000","2,328,000,000","2,339,000,000","2,301,000,000","2,202,000,000","2,162,000,000","2,006,000,000","1,991,000,000","1,900,000,000","1,870,000,000","1,743,000,000","1,750,000,000","1,729,000,000","1,736,000,000","1,711,000,000","1,824,000,000","1,847,000,000","1,855,000,000","1,635,000,000","1,608,000,000","1,420,000,000","1,447,000,000","1,132,000,000","1,056,000,000","1,032,000,000","500,000,000","1,338,000,000","3,085,000,000","1,821,000,000","1,869,000,000","1,956,000,000","1,939,000,000","1,827,000,000","1,922,000,000","1,733,000,000","1,824,000,000","1,729,000,000","1,641,000,000","1,671,000,000","1,666,000,000","1,629,000,000","1,797,000,000","1,450,000,000"
		FeesAndCommissions,"10,665,000,000","2,681,000,000","2,654,000,000","2,653,000,000","2,678,000,000","2,735,000,000","2,905,000,000","3,017,000,000","2,825,000,000","2,703,000,000","2,560,000,000","2,425,000,000","2,293,000,000","2,077,000,000","2,234,000,000","2,331,000,000","2,274,000,000","2,222,000,000","2,107,000,000","2,151,000,000","2,209,000,000","2,156,000,000","2,137,000,000","2,183,000,000","2,063,000,000","1,991,000,000","1,925,000,000","1,946,000,000","1,919,000,000","1,887,000,000","1,821,000,000","1,957,000,000","1,916,000,000","1,990,000,000","1,934,000,000","1,973,000,000","1,947,000,000","1,922,000,000","1,862,000,000","1,845,000,000","1,759,000,000","1,742,000,000","1,678,000,000","1,644,000,000","1,582,000,000","1,548,000,000","1,534,000,000","1,472,000,000","1,516,000,000","416,000,000","1,651,000,000","1,641,000,000","1,455,000,000","1,418,000,000","1,165,000,000","1,246,000,000","1,056,000,000","957,000,000","865,000,000","941,000,000","1,097,000,000",,,,,,,,,,,,,,,,
		OtherIncomeExpense,"507,000,000","132,000,000","131,000,000","126,000,000","118,000,000","124,000,000","123,000,000","123,000,000","113,000,000","75,000,000","71,000,000","-700,000,000","340,000,000","270,000,000","373,000,000","338,000,000","347,000,000","316,000,000","278,000,000","299,000,000","358,000,000","284,000,000","308,000,000","277,000,000","210,000,000","267,000,000","256,000,000","263,000,000","330,000,000","248,000,000","254,000,000","321,000,000","296,000,000","354,000,000","289,000,000","355,000,000","392,000,000","379,000,000","340,000,000","317,000,000","247,000,000","249,000,000","222,000,000","226,000,000","161,000,000","202,000,000","195,000,000","264,000,000","195,000,000","1,408,000,000","196,000,000","214,000,000","180,000,000","190,000,000","255,000,000","201,000,000","76,000,000","99,000,000","167,000,000","-441,000,000","241,000,000","3,085,000,000","1,821,000,000","1,869,000,000","1,956,000,000","1,939,000,000","1,827,000,000","1,922,000,000","1,733,000,000","1,824,000,000","1,729,000,000","1,641,000,000","1,671,000,000","1,666,000,000","1,629,000,000","1,797,000,000","1,450,000,000"
TotalExpenses,"11,752,000,000","2,749,000,000","3,246,000,000","2,998,000,000","2,806,000,000","2,553,000,000","2,732,000,000","2,894,000,000","1,633,000,000","2,697,000,000","2,857,000,000","2,993,000,000","3,187,000,000","3,238,000,000","650,000,000","2,540,000,000","2,676,000,000","2,658,000,000","2,648,000,000","2,527,000,000","2,704,000,000","2,648,000,000","2,472,000,000","2,560,000,000","2,353,000,000","2,474,000,000","2,426,000,000","2,593,000,000","2,760,000,000","2,461,000,000","2,290,000,000","2,657,000,000","2,423,000,000","2,513,000,000","2,435,000,000","2,531,000,000","2,391,000,000","2,453,000,000","2,346,000,000","2,467,000,000","2,211,000,000","2,347,000,000","2,204,000,000","2,256,000,000","2,280,000,000","2,225,000,000","2,239,000,000","2,277,000,000","2,220,000,000","2,235,000,000","2,383,000,000","2,367,000,000","2,023,000,000","2,079,000,000","1,931,000,000","1,928,000,000","1,610,000,000","1,762,000,000","1,585,000,000","2,251,000,000","1,776,000,000","3,116,000,000","1,891,000,000","1,869,000,000","1,985,000,000","1,937,000,000","1,847,000,000","1,958,000,000","1,760,000,000","1,867,000,000","1,758,000,000","1,742,000,000","1,692,000,000","707,000,000","671,000,000","1,740,000,000","1,451,000,000"
	LossAdjustmentExpense,"1,935,000,000","228,000,000","785,000,000","709,000,000","370,000,000","82,000,000","211,000,000","378,000,000","-719,000,000","404,000,000","653,000,000","982,000,000","1,104,000,000","1,467,000,000","-1,747,000,000","728,000,000","594,000,000","584,000,000","670,000,000","444,000,000","729,000,000","635,000,000","494,000,000","581,000,000","474,000,000","611,000,000","567,000,000","712,000,000","855,000,000","597,000,000","482,000,000","714,000,000","471,000,000","543,000,000","533,000,000","568,000,000","458,000,000","506,000,000","450,000,000","563,000,000","492,000,000","490,000,000","409,000,000","429,000,000","529,000,000","396,000,000","492,000,000","512,000,000","257,000,000","406,000,000","384,000,000","465,000,000","640,000,000","298,000,000","354,000,000","349,000,000","306,000,000","587,000,000","100,000,000",,,,"407,000,000","442,000,000","383,000,000","230,000,000","219,000,000","245,000,000","233,000,000","225,000,000","227,000,000","234,000,000","190,000,000",,,"223,000,000","205,000,000"
