name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
OperatingCashFlow,"4,397,200,000","1,209,400,000","1,070,500,000","1,185,000,000","932,300,000","915,300,000","663,600,000","678,900,000","2,096,400,000","951,900,000","1,092,700,000","1,132,300,000","960,300,000","988,800,000","800,000,000","993,700,000","937,200,000","1,036,600,000","785,100,000","1,263,200,000","753,300,000","940,000,000","791,800,000","793,848,000","653,294,000","795,361,000","683,097,000","725,173,000","667,115,000","747,804,000","563,512,000","639,437,000","507,155,000","526,530,000","509,930,000","564,983,000","497,224,000","595,800,000","476,582,000","454,604,000","359,922,000","390,485,000","394,036,000","297,844,000","353,672,000","360,858,000","402,017,000","315,944,000","290,660,000","275,522,000","283,816,000","246,358,000","258,223,000","262,747,000","253,649,000","192,727,000","240,053,000","203,608,000","205,738,000","186,932,000","227,193,000","176,751,000","182,382,000","128,878,000","181,637,000","210,777,000","171,387,000","145,569,000","182,528,000","140,945,000","151,696,000","137,000,000","95,195,000","72,454,000","92,555,000","67,537,000","43,773,000","73,674,000","31,716,000","76,361,000","29,438,000","43,528,000","7,059,000","70,010,000","2,667,000","40,475,000","-8,003,000","47,088,000","13,877,000","2,612,000","-37,507,000","12,740,000","4,927,000","-30,279,000","-12,429,000","40,450,000","30,717,000","17,276,000","8,568,000","15,551,000","11,612,000","-6,996,837","-1,737,163"
	CashFlowFromContinuingOperatingActivities,"4,397,200,000","1,209,400,000","1,070,500,000","1,185,000,000","932,300,000","915,300,000","663,600,000","678,900,000","2,096,400,000","951,900,000","1,092,700,000","1,132,300,000","960,300,000","988,800,000","800,000,000","993,700,000","937,200,000","1,036,600,000","785,100,000","1,263,200,000","753,300,000","940,000,000","791,800,000","793,848,000","653,294,000","795,361,000","683,097,000","725,173,000","667,115,000","747,804,000","563,512,000","639,437,000","507,155,000","526,530,000","509,930,000","564,983,000","497,224,000","595,800,000","476,582,000","454,604,000","359,922,000","390,485,000","394,036,000","297,844,000","353,672,000","360,858,000","402,017,000","315,944,000","290,660,000","275,522,000","283,816,000","246,358,000","258,223,000","262,747,000","253,649,000","192,727,000","240,053,000","203,608,000","205,738,000","186,932,000","122,255,000","281,689,000","182,382,000","128,878,000","181,637,000","210,777,000","171,387,000","145,569,000","182,528,000","140,945,000","151,696,000","137,000,000","95,195,000","72,454,000","92,555,000","67,537,000","43,773,000","73,674,000","31,716,000","76,361,000","29,438,000","43,528,000","7,059,000","70,010,000","2,667,000","40,475,000","-8,003,000","47,088,000","13,877,000","2,612,000","-37,507,000","12,740,000","4,927,000","-30,279,000","-12,429,000","40,450,000","30,717,000","17,276,000","8,568,000","15,551,000","11,612,000","-6,996,837","-1,737,163"
		NetIncomeFromContinuingOperations,"879,600,000","461,500,000","315,000,000","-716,600,000","819,700,000","890,900,000","702,700,000","441,200,000","726,200,000","747,900,000","652,300,000","361,600,000","462,900,000","448,400,000","418,600,000","569,400,000","505,300,000","434,300,000","407,600,000","292,700,000","377,300,000","314,400,000","280,300,000","194,816,000","334,684,000","388,490,000","307,410,000","232,853,000","263,735,000","192,464,000","281,307,000","221,595,000","97,740,000","157,180,000","195,492,000","181,597,000","206,630,000","221,659,000","193,313,000","73,925,000","163,222,000","84,113,000","160,948,000","118,153,000","231,825,000","33,689,000","210,358,000","196,434,000","-19,726,000",,,"83,703,000","93,601,000","99,819,000","96,483,000","64,302,000","67,579,000","56,487,000","58,759,000","85,839,000","60,466,000","158,786,000","42,155,000","-5,549,000","59,628,000","-19,991,000","22,228,000","18,285,000","3,472,000","8,312,000","-2,585,000","-87,341,000","-20,870,000","-31,818,000","-31,561,000","-88,268,000","-55,904,000","-60,535,000","-42,880,000","-51,217,000","-52,862,000","-107,715,000","-91,623,000","-52,444,000","-353,877,000","-663,787,000","-71,771,000","-149,709,000","-124,938,000","-103,940,000","-71,507,000","-54,471,000",,,,,,,,,,,
		OperatingGainsLosses,,,,"-401,200,000",,,,"12,500,000","0","0","25,700,000","299,600,000","37,200,000","0","34,600,000","46,200,000","0","22,100,000","100,000",,,,,"-17,697,000","14,183,000","274,000","55,440,000","127,039,000","0",,,"143,654,000","0","75,068,000","3,725,000","70,707,000","-2,716,000","1,031,000","238,000","222,390,000","0","0","35,288,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"160,603,000",,,"110,097,000","109,829,000",,,,,,,,,"393,114,000","0",,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"3,271,500,000","764,600,000","794,100,000","814,700,000","898,100,000","826,500,000","815,800,000","643,900,000","611,400,000","554,800,000","522,500,000","481,000,000","473,200,000","454,800,000","473,300,000","9,700,000","584,100,000","595,100,000","589,500,000","765,900,000","448,900,000","449,700,000","446,300,000","466,051,000","432,354,000","396,355,000","421,140,000","388,237,000","397,999,000","397,765,000","341,634,000","352,356,000","341,096,000","328,356,000","263,520,000","263,546,000","249,066,000","245,427,000","245,763,000","244,811,000","184,922,000","184,608,000","185,804,000","178,488,000","144,061,000","172,072,000","149,655,000","143,615,000","142,113,000","138,558,000","131,231,000","124,105,000","115,383,000","110,403,000","110,835,000","106,745,000","105,543,000","102,463,000","99,868,000","104,174,000","104,389,000","99,697,000","97,072,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DepreciationAndAmortization,"3,271,500,000","764,600,000","794,100,000","814,700,000","898,100,000","826,500,000","815,800,000","643,900,000","611,400,000","554,800,000","522,500,000","481,000,000","473,200,000","454,800,000","473,300,000","9,700,000","584,100,000","595,100,000","589,500,000","765,900,000","448,900,000","449,700,000","446,300,000","466,051,000","432,354,000","396,355,000","421,140,000","388,237,000","397,999,000","397,765,000","341,634,000","352,356,000","341,096,000","328,356,000","263,520,000","263,546,000","249,066,000","245,427,000","245,763,000","244,811,000","184,922,000","184,608,000","185,804,000","178,488,000",,,,,,,,,,,,,,,,,"104,389,000","99,697,000","97,072,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Depreciation,,,,"814,700,000","898,100,000","826,500,000","815,800,000","643,900,000",,,,"470,100,000","473,200,000","454,800,000","473,300,000",,"584,100,000","595,100,000","589,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"188,327,000","0",,,"159,954,000","-3,000",,,"197,479,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"188,327,000","0",,,"159,954,000","-3,000",,,"197,479,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"185,300,000","49,400,000","65,500,000","31,200,000","39,200,000","42,200,000","56,700,000","21,500,000","28,100,000","31,900,000","38,000,000","21,800,000","24,100,000","27,200,000","47,700,000","23,500,000","23,500,000","21,900,000","42,500,000","26,200,000","43,800,000","24,800,000","42,700,000","22,077,000","24,463,000","25,738,000","36,222,000","19,686,000","20,226,000","21,907,000","28,079,000","18,286,000","18,345,000","24,045,000","29,861,000","18,445,000","18,269,000","18,835,000","24,604,000","14,983,000","15,058,000","17,055,000","21,042,000","12,329,000","13,058,000","13,551,000","13,045,000","11,252,000","12,140,000","11,687,000","12,358,000","12,409,000","13,354,000","13,227,000","13,565,000","10,546,000","12,950,000","12,836,000","24,338,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"1,004,100,000","112,900,000","190,400,000","1,149,800,000","-449,000,000","-403,200,000","-259,400,000","-45,900,000","-132,500,000","-111,000,000","-83,400,000","-226,100,000","79,100,000","87,400,000","81,600,000","-120,500,000","77,300,000","57,600,000","28,900,000","-172,400,000","-11,500,000","109,200,000","96,800,000","26,574,000","43,648,000","-4,964,000","-45,258,000","-102,468,000","66,706,000","41,013,000","12,451,000","-136,480,000","67,881,000","9,222,000","66,309,000","-78,695,000","25,189,000","43,576,000","5,060,000","-156,810,000","36,460,000","135,442,000","-7,496,000","-68,565,000","-33,005,000","141,002,000","-28,342,000","-268,318,000","185,503,000","-43,513,000","145,296,000","-145,446,000","69,831,000","40,218,000","34,625,000","-134,225,000","93,120,000","50,559,000","38,525,000","-260,598,000","54,974,000","50,470,000","49,966,000","-463,731,000","155,143,000","197,064,000","169,011,000","-443,770,000","164,031,000","317,976,000","8,954,000","-359,708,000",,,,,,,,"-317,870,000",,,"112,283,000",,,,"85,655,000",,,,"81,613,000",,,,,,,,,,,,
		ChangeInWorkingCapital,"-990,400,000","-179,300,000","-294,500,000","-140,500,000","-376,100,000","-441,100,000","-652,200,000","-394,300,000","863,200,000","-271,700,000","-62,400,000","-22,600,000","-116,200,000","-29,000,000","-255,800,000","380,500,000","-253,000,000","-94,400,000","-283,500,000","123,600,000","-105,200,000","41,900,000","-74,300,000","-53,773,000","-196,038,000","-10,532,000","-91,857,000","-17,784,000","-81,551,000","95,485,000","-99,959,000","-1,063,000","-17,907,000","-67,341,000","-48,977,000","83,604,000","786,000","65,272,000","7,604,000","53,528,000","-39,740,000","-30,733,000","-1,550,000","-61,988,000","-2,267,000","544,000","57,301,000","-3,586,000","-29,370,000","-36,342,000","-5,069,000","-47,885,000","-33,946,000","-920,000","-1,859,000","-35,611,000","-39,136,000","-15,566,000","-15,752,000","-13,676,000","7,392,000","-27,264,000","-6,811,000","55,334,000","-33,134,000","33,704,000","-19,852,000","-6,805,000","15,025,000","-24,740,000","-15,276,000","3,124,000","-21,606,000","-5,825,000","14,287,000","7,823,000","-27,148,000","-89,819,000","74,596,000","760,000","-20,851,000","-1,578,000","-13,601,000","13,380,000","-6,986,000","39,528,000","-21,887,000","45,984,000","-11,078,000","-5,235,000","-47,613,000","-208,861,000","145,084,000","-30,279,000","-12,429,000","-48,483,000","30,717,000","17,276,000","8,568,000","-502,000","11,612,000","-6,996,837","-1,737,163"
			ChangeInOtherCurrentAssets,,"-68,000,000","-170,100,000",,"-69,000,000","-68,800,000","-171,500,000","-23,300,000","18,000,000","-237,700,000","18,100,000","57,800,000","77,400,000","-15,500,000","-210,800,000",,"-32,100,000","-19,400,000","-33,000,000",,"-74,700,000","26,500,000","-95,400,000",,"-163,659,000","-61,571,000","-40,411,000",,"24,121,000","-2,449,000","-30,535,000",,"-7,356,000","-96,400,000","-2,779,000",,"-14,458,000","14,976,000","-43,449,000",,"-49,038,000","-2,855,000","-7,374,000",,,"-30,801,000","-28,789,000","-74,120,000","-25,089,000","-22,081,000","-22,704,000","-55,822,000","-25,467,000","-17,592,000","-9,339,000","-27,977,000","-588,000","6,992,000","-12,326,000","-49,361,000","333,000","6,387,000","-7,728,000",,,,,,,,,,,"38,000","13,606,000",,"-3,066,000","-7,895,000","10,829,000",,"4,988,000","-7,316,000","14,874,000",,"27,122,000","4,285,000","23,182,000",,"771,000","527,000","-53,669,000",,,,,,,,,,,,
			ChangeInOtherCurrentLiabilities,"110,700,000","59,200,000","-108,600,000","123,900,000","36,200,000","35,000,000","-170,000,000","21,600,000","-50,300,000","70,800,000","39,400,000","73,000,000","-125,500,000","41,100,000","11,200,000","446,900,000","-132,300,000","-69,300,000","-245,200,000","-43,900,000","-17,300,000","22,200,000","25,000,000","-91,484,000","12,680,000","86,711,000","-21,307,000","48,153,000","-80,797,000","107,529,000","-56,258,000","-19,612,000","18,648,000","52,014,000","-49,304,000","-137,549,000","10,657,000","67,043,000","80,793,000","-112,167,000","74,717,000","48,877,000","10,047,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5,863,000","681,000","28,268,000","-24,082,000","18,648,000","-36,805,000","41,074,000","-25,839,000","5,738,000","-28,475,000","41,483,000","-34,108,000","35,243,000","-45,069,000","53,075,000","-11,849,000","-5,762,000","6,056,000","12,828,000",,,,,,,,,,,
			ChangeInOtherWorkingCapital,"-787,000,000","-170,500,000","-15,800,000","-257,400,000","-343,300,000","-407,300,000","-310,700,000","-392,600,000","895,500,000","-104,800,000","-119,900,000","-82,400,000","-68,100,000","-54,600,000","-56,200,000","-81,400,000","-88,600,000","-5,700,000","-5,300,000","80,000,000","-13,200,000","-6,800,000","-3,900,000","38,070,000","-45,059,000","-35,672,000","-30,139,000","5,553,000","-24,875,000","-9,595,000","-13,166,000","-20,778,000","-29,199,000","-22,955,000","3,106,000","183,963,000","4,587,000","-16,747,000","-29,740,000","86,724,000","-65,419,000","-76,755,000","-4,223,000","-144,575,000","-61,857,000","31,345,000","86,090,000","10,390,000","-4,281,000","-14,261,000","17,635,000","-9,142,000","-8,479,000","16,672,000","7,480,000",,"-38,548,000","-22,558,000","-3,426,000",,"7,059,000","-33,651,000","917,000","-36,692,000","1,834,000","33,704,000","-19,852,000","58,854,000","15,025,000","-24,740,000","-15,276,000",,,,,,,,"100,572,000",,,,,,,,,,,,,,"233,570,000","-30,279,000","-12,429,000",,"30,717,000","17,276,000","8,568,000",,"11,612,000","-6,996,837","-1,737,163"
InvestingCashFlow,"-2,168,200,000","-439,700,000","-276,800,000","-849,000,000","-602,700,000","-390,400,000","-513,100,000","-10,167,700,000","-1,018,900,000","-9,066,900,000","-438,700,000","-3,814,000,000","-331,800,000","-385,400,000","-253,400,000","-2,586,700,000","-810,100,000","-267,400,000","-323,300,000","-694,400,000","-212,100,000","-562,400,000","-1,280,600,000","-1,290,404,000","-295,985,000","-294,217,000","-920,294,000","-321,244,000","-242,801,000","-1,357,885,000","-185,516,000","-537,458,000","-1,124,837,000","-830,021,000","-5,249,419,000","-846,138,000","-266,605,000","-545,749,000","-291,056,000","-4,214,699,000","-356,864,000","-225,146,000","-376,628,000","-1,384,119,000","-407,357,000","-475,613,000","-291,296,000","-1,231,181,000","-502,344,000","-382,757,000","-674,530,000","-441,742,000","-572,250,000","-136,230,000","-150,680,000","-198,685,000","-132,600,000","-163,273,000","-48,508,000","-83,473,000","-62,519,000","-60,217,000","-68,731,000","-68,814,000","-25,829,000","-59,191,000","-32,346,000","-31,845,000","-28,855,000","-40,898,000","-27,514,000","-45,150,000","9,558,000","-21,459,000","-23,483,000","-8,638,000","-17,448,000","-13,157,000","-5,973,000","1,666,000","-61,841,000","-19,852,000","24,017,000","39,289,000","-10,924,000","-52,773,000","-90,849,000","-242,763,000","-249,635,000","-563,564,000","-389,341,000","-403,803,000","-317,589,000","-389,046,000","-900,242,000","-400,937,000","-435,976,000","-144,634,000","-156,153,000","-122,462,000","-63,381,000","-72,698,651","-91,835,349"
	CashFlowFromContinuingInvestingActivities,"-2,168,200,000","-439,700,000","-276,800,000","-849,000,000","-602,700,000","-390,400,000","-513,100,000","-10,167,700,000","-1,018,900,000","-9,066,900,000","-438,700,000","-3,814,000,000","-331,800,000","-385,400,000","-253,400,000","-2,586,700,000","-810,100,000","-267,400,000","-323,300,000","-694,400,000","-212,100,000","-562,400,000","-1,280,600,000","-1,290,404,000","-295,985,000","-294,217,000","-920,294,000","-321,244,000","-242,801,000","-1,357,885,000","-185,516,000","-537,458,000","-1,124,837,000","-830,021,000","-5,249,419,000","-846,138,000","-266,605,000","-545,749,000","-291,056,000","-4,214,699,000","-356,864,000","-225,146,000","-376,628,000","-1,384,119,000","-407,357,000","-475,613,000","-291,296,000","-1,231,181,000","-502,344,000","-382,757,000","-674,530,000","-441,742,000","-572,250,000","-136,230,000","-150,680,000","-198,685,000","-132,600,000","-163,273,000","-48,508,000","-83,473,000","-62,519,000","-60,217,000","-68,731,000","-68,814,000","-25,829,000","-59,191,000","-32,346,000","-31,845,000","-28,855,000","-40,898,000","-27,514,000","-45,150,000","9,558,000","-21,459,000","-23,483,000","-8,638,000","-17,448,000","-13,157,000","-5,973,000","1,666,000","-61,841,000","-19,852,000","24,017,000","39,289,000","-10,924,000","-52,773,000","-90,849,000","-242,763,000","-249,635,000","-563,564,000","-389,341,000","-403,803,000","-317,589,000","-389,046,000","-900,242,000","-400,937,000","-435,976,000","-144,634,000","-156,153,000","-122,462,000","-63,381,000","-72,698,651","-91,835,349"
