name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
TotalAssets,"8,186,041,000","7,543,066,000","6,775,410,000","6,162,010,000","5,824,545,000","6,108,186,000","5,734,429,000","5,437,350,000","5,208,280,000","4,893,730,000","4,738,919,000","4,399,372,000","4,335,851,000","4,111,845,000","4,185,290,000","3,619,825,000","3,441,292,000","3,332,444,000","3,081,983,000","2,798,238,000","2,733,091,000","2,580,034,000","2,460,860,000","2,301,710,000","2,162,940,000","1,939,598,000","1,729,007,000","1,519,080,000","1,334,988,000","1,209,947,000","1,159,890,000","1,072,892,000","990,839,000","875,092,000","811,023,000","691,883,000","642,778,000","375,463,000","364,520,000"
	CurrentAssets,"6,851,557,000","6,270,533,000","5,550,748,000","5,031,678,000","4,729,195,000","5,105,174,000","4,812,676,000","4,523,958,000","4,328,395,000","4,002,895,000","3,836,998,000","3,653,867,000","3,576,878,000","3,336,899,000","3,471,636,000","3,240,420,000","3,028,518,000","2,900,974,000","2,714,802,000","2,436,046,000","2,535,539,000","2,379,174,000","2,266,429,000","2,075,539,000","1,949,189,000","1,736,825,000","1,526,126,000","1,324,178,000","1,142,054,000","1,023,133,000","974,328,000","921,100,000","850,212,000","736,044,000","679,479,000","588,351,000","562,676,000","291,967,000","285,523,000"
		CashCashEquivalentsAndShortTermInvestments,"3,741,126,000","3,331,130,000","3,023,729,000","2,980,071,000","2,901,902,000","3,423,914,000","3,408,315,000","3,386,481,000","3,281,703,000","3,027,666,000","2,872,868,000","2,845,901,000","2,781,771,000","2,636,993,000","2,724,368,000","2,447,040,000","2,257,803,000","2,150,918,000","1,956,147,000","1,661,799,000","1,860,404,000","1,738,040,000","1,535,555,000","1,343,114,000","1,124,839,000","1,043,242,000","867,833,000","800,148,000","823,818,000","762,252,000","687,326,000","568,617,000","551,763,000","484,339,000","449,457,000","408,596,000","397,198,000","129,524,000","113,664,000"
			CashAndCashEquivalents,"1,261,836,000","956,341,000","671,707,000","716,253,000","493,246,000","635,025,000","620,813,000","630,982,000","893,688,000","843,336,000","893,219,000","970,349,000","800,182,000","761,333,000","1,111,286,000","1,095,265,000","944,414,000","809,491,000","649,950,000","524,687,000","711,157,000","886,160,000","859,192,000","854,479,000","823,475,000","746,567,000","567,923,000","500,481,000","531,058,000","710,663,000","687,326,000","418,500,000","342,958,000","275,186,000","240,031,000","408,596,000","397,198,000","129,524,000","113,664,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,314,000","66,628,000"
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,210,000","47,036,000"
			OtherShortTermInvestments,"2,479,290,000","2,374,789,000","2,352,022,000","2,263,818,000","2,408,656,000","2,788,889,000","2,787,502,000","2,755,499,000","2,388,015,000","2,184,330,000","1,979,649,000","1,875,552,000","1,981,589,000","1,875,660,000","1,613,082,000","1,351,775,000","1,313,389,000","1,341,427,000","1,306,197,000","1,137,112,000","1,149,247,000","851,880,000","676,363,000","488,635,000","301,364,000","296,675,000","299,910,000","299,667,000","292,760,000","51,589,000","0","150,117,000","208,805,000","209,153,000","209,426,000",,,,
		Receivables,"779,726,000","862,875,000","923,096,000","651,512,000","585,786,000","648,606,000","516,509,000","395,590,000","364,214,000","380,466,000","389,540,000","300,217,000","383,225,000","352,159,000","391,987,000","447,252,000","343,080,000","271,246,000","331,777,000","322,053,000","260,917,000","207,339,000","247,346,000","212,611,000","269,624,000","209,062,000","253,119,000","210,243,000","146,659,000","135,119,000","144,263,000","160,230,000","122,342,000","113,057,000","96,982,000","92,063,000","75,946,000","67,007,000","81,999,000"
			AccountsReceivable,"779,726,000","862,875,000","923,096,000","651,512,000","585,786,000","648,606,000","516,509,000","395,590,000","364,214,000","380,466,000","389,540,000","300,217,000","383,225,000","352,159,000","391,987,000","447,252,000","343,080,000","271,246,000","331,777,000","322,053,000","260,917,000","207,339,000","247,346,000","212,611,000","269,624,000","209,062,000","253,119,000","210,243,000","146,659,000","135,119,000","144,263,000","160,230,000","122,342,000","113,057,000","96,982,000","84,063,000","67,946,000","63,007,000","77,999,000"
				GrossAccountsReceivable,"793,306,000","871,282,000","928,490,000","660,108,000","598,380,000","652,529,000","521,597,000","398,689,000","368,817,000","385,204,000","394,037,000","304,543,000","385,005,000","358,220,000","398,147,000","453,963,000","350,568,000","280,860,000","340,897,000","333,304,000","267,458,000","214,977,000","254,881,000","220,106,000","273,815,000","211,134,000","254,640,000","211,783,000","148,007,000","136,367,000","145,792,000","162,479,000","124,432,000","115,937,000","100,076,000","87,259,000","70,467,000","65,385,000","80,338,000"
				AllowanceForDoubtfulAccountsReceivable,"-13,580,000","-8,407,000","-5,394,000","-8,596,000","-12,594,000","-3,923,000","-5,088,000","-3,099,000","-4,603,000","-4,738,000","-4,497,000","-4,326,000","-1,780,000","-6,061,000","-6,160,000","-6,711,000","-7,488,000","-9,614,000","-9,120,000","-11,251,000","-6,541,000","-7,638,000","-7,535,000","-7,495,000","-4,191,000","-2,072,000","-1,521,000","-1,540,000","-1,348,000","-1,248,000","-1,529,000","-2,249,000","-2,090,000","-2,880,000","-3,094,000","-3,196,000","-2,521,000","-2,378,000","-2,339,000"
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","8,000,000","8,000,000","4,000,000","4,000,000"
