name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
TotalAssets,"22,098,000,000","21,716,000,000","21,901,000,000","19,971,000,000","19,908,000,000","20,404,000,000","18,007,000,000","17,651,000,000","17,780,000,000","17,476,000,000","17,522,000,000","16,444,000,000","15,280,000,000","16,167,000,000","13,459,000,000","12,939,000,000","13,108,000,000","13,019,000,000","12,480,000,000","12,327,000,000","12,316,000,000","12,560,000,000","12,169,000,000","14,166,000,000","13,056,000,000","12,497,000,000","12,292,000,000","12,122,000,000","11,957,000,000","12,071,000,000","11,973,000,000","10,792,000,000","10,809,000,000","10,464,000,000","10,746,000,000","10,923,000,000","11,452,000,000","11,182,000,000","11,047,000,000","10,811,000,000","10,551,000,000","10,273,000,000","10,176,000,000","9,639,000,000","9,437,000,000","9,688,000,000","9,128,000,000","9,184,000,000","9,627,000,000","9,724,000,000","11,082,000,000"
	CurrentAssets,"8,072,000,000","7,725,000,000","7,784,000,000","10,983,000,000","10,558,000,000","10,774,000,000","8,436,000,000","8,104,000,000","8,055,000,000","7,801,000,000","7,465,000,000","6,589,000,000","5,412,000,000","6,190,000,000","5,319,000,000","5,385,000,000","4,854,000,000","4,819,000,000","4,777,000,000","5,204,000,000","5,340,000,000","5,926,000,000","5,641,000,000","6,710,000,000","5,849,000,000","5,487,000,000","5,419,000,000","5,147,000,000","5,051,000,000","5,082,000,000","5,121,000,000","5,054,000,000","5,934,000,000","5,687,000,000","5,224,000,000","5,682,000,000","6,082,000,000","5,880,000,000","5,752,000,000","5,787,000,000","5,633,000,000","5,387,000,000","5,227,000,000","5,897,000,000","5,850,000,000","6,016,000,000","5,501,000,000","5,673,000,000","5,957,000,000","6,133,000,000","7,666,000,000"
		CashCashEquivalentsAndShortTermInvestments,"1,302,000,000","1,100,000,000","1,531,000,000","4,850,000,000","4,670,000,000","4,877,000,000","3,139,000,000","2,741,000,000","2,926,000,000","2,830,000,000","2,821,000,000","2,122,000,000","1,885,000,000","2,055,000,000","412,000,000","341,000,000","365,000,000","321,000,000","567,000,000","771,000,000","970,000,000","1,345,000,000","1,596,000,000","557,000,000","792,000,000","547,000,000","838,000,000","395,000,000","437,000,000","463,000,000","535,000,000","434,000,000","1,171,000,000","558,000,000","904,000,000","1,026,000,000","1,166,000,000","978,000,000","1,389,000,000","1,053,000,000","1,001,000,000","830,000,000","1,105,000,000","1,634,000,000","1,523,000,000","1,412,000,000","1,363,000,000","1,252,000,000","1,322,000,000","1,633,000,000","3,769,000,000"
			CashAndCashEquivalents,"1,302,000,000","1,100,000,000","1,531,000,000","4,850,000,000","4,670,000,000","4,877,000,000","3,139,000,000","2,741,000,000","2,926,000,000","2,830,000,000","2,821,000,000","2,122,000,000","1,885,000,000","2,055,000,000","412,000,000","341,000,000","365,000,000","321,000,000","567,000,000","771,000,000","970,000,000","1,345,000,000","1,596,000,000","557,000,000","792,000,000","547,000,000","838,000,000","395,000,000","437,000,000","463,000,000","535,000,000","434,000,000","1,171,000,000","558,000,000","904,000,000","1,026,000,000","1,166,000,000","978,000,000","1,389,000,000","1,053,000,000","1,001,000,000","830,000,000","1,105,000,000","1,634,000,000","1,523,000,000","1,412,000,000","1,363,000,000","1,252,000,000","1,322,000,000","1,633,000,000","3,769,000,000"
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,252,000,000","1,322,000,000","1,633,000,000","3,769,000,000"
		Receivables,"4,025,000,000","3,564,000,000","3,433,000,000","3,366,000,000","3,304,000,000","3,313,000,000","2,784,000,000","2,954,000,000","2,928,000,000","3,048,000,000","2,812,000,000","2,620,000,000","2,091,000,000","2,567,000,000","2,569,000,000","2,935,000,000","2,982,000,000","3,008,000,000","2,487,000,000","2,893,000,000","2,944,000,000","3,174,000,000","2,440,000,000","3,534,000,000","3,418,000,000","3,410,000,000","2,938,000,000","3,243,000,000","3,155,000,000","3,192,000,000","2,750,000,000","2,864,000,000","2,700,000,000","2,908,000,000","2,628,000,000","3,101,000,000","3,329,000,000","3,340,000,000","2,662,000,000","3,155,000,000","3,125,000,000","3,048,000,000","2,425,000,000","2,540,000,000","2,635,000,000","2,854,000,000","2,459,000,000","2,644,000,000","2,865,000,000","2,794,000,000","2,307,000,000"
			AccountsReceivable,"3,729,000,000","3,564,000,000","3,433,000,000","3,366,000,000","3,028,000,000","3,054,000,000","2,784,000,000","2,715,000,000","2,654,000,000","2,798,000,000","2,812,000,000","2,620,000,000","1,834,000,000","2,308,000,000","2,569,000,000","2,661,000,000","2,679,000,000","2,736,000,000","2,487,000,000","2,635,000,000","2,598,000,000","2,646,000,000","2,440,000,000","3,225,000,000","3,127,000,000","3,132,000,000","2,938,000,000","2,983,000,000","2,900,000,000","2,934,000,000","2,750,000,000","2,615,000,000","2,700,000,000","2,677,000,000","2,628,000,000","2,839,000,000","3,049,000,000","3,066,000,000","2,662,000,000","2,856,000,000","2,868,000,000","2,795,000,000","2,425,000,000","2,540,000,000","2,635,000,000","2,854,000,000","2,459,000,000","2,644,000,000","2,865,000,000","2,794,000,000","2,307,000,000"
				GrossAccountsReceivable,"3,778,000,000","3,614,000,000","3,485,000,000","3,419,000,000","3,071,000,000","3,092,000,000","2,821,000,000","2,764,000,000","2,698,000,000","2,841,000,000",,"2,678,000,000","1,886,000,000","2,346,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-49,000,000","-50,000,000","-52,000,000","-53,000,000","-43,000,000","-38,000,000","-37,000,000","-49,000,000","-44,000,000","-43,000,000",,"-58,000,000","-52,000,000","-38,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,"6,000,000","6,000,000","8,000,000","5,000,000","7,000,000","7,000,000","16,000,000","7,000,000","8,000,000","8,000,000","8,000,000","5,000,000","7,000,000","10,000,000","10,000,000","8,000,000","20,000,000","35,000,000","43,000,000","30,000,000","25,000,000","15,000,000","16,000,000","43,000,000","36,000,000","27,000,000","43,000,000","16,000,000","27,000,000","27,000,000","25,000,000","24,000,000","45,000,000","29,000,000","29,000,000","21,000,000","40,000,000","32,000,000","45,000,000","44,000,000","45,000,000","37,000,000","22,000,000",,,,,,,,
