name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
OperatingCashFlow,"1,896,000,000","535,000,000","-9,000,000","933,000,000","437,000,000","95,000,000","-202,000,000","669,000,000","4,000,000","297,000,000","252,000,000","799,000,000","559,000,000","-106,000,000","161,000,000","703,000,000","325,000,000","512,000,000","84,000,000","757,000,000","171,000,000","545,000,000","155,000,000","428,000,000","151,000,000","599,000,000","290,000,000","683,000,000","415,000,000","575,000,000","268,000,000","695,000,000","339,000,000","534,000,000","135,000,000","873,000,000","499,000,000","627,000,000","136,000,000","680,000,000","398,000,000","523,000,000","149,000,000","310,000,000","414,000,000","461,000,000","293,000,000","468,000,000","410,000,000","343,000,000","156,000,000","287,000,000","229,000,000","380,000,000","246,000,000"
	CashFlowFromContinuingOperatingActivities,"1,896,000,000","535,000,000","-9,000,000","933,000,000","437,000,000","95,000,000","-202,000,000","669,000,000","4,000,000","297,000,000","252,000,000","799,000,000","559,000,000","-106,000,000","161,000,000","703,000,000","325,000,000","512,000,000","84,000,000","750,000,000","138,000,000","566,000,000","186,000,000","66,000,000","151,000,000","599,000,000","290,000,000","683,000,000","415,000,000","575,000,000","268,000,000","638,000,000","394,000,000","514,000,000","121,000,000","873,000,000","499,000,000","627,000,000","136,000,000","680,000,000","398,000,000","523,000,000","149,000,000","310,000,000","414,000,000","461,000,000","293,000,000","468,000,000","410,000,000","343,000,000","156,000,000","287,000,000","229,000,000","380,000,000","246,000,000"
		NetIncomeFromContinuingOperations,"982,000,000","246,000,000","164,000,000","266,000,000","306,000,000","-72,000,000","90,000,000","39,000,000","104,000,000","166,000,000","300,000,000","315,000,000","305,000,000","-365,000,000","1,567,000,000","241,000,000","252,000,000","271,000,000","245,000,000","257,000,000","231,000,000","303,000,000","316,000,000","-88,000,000","413,000,000","386,000,000","352,000,000","306,000,000","306,000,000","271,000,000","335,000,000","224,000,000","364,000,000","369,000,000","304,000,000","368,000,000","325,000,000","406,000,000","341,000,000","321,000,000","293,000,000","389,000,000","298,000,000","155,000,000","292,000,000","350,000,000","363,000,000","312,000,000","285,000,000","316,000,000","310,000,000","91,000,000","144,000,000","233,000,000","235,000,000"
		OperatingGainsLosses,"347,000,000","89,000,000","82,000,000","79,000,000","79,000,000","80,000,000","71,000,000","145,000,000","64,000,000","72,000,000","52,000,000","46,000,000","7,000,000","35,000,000","-1,426,000,000","19,000,000","5,000,000","6,000,000","13,000,000","2,000,000","13,000,000","1,000,000","6,000,000","-18,000,000","23,000,000","16,000,000","9,000,000","-133,000,000","78,000,000","11,000,000","10,000,000","45,000,000","-20,000,000","45,000,000","68,000,000","22,000,000","24,000,000","10,000,000","60,000,000","7,000,000","12,000,000","21,000,000","61,000,000","52,000,000","-4,000,000","8,000,000","8,000,000","-168,000,000","6,000,000","-2,000,000","-8,000,000","-58,000,000","74,000,000","-88,000,000","-5,000,000"
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000,000","3,000,000","-10,000,000",,"-7,000,000","-6,000,000","-7,000,000"
			EarningsLossesFromEquityInvestments,"309,000,000","78,000,000","82,000,000","79,000,000","70,000,000","72,000,000","63,000,000","54,000,000","53,000,000","57,000,000","42,000,000","46,000,000","30,000,000","18,000,000","-1,436,000,000","3,000,000","-5,000,000","-1,000,000","-3,000,000","-2,000,000","4,000,000","-8,000,000","-5,000,000","0","0","-7,000,000","-11,000,000","-3,000,000","-6,000,000","-3,000,000","-6,000,000","-2,000,000","1,000,000","7,000,000","-5,000,000","3,000,000","-2,000,000","-10,000,000","2,000,000","-8,000,000","2,000,000","1,000,000","1,000,000","-9,000,000","-5,000,000","-8,000,000","21,000,000","2,000,000","0","-6,000,000","-9,000,000","0","1,000,000","-6,000,000","-2,000,000"
			PensionAndEmployeeBenefitExpense,"36,000,000","11,000,000","11,000,000","5,000,000","9,000,000","8,000,000","8,000,000","5,000,000","10,000,000","14,000,000","10,000,000","7,000,000","11,000,000","10,000,000","10,000,000","15,000,000","10,000,000","9,000,000","10,000,000","6,000,000","9,000,000","9,000,000","11,000,000","-15,000,000","22,000,000","24,000,000","20,000,000","17,000,000","14,000,000","16,000,000","15,000,000","15,000,000","20,000,000","20,000,000","20,000,000","19,000,000","25,000,000","23,000,000","22,000,000","20,000,000","20,000,000","21,000,000","21,000,000","60,000,000","0","4,000,000","3,000,000","-94,000,000","-33,000,000","36,000,000","2,000,000","-58,000,000","-33,000,000","29,000,000","4,000,000"
		DepreciationAmortizationDepletion,"818,000,000","224,000,000","216,000,000","188,000,000","190,000,000","193,000,000","191,000,000","190,000,000","193,000,000","197,000,000","193,000,000","208,000,000","192,000,000","184,000,000","180,000,000","178,000,000","178,000,000","188,000,000","173,000,000","202,000,000","163,000,000","156,000,000","155,000,000","7,000,000","183,000,000","181,000,000","175,000,000","178,000,000","174,000,000","190,000,000","162,000,000","146,000,000","131,000,000","135,000,000","128,000,000","146,000,000","150,000,000","146,000,000","145,000,000","139,000,000","138,000,000","132,000,000","131,000,000","146,000,000","113,000,000","113,000,000","114,000,000","119,000,000","123,000,000","116,000,000","117,000,000","110,000,000","105,000,000","107,000,000","99,000,000"
			DepreciationAndAmortization,"818,000,000","224,000,000","216,000,000","188,000,000","190,000,000","193,000,000","191,000,000","190,000,000","193,000,000","197,000,000","193,000,000","208,000,000","192,000,000","184,000,000","180,000,000","178,000,000","178,000,000","188,000,000","173,000,000","202,000,000","163,000,000","156,000,000","155,000,000","7,000,000","183,000,000","181,000,000","175,000,000","178,000,000","174,000,000","190,000,000","162,000,000","146,000,000","131,000,000","135,000,000","128,000,000","146,000,000","150,000,000","146,000,000","145,000,000","139,000,000","138,000,000","132,000,000","131,000,000","146,000,000","113,000,000","113,000,000","114,000,000","119,000,000","123,000,000","116,000,000","117,000,000","110,000,000","105,000,000","107,000,000","99,000,000"
				Depreciation,"626,000,000","165,000,000","157,000,000","151,000,000","153,000,000","155,000,000","154,000,000","153,000,000","156,000,000","160,000,000","156,000,000","171,000,000","156,000,000","149,000,000","144,000,000","143,000,000","144,000,000","145,000,000","139,000,000","139,000,000","132,000,000","126,000,000","125,000,000","-10,000,000","149,000,000","148,000,000","142,000,000","145,000,000","140,000,000","156,000,000","129,000,000","123,000,000","108,000,000","112,000,000","104,000,000","121,000,000","125,000,000","121,000,000","119,000,000","114,000,000","111,000,000","106,000,000","105,000,000","122,000,000","93,000,000","94,000,000","93,000,000","96,000,000","104,000,000","97,000,000","99,000,000","92,000,000","84,000,000","90,000,000","85,000,000"
