name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989
OperatingCashFlow,"1,626,000,000","429,000,000","285,000,000","344,000,000","568,000,000","42,000,000","154,000,000","412,000,000","509,000,000","341,000,000","179,000,000","438,000,000","457,000,000","351,000,000","180,000,000","438,000,000","465,000,000","312,000,000","168,000,000","394,000,000","467,000,000","306,000,000","219,000,000","463,000,000","462,000,000","247,000,000","277,000,000","351,000,000","407,000,000","271,000,000","247,000,000","323,382,000","437,623,000","219,376,000","198,619,000","257,025,000","389,647,000","205,741,000","244,874,000","207,486,000","398,479,000","140,572,000","149,625,000","220,584,000","418,143,000","168,772,000","148,099,000","232,313,000","313,648,000","100,870,000","161,526,000","187,906,000","289,518,000","121,519,000","175,990,000","124,605,000","242,843,000","86,209,000","142,499,000","159,256,000","251,638,000","55,884,000","85,391,000","105,702,000","64,298,000","93,256,000","65,328,000","133,273,000","42,693,000","86,318,000","102,084,000","105,114,000","37,798,000","58,150,000","108,092,000","122,800,000","29,900,000","68,600,000","94,100,000","84,700,000","32,100,000","59,000,000","85,000,000","83,700,000","42,500,000","55,900,000","71,800,000","73,800,000","22,200,000","40,700,000","58,600,000","53,900,000","24,800,000","41,800,000","55,800,000","55,500,000","33,000,000","33,000,000","46,100,000","53,200,000","14,800,000","26,300,000","47,000,000","49,000,000","19,900,000","26,700,000","38,500,000","50,500,000","23,300,000","15,100,000","38,600,000","24,700,000","24,300,000","8,800,000","37,400,000"
	CashFlowFromContinuingOperatingActivities,"1,626,000,000","429,000,000","285,000,000","344,000,000","568,000,000","42,000,000","154,000,000","412,000,000","509,000,000","341,000,000","179,000,000","438,000,000","457,000,000","351,000,000","180,000,000","438,000,000","465,000,000","312,000,000","168,000,000","394,000,000","467,000,000","306,000,000","219,000,000","463,000,000","462,000,000","247,000,000","277,000,000","351,000,000","407,000,000","271,000,000","247,000,000","323,382,000","437,623,000","219,376,000","198,619,000","256,385,000","390,287,000","205,741,000","244,874,000","207,486,000","398,479,000","140,572,000","149,625,000","220,584,000","418,143,000","168,772,000","148,099,000","232,313,000","313,648,000","100,870,000","161,526,000","187,906,000","289,518,000","121,519,000","175,990,000","124,605,000","242,843,000","86,209,000","142,499,000","159,256,000","251,638,000","55,884,000","85,391,000","105,702,000","64,298,000","93,256,000","65,328,000","133,273,000","42,693,000","86,318,000","102,084,000","105,114,000","37,798,000","58,150,000","108,092,000","122,800,000","29,900,000","68,600,000","94,100,000","84,700,000","32,100,000","59,000,000","85,000,000","83,700,000","42,500,000","55,900,000","71,800,000","73,800,000","22,200,000","40,700,000","58,600,000","53,900,000","24,800,000","41,800,000","55,800,000","55,500,000","33,000,000","33,000,000","46,100,000","53,200,000","14,800,000","26,300,000","47,000,000","49,000,000","19,900,000","26,700,000","38,500,000","50,500,000","23,300,000","15,100,000","38,600,000","24,700,000","24,300,000","8,800,000","37,400,000"
		NetIncomeFromContinuingOperations,"894,000,000","280,000,000","170,000,000","147,000,000","297,000,000","218,000,000","158,000,000","645,000,000","278,000,000","207,000,000","133,000,000","145,000,000","264,000,000","176,000,000","124,000,000","98,000,000","240,000,000","170,000,000","113,000,000","112,000,000","185,000,000","162,000,000","106,000,000","-1,000,000","203,000,000","131,000,000","93,000,000","101,000,000","148,000,000","137,000,000","82,000,000","98,988,000","173,894,000","123,075,000","80,043,000","93,501,000","152,185,000","109,299,000","68,123,000","59,693,000","150,665,000","101,263,000","57,643,000","55,478,000","153,812,000","107,026,000","41,754,000","40,293,000","137,422,000","84,566,000","47,332,000","40,154,000","124,114,000","72,751,000","30,808,000","36,371,000","91,636,000","51,989,000","-413,079,000","36,407,000","88,158,000","45,442,000","-732,428,000","55,188,000","66,665,000","17,892,000","32,864,000","55,777,000","49,381,000","23,461,000","38,108,000","50,731,000","45,139,000","27,083,000","32,549,000","52,900,000","33,800,000","19,700,000","27,700,000","46,600,000","35,100,000","21,600,000","25,900,000","43,500,000","31,700,000","18,000,000","21,900,000","36,300,000","26,500,000","17,000,000","18,500,000","32,700,000","27,400,000","13,500,000","17,700,000","27,800,000","22,800,000","10,400,000","14,700,000","28,700,000","21,800,000","10,200,000","12,700,000","23,100,000","20,300,000","12,100,000","12,300,000","28,500,000","20,300,000","12,500,000","16,100,000","18,400,000","14,200,000","8,400,000","7,600,000"
		OperatingGainsLosses,"-44,000,000","-4,000,000","1,000,000","-29,000,000","-12,000,000","-13,000,000","-12,000,000","-757,000,000","-10,000,000","-11,000,000","-10,000,000","-4,000,000","-6,000,000","-3,000,000","-1,000,000","47,000,000",,,"2,000,000","4,000,000","-15,000,000","8,000,000","6,000,000","6,000,000","8,000,000","12,000,000","15,000,000","9,000,000","7,000,000","14,000,000","14,000,000","14,539,000","15,149,000","14,116,000","14,196,000","4,705,000","6,017,000","5,675,000","5,748,000","19,882,000","20,284,000","19,404,000","19,424,000","26,681,000","20,112,000","19,929,000","19,728,000","18,206,000","16,224,000","17,888,000","18,128,000","22,406,000","22,412,000","22,330,000","22,265,000","24,868,000","25,546,000","55,926,000","-202,000","46,238,000","13,099,000","-28,608,000","-31,103,000","-9,153,000","-78,994,000","-14,342,000","-10,459,000","-24,046,000","250,000","-12,754,000","-9,222,000","-3,861,000","1,039,000","-1,607,000","8,759,000","-4,000,000","-2,200,000","-4,000,000","-900,000","-7,500,000","-3,200,000","-2,600,000",,"-2,000,000","5,400,000","-1,400,000","-2,300,000","-2,200,000","-2,800,000","-2,300,000","-7,900,000","-4,500,000","-5,700,000","900,000","-9,100,000","2,100,000","-2,200,000","-800,000",,,"1,500,000","900,000","-800,000","1,000,000","3,400,000","900,000","-400,000","-500,000","2,000,000","1,400,000","-4,800,000","800,000","900,000","600,000","800,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,"0","0","0","0","43,000,000","0","-6,000,000","-3,000,000","0","-18,000,000","0","-2,000,000","-7,000,000","-7,000,000","-2,000,000","0","-2,000,000","-5,000,000","-2,000,000","-1,000,000","-488,000","-175,000","-1,209,000","-1,128,000","-1,312,000","-1,000","-345,000","-270,000","365,000","768,000","-114,000","-94,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-71,000","213,000","-784,000","10,000","-202,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"-25,000,000","-4,000,000","1,000,000","-10,000,000","-12,000,000","-13,000,000","-12,000,000","-10,000,000","-10,000,000","-11,000,000","-10,000,000","-4,000,000","-6,000,000","-3,000,000","-1,000,000","4,000,000","4,000,000","4,000,000","5,000,000","4,000,000","3,000,000","8,000,000","8,000,000","13,000,000","15,000,000","14,000,000","15,000,000","11,000,000","12,000,000","16,000,000","15,000,000","15,027,000","15,324,000","15,325,000","15,324,000","6,017,000","6,018,000","6,020,000","6,018,000","19,517,000","19,516,000","19,518,000","19,518,000","26,863,000","20,143,000","20,142,000","20,141,000","17,860,000","17,859,000","17,860,000","17,860,000","22,335,000","22,335,000","22,336,000","22,336,000","24,655,000","26,330,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"674,000,000","174,000,000","172,000,000","164,000,000","164,000,000","163,000,000","158,000,000","160,000,000","161,000,000","158,000,000","157,000,000","153,000,000","154,000,000","152,000,000","145,000,000","152,000,000","144,000,000","142,000,000","144,000,000","141,000,000","141,000,000","134,000,000","129,000,000","114,000,000","128,000,000","126,000,000","124,000,000","120,000,000","119,000,000","115,000,000","116,000,000","112,504,000","111,196,000","108,923,000","107,377,000","105,686,000","106,458,000","105,862,000","106,078,000","103,969,000","102,734,000","101,366,000","99,649,000","100,851,000","96,219,000","92,329,000","92,104,000","88,794,000","88,424,000","86,584,000","88,019,000","122,494,000","79,431,000","65,817,000","86,908,000","87,803,000","85,127,000","83,377,000","78,852,000","111,839,000","47,970,000","77,564,000","74,065,000","-62,647,000","-64,207,000","-59,458,000","-52,617,000","-59,151,000","-41,385,000","-48,044,000","-46,232,000","-43,556,000","-43,844,000","-42,927,000","-43,126,000","-40,400,000","-47,400,000","-34,700,000","-34,200,000","-33,700,000","-31,100,000","-30,800,000","-29,500,000","-28,300,000","-26,900,000","-27,800,000","-26,300,000","-26,300,000","-25,300,000","-24,000,000","-22,500,000","-21,900,000","-21,300,000","-21,300,000","-20,600,000","-20,200,000","-19,700,000","-20,100,000","-21,700,000","-18,000,000","-18,400,000","-17,000,000","-15,700,000","-14,700,000","-14,100,000","-13,900,000","-14,100,000","-13,100,000","-12,700,000","-12,200,000","-13,500,000","-11,400,000","-11,100,000","-11,000,000","-10,600,000"
			DepreciationAndAmortization,"674,000,000","174,000,000","172,000,000","164,000,000","164,000,000","163,000,000","158,000,000","160,000,000","161,000,000","158,000,000","157,000,000","153,000,000","154,000,000","152,000,000","145,000,000","152,000,000","144,000,000","142,000,000","144,000,000","141,000,000","141,000,000","134,000,000","129,000,000","114,000,000","128,000,000","126,000,000","124,000,000","120,000,000","119,000,000","115,000,000","116,000,000","112,504,000","111,196,000","108,923,000","107,377,000","105,686,000","106,458,000","105,862,000","106,078,000","103,969,000","102,734,000","101,366,000","99,649,000","100,851,000","96,219,000","92,329,000","92,104,000","88,794,000","88,424,000","86,584,000","88,019,000","122,494,000","79,431,000","65,817,000","86,908,000","87,803,000","85,127,000","83,377,000","78,852,000",,,,,"-62,647,000","-64,207,000","-59,458,000","-52,617,000","-59,151,000","-41,385,000","-48,044,000","-46,232,000","-43,556,000","-43,844,000","-42,927,000","-43,126,000","-40,400,000","-47,400,000","-34,700,000","-34,200,000","-33,700,000","-31,100,000","-30,800,000","-29,500,000","-28,300,000","-26,900,000","-27,800,000","-26,300,000","-26,300,000","-25,300,000","-24,000,000","-22,500,000","-21,900,000","-21,300,000","-21,300,000","-20,600,000","-20,200,000","-19,700,000","-20,100,000","-21,700,000","-18,000,000","-18,400,000","-17,000,000","-15,700,000","-14,700,000","-14,100,000","-13,900,000","-14,100,000","-13,100,000","-12,700,000","-12,200,000","-13,500,000","-11,400,000","-11,100,000","-11,000,000","-10,600,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,232,000","77,301,000","74,854,000","73,242,000","68,843,000",,,,,"-62,647,000","-64,207,000","-59,458,000","-52,617,000","-59,151,000","-41,385,000","-48,044,000","-46,232,000","-43,556,000","-43,844,000","-42,927,000","-43,126,000","-40,400,000","-47,400,000","-34,700,000","-34,200,000","-33,700,000","-31,100,000","-30,800,000","-29,500,000","-28,300,000","-26,900,000","-27,800,000","-26,300,000","-26,300,000","-25,300,000","-24,000,000","-22,500,000","-21,900,000","-21,300,000","-21,300,000","-20,600,000","-20,200,000","-19,700,000","-20,100,000","-21,700,000","-18,000,000","-18,400,000","-17,000,000","-15,700,000","-14,700,000","-14,100,000","-13,900,000","-14,100,000","-13,100,000","-12,700,000","-12,200,000","-13,500,000","-11,400,000","-11,100,000","-11,000,000","-10,600,000"
