name,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989
TotalAssets,"250,587,000,000","245,000,000,000","236,000,000,000","228,000,000,000","215,000,000,000","205,000,000,000","196,000,000,000","189,000,000,000","184,000,000,000","187,000,000,000","193,000,000,000","191,000,000,000","187,259,000,000","188,608,000,000","186,000,000,000","198,000,000,000","194,000,000,000","198,000,000,000","197,000,000,000","189,000,000,000","189,000,000,000","185,000,000,000","180,000,000,000","181,000,000,000","169,000,000,000","167,000,000,000","161,000,000,000","159,000,000,000","153,000,000,000","160,000,000,000","159,000,000,000","161,000,000,000","154,000,000,000","157,000,000,000","155,000,000,000","159,000,000,000","154,000,000,000","152,000,000,000","151,000,000,000","153,000,000,000","150,000,000,000","152,000,000,000","157,000,000,000","153,000,000,000","153,000,000,000","148,000,000,000","152,000,000,000","153,337,000,000","149,000,000,000","148,000,000,000","144,000,000,000","147,042,000,000","146,000,000,000","144,000,000,000","143,000,000,000","124,088,000,000","120,445,000,000","117,000,000,000","121,000,000,000","126,074,000,000","127,218,000,000","137,330,000,000","135,288,000,000","149,830,000,000","140,927,000,000","134,372,000,000","126,361,000,000","127,853,000,000","120,931,000,000","117,281,000,000","110,065,000,000","113,960,000,000","108,824,000,000","195,739,000,000","189,572,000,000","192,638,000,000","179,273,000,000","179,185,000,000","178,096,000,000","175,001,000,000","163,963,000,000","159,043,000,000","153,471,000,000","157,253,000,000","145,333,000,000","145,897,000,000","146,783,000,000","151,100,000,000","145,557,000,000","152,190,000,000","146,218,000,000","154,423,000,000","153,626,000,000","148,553,000,000","150,662,000,000","148,517,000,000","132,616,000,000","132,452,000,000","128,297,000,000","126,933,000,000","120,914,000,000","120,986,000,000","120,303,000,000","120,003,000,000","117,642,000,000","113,927,000,000","108,105,000,000","108,512,000,000","106,667,000,000","107,647,000,000","107,910,000,000","107,405,000,000","106,312,000,000","104,178,000,000","99,737,000,000","97,006,000,000","98,195,000,000","95,499,000,000","97,002,000,000","94,132,000,000","172,417,000,000","169,261,000,000","170,460,000,000","175,752,000,000","172,819,000,000","163,672,000,000","158,097,000,000","146,441,000,000","153,456,000,000","143,253,000,000","141,136,000,000","137,682,000,000","140,578,000,000","137,407,000,000","127,156,000,000","130,855,000,000"
	CashCashEquivalentsAndFederalFundsSold,"43,908,000,000","43,000,000,000","41,000,000,000","34,000,000,000","31,000,000,000","26,000,000,000","28,000,000,000","22,000,000,000","28,000,000,000","31,000,000,000","40,000,000,000","33,000,000,000","35,095,000,000","41,558,000,000","36,000,000,000","24,000,000,000","24,000,000,000","27,000,000,000","33,000,000,000","27,000,000,000","30,000,000,000","30,000,000,000","31,000,000,000","33,000,000,000","26,000,000,000","30,000,000,000","29,000,000,000","25,000,000,000","27,000,000,000","34,000,000,000","25,000,000,000","23,000,000,000","20,000,000,000","21,000,000,000","24,000,000,000","22,000,000,000","21,000,000,000","18,000,000,000","21,000,000,000","19,000,000,000","22,000,000,000","23,000,000,000","28,000,000,000","22,000,000,000","25,000,000,000","22,000,000,000","27,000,000,000","25,477,000,000","25,000,000,000","23,000,000,000","22,000,000,000","20,881,000,000","21,000,000,000","21,000,000,000","21,000,000,000","17,734,000,000","18,648,000,000","16,000,000,000","21,000,000,000","20,785,000,000","15,556,000,000","20,091,000,000","19,489,000,000","12,013,000,000","8,410,000,000","7,371,000,000","7,979,000,000","7,956,000,000","7,978,000,000","6,798,000,000","5,393,000,000","7,126,000,000","7,623,000,000","9,280,000,000","9,279,000,000","9,907,000,000","7,621,000,000","6,071,000,000","4,817,000,000","5,726,000,000","6,028,000,000","6,689,000,000","8,405,000,000","10,288,000,000","7,993,000,000","8,903,000,000","7,503,000,000","7,222,000,000","9,860,000,000","8,481,000,000","8,064,000,000","8,487,000,000","8,959,000,000","6,841,000,000","7,425,000,000","7,471,000,000","5,102,000,000","6,096,000,000","5,438,000,000","4,092,000,000","6,594,000,000","3,501,000,000","4,342,000,000","4,179,000,000","4,614,000,000","3,472,000,000","3,170,000,000","2,677,000,000","4,884,000,000","4,970,000,000","5,629,000,000","3,200,000,000","4,577,000,000","4,754,000,000","4,340,000,000","3,433,000,000","6,959,000,000","4,633,000,000","6,832,000,000","3,312,000,000","13,508,000,000","11,510,000,000","33,336,000,000","32,467,000,000","27,533,000,000","25,477,000,000","27,505,000,000","20,562,000,000","26,987,000,000","25,145,000,000","26,130,000,000","12,248,000,000","19,149,000,000","16,844,000,000","16,400,000,000","20,643,000,000"
		CashAndCashEquivalents,"43,834,000,000","43,000,000,000","41,000,000,000","34,000,000,000","31,000,000,000","26,000,000,000","28,000,000,000","22,000,000,000","28,000,000,000","31,000,000,000","40,000,000,000","33,000,000,000","32,726,000,000","41,248,000,000","36,000,000,000","24,000,000,000","24,000,000,000","27,000,000,000","33,000,000,000","27,000,000,000","30,000,000,000","30,000,000,000","31,000,000,000","33,000,000,000","26,000,000,000","30,000,000,000","29,000,000,000","25,000,000,000","27,000,000,000","34,000,000,000","25,000,000,000","23,000,000,000","20,000,000,000","21,000,000,000","24,000,000,000","22,000,000,000","21,000,000,000","18,000,000,000","21,000,000,000","19,000,000,000","22,000,000,000","23,000,000,000","28,000,000,000","22,000,000,000","25,000,000,000","22,000,000,000","27,000,000,000","24,893,000,000","25,000,000,000","23,000,000,000","22,000,000,000","16,709,000,000","21,000,000,000","21,000,000,000","21,000,000,000","15,542,000,000","8,060,000,000","16,000,000,000","21,000,000,000","20,547,000,000","15,556,000,000","20,091,000,000","19,489,000,000","11,737,000,000","8,410,000,000","7,371,000,000","7,979,000,000","7,956,000,000","7,978,000,000","6,798,000,000","5,393,000,000","7,126,000,000","7,623,000,000","9,280,000,000","9,279,000,000","9,907,000,000","7,621,000,000","6,071,000,000","4,817,000,000","5,726,000,000","6,028,000,000","6,689,000,000","8,405,000,000","10,288,000,000","7,993,000,000","8,903,000,000","7,503,000,000","7,222,000,000","9,860,000,000","8,481,000,000","8,064,000,000","8,487,000,000","8,959,000,000","6,841,000,000","7,425,000,000","7,471,000,000","5,102,000,000","6,096,000,000","5,438,000,000","4,092,000,000","6,594,000,000","3,501,000,000","4,342,000,000","4,179,000,000","4,614,000,000","3,472,000,000","3,170,000,000","2,677,000,000","4,884,000,000","4,970,000,000","5,629,000,000","3,200,000,000","4,577,000,000","4,754,000,000","4,340,000,000","3,433,000,000","6,959,000,000","4,633,000,000","6,832,000,000","3,312,000,000","8,245,000,000","6,167,000,000","7,573,000,000","5,395,000,000","7,281,000,000","6,955,000,000","5,407,000,000","4,876,000,000","7,261,000,000","8,040,000,000","8,638,000,000","6,400,000,000","9,126,000,000","7,126,000,000","7,669,000,000","7,452,000,000"
			CashFinancial,"5,077,000,000","3,374,000,000","3,102,000,000","5,505,000,000","3,008,000,000","3,295,000,000","3,003,000,000","1,281,000,000","2,944,000,000","2,657,000,000","2,662,000,000","2,984,000,000","2,105,000,000","2,043,000,000","2,286,000,000","3,402,000,000","3,169,000,000","4,700,000,000","4,026,000,000","3,253,000,000","4,323,000,000","3,423,000,000","3,627,000,000","5,148,000,000","2,820,000,000","2,709,000,000","2,459,000,000","3,278,000,000","2,524,000,000","2,811,000,000","2,761,000,000","2,935,000,000","2,613,000,000","2,442,000,000","2,286,000,000","2,628,000,000","2,300,000,000","2,643,000,000","2,493,000,000","2,212,000,000","2,190,000,000","3,873,000,000","3,433,000,000","2,020,000,000",,,"27,000,000,000","3,514,000,000","25,000,000,000","23,000,000,000","22,000,000,000","2,498,000,000","21,000,000,000","21,000,000,000","21,000,000,000","881,000,000",,"16,000,000,000","21,000,000,000","1,574,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CashEquivalents,"24,000,000","47,000,000","153,000,000","253,000,000","100,000,000","70,000,000","26,000,000","156,000,000","83,000,000","44,000,000","167,000,000","110,000,000","108,000,000","129,000,000","147,000,000","138,000,000","16,000,000","69,000,000","41,000,000","166,000,000","52,000,000","113,000,000","150,000,000","70,000,000","1,289,000,000","1,370,000,000","1,410,000,000","1,151,000,000","1,008,000,000","577,000,000","385,000,000","258,000,000","609,000,000","139,000,000","353,000,000","470,000,000","192,000,000","388,000,000","338,000,000","498,000,000","229,000,000","227,000,000","237,000,000","338,000,000","168,000,000","70,000,000","215,000,000","807,000,000",,,"551,000,000","654,000,000","398,000,000","414,000,000","1,876,000,000","4,064,000,000",,,,"12,419,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CashAndDueFromBanks,"38,733,000,000","43,000,000,000","41,000,000,000","34,000,000,000","31,000,000,000","26,000,000,000","28,000,000,000","22,000,000,000","28,000,000,000","31,000,000,000","40,000,000,000","33,000,000,000","30,513,000,000","39,076,000,000","36,000,000,000","24,000,000,000","24,000,000,000","27,000,000,000","33,000,000,000","27,000,000,000","30,000,000,000","30,000,000,000","31,000,000,000","33,000,000,000","26,000,000,000","30,000,000,000","29,000,000,000","25,000,000,000","27,000,000,000","34,000,000,000","25,000,000,000","23,000,000,000","20,000,000,000","21,000,000,000","24,000,000,000","22,000,000,000","21,000,000,000","18,000,000,000","21,000,000,000","19,000,000,000","22,000,000,000","23,000,000,000","28,000,000,000","22,000,000,000","25,000,000,000","22,000,000,000","26,867,000,000","20,572,000,000","24,550,000,000","22,614,000,000","21,476,000,000","13,557,000,000","20,943,000,000","20,273,000,000","19,222,000,000","10,597,000,000","8,060,000,000","6,717,000,000","7,250,000,000","6,554,000,000","15,556,000,000","20,091,000,000","19,489,000,000","11,737,000,000","8,410,000,000","7,371,000,000","7,979,000,000","7,956,000,000","7,978,000,000","6,798,000,000","5,393,000,000","7,126,000,000","7,623,000,000","9,280,000,000","9,279,000,000","9,907,000,000","7,621,000,000","6,071,000,000","4,817,000,000","5,726,000,000","6,028,000,000","6,689,000,000","8,405,000,000","10,288,000,000","7,993,000,000","8,903,000,000","7,503,000,000","7,222,000,000","9,860,000,000","8,481,000,000","8,064,000,000","8,487,000,000","8,959,000,000","6,841,000,000","7,425,000,000","7,471,000,000","5,102,000,000","6,096,000,000","5,438,000,000","4,092,000,000","6,594,000,000","3,501,000,000","4,342,000,000","4,179,000,000","4,614,000,000","3,472,000,000","3,170,000,000","2,677,000,000","4,884,000,000","4,970,000,000","5,629,000,000","3,200,000,000","4,577,000,000","4,754,000,000","4,340,000,000","3,433,000,000","6,959,000,000","4,633,000,000","6,832,000,000","3,312,000,000","8,245,000,000","6,167,000,000","7,573,000,000","5,395,000,000","7,281,000,000","6,955,000,000","5,407,000,000","4,876,000,000","7,261,000,000","8,040,000,000","8,638,000,000","6,400,000,000","9,126,000,000","7,126,000,000","7,669,000,000","7,452,000,000"
		RestrictedCashAndInvestments,"65,000,000","668,000,000","57,000,000","59,000,000","907,000,000","621,000,000","1,753,000,000","43,000,000","25,000,000","1,393,000,000","46,000,000","47,000,000","2,065,000,000","61,000,000","2,013,000,000","85,000,000","708,000,000","75,000,000","84,000,000","363,000,000","783,000,000","1,263,000,000","147,000,000","336,000,000","1,816,000,000","55,000,000","55,000,000","286,000,000","612,000,000","35,000,000","37,000,000","477,000,000","748,000,000","1,578,000,000","54,000,000","384,000,000",,,,"486,000,000",,,,"568,000,000",,,,"584,000,000",,,,"4,172,000,000",,,,"2,192,000,000",,,,"238,000,000",,,,"276,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RestrictedCashAndCashEquivalents,"5,000,000","5,000,000","3,000,000","5,000,000","4,000,000","9,000,000","8,000,000","11,000,000",,"14,000,000","46,000,000","47,000,000","2,065,000,000","61,000,000","2,013,000,000","85,000,000","708,000,000","75,000,000","84,000,000","363,000,000","783,000,000","1,263,000,000","147,000,000","336,000,000","1,816,000,000","55,000,000","55,000,000","286,000,000","612,000,000","35,000,000","37,000,000","477,000,000","748,000,000","1,578,000,000","54,000,000","384,000,000",,,,"486,000,000",,,,"568,000,000",,,,"584,000,000",,,,"4,172,000,000",,,,"2,192,000,000",,,,"238,000,000",,,,"276,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RestrictedInvestments,"60,000,000","663,000,000","54,000,000","54,000,000","903,000,000","612,000,000","1,745,000,000","32,000,000","25,000,000","1,379,000,000","46,000,000","47,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		MoneyMarketInvestments,"9,000,000","314,000,000","307,000,000","318,000,000","293,000,000","293,000,000","476,000,000","463,000,000","369,000,000","46,000,000","119,000,000","92,000,000","304,000,000","249,000,000","230,000,000","87,000,000","31,000,000","62,000,000","308,000,000","64,000,000","55,000,000","55,000,000","49,000,000","48,000,000","86,000,000","102,000,000","74,000,000","115,000,000","243,000,000","129,000,000","33,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"4,064,000,000","10,588,000,000","8,898,000,000","13,547,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,263,000,000","5,343,000,000","25,763,000,000","27,072,000,000","20,252,000,000","18,522,000,000","22,098,000,000","15,686,000,000","19,726,000,000","17,105,000,000","17,492,000,000","5,848,000,000","10,023,000,000","9,718,000,000","8,731,000,000","13,191,000,000"
