name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989
OperatingCashFlow,"2,636,000,000","1,080,000,000","184,000,000","400,000,000","971,000,000","544,000,000","444,000,000","674,000,000","951,000,000","975,000,000","1,188,000,000","1,533,000,000","1,481,000,000","862,000,000","482,000,000","714,000,000","1,369,000,000","933,000,000","780,000,000","246,000,000","1,306,000,000","542,000,000","696,000,000","321,000,000","1,126,000,000","385,000,000","723,000,000","316,000,000","704,000,000","836,000,000","556,000,000","463,000,000","677,000,000","539,000,000","227,000,000","286,000,000","537,000,000","441,000,000","411,000,000","355,000,000","671,113,000","392,983,000","209,454,000","233,450,000","569,704,000","582,873,000","293,093,000","314,558,000","542,697,000","465,635,000","241,559,000","466,109,000","550,024,000","507,709,000","292,016,000","394,519,000","658,890,000","532,172,000","257,890,000","267,864,000","456,938,000","544,256,000","212,747,000","473,158,000","351,700,000","366,260,000","236,917,000","285,559,000","398,788,000","299,551,000","206,912,000","171,149,000","442,112,000","329,809,000","198,621,000","255,632,000","275,897,000","293,934,000","314,520,000","213,183,000","396,734,000","216,133,000","179,210,000","113,623,000","303,632,000","240,268,000","136,648,000","155,485,000","254,142,000","208,524,000","220,789,000","95,190,000","176,364,000","171,880,000","146,049,000","121,200,000","125,600,000","181,100,000","38,200,000","86,900,000","139,700,000","119,400,000","77,700,000","164,000,000","126,500,000","106,900,000","70,300,000","139,000,000","161,400,000","119,800,000","90,400,000","88,800,000","132,500,000","159,100,000","75,100,000","105,500,000","144,200,000","139,100,000","81,600,000","114,600,000","78,400,000","78,100,000","80,300,000","83,000,000","138,000,000","74,000,000","45,900,000","50,300,000","100,800,000","75,600,000","29,300,000","48,400,000","113,900,000","73,300,000","28,700,000","43,100,000"
	CashFlowFromContinuingOperatingActivities,"2,636,000,000","1,080,000,000","184,000,000","400,000,000","971,000,000","381,000,000","446,000,000","672,000,000","950,000,000","977,000,000","1,186,000,000","1,533,000,000","1,482,000,000","862,000,000","482,000,000","714,000,000","1,369,000,000","933,000,000","780,000,000","246,000,000","1,306,000,000","542,000,000","696,000,000","321,000,000","1,126,000,000","385,000,000","723,000,000","316,000,000","704,000,000","836,000,000","556,000,000","463,000,000","677,000,000","539,000,000","227,000,000","286,000,000","537,000,000","441,000,000","411,000,000","355,000,000","729,712,000","446,341,000","317,042,000","225,905,000","557,428,000","525,517,000","297,400,000","313,019,000","538,038,000","467,604,000","237,145,000","469,743,000","464,670,000","506,751,000","292,968,000","394,628,000","643,372,000","522,394,000","256,959,000","268,795,000","455,044,000","544,547,000","213,701,000","473,784,000","371,845,000","367,700,000","242,469,000","287,900,000","395,477,000","297,381,000","209,082,000","171,149,000","445,954,000","327,558,000","193,268,000","257,149,000","278,623,000","293,934,000","314,520,000","213,183,000","396,734,000","216,133,000","179,210,000","113,623,000","303,632,000","240,268,000","136,648,000","155,485,000","254,142,000","208,524,000","220,789,000","95,190,000","176,364,000","171,880,000","146,049,000","121,200,000","125,600,000","181,100,000","38,200,000","86,900,000","139,700,000","119,400,000","77,700,000","164,000,000","126,500,000","106,900,000","70,300,000","139,000,000","161,400,000","119,800,000","90,400,000","88,800,000","132,500,000","159,100,000","75,100,000","105,500,000","144,200,000","139,100,000","81,600,000","114,600,000","78,400,000","78,100,000","80,300,000","83,000,000","138,000,000","74,000,000","45,900,000","50,300,000","100,800,000","75,600,000","29,300,000","48,400,000","113,900,000","73,300,000","28,700,000","43,100,000"
		NetIncomeFromContinuingOperations,"1,663,000,000","407,000,000","460,000,000","509,000,000","431,000,000","217,000,000","454,000,000","677,000,000","265,000,000","525,000,000","299,000,000","1,003,000,000","128,000,000","285,000,000","183,000,000","278,000,000","162,000,000","452,000,000","20,000,000","599,000,000","-135,000,000","594,000,000","-12,000,000","-136,000,000","327,000,000","-132,000,000","343,000,000","562,000,000","18,000,000","391,000,000","338,000,000","229,000,000","181,000,000","62,000,000","216,000,000","236,000,000","301,000,000","326,000,000","287,000,000","271,000,000","90,752,000","291,878,000","276,121,000","270,249,000","274,279,000","281,690,000","290,549,000","263,010,000","301,403,000","338,110,000","311,063,000","314,276,000","256,354,000","306,283,000","297,725,000","315,978,000","305,757,000","333,901,000","261,314,000","312,082,000","282,175,000","297,089,000","276,184,000","271,548,000","259,812,000","244,809,000","242,533,000","142,879,000","173,979,000","204,203,000","156,238,000","217,860,000","121,575,000","189,801,000","185,556,000","195,351,000","182,546,000","109,396,000","165,160,000","125,402,000","161,360,000","130,018,000","142,040,000","113,638,000","131,396,000","119,725,000","129,188,000","99,673,000","98,369,000","124,299,000","118,362,000","60,622,000","84,014,000","114,418,000","119,165,000","75,300,000","76,300,000","33,100,000","90,100,000","76,200,000","89,900,000","-10,000,000","92,400,000","64,300,000","89,200,000","70,100,000","82,700,000","58,100,000","87,100,000","77,200,000","74,800,000","44,500,000","86,600,000","66,600,000","65,000,000","33,500,000","86,300,000","58,100,000","57,100,000","25,700,000","69,900,000","58,300,000","58,900,000","25,700,000","72,000,000","55,500,000","51,500,000","21,800,000","62,300,000","49,000,000","49,000,000","29,500,000","62,300,000","46,700,000","45,600,000","27,700,000"
		OperatingGainsLosses,"123,000,000","8,000,000","23,000,000","21,000,000","71,000,000","10,000,000","8,000,000","-144,000,000","19,000,000","7,000,000","19,000,000","26,000,000","18,000,000","28,000,000","25,000,000","24,000,000","27,000,000","51,000,000","23,000,000","-560,000,000","-30,000,000","-464,000,000","29,000,000","-101,000,000","28,000,000","1,000,000","30,000,000","25,000,000","-95,000,000","23,000,000","19,000,000","21,000,000","11,000,000","20,000,000","17,000,000","-20,000,000","12,000,000","-22,000,000","10,000,000","-29,000,000","19,079,000","17,610,000","21,007,000","-108,696,000","1,431,000","15,939,000","17,764,000","-73,562,000","19,965,000","27,383,000","5,913,000","27,576,000","16,095,000","20,275,000","19,256,000","-158,593,000","7,335,000","14,181,000","-90,138,000","48,000","25,492,000","378,000","6,512,000","12,973,000","-27,301,000","67,675,000","58,230,000","13,599,000","122,697,000","-112,883,000","174,964,000","-92,064,000","161,175,000","-16,121,000","-17,492,000","-57,363,000","-14,550,000","-18,000,000","0","38,551,000","34,254,000","0","0","-100,000,000","18,576,000","1,417,000","5,109,000","-100,000,000","-2,594,000","8,815,000","17,567,000","12,962,000","-6,745,000","-31,766,000","-32,659,000","-500,000","-22,200,000","54,200,000","1,500,000","15,300,000","-59,300,000",,,,,,,,,,,,,,,,,,,,"17,000,000","1,200,000","-1,800,000","-100,000","600,000","2,000,000","-1,900,000","-1,200,000","-1,700,000","-1,400,000",,,"8,800,000","-5,900,000","-10,300,000","-8,900,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,"0","0","0","0","-1,000,000","0","-335,000,000","5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"123,000,000","8,000,000","23,000,000","21,000,000","71,000,000","10,000,000","8,000,000","-144,000,000","19,000,000","7,000,000","19,000,000","26,000,000","18,000,000","28,000,000","25,000,000","24,000,000","27,000,000","52,000,000","23,000,000","-225,000,000","-35,000,000","-156,000,000","29,000,000","-101,000,000","28,000,000","1,000,000","30,000,000","25,000,000","-95,000,000","23,000,000","19,000,000","21,000,000","11,000,000","20,000,000","17,000,000","-20,000,000","12,000,000","-22,000,000","10,000,000","-29,000,000","19,079,000","17,610,000","21,007,000","-108,696,000","1,431,000","15,939,000","17,764,000","-73,562,000","19,965,000","27,383,000","5,913,000","27,576,000","16,095,000","20,275,000","19,256,000","-158,593,000","7,335,000","14,181,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"2,282,000,000","571,000,000","563,000,000","567,000,000","581,000,000","534,000,000","557,000,000","557,000,000","592,000,000","568,000,000","558,000,000","555,000,000","553,000,000","534,000,000","537,000,000","530,000,000","553,000,000","574,000,000","563,000,000","563,000,000","566,000,000","568,000,000","553,000,000","291,000,000","286,000,000","279,000,000","261,000,000","262,000,000","273,000,000","272,000,000","280,000,000","289,000,000","315,000,000","299,000,000","138,000,000","139,000,000","149,000,000","141,000,000","130,000,000","142,000,000","142,319,000","138,204,000","136,644,000","128,833,000","127,379,000","117,678,000","130,263,000","135,618,000","131,879,000","126,813,000","122,205,000","123,192,000","119,108,000","130,978,000","126,806,000","125,221,000","117,947,000","118,450,000","117,278,000","116,518,000","124,309,000","121,054,000","116,847,000","115,212,000","117,776,000","112,537,000","109,947,000","101,081,000","107,129,000","99,843,000","98,435,000","99,688,000","99,268,000","95,186,000","98,356,000","94,686,000","83,500,000","87,715,000","95,693,000","90,316,000","84,824,000","91,501,000","86,050,000","82,081,000","80,379,000","78,803,000","72,723,000","72,960,000","73,263,000","77,380,000","79,739,000","75,318,000","73,500,000","73,286,000","69,069,000","72,400,000","67,600,000","62,800,000","65,800,000","62,700,000","59,800,000","60,200,000","55,700,000","53,000,000","55,600,000","53,100,000","51,400,000","49,700,000","50,700,000","48,000,000","50,800,000","51,000,000","53,700,000","52,200,000","51,600,000","50,300,000","55,200,000","48,700,000","50,100,000","49,700,000","49,300,000","47,000,000","48,200,000","45,300,000","45,800,000","43,900,000","40,900,000","39,000,000","38,100,000","37,400,000","37,400,000","37,000,000","39,600,000","33,600,000","31,900,000","30,600,000"
			DepreciationAndAmortization,"2,282,000,000","571,000,000","563,000,000","567,000,000","581,000,000","534,000,000","557,000,000","557,000,000","592,000,000","568,000,000","558,000,000","555,000,000","553,000,000","534,000,000","537,000,000","530,000,000","553,000,000","574,000,000","563,000,000","563,000,000","566,000,000","568,000,000","553,000,000","291,000,000","286,000,000","279,000,000","261,000,000","262,000,000","273,000,000","272,000,000","280,000,000","289,000,000","315,000,000","299,000,000","138,000,000","139,000,000","149,000,000","141,000,000","130,000,000","142,000,000","142,319,000","138,204,000","136,644,000","128,833,000","127,379,000","117,678,000","130,263,000","135,618,000","131,879,000","126,813,000","122,205,000","123,192,000","119,108,000","130,978,000","126,806,000","125,221,000","117,947,000","118,450,000","117,278,000","116,518,000","124,309,000","121,054,000","116,847,000","115,212,000","117,776,000","112,537,000","109,947,000","101,081,000","107,129,000","99,843,000","98,435,000","99,688,000","99,268,000","95,186,000","98,356,000","94,686,000","83,500,000","87,715,000","95,693,000","90,316,000","84,824,000","91,501,000","86,050,000","82,081,000","80,379,000","78,803,000","72,723,000","72,960,000","73,263,000","77,380,000","79,739,000","75,318,000","73,500,000","73,286,000","69,069,000","72,400,000","67,600,000","62,800,000","65,800,000","62,700,000","59,800,000","60,200,000","55,700,000","53,000,000","55,600,000","53,100,000","51,400,000","49,700,000","50,700,000","48,000,000","50,800,000","51,000,000","53,700,000","52,200,000","51,600,000","50,300,000","55,200,000","48,700,000","50,100,000","49,700,000","49,300,000","47,000,000","48,200,000","45,300,000","45,800,000","43,900,000","40,900,000","39,000,000","38,100,000","37,400,000","37,400,000","37,000,000","39,600,000","33,600,000","31,900,000","30,600,000"
		DeferredTax,"-445,000,000","-99,000,000","-207,000,000","-118,000,000","-21,000,000","-19,000,000","-11,000,000","-69,000,000","-209,000,000","25,000,000","-54,000,000","-66,000,000","-99,000,000","-67,000,000","-65,000,000","-71,000,000","-209,000,000","-63,000,000","-81,000,000","-28,000,000","232,000,000","-72,000,000","-76,000,000","-324,000,000","103,000,000","-296,000,000","-64,000,000","21,000,000","-276,000,000","-38,000,000","-83,000,000","-29,000,000","-199,000,000","-124,000,000","-11,000,000","-2,000,000","21,000,000","-29,000,000","-11,000,000","-13,000,000","64,992,000","-28,095,000","9,108,000","-10,005,000","27,821,000","-24,553,000","-10,292,000","29,171,000","2,617,000","400,000","37,564,000","-10,534,000","20,967,000","-7,037,000","12,416,000","1,709,000","81,668,000","-28,000,000","-2,920,000","9,293,000","90,854,000","95,000","-9,388,000","-1,473,000","-68,417,000","-3,474,000","-16,141,000","-27,457,000","-75,474,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-30,500,000","3,000,000","3,000,000","3,000,000","-1,900,000","3,000,000","3,000,000","3,000,000","8,700,000","3,000,000","3,000,000","3,000,000","2,800,000","3,000,000","3,000,000","3,000,000"
			DeferredIncomeTax,"-445,000,000","-99,000,000","-207,000,000","-118,000,000","-21,000,000","-19,000,000","-11,000,000","-69,000,000","-209,000,000","25,000,000","-54,000,000","-66,000,000","-99,000,000","-67,000,000","-65,000,000","-71,000,000","-209,000,000","-63,000,000","-81,000,000","-28,000,000","232,000,000","-72,000,000","-76,000,000","-324,000,000","103,000,000","-296,000,000","-64,000,000","21,000,000","-276,000,000","-38,000,000","-83,000,000","-29,000,000","-199,000,000","-124,000,000","-11,000,000","-2,000,000","21,000,000","-29,000,000","-11,000,000","-13,000,000","64,992,000","-28,095,000","9,108,000","-10,005,000","27,821,000","-24,553,000","-10,292,000","29,171,000","2,617,000","400,000","37,564,000","-10,534,000","20,967,000","-7,037,000","12,416,000","1,709,000","81,668,000","-28,000,000","-2,920,000","9,293,000","90,854,000","95,000","-9,388,000","-1,473,000","-68,417,000","-3,474,000","-16,141,000","-27,457,000","-75,474,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-30,500,000","3,000,000","3,000,000","3,000,000","-1,900,000","3,000,000","3,000,000","3,000,000","8,700,000","3,000,000","3,000,000","3,000,000","2,800,000","3,000,000","3,000,000","3,000,000"
