name,07/31/2023,04/30/2023,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,04/30/1988,04/30/1987,04/30/1986
TotalAssets,"8,086,000,000","7,777,000,000","7,754,000,000","6,852,000,000","6,521,000,000","6,373,000,000","6,226,000,000","6,616,000,000","6,579,000,000","6,522,000,000","6,495,000,000","6,350,000,000","6,191,000,000","5,776,000,000","5,518,000,000","5,553,000,000","5,322,000,000","5,139,000,000","5,163,000,000","5,149,000,000","5,025,000,000","4,976,000,000","5,042,000,000","4,978,000,000","4,802,000,000","4,625,000,000","4,600,000,000","4,720,000,000","4,755,000,000","4,183,000,000","4,333,000,000","4,319,000,000","4,334,000,000","4,193,000,000","4,161,000,000","4,243,000,000","4,191,000,000","4,103,000,000","3,993,000,000","3,882,000,000","3,686,000,000","3,626,000,000","3,832,300,000","3,803,900,000","3,583,000,000","3,477,000,000","3,676,400,000","3,673,600,000","3,749,200,000","3,712,000,000","3,383,000,000","3,440,100,000","3,381,900,000","3,383,000,000","3,418,300,000","3,585,000,000","3,444,200,000","3,475,000,000","3,499,800,000","3,680,600,000","3,448,900,000","3,405,000,000","3,391,600,000","3,546,300,000","3,342,200,000","3,551,000,000","3,730,800,000","2,925,200,000","2,756,600,000","2,728,000,000","2,654,600,000","2,591,800,000","2,597,000,000","2,624,000,000","2,622,200,000","2,563,700,000","2,372,700,000","2,376,000,000","2,331,900,000","2,429,700,000","2,280,600,000","2,264,000,000","2,141,200,000","2,214,700,000","2,026,600,000","2,016,000,000","1,940,000,000","2,092,700,000","1,935,900,000","1,939,000,000","1,855,400,000","1,995,600,000","1,806,800,000","1,802,000,000","1,747,600,000","1,926,100,000","1,748,500,000","1,735,000,000","1,534,700,000","1,670,900,000","1,497,600,000","1,494,000,000","1,433,600,000","1,537,600,000","1,388,700,000","1,428,000,000","1,366,300,000","1,474,100,000","1,354,000,000","1,381,000,000","1,337,200,000","1,399,700,000","1,283,800,000","1,285,600,000","1,225,400,000","1,343,100,000","1,212,700,000","1,233,900,000","1,275,000,000","1,412,500,000","1,314,100,000","1,311,000,000","1,312,500,000","1,415,900,000","1,227,600,000","1,193,500,000","1,133,400,000","1,223,000,000","1,133,300,000","1,082,600,000","1,030,100,000","1,064,200,000","1,014,400,000","1,021,000,000","982,100,000","987,300,000","1,022,700,000","1,003,300,000","932,300,000","1,056,700,000","1,037,800,000"
	CurrentAssets,"4,190,000,000","3,801,000,000","3,843,000,000","4,258,000,000","3,923,000,000","3,776,000,000","3,653,000,000","4,032,000,000","3,992,000,000","3,917,000,000","3,914,000,000","3,815,000,000","3,646,000,000","3,265,000,000","2,994,000,000","3,039,000,000","2,837,000,000","2,719,000,000","2,755,000,000","2,743,000,000","2,623,000,000","2,555,000,000","2,641,000,000","2,661,000,000","2,503,000,000","2,351,000,000","2,377,000,000","2,530,000,000","2,561,000,000","2,233,000,000","2,405,000,000","2,348,000,000","2,371,000,000","2,254,000,000","2,209,000,000","2,299,000,000","2,259,000,000","2,177,000,000","2,103,000,000","2,033,000,000","1,861,000,000","1,821,000,000","2,046,400,000","2,055,000,000","1,849,500,000","1,749,000,000","1,953,100,000","1,945,600,000","2,011,600,000","1,976,000,000","1,526,500,000","1,603,700,000","1,544,500,000","1,527,000,000","1,548,400,000","1,684,400,000","1,540,000,000","1,574,000,000","1,594,500,000","1,773,000,000","1,494,400,000","1,456,000,000","1,443,900,000","1,595,200,000","1,415,400,000","1,635,000,000","1,714,200,000","1,556,000,000","1,386,500,000","1,610,000,000","1,529,800,000","1,483,700,000","1,340,000,000","1,317,000,000","1,310,900,000","1,276,000,000","1,086,000,000","1,083,000,000","1,107,900,000","1,217,000,000","1,077,000,000","1,068,000,000","1,040,200,000","1,210,800,000","1,034,500,000","1,029,000,000","966,200,000","1,129,000,000","985,800,000","994,000,000","920,800,000","1,086,600,000","998,000,000","1,020,000,000","991,500,000","1,174,700,000","1,009,100,000","999,000,000","902,800,000","1,036,300,000","866,100,000","869,000,000","816,800,000","921,400,000","762,600,000","802,000,000","742,100,000","852,100,000","739,000,000","768,000,000","730,000,000","797,500,000","687,300,000","697,900,000","640,000,000","759,200,000","627,700,000","649,900,000","693,700,000","838,600,000","737,000,000","720,300,000","713,900,000","823,000,000","684,300,000","651,500,000","595,100,000","692,900,000","608,900,000","621,600,000","591,100,000","625,400,000","574,700,000","587,200,000","561,100,000","568,800,000","533,600,000","517,400,000","455,700,000","519,900,000","521,600,000"
		CashCashEquivalentsAndShortTermInvestments,"426,000,000","374,000,000","428,000,000","1,087,000,000","899,000,000","868,000,000","812,000,000","1,073,000,000","1,172,000,000","1,150,000,000","1,106,000,000","964,000,000","908,000,000","675,000,000","276,000,000","235,000,000","307,000,000","307,000,000","260,000,000","193,000,000","211,000,000","239,000,000","287,000,000","212,000,000","238,000,000","182,000,000","197,000,000","211,000,000","459,000,000","263,000,000","317,000,000","195,000,000","494,000,000","370,000,000","250,000,000","235,000,000","460,000,000","437,000,000","287,000,000","192,000,000","217,000,000","204,000,000","386,800,000","368,500,000","361,500,000","338,000,000","494,900,000","380,100,000","552,500,000","567,000,000","231,600,000","155,700,000","260,800,000","232,000,000","241,700,000","289,300,000","286,500,000","340,000,000","334,700,000","326,800,000","160,200,000","119,000,000","136,600,000","192,700,000","179,800,000","369,000,000","403,700,000","412,800,000","406,200,000","635,000,000","595,900,000","451,900,000","265,000,000","295,000,000","289,500,000","85,800,000","84,000,000","68,000,000","110,100,000","74,500,000","71,900,000","72,000,000","79,600,000","136,400,000","123,800,000","116,000,000","124,800,000","94,100,000","86,400,000","86,000,000","78,500,000","98,500,000","188,000,000","180,000,000","183,800,000","187,200,000","180,800,000","171,000,000","124,400,000","122,700,000","93,200,000","78,000,000","66,100,000","50,200,000","42,100,000","58,000,000","60,200,000","30,200,000","23,000,000","54,000,000","55,300,000","39,200,000","43,300,000","62,500,000","49,400,000","40,400,000","35,300,000","30,500,000","67,800,000","100,500,000","112,000,000","74,900,000","72,900,000","55,700,000","59,000,000","50,000,000","38,400,000","23,400,000","23,200,000","93,700,000","106,000,000","45,400,000","64,600,000","105,800,000","121,900,000","35,900,000","94,200,000","95,600,000","49,100,000","28,600,000","23,800,000"
			CashAndCashEquivalents,"426,000,000","374,000,000","428,000,000","1,087,000,000","899,000,000","868,000,000","812,000,000","1,073,000,000","1,172,000,000","1,150,000,000","1,106,000,000","964,000,000","908,000,000","675,000,000","276,000,000","235,000,000","307,000,000","307,000,000","260,000,000","193,000,000","211,000,000","239,000,000","287,000,000","212,000,000","238,000,000","182,000,000","197,000,000","211,000,000","459,000,000","263,000,000","317,000,000","195,000,000","494,000,000","370,000,000","250,000,000","235,000,000","460,000,000","437,000,000","287,000,000","192,000,000","217,000,000","204,000,000","386,800,000","368,500,000","361,500,000","338,000,000","494,900,000","380,100,000","552,500,000","567,000,000","231,600,000","155,700,000","260,800,000","232,000,000","241,700,000","289,300,000","286,500,000","340,000,000","334,700,000","326,800,000","160,200,000","119,000,000","136,600,000","192,700,000","179,800,000","283,000,000","253,900,000","222,600,000","219,900,000","475,000,000","366,200,000","451,900,000","265,000,000","295,000,000","289,500,000","85,800,000","84,000,000","68,000,000","110,100,000","74,500,000","71,900,000","72,000,000","79,600,000","136,400,000","123,800,000","116,000,000","124,800,000","94,100,000","86,400,000","86,000,000","78,500,000","98,500,000","188,000,000","180,000,000","121,300,000","114,800,000","180,800,000","171,000,000","124,400,000","122,700,000","93,200,000","78,000,000","66,100,000","50,200,000","42,100,000","58,000,000","60,200,000","30,200,000","23,000,000","54,000,000","55,300,000","39,200,000","43,300,000","62,500,000","49,400,000","40,400,000","35,300,000","30,500,000","67,800,000","100,500,000","112,000,000","74,900,000","72,900,000","55,700,000","59,000,000","50,000,000","38,400,000","23,400,000","23,200,000","93,700,000","106,000,000","45,400,000","64,600,000","105,800,000","121,900,000","35,900,000","94,200,000","95,600,000","49,100,000","28,600,000","23,800,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86,000,000","149,800,000","190,200,000","186,300,000","160,000,000","229,700,000",,,,,,,,,,,,,,,,,,,,,,,,"62,500,000","72,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"872,000,000","855,000,000","944,000,000","894,000,000","841,000,000","813,000,000","796,000,000","933,000,000","803,000,000","753,000,000","820,000,000","879,000,000","721,000,000","570,000,000","732,000,000","823,000,000","616,000,000","609,000,000","737,000,000","768,000,000","658,000,000","639,000,000","725,000,000","753,000,000","576,000,000","557,000,000","611,000,000","660,000,000","501,000,000","559,000,000","630,000,000","727,000,000","505,000,000","583,000,000","631,000,000","761,000,000","547,000,000","569,000,000","679,000,000","729,000,000","542,000,000","548,000,000","633,800,000","681,500,000","524,900,000","475,000,000","568,700,000","641,900,000","523,300,000","496,000,000","418,000,000","544,000,000","411,600,000","418,000,000","454,000,000","519,100,000","392,600,000","367,000,000","413,500,000","534,400,000","428,800,000","453,000,000","473,100,000","535,100,000","393,800,000","404,000,000","485,200,000","441,700,000","331,200,000","328,000,000","312,600,000","405,000,000","321,000,000","344,000,000","357,100,000","488,700,000","324,300,000","348,000,000","313,500,000","431,200,000","304,600,000","325,000,000","308,100,000","404,300,000","257,200,000","280,000,000","225,500,000","376,400,000","275,500,000","303,000,000","243,700,000","386,400,000","249,900,000","294,000,000","252,500,000","405,600,000","255,800,000","274,000,000","231,200,000","350,900,000","236,800,000","265,000,000","222,600,000","331,800,000","223,100,000","263,000,000","212,200,000","331,500,000","246,000,000","257,000,000","234,100,000","324,900,000","229,400,000","234,200,000","185,400,000","299,200,000","199,500,000","240,600,000","216,500,000","326,900,000","225,200,000","238,900,000","217,800,000","321,300,000","225,500,000","208,300,000","158,400,000","279,500,000",,"177,300,000","133,500,000",,"180,000,000","159,800,000","142,700,000","251,000,000","159,500,000","159,000,000","148,900,000","190,600,000","177,400,000"
			AccountsReceivable,"872,000,000","855,000,000","944,000,000","894,000,000","841,000,000","813,000,000","796,000,000","933,000,000","803,000,000","753,000,000","820,000,000","879,000,000","721,000,000","570,000,000","732,000,000","823,000,000","616,000,000","609,000,000","737,000,000","768,000,000","658,000,000","639,000,000","725,000,000","753,000,000","576,000,000","557,000,000","611,000,000","660,000,000","501,000,000","559,000,000","630,000,000","727,000,000","505,000,000","583,000,000","631,000,000","761,000,000","547,000,000","569,000,000","679,000,000","729,000,000","542,000,000","548,000,000","633,800,000","681,500,000","524,900,000","475,000,000","568,700,000","641,900,000","523,300,000","496,000,000","418,000,000","544,000,000","411,600,000","418,000,000","454,000,000","519,100,000","392,600,000","367,000,000","413,500,000","534,400,000","428,800,000","453,000,000","473,100,000","535,100,000","393,800,000","404,000,000","485,200,000","441,700,000","331,200,000","328,000,000","312,600,000","405,000,000","321,000,000","344,000,000","357,100,000","488,700,000","324,300,000","348,000,000","313,500,000","431,200,000","304,600,000","325,000,000","308,100,000","404,300,000","257,200,000","280,000,000","225,500,000","376,400,000","275,500,000","303,000,000","243,700,000","386,400,000","249,900,000","294,000,000","252,500,000","405,600,000","255,800,000","274,000,000","231,200,000","350,900,000","236,800,000","265,000,000","222,600,000","331,800,000","223,100,000","263,000,000","212,200,000","331,500,000","246,000,000","257,000,000","234,100,000","324,900,000","229,400,000","234,200,000","185,400,000","299,200,000","199,500,000","240,600,000","216,500,000",,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"879,000,000","862,000,000","974,000,000","899,000,000","846,000,000","826,000,000","802,000,000","939,000,000","810,000,000",,"830,000,000","890,000,000","733,000,000","581,000,000","739,000,000","830,000,000","623,000,000",,"744,000,000","775,000,000","665,000,000","646,000,000","732,000,000","760,000,000","583,000,000","564,000,000","620,000,000","669,000,000","510,000,000","568,000,000","639,000,000","737,000,000","514,000,000","593,000,000","640,000,000","769,000,000","555,000,000","578,000,000","688,000,000","738,000,000","551,000,000","557,000,000","644,500,000","690,600,000","534,100,000","484,000,000","586,500,000","659,700,000","541,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-7,000,000","-7,000,000","-30,000,000","-5,000,000","-5,000,000","-13,000,000","-6,000,000","-6,000,000","-7,000,000",,"-10,000,000","-11,000,000","-12,000,000","-11,000,000","-7,000,000","-7,000,000","-7,000,000",,"-7,000,000","-7,000,000","-7,000,000","-7,000,000","-7,000,000","-7,000,000","-7,000,000","-7,000,000","-9,000,000","-9,000,000","-9,000,000","-9,000,000","-9,000,000","-10,000,000","-9,000,000","-10,000,000","-9,000,000","-8,000,000","-8,000,000","-9,000,000","-9,000,000","-9,000,000","-9,000,000","-9,000,000","-10,700,000","-9,100,000","-9,200,000","-9,000,000","-17,800,000","-17,800,000","-17,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
