name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988
TotalRevenue,"401,758,000,000","125,564,000,000","120,151,000,000","92,628,000,000","63,469,000,000","9,261,000,000","68,832,000,000","112,325,000,000","75,504,000,000","96,508,000,000","70,299,000,000","103,735,000,000","94,606,000,000","96,925,000,000","-9,010,000,000","96,679,000,000","75,898,000,000","73,646,000,000","81,000,000,000","28,206,000,000","78,156,000,000","68,562,000,000","50,458,000,000","58,907,000,000","60,525,000,000","57,518,000,000","65,187,000,000","57,673,000,000","59,068,000,000","54,460,000,000","52,403,000,000","51,820,000,000","58,989,000,000","51,368,000,000","48,644,000,000","48,259,000,000","51,199,000,000","49,762,000,000","45,453,000,000","47,049,000,000","46,541,000,000","44,693,000,000","43,867,000,000","44,720,000,000","41,050,000,000","38,546,000,000","38,147,000,000","37,955,000,000","33,739,000,000","38,274,000,000","33,720,000,000","36,165,000,000","36,274,000,000","31,709,000,000","32,037,000,000","30,198,000,000","29,904,000,000","29,607,000,000","22,784,000,000","24,592,000,000","27,926,000,000","30,093,000,000","25,175,000,000","28,043,000,000","29,937,000,000","27,347,000,000","32,918,000,000","26,231,000,000","25,360,000,000","24,185,000,000","22,763,000,000","25,368,000,000","20,533,000,000","18,128,000,000","17,634,000,000","20,030,000,000","19,172,000,000","17,996,000,000","17,184,000,000","19,855,000,000","18,232,000,000","14,396,000,000","11,423,000,000","12,144,000,000","10,637,000,000","9,904,000,000","9,358,000,000","9,531,000,000","9,259,000,000","10,618,000,000","8,088,000,000","12,485,000,000","8,386,000,000","6,553,000,000","6,474,000,000","6,070,000,000","7,051,000,000","5,461,000,000","5,446,000,000","3,662,000,000","2,909,000,000","3,936,000,000","3,325,000,000","3,951,900,000","2,372,700,000","2,338,200,000","2,074,800,000","2,727,600,000","2,015,300,000","1,914,800,000","4,139,700,000","1,180,000,000","895,900,000","808,600,000","828,800,000","1,200,200,000","820,800,000","890,500,000","935,900,000","445,500,000","744,100,000","703,700,000","725,800,000","923,500,000","809,400,000","656,800,000","639,600,000","98,000,000","776,500,000","776,500,000","776,500,000","453,500,000","354,400,000","380,100,000","392,000,000","620,800,000","597,100,000","564,200,000","701,700,000","662,900,000","583,900,000","576,400,000","641,700,000"
	TotalPremiumsEarned,"79,433,000,000","20,561,000,000","19,796,000,000","20,256,000,000","18,810,000,000","18,087,000,000","17,492,000,000","18,164,000,000","17,727,000,000","17,163,000,000","16,424,000,000","16,145,000,000","15,913,000,000","15,595,000,000","15,748,000,000","16,573,000,000","15,323,000,000","14,863,000,000","14,319,000,000","15,563,000,000","14,333,000,000","14,149,000,000","13,373,000,000","13,128,000,000","13,349,000,000","12,367,000,000","21,753,000,000","12,594,000,000","11,364,000,000","10,799,000,000","11,124,000,000","10,840,000,000","10,514,000,000","10,400,000,000","9,540,000,000","9,797,000,000","12,717,000,000","9,323,000,000","9,416,000,000","9,222,000,000","9,270,000,000","8,815,000,000","9,377,000,000","9,201,000,000","8,851,000,000","8,428,000,000","8,065,000,000","7,999,000,000","7,645,000,000","8,949,000,000","7,482,000,000","7,405,000,000","9,054,000,000","6,864,000,000","7,426,000,000","6,621,000,000","6,595,000,000","6,485,000,000","8,183,000,000","6,620,000,000","6,465,000,000","6,231,000,000","6,209,000,000","6,299,000,000","6,020,000,000","5,950,000,000","13,514,000,000","6,247,000,000","6,359,000,000","5,836,000,000","5,522,000,000","5,691,000,000","5,779,000,000","5,196,000,000","5,331,000,000","5,248,000,000","5,354,000,000","5,481,000,000","5,002,000,000","5,554,000,000","5,242,000,000","5,521,000,000","5,176,000,000","5,562,000,000","4,765,000,000","4,417,000,000","4,438,000,000","4,584,000,000","4,213,000,000","5,382,000,000","3,726,000,000","7,843,000,000","4,872,000,000","3,408,000,000","3,220,000,000","3,606,000,000","4,603,000,000","3,027,000,000","3,070,000,000","1,498,000,000","1,367,000,000","1,249,000,000","1,367,000,000","1,429,200,000","1,088,800,000","1,260,100,000","983,000,000","1,213,000,000","971,200,000","1,011,700,000","921,900,000",,"173,900,000","174,200,000","231,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetInvestmentIncome,"69,223,000,000","33,046,000,000","31,317,000,000","17,390,000,000","-12,873,000,000","-66,919,000,000","-2,024,000,000","-36,121,000,000","4,829,000,000","27,247,000,000","5,251,000,000","-15,421,000,000","30,242,000,000","40,161,000,000","-69,875,000,000","267,000,000","234,000,000","213,000,000","770,000,000","-603,000,000","137,000,000","372,000,000","-8,015,000,000","161,000,000","765,000,000","222,000,000","772,000,000","2,990,000,000","1,193,000,000","660,000,000","1,036,000,000","1,386,000,000","7,575,000,000","-38,000,000","1,414,000,000","311,000,000","-118,000,000","2,521,000,000","1,295,000,000","1,866,000,000","2,067,000,000","916,000,000","1,711,000,000","2,201,000,000","799,000,000","-943,000,000","896,000,000","343,000,000","-2,351,000,000","1,105,000,000","-136,000,000","2,084,000,000","312,000,000","-1,793,000,000","1,729,000,000","1,556,000,000","1,817,000,000","2,330,000,000","-4,983,000,000","-5,313,000,000","-1,557,000,000","935,000,000","-1,526,000,000","930,000,000","3,065,000,000","928,000,000","586,000,000","992,000,000","267,000,000","459,000,000","803,000,000","4,579,000,000","727,000,000","-260,000,000","-106,000,000","2,345,000,000","766,000,000","-262,000,000","1,641,000,000",,"1,584,000,000","1,848,000,000","2,075,000,000",,"1,890,000,000","105,000,000","57,000,000","203,000,000","110,000,000","84,000,000","171,000,000","70,000,000","110,000,000","94,000,000","282,000,000","-22,000,000","12,000,000","76,000,000","59,000,000","176,000,000","13,000,000","11,000,000","12,000,000","224,300,000","8,700,000","8,200,000","6,800,000","242,600,000","5,900,000","5,200,000","5,800,000",,"120,600,000","114,600,000","102,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetRealizedGainLossOnInvestments,"-406,000,000","15,000,000","3,441,000,000","-2,927,000,000","-592,000,000",,"46,000,000","76,648,000,000","92,000,000","147,000,000","449,000,000","54,775,000,000","1,340,000,000","-76,000,000","-400,000,000","31,044,000,000","10,692,000,000","9,835,000,000","19,552,000,000","-34,905,000,000","14,569,000,000","5,990,000,000",,"2,000,000","200,000,000","3,000,000","3,000,000","3,000,000","2,415,000,000","3,000,000","4,000,000","-144,000,000","-73,000,000","226,000,000","1,000,000","0","0","0","72,000,000","2,000,000","74,000,000","37,000,000","71,000,000","-464,000,000","917,000,000","125,000,000","-106,000,000","-765,000,000","92,000,000","1,289,000,000","-407,000,000","-2,145,000,000","458,000,000","383,000,000","1,318,000,000","3,475,000,000","85,000,000","3,000,000","-3,466,000,000","-705,000,000","-296,000,000","246,000,000","115,000,000","1,019,000,000","3,065,000,000","928,000,000","586,000,000","-1,415,000,000","267,000,000","459,000,000","449,000,000","107,000,000","727,000,000","-260,000,000","-106,000,000","2,345,000,000","766,000,000","-262,000,000","647,000,000","1,281,000,000","634,000,000","1,391,000,000","811,000,000","438,000,000","12,000,000","70,000,000","166,000,000","135,000,000","326,000,000","660,000,000","242,000,000","1,594,000,000","908,000,000","717,000,000","736,000,000","141,000,000","425,000,000","396,000,000","403,000,000","188,000,000","153,000,000","1,351,000,000","723,000,000","855,600,000","182,500,000","35,500,000","32,700,000","55,500,000","96,100,000","-7,200,000","2,339,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncome,"12,615,000,000","3,846,000,000","3,229,000,000","3,162,000,000","2,378,000,000","2,861,000,000","1,862,000,000","1,921,000,000","1,795,000,000","1,898,000,000","1,851,000,000","1,949,000,000","1,717,000,000","2,150,000,000","2,276,000,000","2,345,000,000","2,483,000,000","2,295,000,000","2,117,000,000","2,095,000,000","1,993,000,000","1,908,000,000","1,682,000,000","1,704,000,000","1,680,000,000","1,686,000,000","1,512,000,000","787,000,000","1,642,000,000","2,028,000,000","1,723,000,000","1,910,000,000","1,461,000,000","1,739,000,000","1,635,000,000","1,550,000,000","1,503,000,000","1,912,000,000","1,493,000,000","1,644,000,000","1,460,000,000","1,952,000,000","1,352,000,000","1,512,000,000","1,360,000,000","1,792,000,000","1,442,000,000","1,515,000,000","1,435,000,000","1,785,000,000","1,675,000,000","1,653,000,000","1,634,000,000","1,915,000,000","1,696,000,000","1,741,000,000","1,781,000,000","1,873,000,000","1,736,000,000","1,808,000,000","1,607,000,000","1,719,000,000","1,622,000,000","1,735,000,000","1,707,000,000","1,713,000,000","1,541,000,000","1,520,000,000","1,517,000,000","1,526,000,000","1,429,000,000","1,358,000,000","1,279,000,000","1,261,000,000","1,143,000,000","1,048,000,000","970,000,000","1,010,000,000","990,000,000","1,047,000,000","928,000,000","1,054,000,000","1,209,000,000","1,255,000,000","1,121,000,000","909,000,000","963,000,000","697,000,000","710,000,000","680,000,000","678,000,000","782,000,000","648,000,000","649,000,000","634,000,000","593,000,000","614,000,000","534,000,000","573,000,000","275,000,000","242,000,000","283,000,000","249,000,000","358,500,000","237,500,000","213,900,000","234,800,000","292,300,000","220,300,000","190,000,000","172,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	FeeRevenueAndOtherIncome,"240,893,000,000","68,096,000,000","62,368,000,000","54,747,000,000","55,746,000,000","55,232,000,000","51,456,000,000","51,713,000,000","51,061,000,000","50,053,000,000","46,324,000,000","46,287,000,000","45,394,000,000","39,095,000,000","43,241,000,000","46,450,000,000","47,166,000,000","46,440,000,000","44,242,000,000","46,056,000,000","47,124,000,000","46,143,000,000","43,418,000,000","43,912,000,000","44,531,000,000","43,240,000,000","41,147,000,000","41,299,000,000","42,454,000,000","40,970,000,000","38,516,000,000","37,828,000,000","39,512,000,000","39,041,000,000","36,054,000,000","36,601,000,000","37,097,000,000","36,006,000,000","33,177,000,000","34,315,000,000","33,670,000,000","32,973,000,000","31,427,000,000","31,334,000,000","30,040,000,000","29,269,000,000","27,744,000,000","27,889,000,000","27,010,000,000","26,435,000,000","24,699,000,000","25,009,000,000","25,274,000,000","24,723,000,000","21,186,000,000","20,213,000,000","19,711,000,000","18,919,000,000","17,848,000,000","21,477,000,000","21,411,000,000","21,208,000,000","18,870,000,000","19,079,000,000","19,145,000,000","18,756,000,000","17,277,000,000","17,358,000,000","17,217,000,000","16,364,000,000","15,009,000,000","13,272,000,000","12,748,000,000","11,931,000,000","11,266,000,000","11,389,000,000","12,082,000,000","11,767,000,000","10,545,000,000","11,973,000,000","11,428,000,000","6,430,000,000","4,227,000,000","4,889,000,000","4,739,000,000","4,403,000,000","3,734,000,000","3,912,000,000","3,900,000,000","3,812,000,000","3,271,000,000","2,196,000,000","1,848,000,000","1,685,000,000","1,602,000,000","1,752,000,000","1,397,000,000","1,428,000,000","1,341,000,000","1,525,000,000","1,134,000,000","1,042,000,000","974,000,000","1,084,300,000","855,200,000","820,500,000","817,500,000","924,200,000","721,800,000","715,100,000","700,100,000","2,096,600,000","601,400,000","519,800,000","495,300,000",,,,,,,,,,"809,400,000","656,800,000","639,600,000",,,,,"453,500,000","354,400,000","380,100,000","392,000,000",,,,,,,,
		FeesAndCommissions,"5,030,000,000","1,490,000,000","1,018,000,000","1,149,000,000","1,437,000,000","1,578,000,000","1,160,000,000","1,405,000,000","1,788,000,000","1,783,000,000","1,076,000,000","1,586,000,000","1,776,000,000","1,239,000,000","873,000,000","1,110,000,000","1,382,000,000","1,404,000,000","847,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,397,000,000","1,428,000,000","1,341,000,000",,"1,134,000,000","1,042,000,000","974,000,000","1,084,300,000","855,200,000","820,500,000","817,500,000","924,200,000","721,800,000","715,100,000","700,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherIncomeExpense,"235,863,000,000","66,606,000,000","61,350,000,000","53,598,000,000","54,309,000,000","53,654,000,000","50,296,000,000","50,308,000,000","49,273,000,000","48,270,000,000","45,248,000,000","44,701,000,000","43,618,000,000","37,856,000,000","42,368,000,000","45,340,000,000","45,784,000,000","45,036,000,000","43,395,000,000","41,641,000,000","47,124,000,000","46,143,000,000","43,418,000,000","43,912,000,000","44,531,000,000","43,240,000,000","41,147,000,000","41,299,000,000","42,454,000,000","40,970,000,000","38,516,000,000","37,828,000,000","39,512,000,000","39,041,000,000","36,054,000,000","36,601,000,000","37,097,000,000","36,006,000,000","33,177,000,000","34,315,000,000","33,670,000,000","32,973,000,000","31,427,000,000","31,334,000,000","30,040,000,000","29,269,000,000","27,744,000,000","27,889,000,000","27,010,000,000","26,435,000,000","24,699,000,000","25,009,000,000","25,274,000,000","24,723,000,000","21,186,000,000","20,213,000,000","19,711,000,000","18,919,000,000","17,848,000,000","21,477,000,000","21,411,000,000","21,208,000,000","18,870,000,000","19,079,000,000","19,145,000,000","18,756,000,000","17,277,000,000","17,358,000,000","17,217,000,000","16,364,000,000","15,009,000,000","13,272,000,000","12,748,000,000","11,931,000,000","11,266,000,000","11,389,000,000","12,082,000,000","11,767,000,000","10,545,000,000","11,973,000,000","11,428,000,000","6,430,000,000","4,227,000,000","4,889,000,000","4,739,000,000","4,403,000,000","3,734,000,000","3,912,000,000","3,900,000,000","3,812,000,000","3,271,000,000","2,196,000,000","1,848,000,000","1,685,000,000","1,602,000,000","1,752,000,000","1,397,000,000","1,428,000,000","1,341,000,000","1,525,000,000","1,134,000,000","1,042,000,000","974,000,000","1,084,300,000","855,200,000","820,500,000","817,500,000","924,200,000","721,800,000","715,100,000","700,100,000","2,096,600,000","601,400,000","519,800,000","495,300,000",,,,,,,,,,"809,400,000","656,800,000","639,600,000",,,,,"453,500,000","354,400,000","380,100,000","392,000,000",,,,,,,,
TotalExpenses,"293,796,000,000","80,129,000,000","75,399,000,000","70,417,000,000","67,586,000,000","64,743,000,000","62,020,000,000","63,372,000,000","63,020,000,000","60,787,000,000","55,771,000,000","58,332,000,000","56,676,000,000","61,516,000,000","54,039,000,000","59,878,000,000","55,409,000,000","55,887,000,000","53,353,000,000","60,927,000,000","55,009,000,000","53,464,000,000","51,981,000,000","52,516,000,000","54,895,000,000","51,389,000,000","59,499,000,000","48,359,000,000","48,543,000,000","47,088,000,000","45,947,000,000","44,439,000,000","44,917,000,000","45,522,000,000","40,997,000,000","42,418,000,000","44,449,000,000","40,846,000,000","38,855,000,000","39,817,000,000","39,163,000,000","37,802,000,000","36,572,000,000","37,966,000,000","35,114,000,000","33,931,000,000","33,216,000,000","33,503,000,000","30,376,000,000","33,009,000,000","31,486,000,000","29,684,000,000","31,740,000,000","28,771,000,000","26,939,000,000","25,733,000,000","25,065,000,000","24,816,000,000","25,327,000,000","24,444,000,000","26,424,000,000","25,622,000,000","23,722,000,000","23,617,000,000","23,090,000,000","22,531,000,000","28,846,000,000","20,969,000,000","21,059,000,000","20,583,000,000","19,150,000,000","17,539,000,000","19,698,000,000","15,974,000,000","15,661,000,000","15,102,000,000","17,378,000,000","16,082,000,000","14,884,000,000","16,302,000,000","15,650,000,000","11,061,000,000","8,845,000,000","10,318,000,000","8,965,000,000","8,357,000,000","7,968,000,000","9,240,000,000","10,305,000,000","9,351,000,000","7,131,000,000","10,693,000,000","7,010,000,000","5,439,000,000","5,169,000,000","6,036,000,000","6,382,000,000","4,596,000,000","4,564,000,000","2,800,000,000","2,361,000,000","2,121,000,000","2,236,000,000","2,459,400,000","1,833,000,000","1,940,600,000","1,677,000,000","2,207,600,000","1,649,300,000","1,651,400,000","1,583,200,000","195,600,000","255,500,000","234,000,000","168,100,000","1,270,500,000","172,900,000","172,500,000","182,000,000","872,800,000","148,700,000","154,600,000",,"215,100,000","151,100,000",,"176,400,000",,,,,"241,900,000","151,900,000","152,400,000","164,400,000",,,,,,,,
	LossAdjustmentExpense,"63,546,000,000","15,217,000,000","15,006,000,000","15,786,000,000","17,455,000,000","14,902,000,000","14,655,000,000","14,386,000,000","15,507,000,000","13,634,000,000","12,444,000,000","12,950,000,000","12,978,000,000","11,473,000,000","12,362,000,000","14,496,000,000","12,034,000,000","11,834,000,000","11,078,000,000","13,156,000,000","11,380,000,000","10,819,000,000","10,250,000,000","11,356,000,000","13,350,000,000","10,010,000,000","19,793,000,000","9,965,000,000","8,954,000,000","8,419,000,000","8,699,000,000","8,333,000,000","7,996,000,000","8,430,000,000","7,181,000,000","7,820,000,000","10,146,000,000","6,821,000,000","6,800,000,000","6,569,000,000","7,041,000,000","6,332,000,000","6,405,000,000","7,127,000,000","6,300,000,000","5,937,000,000","5,863,000,000","6,569,000,000","4,868,000,000","7,238,000,000","7,033,000,000","4,943,000,000","7,115,000,000","4,804,000,000","5,678,000,000","4,558,000,000","4,560,000,000","4,475,000,000","6,496,000,000","4,185,000,000","5,237,000,000","4,147,000,000","4,530,000,000","4,177,000,000","3,769,000,000","3,556,000,000","11,294,000,000","3,463,000,000","3,560,000,000","3,898,000,000","3,765,000,000","3,657,000,000","6,444,000,000","3,471,000,000","3,544,000,000","3,067,000,000","4,590,000,000","3,701,000,000","3,465,000,000","3,584,000,000","3,638,000,000","3,972,000,000","3,733,000,000","4,495,000,000","3,836,000,000","3,464,000,000","3,474,000,000","4,621,000,000","5,763,000,000","4,989,000,000","3,025,000,000","7,302,000,000","4,378,000,000","2,975,000,000","2,677,000,000","3,539,000,000","4,182,000,000","2,356,000,000","2,441,000,000","1,078,000,000","1,014,000,000","854,000,000","1,094,000,000","1,167,000,000","822,600,000","964,500,000","752,600,000","1,075,100,000","769,100,000","784,100,000","737,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
