name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
TotalRevenue,"6,257,770,000","2,463,517,000","1,301,642,000","1,518,521,000","974,090,000","760,516,000","3,879,505,000","4,234,683,000","4,457,672,000","3,862,075,000","4,097,921,000","2,783,339,000","2,443,102,000","2,133,276,000","-2,126,549,000","1,660,222,000","1,474,212,000","1,305,112,000","1,734,378,000","481,534,000","1,566,186,000","2,280,637,000","1,467,900,000","1,510,387,000","1,447,508,000","1,348,531,000","1,604,805,000","1,322,703,000","1,217,331,000","1,023,469,000","825,635,000","818,300,000","88,745,000","1,082,329,000","2,334,554,000","1,845,991,000","1,306,358,000","1,992,001,000","1,382,028,000","2,219,664,000","1,135,819,000","1,205,746,000","1,101,712,000","917,390,000","917,170,000","816,947,000","1,116,148,000","1,268,505,000","-366,370,000","1,308,281,000","1,153,269,000","1,030,439,000","264,015,000","461,169,000","701,239,000","724,286,000","665,577,000","464,633,000","10,969,000","-915,587,000","-716,902,000","537,640,000","-149,856,000","-1,898,778,000","534,312,000","3,372,949,000","4,262,850,000","7,850,126,000","299,763,000","299,763,000","220,989,000","5,266,717,000","124,187,000","124,187,000","124,187,000"
	NetInterestIncome,"669,000","40,409,000","-13,956,000","2,303,000","-28,087,000","-7,567,000","-12,262,000","6,616,000","-17,365,000","-13,305,000","-13,571,000","-5,976,000","-13,043,000","-15,352,000","-6,560,000","-8,542,000","-10,880,000","90,000","2,082,000","3,241,000","7,249,000","753,000","-3,286,000","500,198,000","476,156,000","390,182,000","583,018,000","363,789,000","356,262,000","234,652,000","175,709,000","81,908,000","-500,448,000","292,630,000","1,204,407,000","1,034,945,000","497,138,000","913,237,000","463,291,000","860,747,000","323,620,000","378,118,000","272,103,000","239,524,000","327,548,000","91,000,000","-6,882,000","-6,047,000","-4,700,000","-14,185,000","-4,313,000","-4,300,000","139,279,000","-730,000","1,710,000","4,916,000","5,338,000","5,278,000","-1,399,000","-8,682,000","-5,893,000","-5,690,000","-2,743,000","-3,520,000","-2,258,000","-26,302,000",,,,,,,,,
		InterestIncome,"394,042,000","148,505,000","90,485,000","102,632,000","52,420,000","62,075,000","54,485,000","63,166,000","35,048,000","31,017,000","31,412,000","39,726,000","26,497,000","23,924,000","35,084,000","52,146,000","42,482,000","43,686,000","44,084,000","47,885,000","48,604,000","40,073,000","35,385,000","953,972,000","838,873,000","701,060,000","985,068,000","683,965,000","632,011,000","434,312,000","301,570,000","-26,188,000","-365,790,000","517,518,000","1,602,405,000","1,350,160,000","878,888,000","1,317,681,000","678,086,000","1,535,999,000","492,598,000","653,808,000","484,074,000","645,201,000","368,645,000","112,671,000","7,636,000","10,004,000","9,085,000","14,185,000","13,803,000","10,296,000","151,045,000","6,952,000","7,185,000","11,556,000","10,596,000","5,365,000","0","0","0","0","0","0","0","0",,,,,,,,,
		InterestExpense,"393,373,000","108,096,000","104,441,000","100,329,000","80,507,000","69,642,000","66,747,000","56,550,000","52,413,000","44,322,000","44,983,000","45,702,000","39,540,000","39,276,000","41,644,000","60,688,000","53,362,000","43,596,000","42,002,000","44,644,000","41,355,000","39,320,000","38,671,000","453,774,000","362,717,000","310,878,000","402,050,000","320,176,000","275,749,000","199,660,000","125,861,000","-108,096,000","134,658,000","224,888,000","397,998,000","315,215,000","381,750,000","404,444,000","214,795,000","675,252,000","168,978,000","275,690,000","211,971,000","405,677,000","41,097,000","21,671,000","14,518,000","16,051,000","13,785,000","14,185,000","13,803,000","14,596,000","11,766,000","7,682,000","7,185,000","6,640,000","5,258,000","87,000","1,399,000","8,682,000","5,893,000","5,690,000","2,743,000","3,520,000","2,258,000","26,302,000",,,,,,,,,
	NonInterestIncome,"6,257,101,000","2,423,108,000","1,315,598,000","1,516,218,000","1,002,177,000","768,083,000","3,891,767,000","4,228,067,000","4,475,037,000","3,875,380,000","4,111,492,000","2,789,315,000","2,456,145,000","2,148,628,000","-2,119,989,000","1,668,764,000","1,485,092,000","1,305,022,000","1,732,296,000","478,293,000","1,558,937,000","2,279,884,000","1,471,186,000","1,010,189,000","971,352,000","958,349,000","1,021,787,000","958,914,000","861,069,000","788,817,000","649,926,000","736,392,000","589,193,000","789,699,000","1,130,147,000","811,046,000","809,220,000","1,078,764,000","918,737,000","1,358,917,000","812,199,000","827,628,000","829,609,000","677,866,000","589,622,000","725,947,000","1,123,030,000","1,274,552,000","-361,670,000","1,078,969,000","921,520,000","1,034,739,000","124,736,000","461,899,000","801,807,000","719,370,000","660,239,000","459,355,000","12,368,000","-906,905,000","-711,009,000","543,330,000","-147,113,000","-1,895,258,000","536,570,000","3,399,251,000",,,,,,,,,
		FeesAndCommissions,"6,843,432,000","1,538,869,000","1,754,365,000","1,826,363,000","1,723,835,000","1,966,049,000","349,521,000","42,735,000","3,769,370,000","-266,317,000","2,936,482,000","2,403,529,000","2,183,227,000","1,653,047,000","-1,020,125,000","1,463,803,000","1,253,336,000","1,153,316,000","1,349,416,000","598,868,000","1,295,272,000","1,298,357,000","1,265,985,000","883,682,000","851,531,000","818,919,000","853,298,000","746,409,000","739,257,000","712,962,000","600,398,000","668,970,000","624,250,000","630,956,000","806,979,000","674,988,000","770,536,000","846,042,000","739,686,000","1,001,851,000","650,943,000","710,783,000","630,716,000","379,302,000","607,267,000","483,287,000","746,934,000","739,153,000","69,789,000","1,024,481,000","844,274,000","317,996,000","-164,803,000","416,526,000","478,307,000","358,859,000","521,618,000","412,000,000","126,924,000","-247,419,000","31,297,000","324,437,000","120,722,000","-1,950,921,000","480,031,000","1,905,343,000",,,,,,,,,
			FeesandCommissionIncome,"7,250,870,000","1,862,447,000","1,801,191,000","1,858,702,000","1,728,530,000","1,660,785,000","1,580,425,000","1,596,002,000","5,615,862,000","1,245,756,000","4,212,803,000","3,294,279,000","2,842,235,000","2,154,861,000","-2,338,558,000","1,877,296,000","1,509,325,000","1,352,545,000","1,728,232,000","518,434,000","1,681,149,000","1,684,489,000","1,639,144,000","883,682,000","851,531,000","818,919,000","853,298,000","746,409,000","739,257,000","712,962,000","600,398,000","668,970,000","624,250,000","630,956,000","806,979,000","674,988,000","770,536,000","846,042,000","739,686,000","1,001,851,000","650,943,000","710,783,000","630,716,000","379,302,000","607,267,000","483,287,000","856,446,000","833,881,000","-31,104,000","1,170,291,000","1,021,342,000","461,345,000","628,487,000","438,513,000","540,648,000","432,620,000","521,618,000","412,000,000","126,924,000","-247,419,000","31,297,000","324,437,000","120,722,000","305,726,000","480,031,000","1,905,343,000",,,,,,,,,
			FeesandCommissionExpense,"407,438,000","323,578,000","46,826,000","32,339,000","4,695,000","-305,264,000","1,230,904,000","1,553,267,000","1,846,492,000","1,512,073,000","1,276,321,000","890,750,000","659,008,000","501,814,000","-1,318,433,000","413,493,000","255,989,000","199,229,000","378,816,000","-80,434,000","385,877,000","386,132,000","373,159,000",,,,,,,,,,,,,,,,,,,,,,,,"109,512,000","94,728,000","-100,893,000","145,810,000","177,068,000","143,349,000","793,290,000","21,987,000","62,341,000","73,761,000",,,,,,,,,,,,,,,,,,,
SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74,654,000","-45,191,000",,"285,071,000","-59,250,000","249,625,000","79,341,000","73,812,000","58,304,000","-34,763,000","-295,623,000","-550,755,000","189,678,000","782,821,000","558,341,000","407,076,000","227,565,000",,,,,,,,,
PretaxIncome,"2,385,458,000","1,426,976,000","258,356,000","602,195,000","97,931,000","-219,232,000","2,980,895,000","3,378,063,000","3,664,897,000","3,145,748,000","3,370,688,000","2,080,506,000","1,801,111,000","1,501,761,000","-2,765,858,000","1,007,337,000","1,010,949,000","685,697,000","1,114,032,000","-49,352,000","975,786,000","1,689,708,000","896,799,000","1,359,134,000","906,465,000","774,297,000","1,077,205,000","818,395,000","719,303,000","510,526,000","333,786,000","440,909,000","-482,291,000","392,785,000","1,583,602,000","1,338,120,000","632,970,000","1,306,664,000","708,972,000","1,584,913,000","518,392,000","566,674,000","478,582,000","187,167,000","235,739,000","135,614,000","456,385,000","705,660,000","-994,412,000","248,796,000","117,214,000","198,643,000","143,302,000","-636,928,000","-149,850,000","-365,314,000","-426,959,000","-586,986,000","-912,207,000","-1,898,938,000","-1,843,707,000","-620,478,000","-1,245,176,000","-703,342,000","-514,425,000","2,838,410,000","1,146,046,000",,,,,,,,
