name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
OperatingCashFlow,"2,417,000,000","384,000,000","120,000,000","1,123,000,000","790,000,000","32,000,000","-202,000,000","913,000,000","579,000,000","561,000,000","184,000,000","199,000,000","937,000,000","509,000,000","47,000,000","1,013,000,000","618,000,000","554,000,000","-183,000,000"
	CashFlowFromContinuingOperatingActivities,"2,417,000,000","384,000,000","120,000,000","1,123,000,000","790,000,000","32,000,000","-202,000,000","913,000,000","579,000,000","561,000,000","184,000,000","199,000,000","937,000,000","509,000,000","47,000,000","1,013,000,000","618,000,000","554,000,000","-183,000,000"
		NetIncomeFromContinuingOperations,"2,230,000,000","233,000,000","387,000,000","278,000,000","1,332,000,000","587,000,000","1,387,000,000","332,000,000","480,000,000","497,000,000","392,000,000","887,000,000","748,000,000","269,000,000","102,000,000","454,000,000","504,000,000","794,000,000","403,000,000"
		OperatingGainsLosses,"-619,000,000","240,000,000","-60,000,000","-11,000,000","-788,000,000","-108,000,000","-1,206,000,000","-42,000,000","-80,000,000","-87,000,000","-38,000,000","-930,000,000","-314,000,000","-18,000,000","-29,000,000","-38,000,000","-78,000,000","-80,000,000","-40,000,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,"-871,000,000",,,,"0",,,
			GainLossOnInvestmentSecurities,"-420,000,000","292,000,000","-16,000,000","29,000,000","-725,000,000","-7,000,000","-1,112,000,000",,,,,,"39,000,000","39,000,000","10,000,000","78,000,000","34,000,000","41,000,000","5,000,000"
			EarningsLossesFromEquityInvestments,"-199,000,000","-52,000,000","-44,000,000","-40,000,000","-63,000,000","-101,000,000","-58,000,000","-48,000,000","-76,000,000","-87,000,000","-38,000,000","-59,000,000","-62,000,000","-18,000,000","-29,000,000","-38,000,000","-78,000,000","-80,000,000","-40,000,000"
		DepreciationAmortizationDepletion,"498,000,000","137,000,000","136,000,000","123,000,000","102,000,000","76,000,000","79,000,000","87,000,000","83,000,000","85,000,000","83,000,000","95,000,000","82,000,000","78,000,000","81,000,000","84,000,000","84,000,000","82,000,000","85,000,000"
			DepreciationAndAmortization,"498,000,000","137,000,000","136,000,000","123,000,000","102,000,000","76,000,000","79,000,000","87,000,000","83,000,000","85,000,000","83,000,000","95,000,000","82,000,000","78,000,000","81,000,000","84,000,000","84,000,000","82,000,000","85,000,000"
		DeferredTax,"-217,000,000","-86,000,000","-24,000,000","-17,000,000","-90,000,000","-65,000,000","48,000,000","-143,000,000","36,000,000","35,000,000","-2,000,000","-24,000,000","-14,000,000","0","135,000,000","-13,000,000","-52,000,000","-72,000,000","15,000,000"
			DeferredIncomeTax,"-217,000,000","-86,000,000","-24,000,000","-17,000,000","-90,000,000","-65,000,000","48,000,000","-143,000,000","36,000,000","35,000,000","-2,000,000","-24,000,000","-14,000,000","0","135,000,000","-13,000,000","-52,000,000","-72,000,000","15,000,000"
		AssetImpairmentCharge,,,,"0",,,,"0","2,000,000","0","0","0","0","1,000,000","71,000,000","0","108,000,000","0","0"
		StockBasedCompensation,"76,000,000","18,000,000","22,000,000","19,000,000","17,000,000","20,000,000","21,000,000","32,000,000","20,000,000","21,000,000","19,000,000","21,000,000","21,000,000","22,000,000","13,000,000","12,000,000","18,000,000","14,000,000","8,000,000"
		OtherNonCashItems,"37,000,000","-44,000,000","-12,000,000","59,000,000","34,000,000","-45,000,000","79,000,000","55,000,000","40,000,000","-72,000,000","-74,000,000","134,000,000","7,000,000","69,000,000","-31,000,000","174,000,000","-80,000,000","-84,000,000","-38,000,000"
		ChangeInWorkingCapital,"269,000,000","-121,000,000","-332,000,000","579,000,000","143,000,000","-437,000,000","-621,000,000","498,000,000","-25,000,000","52,000,000","-208,000,000","-65,000,000","368,000,000","88,000,000","-305,000,000","262,000,000","80,000,000","-141,000,000","-621,000,000"
			ChangeInReceivables,"65,000,000","-261,000,000","-185,000,000","438,000,000","73,000,000","-346,000,000","-361,000,000","212,000,000","-27,000,000","-202,000,000","-127,000,000","277,000,000","-124,000,000","-55,000,000","-58,000,000","149,000,000","-6,000,000","-50,000,000","-199,000,000"
				ChangesInAccountReceivables,"-68,000,000","-249,000,000","-157,000,000","288,000,000","50,000,000","-276,000,000","-207,000,000","193,000,000","-2,000,000","-205,000,000","-83,000,000","166,000,000","-144,000,000","46,000,000","-19,000,000","76,000,000","1,000,000","-58,000,000","-148,000,000"
			ChangeInInventory,"42,000,000","67,000,000","-126,000,000","158,000,000","-57,000,000","-45,000,000","-390,000,000","-64,000,000","-134,000,000","38,000,000","-248,000,000","-3,000,000","88,000,000","-61,000,000","-264,000,000","267,000,000","71,000,000","-110,000,000","-230,000,000"
