name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
TotalAssets,"7,195,900,000","7,903,500,000","6,998,900,000","7,297,400,000","7,476,100,000","8,198,100,000","6,814,500,000","7,582,700,000","7,096,500,000","6,958,100,000","6,516,500,000","6,076,800,000","5,366,300,000","5,237,500,000","5,113,900,000","5,019,300,000","5,159,300,000","5,330,400,000","5,321,000,000","5,119,500,000","5,316,900,000","5,328,200,000","5,265,700,000","5,228,100,000","5,395,600,000","5,345,100,000","477,165,000","441,342,000","406,644,000","394,830,000","384,788,000","397,419,000","362,109,000","375,797,000","383,901,000","367,086,000","385,781,000","412,844,000","441,589,000","441,150,000","429,862,000","409,625,000","338,858,000","377,526,000","343,806,000","353,441,000","327,868,000","344,643,000","319,422,000","320,820,000","254,112,000","530,624,000","523,666,000","632,527,000","571,948,000"
	CurrentAssets,"1,744,300,000","2,458,100,000","1,556,000,000","1,897,000,000","1,932,800,000","2,935,200,000","1,531,300,000","2,498,800,000","2,180,800,000","2,033,100,000","1,566,800,000","1,382,300,000","781,200,000","632,100,000","607,600,000","489,500,000","577,400,000","683,200,000","683,700,000","435,500,000","584,000,000","512,300,000","436,700,000","374,300,000","519,700,000","455,700,000","239,089,000","206,583,000","173,872,000","184,691,000","204,118,000","222,700,000","194,619,000","209,385,000","244,107,000","222,726,000","243,935,000","276,022,000","308,861,000","308,929,000","296,676,000","275,424,000","202,909,000","238,448,000","201,947,000","214,874,000","189,682,000","207,319,000","177,550,000","179,015,000","109,934,000","387,105,000","378,482,000","495,508,000","433,063,000"
		CashCashEquivalentsAndShortTermInvestments,"517,300,000","515,800,000","524,400,000","380,700,000","441,800,000","708,100,000","379,000,000","419,100,000","569,600,000","358,800,000","337,800,000","235,500,000","386,600,000","208,800,000","300,300,000","171,400,000","244,200,000","376,400,000","310,800,000","137,700,000","271,800,000","230,300,000","190,800,000","127,200,000","259,000,000","194,600,000","97,298,000","72,759,000","52,193,000","107,482,000","102,253,000","121,678,000","89,634,000","137,558,000","147,927,000","126,519,000","145,111,000","199,065,000","221,341,000","226,378,000","207,766,000","210,486,000","135,597,000","160,281,000","127,137,000","148,629,000","134,936,000","147,220,000","106,545,000","115,689,000","53,789,000","322,936,000","324,066,000","439,497,000","383,730,000"
			CashAndCashEquivalents,"413,600,000","435,600,000","432,700,000","353,300,000","373,300,000","659,400,000","341,900,000","392,400,000","450,900,000","263,300,000","245,400,000","212,700,000","210,100,000","165,200,000","229,300,000","150,000,000","161,300,000","346,200,000","275,100,000","136,800,000","140,000,000","166,300,000","143,500,000","124,800,000","148,600,000","153,300,000","97,298,000","72,759,000","52,193,000","107,482,000","102,253,000","121,678,000","89,634,000","137,558,000","147,927,000","126,519,000","145,111,000","199,065,000","221,341,000","226,378,000","207,766,000","210,486,000","135,597,000","160,281,000","127,137,000","148,629,000","134,936,000","147,220,000","106,545,000","115,689,000","53,789,000","322,936,000","324,066,000","439,497,000","383,730,000"
			OtherShortTermInvestments,"103,700,000","80,200,000","91,700,000","27,400,000","68,500,000","48,700,000","37,100,000","26,700,000","118,700,000","95,500,000","92,400,000","22,800,000","176,500,000","43,600,000","71,000,000","21,400,000","82,900,000","30,200,000","35,700,000","900,000","131,800,000","64,000,000","47,300,000","2,400,000","110,400,000","41,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"401,600,000","397,900,000","418,100,000","419,700,000","442,400,000","380,300,000","369,600,000","372,500,000","372,800,000","374,800,000","390,400,000","341,600,000","376,800,000","408,000,000","291,500,000","300,500,000","316,300,000","291,300,000","357,700,000","281,700,000","299,100,000","268,400,000","234,500,000","231,000,000","242,000,000","245,300,000","134,339,000","120,474,000","110,670,000","68,967,000","96,118,000","91,999,000","94,249,000","61,895,000","90,586,000","88,011,000","87,712,000","68,764,000","80,796,000","75,283,000","80,111,000","57,868,000","62,599,000","70,644,000","64,943,000","58,220,000","49,529,000","53,374,000","62,488,000","55,563,000","51,098,000","58,328,000","46,639,000","48,075,000","43,077,000"
			AccountsReceivable,"363,600,000","393,400,000","369,800,000","380,200,000","391,300,000","380,300,000","326,900,000","324,200,000","333,100,000","374,800,000","337,300,000","283,300,000","376,800,000","396,500,000","234,700,000","235,500,000","245,900,000","251,000,000","287,300,000","221,900,000","252,200,000","268,400,000","217,300,000","195,800,000","231,300,000","233,300,000","65,462,000","61,112,000","71,129,000","57,604,000","62,535,000","65,863,000","63,387,000","51,986,000","58,386,000","55,121,000","55,474,000","57,856,000","49,888,000","50,131,000","55,733,000","51,136,000","45,666,000","45,379,000","48,429,000","48,438,000","37,578,000","46,013,000","45,801,000","47,015,000","37,746,000","36,577,000","33,901,000","37,252,000","30,437,000"
				GrossAccountsReceivable,"367,100,000","395,700,000","372,000,000","381,900,000","392,600,000","381,200,000","327,900,000","325,500,000","334,000,000","375,400,000","337,900,000","284,100,000","377,800,000","397,700,000",,,,,,,,,,,,,"65,589,000","61,240,000","71,216,000","57,679,000","62,685,000","66,290,000","63,774,000","52,284,000","58,671,000","55,394,000","55,765,000","58,135,000","50,154,000","50,475,000","56,065,000","51,489,000","46,006,000","45,710,000","48,758,000","48,754,000","37,882,000",,"45,934,000",,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-3,500,000","-2,300,000","-2,200,000","-1,700,000","-1,300,000","-900,000","-1,000,000","-1,300,000","-900,000","-600,000","-600,000","-800,000","-1,000,000","-1,200,000",,,,,,,,,,,,,"-127,000","-128,000","-87,000","-75,000","-150,000","-427,000","-387,000","-298,000","-285,000","-273,000","-291,000","-279,000","-266,000","-344,000","-332,000","-353,000","-340,000","-331,000","-329,000","-316,000","-304,000",,"-133,000",,,,,,
			TaxesReceivable,"38,000,000","4,500,000","48,300,000","39,500,000","51,100,000","0","42,700,000","48,300,000","39,700,000","0","53,100,000","58,300,000","0","11,500,000","56,800,000","65,000,000","70,400,000","40,300,000","70,400,000","59,800,000","46,900,000","0","17,200,000","35,200,000","10,700,000","12,000,000","62,192,000","52,190,000","32,489,000","4,778,000","27,901,000","19,381,000","23,216,000","1,120,000","21,503,000","22,340,000","23,261,000","732,000","22,039,000","16,440,000","15,440,000","481,000","11,717,000","16,809,000","8,987,000","361,000","6,756,000","362,000","9,436,000","0","5,537,000","14,548,000","5,238,000","295,000","1,583,000"
