name,ttm,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
OperatingCashFlow,"812,547,000","1,629,088,000","2,364,178,000","1,830,779,000","1,223,380,000","1,131,249,000","710,505,000","450,315,000","651,897,000","661,780,000","745,108,000","291,081,000","361,219,000","616,587,000","213,645,000","-130,373,000","648,210,000","370,481,000","359,656,000","182,175,000","63,941,000","64,882,000","95,391,000"
	CashFlowFromContinuingOperatingActivities,"812,547,000","1,629,088,000","2,364,178,000","1,830,779,000","1,223,380,000","1,131,249,000","710,505,000","450,315,000","651,897,000","661,780,000","745,108,000","291,081,000","361,219,000","616,587,000","213,645,000","-130,373,000","648,210,000","370,481,000","359,656,000","182,175,000","63,941,000","64,882,000","95,391,000"
		NetIncomeFromContinuingOperations,"868,999,000","1,423,960,000","1,841,915,000","755,868,000","1,291,450,000","1,065,948,000","697,946,000","584,064,000","558,877,000","513,503,000","348,795,000","304,787,000","290,325,000","156,009,000","-27,638,000","-1,012,066,000","390,505,000","318,571,000","217,341,000","64,725,000","-34,704,000","18,727,000","17,426,000"
		OperatingGainsLosses,"-200,844,000","-198,516,000","-848,135,000","-143,555,000","-189,832,000","-420,881,000","-219,612,000","-211,940,000","-167,613,000","-140,956,000","-96,643,000","-72,505,000","118,847,000","-75,182,000","10,993,000","-37,519,000","105,420,000","-4,234,000","27,152,000","4,109,000",,,
			GainLossOnSaleOfBusiness,,"0","-187,456,000",,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"0",,,,,"-3,197,000","0","-9,901,000","-8,573,000","-28,005,000","-18,698,000","-683,000",,"-21,248,000",,,,,,,,,
			GainLossOnInvestmentSecurities,"296,000","30,482,000","-41,982,000","-17,394,000","-28,907,000","7,400,000","-9,405,000","-4,688,000","3,809,000","-11,237,000","-13,523,000","-11,093,000","273,332,000",,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-201,140,000","-228,998,000","-618,697,000","-126,161,000","-160,925,000","-425,084,000","-210,207,000","-197,351,000","-162,849,000","-101,714,000","-64,422,000","-60,729,000","-83,982,000","7,313,000","47,604,000",,,,,,,,
		DepreciationAmortizationDepletion,"617,575,000","613,088,000","525,871,000","501,728,000","439,224,000","451,988,000","406,114,000","366,927,000","314,096,000","265,101,000","191,270,000","170,905,000","116,930,000","108,962,000","99,473,000","114,571,000","121,652,000","87,690,000","52,119,000","69,544,000","92,622,000","24,614,000",
			DepreciationAndAmortization,"617,575,000","613,088,000","525,871,000","501,728,000","439,224,000","451,988,000","406,114,000","366,927,000","314,096,000","265,101,000","191,270,000","170,905,000","116,930,000","108,962,000","99,473,000","114,571,000","121,652,000","87,690,000","52,119,000","69,544,000","92,622,000","24,614,000",
				Depreciation,,,,,,,,,,,,,,,,"102,909,000","113,694,000","67,595,000","45,516,000","54,857,000",,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,"11,662,000","7,958,000","20,095,000","6,603,000","14,687,000",,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,"11,662,000","7,958,000","20,095,000","6,603,000","14,687,000",,,
		DeferredTax,,,,,,"-11,401,000","-8,989,000","-9,642,000","-14,935,000","-28,469,000","-11,591,000",,,"1,228,000","5,702,000","-62,163,000","5,322,000","-23,055,000","-5,659,000","15,803,000","-12,750,000","5,158,000","-1,948,000"
			DeferredIncomeTax,,,,,,"-11,401,000","-8,989,000","-9,642,000","-14,935,000","-28,469,000","-11,591,000",,,"1,228,000","5,702,000","-62,163,000","5,322,000","-23,055,000","-5,659,000","15,803,000","-12,750,000","5,158,000","-1,948,000"
		AmortizationOfSecurities,,,,,,,,,,,,,"7,453,000","29,013,000","38,958,000",,,,,,,"3,322,000","1,316,000"
