name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001
TotalRevenue,"30,855,012,000","7,719,863,000","7,411,114,000","8,194,489,000","7,529,546,000","7,771,278,000","7,332,933,000","8,550,217,000","6,798,327,000","6,458,613,000","5,938,879,000","6,910,501,000","5,645,142,000","5,381,384,000","5,889,168,000","7,119,407,000","5,925,101,000","5,714,073,000","5,135,510,000","6,293,748,000","5,260,954,000","5,111,434,000","4,673,952,000","4,336,212,000","3,549,977,000","3,342,215,000","2,981,204,000","3,823,831,000","3,193,487,000","3,207,537,000","2,846,734,000","3,700,242,000","2,712,559,000","2,390,506,000","2,052,503,000","2,787,194,000","2,275,076,000","2,126,806,000","1,860,842,000","2,233,851,000","1,733,866,000","1,742,014,000","1,475,063,000","2,005,846,000","1,557,147,000","1,601,117,000","1,349,989,000","1,763,625,000","1,534,463,000","1,422,218,000","1,185,105,000","1,651,296,000","1,266,218,000","1,171,919,000","1,025,883,000","1,296,499,000","1,023,205,000","955,667,000","890,449,000","1,283,284,000","1,299,735,000","1,314,873,000","1,230,925,000","1,837,116,000","1,492,809,000","1,490,363,000","1,213,961,000","1,611,832,000","903,876,000","836,228,000","680,091,000","956,014,000","744,198,000","672,163,000","538,266,000","798,189,000","574,999,000","550,916,000","440,992,000","621,257,000","423,376,000","321,717,000","263,724,000","376,466,000","284,928,000","284,893,000","223,990,000","337,262,000","225,566,000"
	OperatingRevenue,"30,855,012,000","7,719,863,000","7,411,114,000","8,194,489,000","7,529,546,000","7,771,278,000","7,332,933,000","8,550,217,000","6,798,327,000","6,458,613,000","5,938,879,000","6,910,501,000","5,645,142,000","5,381,384,000","5,889,168,000","7,119,407,000","5,925,101,000","5,714,073,000","5,135,510,000","6,293,748,000","5,260,954,000","5,111,434,000","4,673,952,000","4,336,212,000","3,549,977,000","3,342,215,000","2,981,204,000","3,823,831,000","3,193,487,000","3,207,537,000","2,846,734,000","3,700,242,000","2,712,559,000","2,390,506,000","2,052,503,000","2,787,194,000","2,275,076,000","2,126,806,000","1,860,842,000","2,233,851,000","1,733,866,000","1,742,014,000","1,475,063,000","2,005,846,000","1,557,147,000","1,601,117,000","1,349,989,000","1,763,625,000","1,534,463,000","1,422,218,000","1,185,105,000","1,651,296,000","1,266,218,000","1,171,919,000","1,025,883,000","1,296,499,000","1,023,205,000","955,667,000","890,449,000","1,283,284,000","1,299,735,000","1,314,873,000","1,230,925,000","1,837,116,000","1,492,809,000","1,490,363,000","1,213,961,000","1,611,832,000","903,876,000","836,228,000","680,091,000","956,014,000","744,198,000","672,163,000","538,266,000","798,189,000","574,999,000","550,916,000","440,992,000","621,257,000","423,376,000","321,717,000","263,724,000","376,466,000","284,928,000","284,893,000","11,675,000","44,105,000","8,039,000"
CostOfRevenue,"24,619,220,000","6,179,496,000","6,006,413,000","6,498,820,000","5,934,490,000","6,053,984,000","5,752,194,000","6,584,255,000","5,258,947,000","5,016,759,000","4,719,546,000","5,370,830,000","4,564,579,000","4,399,537,000","4,712,674,000","5,533,853,000","4,687,336,000","4,445,790,000","4,022,034,000","4,771,599,000","4,098,904,000","3,958,748,000","3,619,961,000","2,974,208,000","2,513,377,000","2,318,562,000","2,087,079,000","2,603,098,000","2,252,783,000","2,254,233,000","2,013,613,000","2,530,521,000","1,773,660,000","1,487,974,000","1,290,777,000","1,706,343,000","1,428,986,000","1,314,473,000","1,161,460,000","1,276,998,000","1,032,348,000","1,018,827,000","861,216,000","1,131,570,000","915,245,000","908,143,000","787,556,000","1,008,946,000","894,607,000","839,822,000","713,755,000","930,869,000","735,393,000","678,714,000","615,194,000","721,165,000","606,470,000","566,831,000","553,419,000","729,708,000","755,362,000","737,205,000","704,446,000","967,588,000","791,852,000","791,605,000","649,673,000","900,577,000","456,994,000","412,496,000","340,445,000","482,407,000","380,943,000","338,691,000","268,046,000","406,221,000","300,711,000","272,611,000","224,222,000","311,545,000","208,198,000","153,066,000","123,599,000",,,,,,
GrossProfit,"6,235,792,000","1,540,367,000","1,404,701,000","1,695,669,000","1,595,056,000","1,717,294,000","1,580,739,000","1,965,962,000","1,539,380,000","1,441,854,000","1,219,333,000","1,539,671,000","1,080,563,000","981,847,000","1,176,494,000","1,585,554,000","1,237,765,000","1,268,283,000","1,113,476,000","1,522,149,000","1,162,050,000","1,152,686,000","1,053,991,000","1,362,004,000","1,036,600,000","1,023,653,000","894,125,000","1,220,733,000","940,704,000","953,304,000","833,121,000","1,169,721,000","938,899,000","902,532,000","761,726,000","1,080,851,000","846,090,000","812,333,000","699,382,000","956,853,000","701,518,000","723,187,000","613,847,000","874,276,000","641,902,000","692,974,000","562,433,000","754,679,000","639,856,000","582,396,000","471,350,000","720,427,000","530,825,000","493,205,000","410,689,000","575,334,000","416,735,000","388,836,000","337,030,000","553,576,000","544,373,000","577,668,000","526,479,000","869,528,000","700,957,000","698,758,000","564,288,000","711,255,000","446,882,000","423,732,000","339,646,000","473,607,000","363,255,000","333,472,000","270,220,000","391,968,000","274,288,000","278,305,000","216,770,000","309,712,000","215,178,000","168,651,000","140,125,000",,,,,,
OperatingExpense,"5,309,936,000","1,243,199,000","1,370,395,000","1,473,890,000","1,222,452,000","1,351,178,000","1,215,028,000","1,425,104,000","1,148,245,000","1,076,301,000","950,405,000","1,094,931,000","921,952,000","887,190,000","903,860,000","1,071,514,000","921,144,000","983,876,000","898,699,000","1,065,111,000","972,569,000","939,681,000","840,400,000","944,251,000","807,489,000","812,760,000","700,268,000","874,394,000","779,448,000","779,242,000","722,832,000","963,369,000","701,952,000","680,763,000","601,621,000","812,781,000","668,185,000","629,497,000","593,598,000","691,680,000","544,139,000","543,059,000","515,822,000","642,203,000","522,464,000","520,274,000","487,179,000","639,495,000","496,851,000","458,241,000","400,203,000","550,993,000","400,420,000","399,649,000","365,001,000","443,116,000","362,507,000","352,837,000","331,551,000","1,608,601,000","435,998,000","489,819,000","456,147,000","660,447,000","480,611,000","497,265,000","439,305,000","487,418,000","308,014,000","295,853,000","280,091,000","314,638,000","267,371,000","252,548,000","233,591,000","281,732,000","225,566,000","241,369,000","216,082,000","268,371,000","219,051,000","139,949,000","129,283,000","324,262,000","263,766,000","255,630,000","221,076,000","290,313,000","209,783,000"
	SellingGeneralAndAdministration,,"1,088,812,000","1,208,904,000","1,314,329,000","1,080,316,000","1,188,819,000","1,065,996,000","1,262,960,000","1,025,681,000","957,216,000","828,327,000","951,106,000","794,227,000","770,806,000","790,066,000","956,152,000","809,584,000","877,397,000","792,876,000","948,171,000","859,085,000","826,282,000","732,235,000","835,151,000","704,898,000","712,374,000","606,231,000","777,454,000","686,723,000","688,974,000","635,838,000","864,771,000","626,905,000","610,158,000","531,775,000","743,337,000","601,026,000","566,202,000","528,395,000","638,696,000","496,615,000","499,458,000","469,541,000","597,453,000","482,362,000","482,377,000","440,722,000","603,647,000","469,138,000","432,856,000","377,025,000","522,128,000","374,815,000","372,033,000","338,706,000","410,687,000","338,062,000","328,671,000","306,159,000","425,546,000","420,352,000","468,839,000","432,345,000","638,592,000","468,375,000","469,754,000","411,937,000","461,900,000","293,122,000","283,598,000","265,161,000","301,975,000","255,706,000","241,730,000","223,221,000","266,876,000","213,226,000","230,539,000","199,251,000",,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"617,575,000","154,387,000","161,491,000","159,561,000","142,136,000","162,359,000","149,032,000","162,144,000","122,564,000","119,085,000","122,078,000","143,825,000","127,725,000","116,384,000","113,794,000","115,362,000","111,560,000","106,479,000","105,823,000","116,940,000","113,484,000","113,399,000","108,165,000","109,100,000","102,591,000","100,386,000","94,037,000","96,940,000","92,725,000","90,268,000","86,994,000","98,598,000","75,047,000","70,605,000","69,846,000","69,444,000","67,159,000","63,295,000","65,203,000","52,984,000","47,524,000","43,601,000","46,281,000","44,750,000","40,102,000","38,336,000","46,457,000","35,848,000","31,308,000","25,385,000","23,178,000","28,865,000","25,605,000","27,616,000","26,295,000","25,470,000","24,445,000","24,166,000","25,392,000","28,581,000","25,412,000","25,022,000","23,802,000","30,079,000","28,311,000","27,511,000","27,368,000","25,518,000","14,892,000","12,255,000","14,930,000","12,663,000","11,665,000","10,818,000","10,370,000","14,856,000","12,340,000","10,830,000","16,831,000","39,051,000","41,071,000","6,329,000","6,171,000","6,507,000","6,404,000","4,111,000","7,592,000","6,410,000","5,788,000"
		DepreciationAndAmortizationInIncomeStatement,"617,575,000","154,387,000","161,491,000","159,561,000","142,136,000","162,359,000","149,032,000","162,144,000","122,564,000","119,085,000","122,078,000","143,825,000","127,725,000","116,384,000","113,794,000","115,362,000","111,560,000","106,479,000","105,823,000","116,940,000","113,484,000","113,399,000","108,165,000","109,100,000","102,591,000","100,386,000","94,037,000","96,940,000","92,725,000","90,268,000","86,994,000","98,598,000","75,047,000","70,605,000","69,846,000","69,444,000","67,159,000","63,295,000","65,203,000","52,984,000","47,524,000","43,601,000","46,281,000","44,750,000","40,102,000","38,336,000","46,457,000","35,848,000","31,308,000","25,385,000","23,178,000","28,865,000","25,605,000","27,616,000","26,295,000","25,470,000","24,445,000","24,166,000","25,392,000","28,581,000","25,412,000","25,022,000","23,802,000","30,079,000","28,311,000","27,511,000","27,368,000","25,518,000","14,892,000","12,255,000","14,930,000","12,663,000","11,665,000","10,818,000","10,370,000","14,856,000","12,340,000","10,830,000","16,831,000","39,051,000","41,071,000","6,329,000","6,171,000","6,507,000","6,404,000","4,111,000","7,592,000","6,410,000","5,788,000"
	OtherOperatingExpenses,,"1,088,812,000",,"1,314,329,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-439,000",,,"-3,595,000",,,,,,,,,,,"1,154,474,000","-9,766,000","-4,042,000",,"-8,224,000","-16,075,000",,,,,,,,,,,,,,,"-449,077,000","177,980,000","133,620,000","123,112,000","-176,194,000","257,362,000","251,519,000","213,484,000","71,863,000","203,995,000"
OperatingIncome,"925,856,000","297,168,000","34,306,000","221,779,000","372,604,000","366,116,000","365,711,000","540,858,000","391,135,000","365,553,000","268,928,000","444,740,000","158,611,000","94,657,000","272,634,000","514,040,000","316,621,000","284,407,000","214,777,000","457,038,000","189,481,000","213,005,000","213,591,000","417,753,000","229,111,000","210,893,000","193,857,000","346,339,000","161,256,000","174,062,000","110,289,000","206,352,000","236,947,000","221,769,000","160,105,000","268,070,000","177,905,000","182,836,000","105,784,000","265,173,000","157,379,000","180,128,000","98,025,000","232,073,000","119,438,000","172,700,000","75,254,000","115,184,000","143,005,000","124,155,000","71,147,000","169,434,000","130,405,000","93,556,000","45,688,000","132,218,000","54,228,000","35,999,000","5,479,000","-1,055,025,000","108,375,000","87,849,000","70,332,000","209,081,000","220,346,000","201,493,000","124,983,000","223,837,000","138,868,000","127,879,000","59,555,000","158,969,000","95,884,000","80,924,000","36,629,000","110,236,000","48,722,000","36,936,000","688,000","41,341,000","-3,873,000","28,702,000","10,842,000","52,204,000","21,162,000","29,263,000","2,914,000","46,949,000","15,783,000"
