name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992
TotalAssets,"205,448,000,000","201,415,000,000","199,124,000,000","198,111,000,000","195,651,000,000","197,990,000,000","200,054,000,000","199,054,000,000","197,174,000,000","191,977,000,000","190,774,000,000","187,786,000,000","181,474,000,000","173,127,000,000","176,943,000,000","175,148,000,000","174,516,000,000","171,347,000,000","167,771,000,000","167,684,000,000","167,534,000,000","168,781,000,000","167,022,000,000","167,419,000,000","162,988,000,000","160,967,000,000","159,786,000,000","161,810,000,000","160,203,000,000","156,644,000,000","102,366,000,000","97,760,000,000","99,840,000,000","98,398,000,000","98,248,000,000","97,557,000,000","97,447,000,000","95,179,000,000","94,510,000,000","94,584,000,000","93,688,000,000","93,461,000,000","92,545,000,000","93,508,000,000","90,701,000,000","89,749,000,000","87,505,000,000","88,720,000,000","89,254,000,000","86,220,000,000","83,355,000,000","82,388,000,000","80,160,000,000","79,329,000,000","77,980,000,000","77,821,000,000","75,655,000,000","73,127,000,000","72,057,000,000","75,155,000,000","77,776,000,000","73,919,000,000","72,090,000,000","71,954,000,000","71,020,000,000","69,774,000,000","67,135,000,000","66,433,000,000","65,390,000,000","64,847,000,000","62,440,000,000","60,545,000,000","58,123,000,000","56,964,765,000","56,342,436,000","54,455,683,000","53,651,156,000","52,478,549,000","49,552,793,000","47,234,498,000","46,625,754,000","45,456,446,000","43,450,937,000","40,829,785,000","39,323,216,000","38,487,288,000","37,186,764,000","34,909,275,000","33,007,716,000","32,889,473,000","31,689,526,000","31,532,100,000","30,204,848,000","30,245,298,000","30,122,888,000","29,344,200,000","9,667,800,000","8,876,400,000","8,834,300,000","8,788,753,000","7,971,500,000","6,993,400,000","4,998,900,000","5,001,546,000","4,895,500,000","4,713,300,000","4,747,400,000","4,574,358,000","3,744,600,000","3,573,200,000","3,473,800,000","3,240,000,000","3,103,900,000","2,864,200,000","2,709,600,000","2,632,400,000","2,565,600,000","2,534,300,000","2,661,300,000","2,293,600,000","2,316,000,000","2,215,100,000","2,035,200,000","2,019,000,000"
	TotalInvestments,"116,636,000,000","115,616,000,000","113,551,000,000","114,683,000,000","109,849,000,000","118,247,000,000","122,323,000,000","122,129,000,000","121,370,000,000","118,979,000,000","118,669,000,000","116,047,000,000","110,877,000,000","105,284,000,000","109,234,000,000","107,178,000,000","106,789,000,000","103,968,000,000","101,646,000,000","101,819,000,000","101,861,000,000","102,769,000,000","103,106,000,000","103,076,000,000","100,870,000,000","100,157,000,000","99,760,000,000","101,701,000,000","100,504,000,000","98,240,000,000","66,904,000,000","63,038,000,000","63,903,000,000","64,484,000,000","63,408,000,000","63,749,000,000","64,090,000,000","62,511,000,000","61,398,000,000","60,810,000,000","60,142,000,000","61,808,000,000","60,718,000,000","59,817,000,000","57,681,000,000","56,792,000,000","55,676,000,000","55,499,000,000","55,189,000,000","52,739,000,000","51,767,000,000","50,971,000,000","48,549,000,000","47,739,000,000","46,948,000,000","45,921,000,000","43,543,000,000","41,126,000,000","40,547,000,000","41,811,000,000","44,743,000,000","41,987,000,000","40,639,000,000","40,417,000,000","38,419,000,000","37,424,000,000","35,756,000,000","35,529,000,000","34,363,000,000","33,257,000,000","31,922,000,000","29,975,000,000","28,771,000,000","27,406,524,000","26,167,226,000","26,339,093,000","24,557,092,000","24,391,237,000","22,116,485,000","21,057,139,000","20,064,991,000","18,220,221,000","16,715,532,000","16,554,908,000","15,070,081,000","14,951,524,000","15,264,532,000","13,242,877,000","12,892,168,000","12,885,413,000","12,623,139,000","12,662,080,000","11,344,098,000","11,592,182,000","11,975,992,000",,,,,"5,726,714,000",,,,"4,289,738,000",,,,"4,089,447,000",,,,,,,,,,,,,,,,
		FixedMaturityInvestments,"0","8,425,000,000","8,848,000,000","8,976,000,000","9,532,000,000","9,818,000,000","10,118,000,000","10,515,000,000","10,673,000,000","11,132,000,000","11,653,000,000","11,651,000,000","11,845,000,000","12,025,000,000","12,581,000,000","12,622,000,000","12,838,000,000","13,136,000,000","13,435,000,000","13,563,000,000","13,860,000,000","14,253,000,000","14,335,000,000","10,160,000,000","10,371,000,000","10,519,000,000","10,644,000,000","10,927,000,000","11,090,000,000","11,280,000,000","8,430,000,000","8,564,000,000","8,676,000,000","6,982,000,000","7,331,000,000","7,548,000,000","5,774,000,000","5,887,000,000","6,098,000,000","6,306,000,000","6,576,000,000","6,867,000,000","7,270,000,000","7,493,000,000","7,782,000,000","8,117,000,000","8,447,000,000","8,731,000,000","9,033,000,000","9,270,000,000","9,501,000,000",,"3,222,000,000","3,335,000,000","3,481,000,000","3,439,000,000","3,517,000,000","2,824,000,000","2,860,000,000","2,881,000,000","2,932,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		EquityInvestments,"1,043,000,000","942,000,000","827,000,000","844,000,000","2,649,000,000","3,596,000,000","4,782,000,000","4,557,000,000","4,607,000,000","4,405,000,000","4,027,000,000","3,088,000,000","2,394,000,000","2,068,000,000","812,000,000","722,000,000","715,000,000","821,000,000","770,000,000","843,000,000","933,000,000","948,000,000","937,000,000","910,000,000","856,000,000","835,000,000","814,000,000","803,000,000","787,000,000","893,000,000","497,000,000","464,000,000","498,000,000","536,000,000","510,000,000","546,000,000","907,000,000","851,000,000","837,000,000","831,000,000","837,000,000","832,000,000","744,000,000","47,274,000,000","45,115,000,000","44,147,000,000","42,614,000,000","42,198,000,000","41,620,000,000","39,255,000,000","38,231,000,000",,"41,768,000,000","40,880,000,000","39,992,000,000","39,105,000,000","36,120,000,000","32,209,000,000","32,143,000,000","34,387,000,000","36,360,000,000","34,831,000,000","35,899,000,000","35,176,000,000","32,689,000,000","31,861,000,000","31,129,000,000","29,669,000,000","29,234,000,000","28,336,000,000","27,145,000,000","25,674,000,000","24,709,000,000","23,494,815,000","22,968,057,000","21,750,717,000","19,301,267,000","20,458,384,000","19,189,078,000","17,872,478,000","17,355,466,000","15,454,285,000","14,830,772,000","13,905,600,000","13,295,644,000","13,550,216,000","13,467,731,000","11,803,642,000","11,876,957,000","11,816,495,000","11,253,355,000","11,299,368,000","10,245,146,000","10,654,643,000","10,783,117,000",,,,,"5,246,524,000",,,,"3,925,306,000",,,,"3,712,767,000",,,,,,,,,,,,,,,,
		SecurityAgreeToBeResell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,361,000,000","2,109,000,000","2,301,000,000","2,811,000,000","2,905,000,000","2,171,000,000","2,034,000,000","1,285,000,000","1,782,000,000","1,723,000,000","1,438,000,000","958,000,000","1,255,326,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		LongTermEquityInvestment,"3,542,000,000","3,728,000,000","2,877,000,000","2,943,000,000","3,002,000,000","3,161,000,000","3,130,000,000","3,006,000,000","2,983,000,000","2,871,000,000","2,813,000,000","2,534,000,000","1,364,000,000","1,346,000,000","1,332,000,000","1,064,000,000","1,050,000,000","708,000,000","678,000,000","656,000,000","675,000,000","664,000,000","662,000,000","652,000,000","662,000,000","666,000,000","666,000,000","665,000,000","658,000,000","654,000,000","653,000,000","654,000,000","638,000,000","590,000,000","504,000,000","495,000,000","470,000,000","466,000,000","470,000,000","468,000,000","452,000,000","449,000,000","454,000,000","354,000,000","339,000,000","346,000,000",,,"353,000,000","348,000,000","360,000,000",,"459,000,000","454,000,000","433,000,000","478,000,000","462,000,000","886,000,000","832,000,000","867,000,000","900,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentsInOtherVenturesUnderEquityMethod,"3,542,000,000","3,728,000,000","2,877,000,000","2,943,000,000","3,002,000,000","3,161,000,000","3,130,000,000","3,006,000,000","2,983,000,000","2,871,000,000","2,813,000,000","2,534,000,000","1,364,000,000","1,346,000,000","1,332,000,000","1,064,000,000","1,050,000,000","708,000,000","678,000,000","656,000,000","675,000,000","664,000,000","662,000,000","652,000,000","662,000,000","666,000,000","666,000,000","665,000,000","658,000,000","654,000,000","653,000,000","654,000,000","638,000,000","590,000,000","504,000,000","495,000,000","470,000,000","466,000,000","470,000,000","468,000,000","452,000,000","449,000,000","454,000,000","354,000,000","339,000,000","346,000,000",,,"353,000,000","348,000,000","360,000,000",,"459,000,000","454,000,000","433,000,000","478,000,000","462,000,000","886,000,000","832,000,000","867,000,000","900,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherShortTermInvestments,"100,886,000,000","92,057,000,000","90,180,000,000","88,275,000,000","85,500,000,000","92,886,000,000","96,254,000,000","96,214,000,000","96,633,000,000","94,806,000,000","95,044,000,000","94,512,000,000","90,715,000,000","85,116,000,000","89,779,000,000","87,879,000,000","86,218,000,000","83,741,000,000","81,486,000,000","81,332,000,000","81,134,000,000","81,985,000,000","82,500,000,000","86,677,000,000","84,296,000,000","83,586,000,000","83,117,000,000","84,906,000,000","83,582,000,000","80,920,000,000","54,033,000,000","50,086,000,000","50,763,000,000","52,946,000,000","51,717,000,000","51,901,000,000","53,709,000,000","52,137,000,000","51,017,000,000","50,303,000,000","49,441,000,000","50,840,000,000","49,534,000,000","2,429,000,000","2,260,000,000","2,099,000,000","2,301,000,000","2,376,000,000","2,380,000,000","2,375,000,000","1,983,000,000",,"2,097,000,000","2,052,000,000","1,667,000,000","1,853,000,000","2,081,000,000","3,909,000,000","3,350,000,000","3,014,000,000","3,137,000,000","4,795,000,000","2,631,000,000","2,940,000,000","2,919,000,000","2,658,000,000","2,456,000,000","3,826,000,000","3,844,000,000","3,139,000,000","3,054,000,000","2,863,000,000","3,104,000,000","2,656,383,000","3,199,169,000","4,588,376,000","5,255,825,000","3,932,853,000","2,927,407,000","3,184,661,000","2,709,525,000","2,765,936,000","1,884,760,000","2,649,308,000","1,774,437,000","1,401,308,000","1,796,801,000","1,439,235,000","1,015,211,000","1,068,918,000","1,369,784,000","1,362,712,000","1,098,952,000","937,539,000","1,192,875,000",,,,,"480,190,000",,,,"364,432,000",,,,"376,680,000",,,,,,,,,,,,,,,,
			ShortTermInvestmentsAvailableForSale,"100,886,000,000","92,057,000,000","90,180,000,000","88,275,000,000","85,500,000,000","92,886,000,000","96,254,000,000","96,214,000,000","96,633,000,000","94,806,000,000","95,044,000,000","94,512,000,000","90,715,000,000","85,116,000,000","89,779,000,000","87,879,000,000","86,218,000,000","83,741,000,000","81,486,000,000","81,332,000,000","81,134,000,000","81,985,000,000","82,500,000,000","86,677,000,000","84,296,000,000","83,586,000,000","83,117,000,000","84,906,000,000","83,582,000,000","80,920,000,000","54,033,000,000","50,086,000,000","50,763,000,000","52,946,000,000","51,717,000,000","51,901,000,000","53,709,000,000","52,137,000,000","51,017,000,000","50,303,000,000","49,441,000,000","50,840,000,000","49,534,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherInvestedAssets,"116,636,000,000","115,616,000,000","113,551,000,000","13,645,000,000","109,849,000,000","118,247,000,000","122,323,000,000","122,129,000,000","121,370,000,000","118,979,000,000","118,669,000,000","116,047,000,000","110,877,000,000","105,284,000,000","109,234,000,000","107,178,000,000","5,968,000,000","5,562,000,000","5,277,000,000","5,425,000,000","5,259,000,000","4,919,000,000","4,672,000,000","4,677,000,000","4,685,000,000","4,551,000,000","4,519,000,000","4,400,000,000","4,387,000,000","4,493,000,000","3,291,000,000","3,270,000,000","3,328,000,000","3,430,000,000","3,346,000,000","3,259,000,000","3,230,000,000","3,170,000,000","2,976,000,000","2,902,000,000","2,836,000,000","2,820,000,000","2,716,000,000","2,621,000,000","2,524,000,000","2,429,000,000","2,314,000,000","2,194,000,000","2,156,000,000","1,839,000,000","1,692,000,000","50,971,000,000","48,549,000,000","47,739,000,000","1,375,000,000","45,921,000,000","1,363,000,000","1,298,000,000","1,362,000,000","41,811,000,000","1,414,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
