name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991
TotalRevenue,"46,494,000,000","11,845,000,000","11,197,000,000","11,500,000,000","12,082,000,000","9,923,000,000","9,638,000,000","10,483,000,000","10,845,000,000","9,664,000,000","9,971,000,000","9,848,000,000","9,464,000,000","8,985,000,000","7,697,000,000","8,762,000,000","9,079,000,000","8,524,000,000","7,906,000,000","7,626,000,000","8,750,000,000","8,500,000,000","7,837,000,000","8,042,000,000","8,610,000,000","8,108,000,000","7,510,000,000","8,168,000,000","8,527,000,000","7,897,000,000","6,877,000,000","4,692,000,000","4,871,000,000","5,048,000,000","4,389,000,000","4,734,000,000","5,200,000,000","4,815,000,000","4,419,000,000","5,083,000,000","5,172,000,000","4,126,000,000","3,643,000,000","3,944,000,000","4,658,000,000","3,507,000,000","4,185,000,000","4,479,000,000","3,934,000,000","3,874,000,000","10,688,000,000","4,409,000,000","3,888,000,000","3,760,000,000","3,953,000,000","4,272,000,000","3,681,000,000","3,547,000,000","3,575,000,000","3,103,000,000","3,613,000,000","3,834,000,000","3,076,000,000","3,495,000,000","3,642,000,000","3,468,000,000","3,549,000,000","3,469,000,000","3,389,000,000","3,289,000,000","3,181,000,000","3,188,000,000","3,494,000,000","3,258,000,000","3,155,682,000","3,296,739,000","3,072,588,000","3,067,940,000","2,894,858,000","3,165,533,000","2,666,682,000","2,625,826,000","2,231,701,000","2,083,415,000","1,876,005,000","1,624,722,000","1,537,863,000","1,960,003,000","1,533,495,000","1,597,018,000","1,554,171,000","1,243,786,000","1,359,569,000","1,318,821,000","1,344,481,000","1,160,090,000","1,057,500,000","410,400,000","389,000,000","433,300,000","379,642,000","370,100,000","403,500,000","253,700,000","261,443,000","268,900,000","214,400,000","265,900,000","246,398,000","194,900,000","200,000,000","207,700,000","197,700,000","203,900,000","156,600,000","102,600,000","146,500,000","90,700,000","111,800,000","188,400,000","144,900,000","136,100,000","141,600,000","115,200,000","181,400,000","118,400,000","101,900,000","118,100,000"
	TotalPremiumsEarned,"43,244,000,000","10,999,000,000","10,142,000,000","10,551,000,000","11,535,000,000","9,557,000,000","8,746,000,000","9,321,000,000","10,000,000,000","8,813,000,000","8,221,000,000","8,430,000,000","8,765,000,000","8,128,000,000","7,794,000,000","7,935,000,000","8,327,000,000","7,891,000,000","7,137,000,000","7,465,000,000","7,908,000,000","7,664,000,000","7,027,000,000","7,218,000,000","7,807,000,000","7,237,000,000","6,772,000,000","7,059,000,000","7,688,000,000","7,405,000,000","6,597,000,000","4,207,000,000","4,719,000,000","4,360,000,000","3,927,000,000","4,370,000,000","4,754,000,000","4,332,000,000","3,970,000,000","4,363,000,000","4,610,000,000","3,587,000,000","3,096,000,000","3,359,000,000","4,185,000,000","3,309,000,000","3,381,000,000","3,831,000,000","4,042,000,000","3,305,000,000","10,175,000,000","3,572,000,000","3,422,000,000","3,233,000,000","3,277,000,000","3,387,000,000","3,393,000,000","3,266,000,000","3,194,000,000","3,226,000,000","3,609,000,000","3,428,000,000","2,940,000,000","3,057,000,000","3,150,000,000","3,008,000,000","3,082,000,000","3,026,000,000","3,088,000,000","2,906,000,000","2,805,000,000","2,859,000,000","3,091,000,000","2,921,000,000","2,875,887,000","2,894,835,000","2,853,284,000","2,788,678,000","2,599,677,000","2,826,734,000","2,397,525,000","2,306,592,000","2,071,532,000","1,969,409,000","1,925,579,000","1,575,707,000","1,359,809,000","1,763,445,000","1,399,429,000","1,385,187,000","1,369,116,000","1,087,339,000","1,174,782,000","1,167,836,000","1,104,806,000","947,237,000","953,000,000","300,300,000","285,300,000","218,000,000","328,603,000","213,100,000","184,700,000","167,800,000","158,238,000","163,600,000","158,600,000","164,400,000","178,945,000","145,900,000","146,400,000","116,000,000","110,600,000","107,500,000","106,600,000","104,100,000","104,400,000","98,500,000","95,300,000","92,900,000","84,600,000","80,200,000","77,600,000","77,300,000",,,,
		NetPremiumsWritten,"44,934,000,000","11,951,000,000","10,710,000,000","10,234,000,000","12,020,000,000","10,302,000,000","9,199,000,000","9,150,000,000","10,510,000,000","9,546,000,000","8,662,000,000","8,410,000,000","9,078,000,000","8,355,000,000","7,977,000,000","7,997,000,000","8,622,000,000","8,343,000,000","7,313,000,000","7,350,000,000","8,110,000,000","8,015,000,000","7,104,000,000","7,051,000,000","7,902,000,000","7,581,000,000","6,710,000,000","6,938,000,000","7,573,000,000","7,639,000,000","5,995,000,000","4,144,000,000","4,709,000,000","4,784,000,000","4,076,000,000","4,326,000,000","4,729,000,000","4,559,000,000","4,185,000,000","4,216,000,000","4,620,000,000","3,904,000,000","3,296,000,000","3,140,000,000","4,228,000,000","3,644,000,000","3,572,000,000","3,630,000,000","4,042,000,000","3,494,000,000","10,175,000,000","3,422,000,000","3,295,000,000","3,420,000,000","3,571,000,000","3,305,000,000","3,155,000,000","3,415,000,000","3,424,000,000","3,052,000,000","3,276,000,000","3,598,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GrossPremiumsWritten,,"14,880,000,000","13,004,000,000","12,447,000,000","15,015,000,000","13,047,000,000","11,504,000,000","11,320,000,000","13,055,000,000","11,860,000,000","10,545,000,000","10,249,000,000","11,220,000,000","10,040,000,000","9,752,000,000","9,934,000,000","10,724,000,000","10,355,000,000","9,111,000,000",,,,"8,733,000,000",,,,,,,,,,,,,,,,,,,,,,"5,496,000,000","5,140,000,000","4,787,000,000",,"5,431,000,000","4,949,000,000","10,175,000,000",,,,,,"5,005,000,000","5,117,000,000","4,535,000,000","4,320,000,000","5,220,000,000","5,293,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CededPremiums,,,,,,,,,,,,,,,,,,,,,,,"-1,629,000,000",,,,,,,,,,,,,,,,,,,,,,"-1,268,000,000","-1,496,000,000","-1,215,000,000",,"-1,389,000,000","-1,455,000,000",,,,,,,"-1,850,000,000","-1,702,000,000","-1,111,000,000","-1,268,000,000","-1,944,000,000","-1,695,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		IncreaseDecreaseInNetUnearnedPremiumReserves,"-1,690,000,000","-952,000,000","-568,000,000","317,000,000","-485,000,000","-745,000,000","-453,000,000","171,000,000","-510,000,000","-733,000,000","-441,000,000","20,000,000","-313,000,000","-227,000,000","-183,000,000","-62,000,000","-295,000,000","-452,000,000","-176,000,000","115,000,000","-202,000,000","-351,000,000","-77,000,000","167,000,000","-95,000,000","-344,000,000","62,000,000","121,000,000","115,000,000","-234,000,000","602,000,000","63,000,000","10,000,000","-424,000,000","-149,000,000","44,000,000","25,000,000","-227,000,000","-215,000,000","147,000,000","-10,000,000","-317,000,000","-200,000,000","219,000,000","-43,000,000","-335,000,000","-191,000,000","201,000,000","147,000,000","-189,000,000","-137,000,000","150,000,000","127,000,000","-187,000,000","-294,000,000","82,000,000","238,000,000","-149,000,000","-230,000,000","174,000,000","333,000,000","-170,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetInvestmentIncome,"4,013,000,000","1,157,000,000","1,132,000,000","1,127,000,000","912,000,000","870,000,000","791,000,000","843,000,000","866,000,000","884,000,000","863,000,000","847,000,000","840,000,000","827,000,000","861,000,000","882,000,000","852,000,000","863,000,000","865,000,000","843,000,000","815,000,000","818,000,000","808,000,000","824,000,000","803,000,000","768,000,000","745,000,000","738,000,000","839,000,000","706,000,000","674,000,000","484,000,000","519,000,000","554,000,000","538,000,000","533,000,000","562,000,000","544,000,000","542,000,000","558,000,000","518,000,000","471,000,000","468,000,000","502,000,000","533,000,000","537,000,000","544,000,000","565,000,000","564,000,000","569,000,000","544,000,000","532,000,000","516,000,000","518,000,000","504,000,000","512,000,000","511,000,000","506,000,000","502,000,000","521,000,000","520,000,000","532,000,000","489,000,000","504,000,000","492,000,000","471,000,000","451,000,000","428,000,000","414,000,000","390,000,000","369,000,000","354,000,000","320,000,000","305,000,000","283,647,000","274,433,000","251,396,000","237,060,000","237,920,000","229,293,000","214,689,000","211,947,000","206,412,000","201,462,000","199,740,000","200,804,000","203,935,000","192,263,000","192,909,000","196,267,000","204,430,000","209,307,000","197,584,000","181,029,000","182,935,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetRealizedGainLossOnInvestments,"-683,000,000","-304,000,000","-77,000,000","-178,000,000","-365,000,000","-504,000,000","101,000,000","319,000,000","-21,000,000","-33,000,000","887,000,000","571,000,000","-141,000,000","30,000,000","-958,000,000","-55,000,000","-100,000,000","-230,000,000","-96,000,000","-682,000,000","27,000,000","18,000,000","2,000,000","0","-2,000,000","103,000,000","-7,000,000","371,000,000","112,000,000","-214,000,000","-394,000,000","1,000,000","-367,000,000","134,000,000","-76,000,000","-169,000,000","-116,000,000","-61,000,000","-93,000,000","162,000,000","44,000,000","68,000,000","79,000,000","83,000,000","-60,000,000","-394,000,000","260,000,000","83,000,000","-760,000,000","-73,000,000","-45,000,000","305,000,000","-50,000,000","9,000,000","168,000,000","172,000,000","-223,000,000","-225,000,000","-121,000,000","-644,000,000","-510,000,000","-126,000,000","-353,000,000","-66,000,000","0","-11,000,000","16,000,000","15,000,000","-113,000,000","-7,000,000","7,000,000","-25,000,000","83,000,000","32,000,000","-3,852,000","127,471,000","-32,092,000","42,202,000","57,261,000","128,252,000","57,556,000","106,561,000","-40,089,000","-88,205,000","-235,282,000","-139,721,000","-25,881,000","4,295,000","-58,843,000","15,564,000","-19,375,000","-52,860,000","-12,797,000","-30,044,000","56,740,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncome,"64,000,000","12,000,000","17,000,000","21,000,000","14,000,000",,"3,000,000","3,000,000","3,000,000","3,000,000","2,000,000","3,000,000","4,000,000","3,000,000","9,000,000","6,000,000","7,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetForeignExchangeGainLoss,"-6,000,000","-186,000,000","131,000,000","-148,000,000","198,000,000",,"75,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
