name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
TotalRevenue,"26,395,000,000","5,446,000,000","7,565,000,000","7,333,000,000","6,051,000,000","5,465,000,000","5,591,000,000","5,532,000,000","4,406,000,000","4,153,000,000","5,559,000,000","4,331,000,000"
	OperatingRevenue,"26,395,000,000","5,446,000,000","7,565,000,000","7,333,000,000","6,051,000,000","5,465,000,000","5,591,000,000","5,532,000,000","4,406,000,000","4,153,000,000","5,559,000,000","4,331,000,000"
CostOfRevenue,"24,291,000,000","4,364,000,000","7,161,000,000","7,083,000,000","5,684,000,000","4,781,000,000","4,755,000,000","5,202,000,000","2,484,000,000","3,421,000,000","5,611,000,000","3,604,000,000"
GrossProfit,"2,104,000,000","1,082,000,000","404,000,000","250,000,000","367,000,000","684,000,000","836,000,000","330,000,000","1,922,000,000","732,000,000","-52,000,000","727,000,000"
OperatingExpense,"1,498,000,000","413,000,000","399,000,000","410,000,000","444,000,000","616,000,000","489,000,000","163,000,000","970,000,000","951,000,000","1,019,000,000","1,080,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"1,076,000,000","274,000,000","267,000,000","272,000,000","262,000,000","277,000,000","280,000,000","268,000,000","866,000,000","930,000,000","940,000,000","962,000,000"
		DepreciationAndAmortizationInIncomeStatement,"1,076,000,000","274,000,000","267,000,000","272,000,000","262,000,000","277,000,000","280,000,000","268,000,000","866,000,000","930,000,000","940,000,000","962,000,000"
	OtherTaxes,"431,000,000","139,000,000","132,000,000","138,000,000","208,000,000","281,000,000","209,000,000","-105,000,000","104,000,000","21,000,000","79,000,000","118,000,000"
	OtherOperatingExpenses,,,,"17,000,000","-26,000,000","58,000,000","1,205,000,000","1,142,000,000","937,000,000","1,474,000,000","1,001,000,000","980,000,000"
OperatingIncome,"606,000,000","669,000,000","5,000,000","-160,000,000","-77,000,000","68,000,000","347,000,000","167,000,000","952,000,000","-219,000,000","-1,071,000,000","-353,000,000"
NetNonOperatingInterestIncomeExpense,"-244,000,000","-103,000,000","-107,000,000","-64,000,000","-53,000,000","-27,000,000","-37,000,000","26,000,000","-51,000,000","-48,000,000","-54,000,000","-80,000,000"
	InterestIncomeNonOperating,"105,000,000","34,000,000","26,000,000","23,000,000","22,000,000","29,000,000","19,000,000",,"26,000,000","28,000,000","18,000,000",
	InterestExpenseNonOperating,"349,000,000","103,000,000","107,000,000","64,000,000","75,000,000","56,000,000","56,000,000","72,000,000","77,000,000","76,000,000","72,000,000","80,000,000"
OtherIncomeExpense,"882,000,000","605,000,000","340,000,000","371,000,000","-182,000,000","-479,000,000","-249,000,000","-33,000,000","-87,000,000","391,000,000","178,000,000","737,000,000"
	GainOnSaleOfSecurity,"702,000,000","502,000,000","182,000,000","252,000,000","-234,000,000","-535,000,000","-291,000,000",,"-172,000,000","377,000,000","96,000,000",
	SpecialIncomeCharges,"14,000,000","0","26,000,000","-12,000,000","-1,000,000","-2,000,000","16,000,000","57,000,000","65,000,000","8,000,000","71,000,000","-1,000,000"
		GainOnSaleOfPPE,"14,000,000","0","26,000,000","-12,000,000","-1,000,000","-2,000,000","16,000,000","57,000,000","65,000,000","8,000,000","71,000,000","-1,000,000"
	OtherNonOperatingIncomeExpenses,"166,000,000","605,000,000","314,000,000","383,000,000","53,000,000","58,000,000","26,000,000","-515,000,000","20,000,000","6,000,000","11,000,000","738,000,000"
PretaxIncome,"1,244,000,000","1,171,000,000","238,000,000","147,000,000","-312,000,000","-438,000,000","61,000,000","160,000,000","814,000,000","124,000,000","-947,000,000","304,000,000"
TaxProvision,"465,000,000","342,000,000","131,000,000","116,000,000","-123,000,000","-328,000,000","-53,000,000","117,000,000","177,000,000","110,000,000","-179,000,000","208,000,000"
