name,ttm,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
OperatingCashFlow,,"4,119,000,000","2,275,000,000","111,000,000","1,697,000,000","1,767,000,000","1,883,000,000","1,490,000,000","1,229,000,000","1,390,000,000","2,649,000,000","1,714,000,000","2,479,000,000"
	CashFlowFromContinuingOperatingActivities,,"4,119,000,000","2,275,000,000","111,000,000","1,697,000,000","1,767,000,000","1,883,000,000","1,490,000,000","1,229,000,000","1,390,000,000","2,649,000,000","1,714,000,000","2,479,000,000"
		NetIncomeFromContinuingOperations,,"2,073,000,000","2,319,000,000","1,057,000,000","1,791,000,000","1,721,000,000","1,652,000,000","1,045,000,000","840,000,000","865,000,000","-3,426,000,000","643,000,000","506,000,000"
		OperatingGainsLosses,,"-9,000,000","-11,000,000","-4,000,000","-29,000,000","-16,000,000","-22,000,000","-81,000,000","-37,000,000","7,000,000","-120,000,000","-97,000,000","-144,000,000"
			GainLossOnSaleOfBusiness,,,,,,,,"0",,"9,000,000","0","0","-7,000,000"
			GainLossOnSaleOfPPE,,,,"0","-6,000,000","0","0","-2,000,000","-9,000,000","27,000,000","16,000,000","11,000,000","6,000,000"
			GainLossOnInvestmentSecurities,,,,"-4,000,000","-25,000,000","-19,000,000","-12,000,000","-19,000,000","-32,000,000","-28,000,000","-144,000,000","-156,000,000","-162,000,000"
			RealizedGainLossOnSaleOfLoansAndLease,,,,,"0","0","-17,000,000","-72,000,000",,"-11,000,000",,"0",
		DepreciationAmortizationDepletion,,"565,000,000","625,000,000","578,000,000","633,000,000","489,000,000","502,000,000","523,000,000","471,000,000","386,000,000","404,000,000","467,000,000","434,000,000"
			DepreciationAndAmortization,,"565,000,000","625,000,000","578,000,000","633,000,000","489,000,000","502,000,000","523,000,000","471,000,000","386,000,000","404,000,000","467,000,000","434,000,000"
				Depreciation,,,,"567,000,000",,,,,,,,,
				AmortizationCashFlow,,,,"11,000,000",,,,,,,,,
					AmortizationOfIntangibles,,,,"11,000,000",,,,,,,,,
		DeferredTax,,"57,000,000","-429,000,000","-238,000,000","64,000,000","97,000,000","-136,000,000","153,000,000","249,000,000","141,000,000","-53,000,000","306,000,000","252,000,000"
			DeferredIncomeTax,,"57,000,000","-429,000,000","-238,000,000","64,000,000","97,000,000","-136,000,000","153,000,000","249,000,000","141,000,000","-53,000,000","306,000,000","252,000,000"
		OtherNonCashItems,,"1,733,000,000","1,085,000,000","32,000,000","-672,000,000","26,000,000","156,000,000","-197,000,000",,"-366,000,000","448,000,000","-60,000,000","152,000,000"
		AmortizationOfSecurities,,,,,,,"-15,000,000","-8,000,000","17,000,000","46,000,000","73,000,000","97,000,000","139,000,000"
		AssetImpairmentCharge,,,,,"1,000,000","-3,000,000","-2,000,000","-4,000,000","-9,000,000","-5,000,000","4,388,000,000","12,000,000","42,000,000"
		StockBasedCompensation,,"84,000,000","59,000,000","48,000,000","41,000,000","41,000,000","48,000,000","23,000,000","24,000,000","53,000,000",,"29,000,000",
		ProvisionForLoanLeaseAndOtherLosses,,"474,000,000","-411,000,000","1,616,000,000","393,000,000","326,000,000","321,000,000","369,000,000","302,000,000","319,000,000","479,000,000","413,000,000","882,000,000"
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,"0","0","-3,000,000","-9,000,000"
		ChangeInWorkingCapital,,"-858,000,000","-962,000,000","-2,978,000,000","-525,000,000","-914,000,000","-621,000,000","-333,000,000","-628,000,000","-56,000,000","456,000,000","-93,000,000","225,000,000"
			ChangeInOtherCurrentAssets,,"-1,894,000,000","-1,719,000,000","-3,979,000,000","-856,000,000","-1,217,000,000","-502,000,000","-274,000,000","-467,000,000","-295,000,000","827,000,000","76,000,000","-164,000,000"
			ChangeInOtherCurrentLiabilities,,"1,036,000,000","757,000,000","1,001,000,000","331,000,000","303,000,000","-119,000,000","-59,000,000","-161,000,000","239,000,000","-371,000,000","-169,000,000","389,000,000"
InvestingCashFlow,,"-12,637,000,000","-10,486,000,000","-6,136,000,000","-3,875,000,000","-7,077,000,000","-3,984,000,000","-11,326,000,000","-5,905,000,000","-10,274,000,000","-2,453,000,000","919,000,000","-2,034,000,000"
