name,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
TotalAssets,"225,270,000,000","223,066,000,000","222,256,000,000","226,733,000,000","224,684,000,000","226,712,000,000","192,097,000,000","188,409,000,000","187,007,000,000","185,104,000,000","187,217,000,000","183,349,000,000","179,228,000,000","179,874,000,000","176,719,000,000","165,733,000,000","164,362,000,000","162,749,000,000","161,342,000,000","160,518,000,000","158,598,000,000","155,431,000,000","153,453,000,000","152,336,000,000","151,356,000,000","151,407,000,000","150,285,000,000","149,520,000,000","147,015,000,000","145,183,000,000","140,077,000,000","138,208,000,000","135,447,000,000","137,251,000,000","136,535,000,000","132,857,000,000","131,341,000,000","130,279,000,000","126,892,000,000","122,154,000,000"
	CashCashEquivalentsAndFederalFundsSold,"15,724,000,000","11,851,000,000","8,294,000,000","10,850,000,000","8,421,000,000","6,983,000,000","10,621,000,000","9,474,000,000","14,005,000,000","13,042,000,000","14,968,000,000","13,039,000,000","9,544,000,000","7,921,000,000","4,338,000,000","3,683,000,000","4,000,000,000","3,221,000,000","2,603,000,000","4,222,000,000","4,133,000,000","3,979,000,000","4,001,000,000","3,224,000,000","2,407,000,000","4,600,000,000","4,344,000,000","4,143,000,000","3,635,000,000","4,382,000,000","2,389,000,000","3,441,000,000","2,119,000,000","3,055,000,000","5,619,000,000","3,646,000,000","3,181,000,000","5,665,000,000","3,151,000,000","2,990,000,000"
		CashAndCashEquivalents,"15,724,000,000","11,851,000,000","8,294,000,000","10,850,000,000","8,421,000,000","6,983,000,000","10,621,000,000","9,474,000,000","14,005,000,000","13,042,000,000","14,968,000,000","13,039,000,000","9,544,000,000","7,921,000,000","4,338,000,000","3,683,000,000","4,000,000,000","3,221,000,000","2,603,000,000","4,222,000,000","4,133,000,000","3,979,000,000","4,001,000,000","3,224,000,000","2,407,000,000","4,600,000,000","4,344,000,000","4,143,000,000","3,635,000,000","4,382,000,000","2,389,000,000","3,441,000,000","2,119,000,000","3,055,000,000","5,619,000,000","3,646,000,000","3,181,000,000","5,665,000,000","3,151,000,000","2,990,000,000"
			CashFinancial,"15,400,000,000","11,567,000,000","7,974,000,000","10,547,000,000","8,160,000,000","6,514,000,000","9,936,000,000","9,158,000,000","13,716,000,000","12,641,000,000","14,660,000,000","12,733,000,000","9,216,000,000","7,446,000,000","4,058,000,000","3,386,000,000","3,842,000,000","3,035,000,000","2,436,000,000","4,074,000,000","3,991,000,000","3,865,000,000","3,859,000,000","3,032,000,000","2,120,000,000","4,167,000,000","3,993,000,000","3,704,000,000","2,915,000,000","3,655,000,000","1,855,000,000","3,085,000,000","1,756,000,000","2,869,000,000","5,004,000,000","3,276,000,000","2,889,000,000","5,356,000,000","2,852,000,000","2,757,000,000"
			CashAndDueFromBanks,"324,000,000","284,000,000","320,000,000","303,000,000","261,000,000","469,000,000","685,000,000","316,000,000","289,000,000","401,000,000","308,000,000","306,000,000","328,000,000","475,000,000","280,000,000","297,000,000","158,000,000","186,000,000","167,000,000","148,000,000","142,000,000","114,000,000","142,000,000","192,000,000","287,000,000","433,000,000","351,000,000","439,000,000","720,000,000","727,000,000","534,000,000","356,000,000","363,000,000","186,000,000","615,000,000","370,000,000","292,000,000","309,000,000","299,000,000","233,000,000"
	FederalHomeLoanBankStock,,,,,,,,,,,,,,,,"799,000,000",,,,"827,000,000",,,,"715,000,000","765,000,000","787,000,000","921,000,000","942,000,000","877,000,000","873,000,000","896,000,000","863,000,000","822,000,000","861,000,000","861,000,000","867,000,000","887,000,000",,,
	BankOwnedLifeInsurance,"3,275,000,000","3,263,000,000","3,244,000,000","3,236,000,000","3,222,000,000","3,207,000,000","2,960,000,000","2,843,000,000","2,428,000,000","2,268,000,000","2,135,000,000","1,756,000,000","1,751,000,000","1,739,000,000","1,736,000,000","1,725,000,000","1,720,000,000","1,711,000,000","1,705,000,000","1,698,000,000","1,687,000,000","1,677,000,000","1,669,000,000","1,656,000,000","1,646,000,000","1,636,000,000","1,623,000,000","1,612,000,000","1,600,000,000","1,587,000,000","1,576,000,000","1,564,000,000","1,553,000,000","1,543,000,000","1,535,000,000","1,527,000,000","1,370,000,000","1,361,000,000","1,350,000,000","1,339,000,000"
	SecuritiesAndInvestments,"34,389,000,000","34,275,000,000","33,522,000,000","33,841,000,000","33,549,000,000","34,528,000,000","27,375,000,000","28,309,000,000","27,403,000,000","27,294,000,000","27,462,000,000","26,177,000,000","26,124,000,000","25,657,000,000","26,352,000,000","24,669,000,000","25,602,000,000","25,898,000,000","25,651,000,000","25,075,000,000","25,485,000,000","25,513,000,000","25,433,000,000","25,733,000,000","25,742,000,000","25,115,000,000","25,996,000,000","25,610,000,000","25,704,000,000","24,398,000,000","24,057,000,000","24,075,000,000","24,354,000,000","25,095,000,000","25,086,000,000","24,676,000,000","24,848,000,000","24,823,000,000","24,804,000,000","21,245,000,000"
		TradingSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,000,000",,,,,,,
		AvailableForSaleSecurities,,,,,,,"2,547,000,000",,"24,899,000,000","24,566,000,000","24,454,000,000","22,930,000,000","662,000,000","657,000,000","974,000,000","854,000,000","781,000,000","753,000,000","802,000,000","1,015,000,000","1,049,000,000","939,000,000","920,000,000","891,000,000","937,000,000","891,000,000","1,040,000,000","1,038,000,000","990,000,000","946,000,000","964,000,000","933,000,000","827,000,000","866,000,000","867,000,000","872,000,000","893,000,000","948,000,000","935,000,000","935,000,000"
