name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989
OperatingCashFlow,"1,084,000,000","236,100,000","273,100,000","351,100,000","223,700,000","157,600,000","152,800,000","340,200,000","309,300,000","244,100,000","100,200,000","192,100,000","199,600,000","362,100,000","236,500,000","247,000,000","266,300,000","213,300,000","137,900,000","195,600,000","245,300,000","167,200,000","155,500,000","257,400,000","174,800,000","117,800,000","131,500,000","160,300,000","198,500,000","118,700,000","177,800,000","197,300,000","160,400,000","104,200,000","144,200,000","131,600,000","201,900,000","104,400,000","102,400,000","123,000,000","215,600,000","88,700,000","72,300,000","207,700,000","126,700,000","75,300,000","113,900,000","118,600,000","147,500,000","92,200,000","79,500,000","139,782,000","164,860,000","51,854,000","71,986,000","92,119,000","114,044,000","102,805,000","91,981,000","114,038,000","91,785,000","67,621,000","62,723,000","89,418,000","84,121,000","45,538,000","29,600,000","77,154,000","80,717,000","15,001,000","13,572,000","58,899,000","67,167,000","32,880,000","31,161,000","50,925,000","65,764,000","47,088,000","31,111,000","38,148,000","36,194,000","14,852,000","28,676,000","41,039,000","26,471,000","27,010,000","19,496,000","25,056,000","17,779,000","-9,697,000","8,507,000","29,805,000","27,800,000","21,640,000","23,514,000","26,200,000","23,100,000","-800,000","15,500,000","24,200,000","21,500,000","-4,900,000","9,300,000","12,400,000","3,600,000","5,100,000","-3,500,000","17,100,000","10,300,000","12,200,000","-5,900,000","20,000,000","14,000,000","1,900,000","11,100,000","6,900,000","10,500,000","-1,100,000","-800,000","2,300,000","11,800,000","-1,400,000","7,700,000","17,700,000","12,500,000","18,600,000","-200,000","12,100,000","9,300,000","4,500,000","-13,700,000","14,400,000","22,000,000","8,300,000","400,000","6,600,000"
	CashFlowFromContinuingOperatingActivities,"1,084,000,000","236,100,000","273,100,000","351,100,000","223,700,000","157,600,000","152,800,000","340,200,000","309,300,000","244,100,000","100,200,000","192,100,000","199,600,000","362,100,000","236,500,000","247,000,000","266,300,000","213,300,000","137,900,000","195,600,000","245,300,000","167,200,000","155,500,000","257,400,000","174,800,000","117,800,000","131,500,000","160,300,000","198,500,000","118,700,000","177,800,000","197,300,000","160,400,000","104,200,000","144,200,000","131,600,000","201,900,000","104,400,000","102,400,000","123,000,000","215,600,000","88,700,000","72,300,000","207,700,000","126,700,000","75,300,000","113,900,000","118,600,000","147,500,000","92,200,000","79,500,000","139,782,000","164,860,000","51,854,000","71,986,000","92,119,000","114,044,000","102,805,000","91,981,000","114,038,000","91,785,000","67,621,000","62,723,000","89,418,000","84,121,000","45,538,000","29,600,000","77,154,000","80,717,000","15,001,000","13,572,000","58,899,000","67,167,000","32,880,000","31,161,000","50,925,000","65,764,000","47,088,000","31,111,000","38,148,000","36,194,000","14,852,000","28,676,000","41,039,000","26,471,000","27,010,000","19,496,000","25,056,000","17,779,000","-9,697,000","8,507,000","29,805,000","27,800,000","21,640,000","23,514,000","26,200,000","23,100,000","-800,000","15,500,000","24,200,000","21,500,000","-4,900,000","9,300,000","12,400,000","3,600,000","5,100,000","-3,500,000","17,100,000","10,300,000","12,200,000","-5,900,000","20,000,000","14,000,000","1,900,000","11,100,000","6,900,000","10,500,000","-1,100,000","-800,000","2,300,000","11,800,000","-1,400,000","7,700,000","17,700,000","12,500,000","18,600,000","-200,000","12,100,000","9,300,000","4,500,000","-13,700,000","14,400,000","22,000,000","8,300,000","400,000","6,600,000"
		NetIncomeFromContinuingOperations,"446,800,000","221,200,000","203,200,000","-164,700,000","187,100,000","187,100,000","204,400,000","158,100,000","230,400,000","218,300,000","220,700,000","150,200,000","216,200,000","189,700,000","229,800,000","144,400,000","157,300,000","138,500,000","175,700,000","142,800,000","146,300,000","121,700,000","157,800,000","405,600,000","133,400,000","72,900,000","131,500,000","110,400,000","124,000,000","111,600,000","113,000,000","109,100,000","120,400,000","73,700,000","107,200,000","106,600,000","115,900,000","88,800,000","102,600,000","92,200,000","107,900,000","86,600,000","107,700,000","80,800,000","93,900,000","79,300,000","95,800,000","63,800,000","79,600,000","82,600,000","83,600,000","46,974,000","69,474,000","74,273,000","79,973,000","52,780,000","70,028,000","58,156,000","62,569,000","44,229,000","48,989,000","45,765,000","56,191,000","31,677,000","51,716,000","40,533,000","45,099,000","23,910,000","38,664,000","36,406,000","39,947,000","16,227,000","34,598,000","34,380,000","37,701,000","11,928,000","27,401,000","19,573,000","29,906,000","15,867,000","19,522,000","24,626,000","20,946,000","15,540,000","17,575,000","18,652,000","14,923,000","6,113,000","15,246,000","13,478,000","12,147,000","10,688,000","-1,236,000","12,375,000","11,732,000","11,200,000","11,400,000","10,400,000","12,400,000","8,700,000","7,800,000","7,900,000","5,900,000","5,600,000","6,400,000","7,300,000","5,200,000","6,000,000","5,200,000","6,200,000","3,800,000","1,800,000","1,600,000","5,700,000","1,100,000","-2,400,000","-300,000","6,400,000","2,400,000","7,200,000","9,700,000","6,500,000","6,100,000","8,300,000","9,400,000","7,400,000","4,400,000","6,600,000","7,700,000","5,700,000","6,500,000","5,000,000","7,200,000","5,200,000","5,800,000","-2,700,000"
		OperatingGainsLosses,"-12,400,000","-2,000,000","-4,400,000","-2,300,000","-3,700,000","-3,900,000","-2,400,000","-2,000,000","-2,000,000","-2,800,000","-2,600,000","5,500,000","-1,900,000","-2,000,000","-4,600,000","-1,100,000","-2,100,000","-1,700,000","-1,700,000","-2,200,000","-2,500,000","-2,400,000","-2,100,000","-2,900,000","-2,700,000","28,600,000","-2,100,000","-2,500,000","-2,500,000","-2,500,000","-1,700,000","-2,600,000","-3,500,000","5,200,000","-2,300,000","-3,700,000","-3,400,000","-2,900,000","-1,600,000","-1,400,000","-1,900,000","1,100,000","-600,000","-20,600,000","1,400,000","9,000,000","1,300,000","2,900,000","1,900,000","6,000,000","700,000","5,707,000","2,448,000","675,000","-1,539,000","-518,000","1,195,000","-3,292,000","-139,000","-26,000","-1,139,000","-513,000","-2,821,000","2,711,000","-6,126,000","104,000","-799,000","-2,422,000","3,584,000","-717,000","-2,976,000","14,921,000","6,669,000","2,798,000","1,194,000","-4,863,000","-654,000","7,192,000","-10,232,000","3,500,000","-5,347,000","-11,767,000","-7,840,000","2,287,000","-4,623,000","-9,603,000","-1,069,000","10,139,000","-1,486,000","-1,108,000","-1,257,000","54,000","13,382,000","-470,000","-862,000","-100,000","-1,300,000","-1,800,000","-9,100,000","2,600,000","-1,200,000","-1,900,000","-1,100,000","-1,600,000","-1,300,000","-1,500,000","-1,500,000","-1,200,000","-800,000","-1,300,000","-1,300,000","-1,200,000","-800,000","-2,400,000","-2,500,000","-3,300,000","-400,000","-2,200,000","-1,400,000","-15,400,000","1,900,000","-2,200,000","9,500,000","200,000","-300,000","-500,000","-200,000","100,000","-300,000",,,,,,,"9,000,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,"0","0","0","-3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000","-600,000","-500,000",,,,"-1,634,000",,,"-1,750,000","-379,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-12,400,000","-2,000,000","-4,400,000","-2,300,000","-3,700,000","-3,900,000","-2,400,000","-2,000,000","-2,000,000","-2,800,000","-2,600,000","-1,200,000","-1,900,000","-2,000,000","-1,600,000","-1,100,000","-2,100,000","-1,700,000","-1,700,000","-2,200,000","-2,500,000","-2,400,000","-2,100,000","-2,900,000","-2,700,000","-3,100,000","-2,100,000","-2,500,000","-2,500,000","-2,500,000","-1,700,000","-2,600,000","-3,500,000","-3,200,000","-2,300,000","-3,700,000","-3,400,000","-2,900,000","-1,600,000","-1,400,000","-1,900,000","1,100,000","-600,000","-10,000,000","-300,000","1,600,000","-200,000","1,000,000","100,000","0","-600,000","7,269,000","-799,000","-1,585,000","-1,262,000","-2,649,000","-2,703,000","-3,993,000","-2,705,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","0",,,"0","0",,,"0","0",,,,,,,,,,,,"1,700,000","7,400,000","1,500,000","1,300,000","1,300,000","6,600,000","1,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"222,400,000","55,800,000","54,900,000","58,400,000","53,300,000","53,600,000","53,700,000","54,200,000","54,600,000","55,400,000","54,900,000","50,800,000","46,500,000","46,200,000","46,200,000","46,500,000","47,000,000","44,300,000","38,600,000","35,700,000","35,500,000","34,200,000","35,700,000","33,800,000","32,400,000","29,900,000","29,300,000","27,400,000","25,800,000","26,500,000","27,900,000","24,700,000","24,900,000","25,400,000","26,000,000","23,500,000","22,000,000","22,900,000","22,800,000","22,600,000","21,600,000","22,700,000","23,600,000","25,600,000","20,100,000","20,100,000","19,200,000","18,400,000","19,500,000","19,800,000","19,400,000","17,134,000","18,084,000","18,169,000","18,185,000","20,461,000","21,285,000","21,936,000","21,670,000","19,386,000","20,367,000","16,439,000","15,212,000","13,574,000","14,064,000","14,419,000","14,614,000","13,585,000","13,219,000","12,439,000","12,484,000","10,736,000","11,308,000","11,219,000","10,895,000","10,202,000","10,240,000","9,667,000","8,984,000","7,924,000","7,412,000","7,380,000","7,508,000","6,571,000","7,334,000","7,503,000","6,482,000","8,194,000","7,299,000","6,109,000","6,241,000","6,990,000","4,975,000","5,892,000","5,597,000","5,000,000","4,800,000","5,000,000","4,500,000","4,000,000","4,200,000","4,200,000","4,100,000","3,800,000","3,500,000","3,500,000","3,400,000","3,300,000","3,400,000","3,500,000","3,400,000","3,200,000","3,500,000","3,200,000","3,200,000","2,800,000","2,600,000","3,200,000","3,100,000","800,000","3,300,000","3,300,000","3,200,000","2,500,000","2,900,000","3,100,000","3,000,000","2,700,000","2,800,000","3,000,000","2,700,000","2,700,000","2,600,000","2,700,000","2,500,000","2,600,000"
			DepreciationAndAmortization,"222,400,000","55,800,000","54,900,000","58,400,000","53,300,000","53,600,000","53,700,000","54,200,000","54,600,000","55,400,000","54,900,000","50,800,000","46,500,000","46,200,000","46,200,000","46,500,000","47,000,000","44,300,000","38,600,000","35,700,000","35,500,000","34,200,000","35,700,000","33,800,000","32,400,000","29,900,000","29,300,000","27,400,000","25,800,000","26,500,000","27,900,000","24,700,000","24,900,000","25,400,000","26,000,000","23,500,000","22,000,000","22,900,000","22,800,000","22,600,000","21,600,000","22,700,000","23,600,000","25,600,000","20,100,000","20,100,000","19,200,000","18,400,000","19,500,000","19,800,000","19,400,000","17,134,000","18,084,000","18,169,000","18,185,000","20,461,000","21,285,000","21,936,000","21,670,000","19,386,000","20,367,000","16,439,000","15,212,000","13,574,000","14,064,000","14,419,000","14,614,000","13,585,000","13,219,000","12,439,000","12,484,000","10,736,000","11,308,000","11,219,000","10,895,000","10,202,000","10,240,000","9,667,000","8,984,000","7,924,000","7,412,000","7,380,000","7,508,000","6,571,000","7,334,000","7,503,000","6,482,000","8,194,000","7,299,000","6,109,000","6,241,000","6,990,000","4,975,000","5,892,000","5,597,000","5,000,000","4,800,000","5,000,000","4,500,000","4,000,000","4,200,000","4,200,000","4,100,000","3,800,000","3,500,000","3,500,000","3,400,000","3,300,000","3,400,000","3,500,000","3,400,000","3,200,000","3,500,000","3,200,000","3,200,000","2,800,000","2,600,000","3,200,000","3,100,000","800,000","3,300,000","3,300,000","3,200,000","2,500,000","2,900,000","3,100,000","3,000,000","2,700,000","2,800,000","3,000,000","2,700,000","2,700,000","2,600,000","2,700,000","2,500,000","2,600,000"
