name,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989
TotalAssets,"85,706,000,000","90,761,000,000","91,127,000,000","85,406,000,000","84,143,000,000","86,889,000,000","89,165,000,000","94,616,000,000","94,529,000,000","88,355,000,000","86,291,000,000","88,129,000,000","83,631,000,000","84,397,000,000","76,337,000,000","73,402,000,000","72,848,000,000","72,537,000,000","70,690,000,000","70,818,000,000","71,448,000,000","71,987,000,000","72,335,000,000","71,567,000,000","72,017,000,000","71,447,000,000","72,976,000,000","72,978,000,000","74,124,000,000","71,280,000,000","69,007,000,000","71,877,000,000","71,012,000,000","69,945,000,000","69,336,000,000","69,190,000,000","68,887,000,000","65,325,000,000","65,681,000,000","65,227,000,000","64,670,000,000","62,947,000,000","64,885,000,000","65,359,000,000","63,314,000,000","62,650,000,000","62,593,000,000","61,008,000,000","60,888,000,000","54,141,000,000","55,017,000,000","53,667,000,000","55,004,000,000","55,885,000,000","57,106,000,000","59,263,000,000","59,590,000,000","63,630,000,000","67,370,000,000","67,548,000,000","65,153,000,000","66,003,000,000","67,017,000,000","62,331,000,000","60,022,000,000","58,570,000,000","57,527,000,000","58,001,000,000","58,474,000,000","57,080,000,000","56,441,000,000","53,013,000,000","54,349,000,000","54,689,000,000","53,510,000,000","51,766,000,000","52,959,000,000","54,543,000,000","54,468,000,000","52,592,000,000","54,795,000,000","58,727,000,000","55,805,000,000","53,301,000,000","52,566,000,000","50,602,000,000","50,207,000,000","50,731,973,000","49,733,368,000","49,288,260,000","50,270,226,000","41,985,185,000","40,885,390,000","41,065,478,000","39,660,314,000","38,653,300,000","37,285,000,000","36,950,500,000","36,447,500,000","36,600,800,000","34,376,200,000","35,050,000,000","36,492,400,000","36,292,400,000","35,904,900,000","35,854,300,000","34,867,700,000","34,206,100,000","34,341,700,000","35,386,100,000","35,023,500,000","35,469,900,000","35,348,500,000","35,451,500,000","34,108,900,000","33,429,900,000","31,803,600,000","31,609,000,000","32,169,200,000","30,294,900,000","28,469,900,000","27,404,000,000","26,426,700,000","26,586,800,000","26,664,200,000","26,754,700,000","14,162,500,000","14,450,800,000","14,342,400,000","13,948,600,000","13,604,200,000","13,300,400,000","13,300,900,000","12,214,200,000","11,961,100,000","12,149,500,000"
	CashCashEquivalentsAndFederalFundsSold,"8,112,000,000","10,223,000,000","10,734,000,000","6,282,000,000","5,970,000,000","7,533,000,000","13,550,000,000","22,679,000,000","23,589,000,000","16,501,000,000","14,871,000,000","15,767,000,000","11,141,000,000","13,311,000,000","4,855,000,000","5,818,000,000","4,117,000,000","3,581,000,000","3,481,000,000","4,561,000,000","5,839,000,000","5,660,000,000","6,836,000,000","5,845,000,000","6,204,000,000","5,631,000,000","8,319,000,000","7,218,000,000","8,040,000,000","4,110,000,000","3,002,000,000","6,147,000,000","7,200,000,000","5,965,000,000","5,962,000,000","6,071,000,000","7,787,000,000","3,894,000,000","5,620,000,000","6,451,000,000","7,088,000,000","3,925,000,000","5,597,000,000","4,534,000,000","3,938,000,000","4,141,000,000","3,960,000,000","3,556,000,000","5,198,000,000","3,466,000,000","4,445,000,000","2,083,000,000","3,994,000,000","4,225,000,000","4,629,000,000","5,617,000,000","3,018,000,000","5,140,000,000","3,510,000,000","3,423,000,000","1,407,000,000","1,775,000,000","1,974,000,000","1,476,000,000","1,400,000,000","2,589,000,000","2,791,000,000","4,066,000,000","1,456,000,000","1,664,000,000","1,685,000,000","1,609,000,000","1,795,000,000","1,687,000,000","1,835,000,000","1,139,000,000","1,560,000,000","1,865,000,000","1,661,000,000","1,527,000,000","1,955,000,000","4,556,000,000","2,264,000,000","1,902,000,000","2,171,000,000","1,748,000,000","1,806,000,000","1,925,262,000","2,160,124,000","1,763,867,000","2,008,803,000","1,496,705,000","1,519,051,000","1,743,552,000","1,444,127,000","1,202,000,000","1,485,700,000","1,535,700,000","1,489,200,000","1,773,100,000","1,364,100,000","2,222,500,000","1,981,000,000","1,927,100,000","1,930,800,000","2,082,700,000","1,824,400,000","1,961,300,000","2,506,000,000","2,348,900,000","1,333,400,000","2,255,800,000","2,309,100,000","2,395,500,000","1,877,300,000","2,247,200,000","1,736,800,000","1,980,800,000","2,499,500,000","3,719,000,000","2,353,800,000","2,809,200,000","2,670,200,000","2,856,600,000","3,713,900,000","3,971,600,000","1,248,800,000","1,487,800,000","1,838,500,000","1,413,900,000","1,178,500,000","1,333,900,000","1,341,800,000","1,088,500,000","979,700,000","1,341,400,000"
		CashAndCashEquivalents,"8,112,000,000","10,223,000,000","10,734,000,000","6,282,000,000","5,970,000,000","7,533,000,000","13,550,000,000","22,679,000,000","23,589,000,000","16,501,000,000","14,871,000,000","15,767,000,000","11,141,000,000","13,311,000,000","4,855,000,000","5,818,000,000","4,117,000,000","3,581,000,000","3,481,000,000","4,561,000,000","5,839,000,000","5,660,000,000","6,836,000,000","5,845,000,000","6,204,000,000","5,631,000,000","8,319,000,000","7,218,000,000","8,040,000,000","4,110,000,000","3,002,000,000","6,147,000,000","7,200,000,000","5,965,000,000","5,962,000,000","6,071,000,000","7,787,000,000","3,894,000,000","5,620,000,000","6,451,000,000","7,088,000,000","3,894,000,000","5,597,000,000","4,434,000,000","3,938,000,000","4,141,000,000","3,950,000,000","3,556,000,000","5,198,000,000","3,466,000,000","4,445,000,000","2,083,000,000","3,894,000,000","4,225,000,000","4,629,000,000","5,617,000,000","3,018,000,000","4,490,000,000","3,510,000,000","3,221,000,000","1,404,000,000","1,698,000,000","1,929,000,000","1,440,000,000","1,271,000,000","1,372,000,000","1,334,000,000","1,434,000,000","1,456,000,000","1,664,000,000","1,685,000,000","1,609,000,000","1,795,000,000","1,687,000,000","1,835,000,000","1,139,000,000","1,560,000,000","1,865,000,000","1,661,000,000","1,527,000,000","1,955,000,000","4,556,000,000","2,264,000,000","1,902,000,000","2,171,000,000","1,748,000,000","1,806,000,000","1,925,262,000","2,160,124,000","1,763,867,000","2,008,803,000","1,496,705,000","1,519,051,000","1,743,552,000","1,444,127,000","1,202,000,000","1,485,700,000","1,535,700,000","1,489,200,000","1,773,100,000","1,364,100,000","2,222,500,000","1,886,800,000","1,927,100,000","1,889,400,000","1,957,900,000","1,770,700,000","1,929,100,000","1,842,700,000","1,906,000,000","1,233,400,000","2,052,000,000","1,575,900,000","1,787,200,000","1,809,100,000","2,201,200,000","1,686,300,000","1,952,300,000","2,378,500,000","2,627,200,000","2,313,000,000","2,166,700,000","2,651,500,000","2,798,800,000","2,441,400,000","2,459,300,000","1,248,800,000","1,487,800,000","1,838,500,000","1,413,900,000","1,178,500,000","1,333,900,000","1,341,800,000","1,088,500,000","979,700,000","1,341,400,000"
			CashFinancial,"1,228,000,000","1,413,000,000","1,563,000,000","1,758,000,000","1,735,000,000","1,631,000,000","1,466,000,000","1,236,000,000","1,050,000,000","1,008,000,000","1,064,000,000","1,031,000,000","988,000,000","1,048,000,000","848,000,000","973,000,000","1,229,000,000","1,029,000,000","1,063,000,000","1,390,000,000","945,000,000","1,424,000,000","1,173,000,000","1,438,000,000","1,351,000,000","1,372,000,000","1,176,000,000","1,249,000,000","1,292,000,000","1,172,000,000","977,000,000","1,157,000,000","1,101,000,000","1,148,000,000","1,170,000,000","1,026,000,000","1,039,000,000","1,226,000,000","1,186,000,000","1,140,000,000","1,384,000,000","1,016,000,000","877,000,000","1,395,000,000","933,000,000","1,076,000,000",,"982,000,000",,,,"668,000,000",,,,"774,000,000",,,,"913,000,000",,,,"1,440,000,000",,,,"1,434,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,883,100,000",,"1,886,300,000","1,949,900,000","1,703,900,000","1,901,800,000","1,825,000,000","1,677,400,000","1,230,300,000","2,028,400,000","1,523,500,000","1,674,800,000","1,628,400,000","1,822,300,000","1,410,900,000","1,427,600,000","1,586,900,000","1,600,700,000","1,407,600,000","1,439,000,000","1,805,200,000","1,485,500,000","1,613,000,000","1,453,900,000","744,200,000","780,800,000","819,300,000","748,800,000","611,700,000","654,600,000","708,200,000","686,800,000","585,100,000","684,300,000"
			CashAndDueFromBanks,"6,884,000,000","8,810,000,000","9,171,000,000","4,524,000,000","4,235,000,000","5,902,000,000","12,084,000,000","21,443,000,000","22,539,000,000","15,493,000,000","13,807,000,000","14,736,000,000","10,153,000,000","12,263,000,000","4,007,000,000","4,845,000,000","2,888,000,000","2,552,000,000","2,418,000,000","3,171,000,000","4,894,000,000","4,236,000,000","5,663,000,000","4,407,000,000","4,853,000,000","4,259,000,000","7,143,000,000","5,969,000,000","6,748,000,000","2,938,000,000","2,025,000,000","4,990,000,000","6,099,000,000","4,817,000,000","4,792,000,000","5,045,000,000","6,748,000,000","2,668,000,000","4,434,000,000","5,311,000,000","5,704,000,000","2,878,000,000","4,720,000,000","3,039,000,000","3,005,000,000","3,065,000,000","3,950,000,000","2,574,000,000","5,198,000,000","3,466,000,000","4,445,000,000","1,415,000,000","3,894,000,000","4,225,000,000","4,629,000,000","4,843,000,000","3,018,000,000","4,490,000,000","3,510,000,000","2,308,000,000","1,404,000,000","1,698,000,000","1,929,000,000","1,440,000,000","1,271,000,000","1,372,000,000","1,334,000,000","1,434,000,000","1,456,000,000","1,664,000,000","1,685,000,000","1,609,000,000","1,795,000,000","1,687,000,000","1,835,000,000","1,139,000,000","1,560,000,000","1,865,000,000","1,661,000,000","1,527,000,000","1,955,000,000","4,556,000,000","2,264,000,000","1,902,000,000","2,171,000,000","1,748,000,000","1,806,000,000","1,925,262,000","2,160,124,000","1,763,867,000","2,008,803,000","1,496,705,000","1,519,051,000","1,743,552,000","1,444,127,000","1,202,000,000","1,485,700,000","1,535,700,000","1,489,200,000","1,773,100,000","1,364,100,000","2,222,500,000","3,700,000","1,927,100,000","3,100,000","8,000,000","66,800,000","27,300,000","17,700,000","228,600,000","3,100,000","23,600,000","52,400,000","112,400,000","180,700,000","378,900,000","275,400,000","524,700,000","791,600,000","1,026,500,000","905,400,000","727,700,000","846,300,000","1,313,300,000","828,400,000","1,005,400,000","504,600,000","707,000,000","1,019,200,000","665,100,000","566,800,000","679,300,000","633,600,000","401,700,000","394,600,000","657,100,000"
		MoneyMarketInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,000,000",,"100,000,000",,,"10,000,000",,,,,,"100,000,000",,,,,"650,000,000",,"202,000,000","3,000,000","77,000,000","45,000,000","36,000,000","129,000,000","1,217,000,000","1,457,000,000","2,632,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,200,000",,"41,400,000","124,800,000","53,700,000","32,200,000","663,300,000","442,900,000","100,000,000","203,800,000","733,200,000","608,300,000","68,200,000","46,000,000","50,500,000","28,500,000","121,000,000","1,091,800,000","40,800,000","642,500,000","18,700,000","57,800,000","1,272,500,000","1,512,300,000",,,,,,,,,,
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","31,000,000","0","100,000,000",,,"10,000,000",,,,,,"100,000,000",,,"0",,"650,000,000",,"202,000,000","3,000,000","77,000,000","45,000,000","36,000,000","129,000,000","1,217,000,000","1,457,000,000","2,632,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,200,000",,"41,400,000","124,800,000","53,700,000","32,200,000","663,300,000","442,900,000","100,000,000","203,800,000","733,200,000","608,300,000","68,200,000","46,000,000","50,500,000","28,500,000","121,000,000","1,091,800,000","40,800,000","642,500,000","18,700,000","57,800,000","1,272,500,000","1,512,300,000",,,,,,,,,,
				FederalFundsSold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","31,000,000","0","100,000,000",,,"10,000,000",,,,,,,,,"0",,,,"202,000,000",,,,"36,000,000",,,,"2,632,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	CustomerAcceptances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,000,000","10,000,000","14,000,000","9,000,000","13,000,000","24,000,000","21,000,000","11,000,000","12,000,000","7,000,000","10,000,000","14,000,000","21,000,000","15,000,000","28,000,000","48,000,000","39,000,000","40,000,000","55,000,000","56,000,000","64,000,000","74,000,000","60,000,000","59,000,000","39,000,000","35,000,000","40,000,000","57,000,000","41,000,000","44,000,000","27,000,000","27,000,000","22,000,000","29,000,000","28,000,000","33,000,000","37,000,000","31,000,000","23,000,000","28,589,000","33,411,000","27,538,000","26,917,000","26,668,000","22,578,000","23,964,000","17,179,000","43,800,000","26,000,000","15,200,000","11,400,000","12,300,000",,"26,300,000","12,100,000","18,400,000","26,200,000","30,700,000","34,700,000","33,100,000","60,200,000","104,000,000","74,300,000","21,100,000","34,300,000","40,500,000","43,700,000","33,600,000","38,500,000","39,600,000","35,300,000","38,200,000","41,800,000","52,600,000","36,100,000","23,500,000","28,700,000","34,800,000","1,600,000","2,700,000","5,200,000","2,300,000","21,400,000","6,700,000","4,400,000","3,100,000","1,100,000","1,000,000"
